1_G137.1;10_G-56.47;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;4_G189.52;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;6_G-60.89;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;8_G43.28;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29
142.554;363.28499999999997;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.658;144.76200000000003;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;144.348;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.728;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.25334965292467;144.48600000000002;145.314;144.624;144.072;350.52;146.2902889770295;146.28;143.38200000000003;143.52;143.244;141.036;139.1529231272812;142.5541047972787;359.145;-1.0;144.6956398275185;170.177;146.28;143.796;144.348;144.78074950940012;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.658;144.76200000000003;142.692;145.59;140.07000000000002;144.9;144.63478088829228;144.9;144.624;144.348;146.31970048686424;354.31500000000005;143.658;143.38200000000003;143.658;145.67438929254962;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.23706574935537;144.48600000000002;145.314;144.624;144.072;350.52;146.28;-1.0;143.38200000000003;143.52;143.244;141.036;139.656;144.48600000000002;359.145;146.28;142.48074577653404;170.177;-1.0;143.796;-1.0;142.4952491041037;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;143.934;-1.0;142.692;-1.0;-1.0;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;-1.0;146.28;354.31500000000005;143.658;143.38200000000003;143.658;-1.0;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.278;144.48600000000002;145.314;144.624;144.072;-1.0;146.38095266932848;146.28;143.38200000000003;143.52;143.244;-1.0;139.656;144.48600000000002;359.145;146.28;145.03799999999998;-1.0;146.28;143.796;144.348;144.9;145.452
142.554;363.73462128314327;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.38484709114485;144.76200000000003;-1.0;145.59;140.07000000000002;144.9;144.76200000000003;-1.0;144.2468388377277;144.348;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.82348209289637;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.278;144.48600000000002;145.314;-1.0;-1.0;350.52;146.28;146.28;143.38200000000003;143.52;143.244;141.036;139.656;143.43535028852727;-1.0;-1.0;145.03799999999998;170.177;146.28;143.796;144.348;144.9;-1.0
142.554;363.28499999999997;146.00400000000002;145.03799999999998;-1.0;143.24651006629466;-1.0;143.658;144.76200000000003;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;144.348;146.28;354.31500000000005;143.658;143.38200000000003;-1.0;145.728;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.278;144.48600000000002;145.314;144.624;-1.0;-1.0;-1.0;146.28;-1.0;143.52;143.244;141.036;139.656;144.48600000000002;359.145;146.28;145.03799999999998;170.177;146.28;143.796;144.348;144.9;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;-1.0;143.52;142.692;143.658;-1.0;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;144.348;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.728;-1.0;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.278;144.48600000000002;145.314;144.624;144.072;350.52;146.28;146.28;143.38200000000003;143.52;143.244;141.036;139.656;144.48600000000002;359.145;146.28;145.03799999999998;-1.0;146.28;143.796;144.348;144.94017439179663;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.658;144.76200000000003;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;144.348;146.28;354.31500000000005;143.658;-1.0;143.658;145.82339167531663;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.24589504618882;144.48600000000002;145.314;144.624;144.072;350.52;146.28;146.28;143.38200000000003;143.52;143.244;141.036;139.656;144.48600000000002;359.145;146.28;145.03799999999998;170.177;146.28;143.796;144.348;144.9;145.452
-1.0;363.28499999999997;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.658;-1.0;142.692;145.59;140.07000000000002;144.9;144.40439318162626;144.9;-1.0;144.348;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.75859044642556;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;142.278;142.24779248504927;144.48600000000002;145.314;144.624;144.072;350.52;146.28;146.28;143.38200000000003;143.52;143.244;140.9486648212575;-1.0;144.40739494502907;359.145;146.28;145.03799999999998;-1.0;146.28;-1.0;144.348;144.9262083788069;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;143.934;143.52;142.692;143.658;-1.0;142.692;145.59;140.07000000000002;144.9;144.76200000000003;144.9;144.624;-1.0;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.81965242958066;145.452;146.28;143.796;143.658;-1.0;144.9;142.278;-1.0;-1.0;144.48600000000002;145.314;144.624;-1.0;350.52;146.31741134625474;146.28;143.38200000000003;143.52;143.244;141.036;139.656;144.48600000000002;-1.0;146.28;145.03799999999998;170.177;146.28;143.796;144.348;144.9;145.452
142.554;363.28499999999997;146.00400000000002;145.03799999999998;-1.0;143.52;142.692;143.658;-1.0;142.692;145.59;140.07000000000002;144.9;144.28987878594307;144.9;144.4517998152247;144.348;146.28;354.31500000000005;143.658;143.38200000000003;143.658;145.728;145.452;146.28;143.796;143.658;-1.0;144.9;-1.0;137.80711148074116;137.5622269519555;143.60382088802896;145.314;144.624;144.072;350.52;146.5260053043481;146.28;143.38200000000003;143.52;143.244;140.89985858118456;139.19299239984772;143.9700378500649;359.145;146.28;144.3434129413364;170.177;146.28;143.796;144.348;144.36458116100516;145.452
