2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
254.0;380.0;-78.0;32.0;150.0;332.0;116.0;36.0;32.0;116.0;100.0
