2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
8229.001202288911;985.0178358064871;3090.3349281935425;8870.122467251502;12727.749340004933;2039.1069345990425;4248.936453405651;2369.344914235087;2979.4545291274576;1352.3353181935097;3395.034013088644;1255.6060412571994;3577.5441942946013;917.0051410950354;8408.465356444805;1331.94294395915;3069.0937934454782;1322.8147446400858;852.1937514707737;4977.662690003444
8264.29568621559;818.9306756740311;2681.418060975112;7564.67554848721;10292.23635591525;2122.368995270998;3708.1925008138182;2264.8853356542277;2756.504927163928;1247.9642714839015;3413.1151760297485;1064.5817607468125;3321.9977661759767;777.1320832695556;5800.580629025676;1065.3356623904758;2933.221784816406;1153.3441512702386;854.0956483348249;3962.3831117483955
6845.43702069389;754.3497087794118;2223.5363134162285;7247.706817654548;9880.41709611934;1843.9180421416543;3357.9640950949843;2017.721728287187;2689.869366614724;1199.0230757938064;2856.4549971873503;1137.3624766884207;3071.2970162022157;735.7110924089893;6098.411771111251;1081.981637945049;2688.228895722805;1130.9674519199464;852.7039613671259;2809.091644155844
6717.84755602976;660.9559459266377;2110.714002409738;8321.738774656827;9350.11810258491;1774.094924489344;3539.164670091198;1929.553487383211;2485.392125109652;1092.1952292508938;2866.521523659192;1079.6472298675644;2765.7025936833425;760.8287481338841;5668.766705357879;970.4631438608704;2376.272049116823;1034.3705921108713;745.5677991227234;3243.0854527320707
5991.303673633395;779.768969693541;2317.7959364743147;6845.018785154654;8805.26605133362;1484.5828363825374;3052.427365819315;2199.0690763709217;2288.099207584849;1149.718290173784;2750.8879232241575;894.1752834623538;2511.1423654889936;727.8386920397255;5745.044976881849;1011.7665247512365;2545.968795022402;974.3941636631235;693.8911726509878;3373.2320619700795
5802.47025663713;730.7697355372078;2298.3762207969685;7319.690515505558;10330.660274217382;1971.4203148923586;3529.8818829945712;1775.62877716969;2627.1624890168173;1146.18670412252;2759.347671774533;940.0676901635197;3442.2131795986675;677.3002567635073;5911.889624835789;1016.7152948607204;2769.0537380117694;1307.9540437703793;738.4863876427718;3289.8851564447623
7208.063460752634;828.5515781039518;2512.2563391240956;7994.052540229833;10986.711612320934;1918.2542058053066;4740.262180204675;2593.748333161173;3371.6472923725023;1274.687660083493;3236.8400498614938;1067.911201484665;3188.611896539045;799.7955586679999;6529.886401574826;1074.573883186786;3461.709982333151;1352.4751696789651;894.4302964087567;3831.9347622055975
9287.61093652148;889.021232019148;3250.5988592193253;10852.299363367581;12693.990949967256;2450.4802959541307;4922.979785501865;2533.9915983205956;3623.1873065604937;1303.3422779868486;4102.01435570811;1302.0120378757351;3956.18059106561;828.188143105783;7549.750944935672;1206.6947256855497;3895.4500414203453;1433.8152522426676;959.44686629154;4186.297754546572
8753.63282226908;1116.1561636296028;2995.713477628078;11631.393178699751;13846.391321602265;2727.693115180693;5142.229495124848;2587.6035123041975;3698.610906287741;1772.3130036368966;4305.407314871247;1412.2137987050844;4701.770184523913;911.1248186027161;7641.561827126084;1474.1768003104237;3900.2946980829806;1748.288806276319;1052.5455327188076;4680.260290555395
10398.999730703474;1219.8901065355992;3792.383022505005;9890.031752277442;14600.78623142345;3308.6532129808174;5347.792947612233;2701.867984902568;4062.009503101349;1743.0687793519876;3925.568718591525;1576.963340429535;4666.31356491888;1130.1447000622265;9672.131503971994;1583.14265892292;3889.909026627814;1661.94984687373;1140.7851401700032;4894.999570053384
