1_G137.1;13_G-56.47;2_G36.31;22_G63.29;23_G40.43;27_G-10.61
18610.39898086703;9217.811056703476;18515.600797564584;12254.244398825784;5954.334298951341;12728.915638606893
16752.588140915865;7370.528218166876;15983.325231031682;9814.012496591313;5882.763196956009;11295.149175649038
15084.517027590844;6681.954556846979;14813.759631298539;8991.042907527612;5927.5888079496735;9934.745974692994
16583.054403833205;7691.081891785081;15093.812302669208;10112.15189450594;0.0;11016.148104029517
13587.751090104133;6970.016526990923;13399.145028029277;9032.044658444242;5051.430323180064;8910.007296219643
14865.310903063151;7071.818246819144;15011.624976317704;9002.35127111701;5436.7252830463485;9939.654380059303
20278.777696183184;9628.535614709595;19100.494489844106;0.0;6944.4522268018445;14553.680764763605
21734.65769940381;10631.578413442036;21511.366691994222;14158.596721188238;0.0;14791.922897828874
19835.520400332247;10580.553806701877;21015.665839332927;13692.046048214946;7939.964570169005;14588.737104610165
23266.079556274533;10795.602169336113;23814.851457642493;13496.147574754037;7627.47832611536;13958.10990117545
23446.206105028377;11556.627350074414;22993.51758134176;13414.885477882279;9133.777067127929;14329.978731051804
20941.12281379042;11942.819423218798;24062.585330035272;13829.08505309059;8148.167035074519;16068.364897549709
27985.70537442214;13244.259169372841;28784.389606352266;16326.287368637666;9860.610097838386;0.0
23892.105519208602;11736.759414906015;21098.971804095057;14113.34168074743;8195.601383820043;16293.08477376685
22563.6800253243;10278.942946604004;19771.197451110613;13504.488177336307;7340.434420722918;13809.854251252533
18970.93252073081;9723.777817197226;20569.559762338857;11765.377122291437;8284.112705741529;13811.1802629549
27176.998044252854;12555.995109253605;25132.893957068514;0.0;0.0;17852.94973299231
29079.48678213211;13361.729490314128;0.0;16501.77075894999;9117.789610074306;18398.926596031004
21493.877962735143;11451.2103625318;20767.90591975602;13451.236543716608;8375.872656084011;14658.973273691467
24002.71022609246;10788.050071855738;21531.26085095602;13334.04277366031;8082.593727218236;15705.293622539277
21057.38668102611;9396.308689242527;17341.139977858304;14093.638923136867;7435.3953198188565;14620.95758050685
21030.915286111154;10450.449975949856;20773.591234844036;13046.927425797681;0.0;14736.374540796824
21978.577701602804;10189.445367921342;21384.09842062513;12361.249380515506;7451.378719772017;15260.089597936323
26410.92378921088;14200.389074850616;0.0;17805.88516238416;8897.1068943719;19164.348808929823
19880.93048905139;9950.631601074181;17161.843588073145;11672.604662202768;6786.623622568482;13145.64694123669
17450.447186657184;7963.751267451909;18136.81042256957;10406.568090974824;6430.217151270709;11404.229583924807
15824.524273108244;8066.426006595229;15817.22723849249;10522.213357649494;6178.383916534577;11322.074353286262
17770.515817764637;8538.263152224785;19546.04627368248;0.0;6051.537856740979;11101.895715594603
14434.19867600721;8121.821989703165;14909.832949149171;9185.680878194886;6268.041398182537;9939.708935320734
16166.88570037622;7692.502681839613;15681.086209960245;10313.385758448441;5952.061363237469;10180.346107835057
16470.568163907097;9117.44377506121;17464.54788435182;11546.147034584174;6666.560517889973;12904.12507713452
19962.161528523135;10364.76750075561;19065.51614531601;12932.466177549959;7674.45687328991;14825.391259521044
20566.851398642826;11956.55121199808;22086.24616566019;14864.590735790236;8182.131337718688;14792.046463876197
22970.011433393327;12182.448365570719;23591.821094826537;14269.55824689215;8369.143846881994;17916.114479916487
25464.815012003583;12684.029424466415;23424.216580351713;14742.219825054284;9010.416118967101;16959.991754837272
25461.507180248344;11491.284874205594;24793.57447376851;15724.04371823943;9101.33341488764;15564.471307147533
24842.633518612507;11334.771099117817;24124.04276309856;15075.587471240036;9595.211647553964;16318.447494283708
26578.929060278282;12400.802845698514;26293.671097657323;15831.948123500166;0.0;16754.21646449814
23629.997423406076;12280.035022380769;22419.145524823147;13467.618042693539;7853.245655532529;14390.804603661732
21694.438379608157;11221.031262521557;20588.80860179389;13714.465458592256;8443.85670401626;14546.572719551972
20744.45146868871;10203.25637463168;20229.758622164612;12341.120005026907;7652.7945491016835;14832.457277906533
20231.083380568136;12017.730066454023;22269.35714249953;14189.004131767233;8364.558282215454;15133.247167486017
28855.53679385101;14289.680843561891;27482.69140625;0.0;9886.500135235598;19656.48522084916
24463.875797654207;12511.605288061228;23606.294819702074;15709.917102681458;8904.381273954637;16171.565049143215
22763.71055249069;11397.235523636822;20723.215635572356;13057.180482923632;8804.40725404688;15516.893018771632
22083.563034225273;9685.54797357906;21547.13821489679;13303.131613350488;7365.744918232513;13911.96228002464
21218.62007662726;9877.658915409804;21841.380647208225;13194.026636502364;8109.624548498666;14084.416519106926
19834.94833393156;11159.652832236618;21383.209196268082;12738.538770895371;8353.834390266184;14889.147917521777
21526.566631010704;10769.11050052363;21734.366338748885;12824.751244757023;0.0;15193.593537678513
17889.837229643974;9018.092890783806;17276.45284384466;10858.721182285813;6682.425718736595;11982.667811403739
16783.29245072262;7999.826142403869;16057.085451064833;10507.30758947887;5947.366865185845;10316.121047387915
18476.568407059443;9027.594364087594;19674.426868380102;10942.145367981848;6887.758741124483;0.0
15689.13078930056;7116.148313849397;14239.414394154377;9212.871806403455;5503.049513957966;10325.847485637292
16834.810537810677;8549.624526973923;14673.654863198964;9020.491979401184;5983.995696814236;10376.773973626909
18950.727058830733;9832.842150698478;17352.7361580547;11850.372930722002;7926.215557655341;12188.146380073784
0.0;12811.516548650368;30477.818777952238;17236.571728125382;10000.916379216289;16470.0735446797
23042.98823112325;12283.384527682389;22204.152878842095;14083.626960290125;8681.096247056374;14937.669200941566
23601.000211366103;12853.840372132974;23604.04661562946;16093.254843901825;9411.93455957624;17144.309373431697
23879.11023963526;12596.448948841664;24121.5162395158;15904.659159395162;9611.541353138504;17892.331110310402
24662.716526848362;12350.120112036035;24038.975023710052;16333.104585662979;8957.304949611715;17268.54959332157
24035.433756696486;12179.406319461048;24624.13471297737;16237.312934528598;8636.903576615747;15634.1425994019
23740.428532287788;12310.55969067237;22439.20440968526;15032.012823638874;9113.382318715283;16436.694658216653
26188.05196992843;0.0;28620.538882512792;14789.887078367672;9369.974596467784;17724.63096225747
21993.356325564608;11950.470346131151;20430.383918839943;13086.140255123;8571.018566708162;14935.882125572165
23555.64614277165;12991.547689139883;24919.408076638847;15874.521058012106;8876.227000136072;0.0
21997.263756103217;10971.163383017849;21181.711048173685;12657.415324486235;8199.702599104417;15600.584833516084
25182.87872164708;12470.298638981842;23938.10361081177;14478.331121153158;8884.418959525156;15283.273422569315
23771.957973710727;10938.705870784645;24741.89307006003;14360.678585294245;8606.225130825118;17038.54294769717
22617.722968617476;11410.426425101808;21161.02466639028;12460.608402596874;8424.615092685257;14471.626740222977
21800.01115625951;10604.292073486637;20600.5731066249;12755.69129573128;7918.4931970197085;14510.276466562835
24721.365238730694;0.0;23898.977445802986;15177.738569498253;9556.936802446713;16350.057902367542
20402.286608187667;11266.158306823507;21227.674092943013;13362.961458426193;8113.1091218201145;15608.633505324922
17717.656433568307;10262.727925334626;19067.955948221675;12174.187416879005;7359.153742383112;14396.96084177798
17812.048542202156;8856.480771084174;15738.665757186078;11361.248064879726;6365.631838242842;11592.674443518777
15162.664244994974;7761.089804032693;16331.745905754018;9341.305094509444;6327.86028396935;11111.667239290186
14508.599519030196;7688.065780794161;14500.169195014776;8993.355506245947;5685.310254471135;9815.903491882942
19717.080310465226;9630.70256337372;21278.692014095348;11532.692809100254;0.0;0.0
