1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
159.74503;63.99053;52.294586;47.90505;50.70601
180.30666;72.96916;48.225883;51.655552;55.175175
179.34866;76.68232;52.54293;59.620964;53.60174
187.12312;81.91778;51.65623;52.70351;54.40683
179.35551;73.905815;56.541206;50.83521;53.9976
173.79396;70.139084;47.982063;49.230354;46.501522
189.03632;78.000046;0.0;58.97002;57.504837
170.1464;62.74019;45.357994;51.959175;43.923
188.89491;0.0;56.040535;52.415672;56.804386
172.0981;66.88114;47.218292;0.0;53.21111
171.61403;66.58061;47.346386;48.08542;47.410244
0.0;129.08627;99.93097;92.676704;89.97601
192.93202;79.44097;0.0;53.227192;51.89715
148.63174;64.34306;39.508316;46.709724;46.712563
158.24898;66.37737;44.23809;46.753094;43.52323
153.76476;64.73941;49.18042;48.686283;42.658295
175.80157;75.60831;55.467308;54.877163;49.447647
169.31592;77.192764;51.607735;60.21418;60.03624
165.86801;68.89687;40.77356;44.55202;40.651806
168.71846;0.0;48.543365;52.016926;52.88642
150.86201;58.252144;45.19126;40.667347;41.830944
225.09724;0.0;0.0;60.60421;65.1312
185.9155;76.19169;71.15564;61.50204;0.0
193.45477;82.583405;55.0299;58.57153;61.86202
216.12605;86.87654;67.52046;66.84828;65.01015
255.66765;105.2936;63.62418;66.38969;72.60612
248.81824;100.469505;74.145996;72.967;79.37837
288.3891;0.0;93.13198;90.4445;87.595
248.61511;100.31261;64.04483;74.688515;71.36604
235.28828;98.71012;69.30663;71.54432;72.98215
258.00922;101.72014;72.3035;79.00785;0.0
219.58582;96.645355;67.55991;62.491776;69.13942
227.59433;97.339294;63.316982;74.43678;0.0
207.81873;95.002304;67.64229;59.598373;62.724648
238.6564;106.2925;66.34731;73.64962;72.47012
250.59839;100.73715;72.40433;68.1612;74.39393
235.00417;104.19204;64.623245;71.38924;68.72181
192.3897;79.472984;61.95636;63.700634;57.759617
227.3625;86.10994;60.042137;65.534904;63.595375
201.26883;86.22339;60.70221;64.72879;59.035652
162.39087;77.50491;51.489887;59.529896;50.644753
169.46814;67.68335;48.704346;45.946205;49.773106
144.6272;62.06359;43.92086;43.449955;42.269722
169.86697;65.061424;44.7548;46.549454;0.0
145.89644;63.583363;40.752735;38.1837;43.786453
185.78323;0.0;49.370857;50.126682;50.097794
207.69698;0.0;65.99021;65.30462;57.27052
192.79854;77.67563;56.990566;52.11961;57.47097
216.57494;91.11402;59.89632;68.4628;63.586754
225.90544;86.375145;60.982685;63.53167;62.41426
232.05855;85.373795;61.834126;72.19404;71.00226
248.98698;107.57304;57.46351;66.589485;67.59763
239.71573;101.51079;69.589264;68.95849;71.58803
220.08363;94.998604;60.739708;67.25412;63.2908
233.17867;79.57444;61.413013;59.828613;57.78817
208.5462;78.39532;60.00634;55.559124;57.91209
216.93974;78.73981;62.807995;54.39455;54.9369
205.00426;90.5017;65.36157;61.502014;64.76879
228.94807;96.08554;65.37293;68.86006;61.672028
264.8528;116.358406;85.73063;0.0;85.55556
201.08934;90.68119;64.96232;64.26183;61.735737
202.75801;76.38051;61.970936;57.037823;57.299282
195.31189;83.16546;53.395287;58.48684;59.126537
194.55038;85.479744;56.543404;62.69487;57.188633
157.27646;71.8076;49.361965;42.52615;48.58527
133.78969;55.749695;41.570045;39.944675;37.719425
117.43999;50.125805;32.825188;34.578724;33.910263
112.44536;52.93808;40.975506;36.68896;35.10219
139.60872;59.542507;36.481487;37.37127;0.0
139.93793;57.263065;0.0;47.880707;45.389854
136.12491;63.280197;38.259293;35.040714;41.877617
163.47577;64.48232;50.3045;44.372334;51.743626
209.08492;83.93844;65.85283;0.0;57.82568
186.60574;70.33464;58.618;54.91689;51.8262
185.75262;69.55636;53.772842;50.73216;49.45659
191.73026;78.77141;57.311275;51.20454;55.772972
217.03763;85.02166;65.28452;0.0;62.933586
188.49364;87.93039;54.838303;56.29899;51.75555
177.09402;65.985344;45.293095;56.031013;51.19947
180.1844;68.11596;47.337784;50.27352;44.397907
0.0;101.982834;89.877396;83.379684;78.62969
175.67183;68.18835;46.4023;46.12003;50.979183
173.75783;69.63674;55.95412;53.41602;57.253845
200.10094;76.82961;53.876686;58.4841;56.22077
0.0;110.82395;89.884415;88.13895;92.274574
160.48865;78.31245;48.99325;53.07019;58.803635
186.46431;88.344055;57.035816;56.67185;0.0
0.0;123.67019;83.205605;81.34804;81.21388
136.59154;53.600338;37.662094;37.945194;40.76462
105.90607;50.30107;35.629414;33.99074;40.236805
98.08644;39.499077;33.20782;29.216326;35.508846
107.360214;43.385555;23.291637;32.305298;32.88345
99.19245;34.94673;32.676105;30.010227;26.644451
101.35889;42.749416;34.135216;27.003689;32.371952
118.74948;54.056965;36.631027;34.60147;38.90997
0.0;99.39442;76.52376;77.40031;75.47947
141.9739;62.079212;42.681046;48.107445;51.269516
156.58061;71.26801;41.466145;46.28514;47.5989
167.74947;62.392063;52.681465;53.58256;50.253296
168.13824;65.61273;52.09143;46.21612;50.458424
172.78867;63.562344;48.83119;40.657597;49.38084
160.87152;70.483444;52.510254;48.58902;58.11675
163.79494;63.42746;43.063904;46.38119;48.822586
0.0;94.194885;75.12118;72.87348;68.75006
132.53157;58.511;42.83222;54.489105;45.081345
179.72296;68.91011;0.0;51.95732;47.09551
161.77122;72.87795;50.723503;51.312965;46.345722
162.06573;66.835686;47.178314;51.773163;48.12981
155.90668;69.86692;43.777023;48.713223;50.49837
154.68832;60.844276;50.69275;37.813156;45.669624
171.29555;66.85648;0.0;48.879673;54.99308
142.70766;62.94375;44.501957;45.973503;45.06597
278.34644;0.0;0.0;66.241;64.487816
224.0606;94.393166;0.0;54.1792;0.0
179.94916;74.8942;0.0;44.202858;42.7165
152.99908;72.43484;0.0;40.35041;41.71823
161.20717;66.73043;0.0;38.79599;37.83009
161.11403;77.872055;0.0;45.84153;41.863052
204.08217;96.1714;0.0;52.159874;54.083595
295.38037;0.0;0.0;67.930214;63.307617
289.62015;125.92228;0.0;0.0;67.135956
262.1317;106.410774;0.0;70.76509;65.50666
262.35144;117.833305;0.0;56.57137;61.413742
304.15518;129.58215;0.0;69.40067;0.0
270.2093;99.076096;0.0;65.776276;59.25647
307.31036;118.92327;0.0;71.27279;0.0
247.86787;95.82353;0.0;57.41554;58.487885
260.52045;102.34537;0.0;56.784035;58.99548
222.02214;102.06686;0.0;56.086628;62.74245
241.41873;96.43235;0.0;55.539825;60.15999
246.44093;106.33842;0.0;58.064766;63.014153
259.18362;111.79816;0.0;57.086773;59.45602
236.388;104.36198;0.0;53.434074;60.47898
249.47818;120.13661;0.0;65.98737;0.0
247.5535;105.080894;0.0;62.663296;58.153168
234.19662;91.132286;0.0;62.058693;58.722374
185.08537;79.47392;57.797707;62.25212;51.19304
175.30943;72.57509;51.792473;52.322086;54.76255
143.59944;62.74955;50.12558;46.47638;41.035465
140.99649;64.33764;44.913383;41.553085;44.88233
165.20116;65.24197;46.739338;40.194515;43.032307
194.0864;87.28037;0.0;53.008663;53.047283
177.05754;81.92588;48.20979;57.28615;60.407406
217.84314;86.085014;58.76758;64.428185;60.973988
226.35948;90.28841;67.59735;61.510998;65.57819
247.1825;88.76331;64.13059;65.68442;67.511795
232.51578;102.20436;72.7626;73.00044;70.6659
234.04442;101.04321;63.5586;69.28039;69.36891
238.51826;103.132416;80.24939;70.16678;73.069046
232.64719;110.081726;66.979965;65.881584;70.25817
219.54932;95.20388;73.913315;78.93216;61.73387
197.26958;84.782585;57.87156;64.605095;58.224457
233.68536;0.0;69.69701;74.45298;71.8555
239.55745;91.34935;60.767937;63.53569;52.833954
219.85655;96.857254;68.509964;64.08287;70.19513
263.10135;86.93997;69.80483;69.63351;67.94566
225.60661;85.61845;65.389206;63.532967;65.87669
208.0179;86.41781;64.49385;70.65348;61.4605
216.40353;81.05232;69.487564;67.12916;63.90116
209.62598;83.77206;62.76188;63.406162;69.120995
270.46957;0.0;56.72113;55.445847;55.30496
244.44177;0.0;54.99757;48.835556;49.530273
256.0984;0.0;53.718613;52.41432;0.0
209.99109;0.0;46.03298;47.359867;44.90492
199.1058;0.0;46.19209;41.39569;48.329185
286.04654;0.0;50.710335;56.99098;0.0
230.65027;0.0;63.163025;61.57998;67.93552
288.1032;0.0;59.123688;55.34548;58.71357
311.50275;0.0;66.907036;64.493675;68.13048
325.39777;0.0;65.58115;70.342316;61.35042
