1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
105.46749;-1.0;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.93774;104.5;101.157455;107.0;109.0
104.78837;-1.0;101.0;107.0;109.0
105.79279;104.5;101.33555;107.0;109.0
105.714806;104.5;101.696144;107.0;109.0
105.69605;104.5;101.6733;107.0;109.0
105.76724;104.5;101.57627;107.0;109.0
105.881;104.5;101.073166;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.974525;104.5;101.0;107.0;109.0
105.91954;104.5;101.18873;107.0;109.0
105.95031;104.5;101.2709;107.0;109.0
105.93203;104.5;101.12852;107.0;109.0
105.82808;104.5;101.2283;107.0;109.0
105.78408;104.5;101.437485;107.0;109.0
105.68293;104.5;101.37487;107.0;-1.0
105.74232;104.5;101.43054;107.0;109.0
105.723656;104.5;101.52579;-1.0;109.0
105.78448;104.5;-1.0;107.0;109.0
105.76996;104.5;101.0815;107.0;-1.0
-1.0;104.5;101.98245;107.0;109.0
105.90936;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.989044;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.09254;-1.0;101.0;107.0;109.0
105.92734;104.5;101.1349;107.0;109.0
105.862045;104.5;101.15879;107.0;109.0
105.92211;104.5;101.16166;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.975266;104.5;101.0;107.0;109.0
105.84897;104.5;101.23122;107.0;109.0
105.84874;104.5;101.23525;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.96999;104.5;101.13233;107.0;109.0
105.937744;104.5;101.11402;107.0;109.0
105.8339;104.5;101.30706;107.0;109.0
105.855156;104.5;101.35686;107.0;109.0
105.93306;104.5;101.10721;107.0;109.0
