1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
89.29976;42.926346;28.174747;29.64738;24.894613
80.22166;36.98426;24.94531;23.663536;25.240961
91.51551;0.0;27.351664;28.684387;28.283981
66.706154;30.160849;19.505405;20.371977;20.874508
66.983765;28.687412;22.294447;22.46114;20.796768
65.81479;29.610483;23.451796;21.836346;24.125336
86.479935;32.849712;25.551682;23.586033;23.56902
98.01159;38.10509;28.044312;28.399546;28.63
123.262344;0.0;39.624916;37.75376;37.664394
102.15141;44.332417;29.527508;30.911432;29.858374
114.14197;45.571857;33.52786;33.58842;32.633987
137.57928;0.0;41.40541;39.7584;40.921215
117.81305;48.010952;34.97426;35.358227;35.27164
101.70998;48.57377;35.068375;35.303425;32.972862
124.764084;50.534542;37.36431;0.0;38.990295
92.610596;43.373528;30.438913;29.750378;30.22266
113.66952;0.0;34.54133;33.03135;38.39919
102.101105;44.905937;36.24919;35.45635;30.628765
115.145775;49.706074;35.692623;0.0;39.229794
109.820435;46.386543;32.176323;37.049557;33.50219
102.6851;42.012566;31.462997;30.65329;29.966635
91.185555;42.962715;30.144363;28.290018;28.110165
98.37663;40.126392;30.89885;30.84248;30.382427
110.334885;45.926884;31.78757;0.0;34.472286
0.0;81.801636;63.080322;0.0;61.520935
86.066795;35.785007;28.69567;26.858105;26.717052
97.72664;0.0;28.550756;25.88136;28.25358
74.34652;34.424965;23.09768;23.25459;23.03735
84.10154;32.196312;27.135433;26.367014;0.0
94.6117;40.02549;28.74357;0.0;26.093521
95.5804;37.766003;26.239578;27.307337;25.098244
137.07684;63.481915;0.0;0.0;44.38986
129.69467;58.377373;36.188755;39.224785;0.0
114.5095;50.961998;35.667976;34.447643;36.19059
117.09596;49.36305;38.04534;37.106438;39.34411
123.88772;49.926662;33.36571;37.256023;35.913887
126.33335;48.205177;40.013298;32.96743;36.818554
140.30057;57.184486;42.595806;0.0;40.832127
138.88208;53.631752;0.0;39.836533;41.5546
107.552345;43.424873;32.56669;30.307705;33.64142
106.02466;46.019215;30.427725;33.224438;33.05011
96.764626;46.886658;34.059772;35.057613;34.878742
117.67771;48.085514;38.258537;35.22098;35.09687
0.0;80.224174;57.51838;63.45226;63.92148
106.72247;48.717613;34.192196;32.5606;33.98985
120.46362;48.525436;38.67439;36.073734;0.0
140.99013;56.513317;41.745136;0.0;0.0
124.41776;0.0;34.280605;35.68673;37.73947
119.578896;0.0;36.15043;37.12124;37.794235
90.307976;35.41161;29.043146;31.334614;28.744404
0.0;55.129314;41.25476;43.73991;42.975613
69.961205;30.29664;22.398762;24.008347;21.471685
75.52571;32.272903;22.238613;22.684177;23.140703
80.55757;33.95821;24.755558;24.962948;24.41574
110.21565;43.402657;31.60326;0.0;29.722324
120.610695;0.0;34.28187;37.23246;38.338608
109.20967;47.680252;33.299305;31.916574;35.669155
115.59739;48.53303;36.549835;32.2156;35.811718
121.02159;54.956535;37.10685;36.265247;38.421947
116.14738;52.045124;36.57235;40.070194;37.389423
112.19566;45.389572;37.168404;37.676765;33.967934
156.75589;0.0;48.011093;43.12626;48.983246
0.0;78.39043;60.963524;58.544067;59.43108
111.86388;45.77697;31.37688;32.84792;33.71853
101.50186;43.64673;31.96078;31.510427;34.07028
109.19017;43.81233;31.390818;32.770485;33.24482
0.0;107.79354;0.0;77.36528;76.36519
119.75954;46.725395;37.816616;39.46733;41.02909
106.71279;43.209854;34.437584;30.86803;33.69759
120.80493;50.813763;33.77846;0.0;37.160027
111.58766;42.61761;32.510563;32.891193;32.06867
107.58275;45.247536;33.903763;35.811844;31.038376
92.7069;40.94715;27.667969;28.443295;29.213953
113.37974;0.0;33.256584;27.666534;30.23235
77.500946;37.22406;25.9378;24.049011;25.036009
90.37215;36.108795;26.033127;28.063004;0.0
72.65312;27.275122;21.934668;21.327017;23.710787
76.347824;35.066235;23.786085;23.97594;23.180851
90.90595;39.09072;25.83343;27.309677;26.676107
