1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
75.004074;32.485813;24.098568;22.872684;24.01138
83.8489;34.51239;25.430964;25.276035;26.93226
98.28253;38.756645;27.484442;32.218388;31.941956
123.94218;53.27177;0.0;0.0;36.114635
88.23141;37.87011;26.854591;25.526897;25.885439
98.628746;41.328907;26.824936;31.43083;0.0
83.67447;36.317654;19.116867;19.890287;27.187899
74.98259;28.352835;25.444609;21.062181;18.303549
88.77294;33.451447;25.845207;23.41845;0.0
89.97001;42.63366;20.30702;30.346798;0.0
90.688065;36.04321;23.708447;26.606653;19.707045
101.180466;0.0;36.139366;36.62989;32.728218
79.20827;31.606604;27.24112;23.95803;23.811785
73.93222;32.498295;23.939034;25.704079;16.780994
88.7893;40.850513;0.0;25.992556;27.28898
83.48101;32.60046;20.839752;33.814518;24.438519
64.65878;27.31858;15.48602;19.717428;20.900148
64.405846;31.223091;21.692106;0.0;22.410292
65.47389;24.893759;13.157766;20.637938;20.141832
0.0;74.778305;49.368763;0.0;0.0
57.757626;25.311016;18.97162;16.977959;13.845679
59.47235;22.471869;18.105204;18.030722;19.857237
88.31515;0.0;24.004375;23.810688;21.331417
74.207886;34.382072;18.25118;18.69976;22.41116
76.2049;34.031956;20.422266;26.942888;25.17776
121.880035;0.0;41.57058;38.49546;0.0
85.47992;41.65862;28.28671;31.00779;29.418795
81.16147;35.513306;29.794706;30.695225;23.81839
104.956535;45.876495;33.629646;31.416393;0.0
88.300934;30.309828;28.717346;24.114828;26.518919
83.68585;32.96565;23.365944;20.727512;25.298334
79.912674;34.600624;25.25672;21.411156;22.302876
0.0;49.82065;40.55358;40.357044;36.793285
98.12813;0.0;24.526115;28.495272;26.833967
0.0;62.331905;44.074825;43.49345;46.053226
93.47341;40.344437;27.695967;26.349548;26.630207
85.91707;30.640007;25.355852;22.216116;25.767721
80.239265;26.423777;21.059765;25.703615;20.354185
82.676476;32.005352;18.673277;21.901178;27.427097
92.659004;35.529427;0.0;26.826904;26.87391
68.06157;32.93943;17.045313;22.499033;24.58407
60.9376;25.539316;20.729097;18.10221;18.640268
55.991474;21.725815;15.210158;20.703028;17.584295
0.0;46.4949;34.753716;0.0;33.024784
62.002968;27.91104;0.0;16.534782;17.925722
0.0;40.019836;30.181332;31.102293;24.290922
66.755424;24.855185;20.606503;20.540825;18.957617
0.0;51.97117;37.389877;46.189064;36.574703
66.46049;30.987839;24.285128;23.579136;22.625956
82.52449;33.09007;25.540442;26.918526;24.329496
83.98442;35.202522;25.94476;24.15001;20.616276
95.55085;41.0494;27.111826;28.402525;27.851751
78.3116;37.42518;24.95085;32.04971;27.828718
89.71452;29.980143;25.420279;20.678995;23.603271
81.55765;31.538944;23.739815;21.946787;23.67162
80.82076;32.69789;31.26742;0.0;20.732452
66.6087;24.619719;19.977707;20.074888;22.157877
77.553474;28.792753;21.88566;23.929855;26.91389
80.12485;32.347637;21.260237;23.167059;20.651543
90.93267;42.859486;30.072914;0.0;25.896004
91.72848;33.17726;22.224674;34.16361;0.0
75.46068;38.495552;21.699928;21.102108;0.0
67.46084;32.178074;18.14801;27.700449;25.278252
80.89703;27.56103;21.641474;20.564789;22.428547
54.249245;24.078608;11.696677;19.543415;14.006938
49.895103;18.484417;16.826694;17.257374;13.42115
51.697445;0.0;13.863887;19.695759;22.953735
42.10855;20.557663;14.324728;12.5384865;14.39881
