1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.85529;104.5;101.4378;107.0;109.0
105.95404;104.5;101.024994;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
105.99335;104.5;101.0;107.0;109.0
105.99255;104.5;101.0;107.0;-1.0
105.90172;104.5;101.0;107.0;109.0
105.87652;104.5;101.39737;107.0;109.0
105.91619;104.5;101.0;107.0;-1.0
105.9613;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
105.066635;-1.0;101.0;107.0;109.0
105.90724;104.5;101.45849;107.0;109.0
105.85063;104.5;101.2967;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.939354;104.5;101.0;107.0;109.0
105.76895;104.5;101.48931;107.0;109.0
105.74056;104.5;101.45016;-1.0;109.0
105.79099;104.5;101.37012;107.0;109.0
-1.0;104.5;101.908165;-1.0;-1.0
105.6618;104.5;101.70591;107.0;109.0
105.70459;104.5;101.65431;107.0;109.0
104.778244;-1.0;101.0;107.0;109.0
105.88087;104.5;101.1346;107.0;109.0
105.86908;104.5;101.37052;107.0;109.0
104.511566;-1.0;101.0;107.0;-1.0
105.956154;104.5;101.07738;107.0;109.0
105.93115;104.5;101.128555;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
105.8922;104.5;101.28791;107.0;109.0
105.894455;104.5;101.21527;107.0;109.0
-1.0;104.5;101.92204;107.0;109.0
104.94344;-1.0;101.0;107.0;109.0
-1.0;104.5;101.67185;107.0;109.0
105.99723;104.5;101.0;107.0;109.0
105.94384;104.5;101.155235;107.0;109.0
105.87327;104.5;101.296295;107.0;109.0
105.926575;104.5;101.09775;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.79934;104.5;101.30763;107.0;109.0
105.74021;104.5;101.550476;107.0;109.0
105.65927;104.5;101.748436;107.0;109.0
-1.0;104.5;102.31871;-1.0;109.0
105.7167;104.5;-1.0;107.0;109.0
-1.0;104.5;102.056595;107.0;109.0
105.79619;104.5;101.48906;107.0;109.0
-1.0;104.5;101.8793;107.0;109.0
105.79015;104.5;101.341415;107.0;109.0
105.88553;104.5;101.12987;107.0;109.0
105.922646;104.5;101.27533;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.91893;104.5;101.04995;107.0;109.0
105.99857;104.5;101.03268;107.0;109.0
105.88312;104.5;101.12034;107.0;109.0
105.84378;104.5;101.36381;-1.0;109.0
105.81528;104.5;101.385574;107.0;109.0
105.87385;104.5;101.37927;107.0;109.0
105.916595;104.5;101.20853;107.0;109.0
105.913765;104.5;101.0;-1.0;109.0
105.95173;104.5;101.0;107.0;-1.0
105.76646;104.5;101.16504;107.0;-1.0
105.80721;104.5;101.3177;107.0;109.0
105.90974;104.5;101.21825;107.0;109.0
105.6505;104.5;101.71475;107.0;109.0
105.63278;104.5;101.89061;107.0;109.0
104.3722;-1.0;101.0;107.0;109.0
105.51889;104.5;101.944954;107.0;109.0
105.58025;104.5;101.83531;107.0;109.0
-1.0;104.5;102.350586;107.0;109.0
105.64723;104.5;101.86114;107.0;109.0
105.688255;104.5;101.59901;107.0;109.0
105.82523;104.5;101.40599;107.0;109.0
105.79988;104.5;101.25375;107.0;109.0
-1.0;104.5;101.98224;107.0;109.0
105.78525;104.5;101.31582;107.0;109.0
105.7881;104.5;101.33973;107.0;109.0
104.66033;-1.0;101.0;107.0;109.0
105.72892;104.5;101.58657;107.0;109.0
103.78328;-1.0;-1.0;107.0;109.0
-1.0;104.5;101.93829;107.0;109.0
105.76592;104.5;101.40984;107.0;109.0
105.81889;104.5;101.0;107.0;-1.0
105.820496;104.5;101.36442;107.0;109.0
-1.0;104.5;102.05;107.0;-1.0
105.652565;104.5;101.689964;107.0;109.0
105.68303;104.5;101.82145;-1.0;109.0
-1.0;104.5;102.09221;107.0;109.0
105.560104;104.5;101.57915;107.0;-1.0
105.561516;104.5;101.9438;107.0;109.0
104.360146;-1.0;101.0;107.0;109.0
104.1507;-1.0;101.0;107.0;109.0
105.48545;104.5;102.028625;107.0;109.0
105.56187;104.5;101.89022;-1.0;109.0
105.51696;104.5;101.93973;107.0;109.0
105.57556;104.5;101.840385;107.0;109.0
105.67792;104.5;101.65645;107.0;109.0
105.71917;104.5;101.30846;107.0;-1.0
-1.0;104.5;-1.0;107.0;109.0
104.65035;-1.0;101.0;107.0;109.0
104.69476;-1.0;101.0;107.0;109.0
105.7365;104.5;101.6554;107.0;109.0
105.65623;104.5;101.68785;107.0;109.0
105.652405;104.5;101.64947;107.0;109.0
104.35326;-1.0;101.0;107.0;109.0
105.711365;104.5;101.25309;107.0;-1.0
105.67896;104.5;101.688385;107.0;109.0
105.75906;104.5;101.539536;107.0;109.0
105.659454;104.5;101.668884;107.0;109.0
105.66896;104.5;101.78375;107.0;109.0
105.68127;104.5;101.65744;-1.0;109.0
105.59984;104.5;101.843315;107.0;109.0
104.65092;-1.0;101.0;107.0;109.0
105.6947;104.5;101.64105;107.0;109.0
105.63787;104.5;101.83435;107.0;109.0
105.66407;104.5;-1.0;107.0;109.0
105.60221;104.5;101.76628;107.0;109.0
105.74126;104.5;-1.0;107.0;109.0
105.69943;104.5;101.62768;107.0;109.0
104.38037;-1.0;101.0;-1.0;109.0
105.87216;104.5;101.31534;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.05016;-1.0;101.0;107.0;109.0
105.936325;104.5;101.0;-1.0;109.0
105.92028;104.5;101.35433;107.0;109.0
105.981;104.5;101.0;107.0;109.0
105.84484;104.5;101.31538;107.0;109.0
105.79298;104.5;101.46278;107.0;109.0
-1.0;104.5;101.759796;107.0;109.0
105.85096;104.5;101.0;107.0;-1.0
106.0;104.5;-1.0;107.0;109.0
105.976906;104.5;101.0;107.0;109.0
-1.0;104.5;101.823845;107.0;109.0
105.826546;104.5;101.491394;107.0;109.0
105.82355;104.5;101.23516;107.0;109.0
105.96987;104.5;-1.0;107.0;109.0
103.551;-1.0;-1.0;107.0;109.0
105.77208;104.5;101.35372;107.0;109.0
105.80707;104.5;-1.0;107.0;109.0
105.69875;104.5;101.6799;107.0;109.0
105.639465;104.5;101.72148;107.0;109.0
105.70297;104.5;101.62789;107.0;109.0
105.80849;104.5;101.34345;107.0;109.0
105.93903;104.5;101.059;107.0;109.0
105.917366;104.5;101.32281;107.0;109.0
105.961655;104.5;101.0;107.0;109.0
-1.0;104.5;101.82159;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.95031;104.5;101.0;107.0;109.0
105.995544;104.5;101.241165;107.0;109.0
103.32071;-1.0;-1.0;107.0;109.0
105.90681;104.5;101.23179;107.0;109.0
105.803856;104.5;101.496605;107.0;109.0
104.336685;-1.0;101.0;-1.0;109.0
106.0;104.5;-1.0;107.0;-1.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.85949;104.5;101.09439;107.0;109.0
104.86493;-1.0;101.0;107.0;109.0
105.88381;104.5;101.302086;107.0;109.0
105.83247;104.5;101.28763;107.0;109.0
105.73901;104.5;101.50334;107.0;109.0
105.732666;104.5;101.54333;107.0;109.0
105.632164;104.5;101.72902;107.0;109.0
-1.0;104.5;102.37277;-1.0;109.0
105.684235;104.5;101.631584;107.0;109.0
105.72879;104.5;101.61459;107.0;109.0
-1.0;104.5;101.88037;107.0;109.0
105.13361;-1.0;101.0;107.0;109.0
105.96895;104.5;101.0;107.0;109.0
105.995605;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.99173;104.5;101.11538;107.0;109.0
105.96068;104.5;101.0;-1.0;109.0
105.07543;-1.0;101.0;107.0;109.0
105.85889;104.5;101.282394;107.0;109.0
105.858345;104.5;101.088745;107.0;109.0
104.33553;-1.0;101.0;-1.0;109.0
105.21611;-1.0;101.0;107.0;109.0
105.98131;104.5;101.16585;-1.0;109.0
104.91336;-1.0;101.0;107.0;109.0
104.9324;-1.0;101.0;107.0;109.0
105.78727;104.5;101.0;-1.0;-1.0
105.90706;104.5;101.0;107.0;-1.0
105.81674;104.5;101.42381;107.0;109.0
105.997375;104.5;-1.0;-1.0;109.0
105.799385;104.5;-1.0;107.0;109.0
105.71594;104.5;101.55412;107.0;109.0
104.99513;-1.0;100.976425;109.709435;-1.0
105.79583;104.5;-1.0;107.0;109.0
105.79859;104.5;101.16923;107.0;-1.0
103.47791;-1.0;-1.0;107.0;109.0
105.94707;104.5;101.070465;-1.0;109.0
106.0;104.5;-1.0;107.0;109.0
-1.0;104.5;101.91563;107.0;-1.0
105.9915;104.5;101.0;-1.0;109.0
105.05744;-1.0;101.0;107.0;109.0
105.98818;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.93529;104.5;101.128265;107.0;109.0
105.8935;104.5;101.07409;-1.0;109.0
105.90281;104.5;101.04416;107.0;109.0
105.947395;104.5;101.0;107.0;109.0
105.94886;104.5;101.059456;107.0;109.0
105.944214;104.5;101.05386;107.0;109.0
105.8287;104.5;101.27773;107.0;109.0
105.92258;104.5;101.241875;107.0;109.0
105.85947;104.5;101.21246;107.0;109.0
105.8861;104.5;-1.0;107.0;109.0
105.741585;104.5;101.33052;107.0;109.0
105.71333;104.5;101.13017;107.0;-1.0
105.65528;104.5;101.44869;107.0;-1.0
105.588524;104.5;101.8189;107.0;109.0
105.70058;104.5;101.63916;107.0;109.0
105.737434;104.5;101.54376;107.0;109.0
105.90501;104.5;101.024574;107.0;109.0
105.90981;104.5;101.236046;107.0;109.0
105.92095;104.5;101.09578;107.0;109.0
105.93504;104.5;101.25784;107.0;109.0
105.95971;104.5;101.0;107.0;-1.0
105.97108;104.5;101.0096;107.0;109.0
105.936745;104.5;101.00919;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.88552;104.5;101.186714;-1.0;109.0
105.82053;104.5;101.37068;107.0;109.0
105.949234;104.5;101.0;-1.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.94994;104.5;101.062004;107.0;109.0
-1.0;104.5;102.15245;-1.0;109.0
105.84003;104.5;101.18846;107.0;109.0
105.89458;104.5;101.0;107.0;-1.0
105.84631;104.5;101.44219;107.0;109.0
104.75927;-1.0;101.0;107.0;109.0
104.67228;-1.0;101.0;107.0;109.0
104.0522;-1.0;101.0;-1.0;109.0
104.473946;-1.0;101.0;107.0;109.0
104.34548;-1.0;101.0;107.0;109.0
104.51191;-1.0;101.0;107.0;109.0
104.620255;-1.0;101.0;107.0;109.0
104.8788;-1.0;101.0;107.0;109.0
103.7177;-1.0;-1.0;107.0;109.0
104.48525;-1.0;101.0;-1.0;109.0
105.05555;-1.0;101.0;107.0;109.0
104.62064;-1.0;101.0;107.0;-1.0
104.98085;-1.0;101.0;107.0;109.0
105.01569;-1.0;101.0;107.0;109.0
104.93969;-1.0;101.0;107.0;109.0
104.807846;-1.0;101.0;107.0;109.0
104.626976;-1.0;101.0;107.0;109.0
104.8995;-1.0;101.0;107.0;109.0
105.02924;-1.0;101.0;107.0;109.0
105.01396;-1.0;101.0;107.0;109.0
104.69979;-1.0;101.0;107.0;109.0
104.84419;-1.0;101.0;107.0;109.0
104.85381;-1.0;101.0;107.0;109.0
103.82984;-1.0;-1.0;107.0;109.0
105.678215;104.5;-1.0;107.0;109.0
105.63299;104.5;-1.0;-1.0;109.0
105.54638;104.5;102.01834;-1.0;109.0
105.51395;104.5;101.95727;107.0;109.0
105.45256;104.5;102.10218;107.0;109.0
105.46742;104.5;102.075455;107.0;109.0
105.55129;104.5;101.95592;107.0;109.0
105.624275;104.5;101.82432;107.0;109.0
105.727234;104.5;101.19698;107.0;-1.0
105.76908;104.5;101.38981;107.0;109.0
104.68603;-1.0;101.0;107.0;109.0
105.73204;104.5;101.59257;107.0;109.0
-1.0;104.5;102.12726;-1.0;109.0
-1.0;104.5;102.098366;107.0;109.0
105.716415;104.5;101.56642;107.0;109.0
105.63775;104.5;101.62544;107.0;109.0
105.61897;104.5;101.72677;107.0;109.0
105.742004;104.5;101.51243;-1.0;109.0
104.725075;-1.0;101.0;107.0;109.0
105.762245;104.5;-1.0;107.0;109.0
105.67078;104.5;101.73896;107.0;109.0
104.55552;-1.0;101.0;107.0;109.0
105.64924;104.5;101.642166;107.0;109.0
105.6996;104.5;101.54024;107.0;109.0
105.77122;104.5;101.569244;107.0;109.0
105.652824;104.5;101.42897;107.0;-1.0
105.663925;104.5;101.63016;107.0;109.0
105.66734;104.5;101.622696;-1.0;109.0
105.64051;104.5;101.843834;107.0;109.0
105.6326;104.5;101.77551;107.0;109.0
104.591705;-1.0;101.0;107.0;109.0
-1.0;104.5;101.93744;107.0;109.0
105.920265;104.5;101.02341;107.0;109.0
105.917046;104.5;101.03559;107.0;-1.0
105.96732;104.5;101.0;107.0;109.0
105.94583;104.5;101.10503;107.0;109.0
105.88113;104.5;101.235214;107.0;109.0
105.91295;104.5;101.122635;107.0;109.0
105.86618;104.5;101.290184;107.0;109.0
104.819336;-1.0;101.0;107.0;109.0
105.74802;104.5;101.52244;107.0;109.0
105.81875;104.5;101.38958;107.0;109.0
105.90322;104.5;101.15289;107.0;109.0
105.87874;104.5;101.101425;107.0;109.0
105.78445;104.5;101.53391;107.0;109.0
105.82566;104.5;101.0;107.0;-1.0
104.15477;-1.0;101.0;-1.0;109.0
105.82853;104.5;101.49828;107.0;109.0
105.77096;104.5;101.43482;107.0;109.0
105.8405;104.5;-1.0;107.0;109.0
105.724236;104.5;101.53598;107.0;109.0
105.65105;104.5;101.72541;107.0;109.0
105.63563;104.5;101.62752;107.0;109.0
105.6714;104.5;101.634766;107.0;109.0
-1.0;104.5;101.92391;107.0;-1.0
106.0;104.5;-1.0;107.0;109.0
105.982635;104.5;101.0;107.0;109.0
105.89249;104.5;101.05498;-1.0;109.0
105.952774;104.5;101.0;107.0;109.0
105.985085;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.97285;104.5;101.057274;107.0;109.0
-1.0;104.5;102.05229;107.0;109.0
-1.0;104.5;101.99456;107.0;109.0
105.97701;104.5;-1.0;107.0;109.0
105.90081;104.5;101.227684;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.15088;-1.0;101.0;107.0;109.0
104.99418;-1.0;101.0;107.0;109.0
105.837166;104.5;101.191154;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.922424;104.5;101.09687;107.0;109.0
105.781044;104.5;101.561264;107.0;109.0
105.72505;104.5;101.63502;107.0;109.0
105.68603;104.5;101.483376;107.0;-1.0
105.63757;104.5;101.780106;107.0;109.0
105.62927;104.5;101.85261;107.0;109.0
105.688705;104.5;101.59876;-1.0;109.0
105.77737;104.5;101.38912;107.0;109.0
105.80094;104.5;101.39657;107.0;109.0
105.95141;104.5;101.06848;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.965065;104.5;101.0;-1.0;109.0
106.0;104.5;101.01216;107.0;109.0
105.92508;104.5;101.0;107.0;109.0
105.91005;104.5;101.04515;107.0;109.0
105.853355;104.5;101.31794;107.0;109.0
105.88798;104.5;101.0;107.0;-1.0
105.89383;104.5;101.01506;107.0;109.0
105.91103;104.5;101.0;107.0;109.0
105.87103;104.5;101.0516;107.0;109.0
105.96383;104.5;101.0;107.0;109.0
105.83408;104.5;101.30082;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.94306;104.5;101.0;107.0;109.0
105.88479;104.5;101.136955;-1.0;109.0
105.73978;104.5;101.54693;107.0;109.0
105.74609;104.5;101.50963;107.0;109.0
105.653336;104.5;101.664116;107.0;109.0
105.61767;104.5;101.70716;107.0;109.0
105.67134;104.5;101.67356;-1.0;109.0
105.792404;104.5;101.42381;107.0;109.0
105.86661;104.5;101.278404;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.94044;104.5;101.048294;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.963165;104.5;101.126335;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.958534;104.5;101.0;-1.0;109.0
105.95086;104.5;101.0;107.0;-1.0
105.82438;104.5;101.33868;107.0;109.0
105.86855;104.5;101.4005;107.0;109.0
-1.0;104.5;101.784966;107.0;109.0
105.93489;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.881386;104.5;101.09259;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
105.87233;104.5;101.20082;-1.0;109.0
104.853676;-1.0;101.0;107.0;109.0
105.69747;104.5;101.56339;107.0;109.0
105.68204;104.5;101.65239;107.0;109.0
105.70692;104.5;101.571465;107.0;109.0
105.623795;104.5;101.618805;107.0;109.0
105.60076;104.5;101.15214;-1.0;-1.0
105.732124;104.5;101.33938;-1.0;109.0
105.856255;104.5;101.25651;107.0;109.0
104.30784;-1.0;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.94971;104.5;101.00787;-1.0;109.0
105.9618;104.5;101.0;107.0;109.0
105.93807;104.5;101.10219;107.0;109.0
105.89166;104.5;101.232704;107.0;109.0
105.92481;104.5;101.17089;107.0;109.0
104.739044;-1.0;101.0;107.0;109.0
105.852394;104.5;101.24071;107.0;109.0
105.92187;104.5;101.115456;107.0;109.0
105.91172;104.5;101.292404;107.0;109.0
106.0;104.5;-1.0;107.0;-1.0
105.82077;104.5;101.25462;107.0;109.0
105.83643;104.5;101.324615;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
104.46769;-1.0;100.53024;109.2216;-1.0
-1.0;104.5;102.35674;107.0;109.0
105.595;104.5;101.89895;107.0;109.0
105.49882;104.5;101.939644;107.0;109.0
-1.0;104.5;102.32615;107.0;109.0
105.55965;104.5;101.85414;107.0;109.0
105.62344;104.5;101.74226;107.0;109.0
105.68943;104.5;101.64109;107.0;109.0
104.68174;-1.0;101.0;107.0;109.0
105.76444;104.5;101.49474;107.0;109.0
105.810776;104.5;101.44307;107.0;109.0
-1.0;104.5;101.84936;107.0;109.0
115.18063;-1.0;-1.0;-1.0;121.47883
105.7428;104.5;101.09236;107.0;-1.0
105.738686;104.5;101.63826;107.0;109.0
105.66747;104.5;101.73641;107.0;109.0
-1.0;104.5;102.00934;107.0;109.0
104.65114;-1.0;101.0;107.0;109.0
103.49918;-1.0;-1.0;107.0;109.0
104.87485;-1.0;101.0;107.0;109.0
105.80735;104.5;101.27177;107.0;109.0
105.72349;104.5;101.545494;107.0;109.0
105.71501;104.5;101.59205;107.0;109.0
105.71799;104.5;101.63328;107.0;109.0
105.633965;104.5;101.478325;107.0;-1.0
104.256714;-1.0;101.0;107.0;109.0
105.48938;104.5;101.98537;107.0;109.0
104.2446;-1.0;101.0;107.0;109.0
105.413536;104.5;101.893196;107.0;-1.0
105.493256;104.5;102.05925;107.0;109.0
105.59805;104.5;101.863525;107.0;109.0
105.73611;104.5;-1.0;107.0;109.0
105.69114;104.5;101.47655;107.0;109.0
105.71904;104.5;101.269844;107.0;-1.0
-1.0;104.5;102.14531;107.0;109.0
105.79855;104.5;101.463806;107.0;109.0
105.76583;104.5;101.505936;107.0;109.0
105.76379;104.5;101.50565;107.0;109.0
104.71591;-1.0;101.0;107.0;109.0
104.58809;-1.0;101.0;107.0;109.0
104.32723;-1.0;101.0;107.0;109.0
105.68381;104.5;101.50323;107.0;109.0
105.72824;104.5;101.59946;107.0;109.0
-1.0;104.5;102.00966;107.0;109.0
105.626686;104.5;101.83435;107.0;109.0
105.67351;104.5;101.624054;107.0;109.0
102.23619;-1.0;101.0;-1.0;-1.0
105.77501;104.5;-1.0;107.0;109.0
105.7761;104.5;101.4929;107.0;109.0
105.719574;104.5;101.680435;-1.0;109.0
105.69015;104.5;101.56563;-1.0;109.0
105.60696;104.5;101.87989;107.0;109.0
-1.0;104.5;102.42353;-1.0;109.0
105.61379;104.5;101.691986;107.0;109.0
105.69231;104.5;101.7859;107.0;109.0
105.81176;104.5;101.48279;107.0;109.0
105.84668;104.5;101.0;107.0;-1.0
105.96999;104.5;101.0;107.0;109.0
105.897644;104.5;101.1721;107.0;109.0
105.909134;104.5;101.0;107.0;-1.0
105.966965;104.5;101.10719;107.0;109.0
103.07643;-1.0;-1.0;107.0;109.0
105.905426;104.5;101.03872;107.0;109.0
105.80494;104.5;101.380104;107.0;109.0
105.82683;104.5;101.0;107.0;-1.0
105.81933;104.5;101.38961;107.0;109.0
105.875786;104.5;101.042076;107.0;109.0
104.88039;-1.0;101.0;107.0;109.0
105.83481;104.5;101.373474;-1.0;109.0
105.7481;104.5;101.46956;107.0;109.0
105.86791;104.5;101.04522;-1.0;109.0
105.8527;104.5;101.154076;107.0;109.0
105.87362;104.5;101.2769;107.0;109.0
105.62024;104.5;101.13099;-1.0;-1.0
105.71956;104.5;101.717186;107.0;109.0
105.66071;104.5;101.605835;107.0;109.0
105.667564;104.5;101.59343;-1.0;109.0
105.699356;104.5;101.6617;107.0;109.0
105.779655;104.5;101.434395;107.0;109.0
105.86105;104.5;101.26126;107.0;109.0
105.960754;104.5;101.0;107.0;109.0
105.971504;104.5;101.0;107.0;109.0
104.9558;-1.0;101.0;107.0;109.0
105.151085;-1.0;101.0;107.0;109.0
105.948555;104.5;101.25026;107.0;109.0
-1.0;104.5;101.84578;107.0;109.0
105.88409;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.83281;104.5;101.44177;107.0;109.0
105.903824;104.5;101.01766;107.0;109.0
105.95018;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.897675;104.5;101.34403;107.0;109.0
105.92664;104.5;101.08046;107.0;109.0
105.89539;104.5;101.03553;107.0;109.0
105.90366;104.5;101.262825;107.0;109.0
105.79249;104.5;101.48866;107.0;109.0
105.707184;104.5;101.58433;107.0;109.0
105.68342;104.5;101.64626;107.0;109.0
105.627045;104.5;101.70848;107.0;109.0
105.65251;104.5;101.7597;107.0;109.0
103.69557;-1.0;-1.0;107.0;109.0
105.78729;104.5;101.398964;107.0;109.0
-1.0;104.5;101.79706;107.0;109.0
105.842155;104.5;101.22476;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
-1.0;104.5;101.85367;107.0;109.0
105.98271;104.5;101.03362;107.0;109.0
105.20798;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.98087;104.5;101.0;107.0;109.0
104.96132;-1.0;101.0;107.0;109.0
105.9033;104.5;101.23736;-1.0;109.0
105.88322;104.5;101.35334;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.962395;104.5;101.0;107.0;-1.0
105.88029;104.5;101.191086;107.0;109.0
105.90173;104.5;101.19393;107.0;109.0
105.846085;104.5;101.13491;-1.0;109.0
105.91019;104.5;101.05855;107.0;109.0
105.82818;104.5;101.42055;107.0;109.0
-1.0;104.5;102.18197;107.0;109.0
105.70623;104.5;101.713844;107.0;109.0
105.74639;104.5;-1.0;107.0;109.0
-1.0;104.5;102.067276;107.0;109.0
105.72199;104.5;101.56489;107.0;109.0
105.77008;104.5;101.38534;107.0;109.0
105.84663;104.5;101.288536;-1.0;109.0
105.93295;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.98422;104.5;101.05104;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.94071;104.5;101.12252;107.0;109.0
105.875725;104.5;101.36934;-1.0;109.0
105.81036;104.5;101.27447;107.0;109.0
105.88827;104.5;101.09754;107.0;109.0
-1.0;104.5;101.74492;107.0;-1.0
105.11411;-1.0;101.0;107.0;109.0
105.8723;104.5;101.22679;107.0;109.0
105.91105;104.5;101.11566;107.0;109.0
105.84532;104.5;101.225235;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.94121;104.5;-1.0;107.0;109.0
-1.0;104.5;102.138176;107.0;109.0
105.7095;104.5;101.67212;-1.0;109.0
105.62788;104.5;101.82257;-1.0;109.0
105.604774;104.5;101.56147;107.0;-1.0
105.71723;104.5;101.578384;107.0;109.0
105.73944;104.5;101.50345;107.0;109.0
-1.0;104.5;101.98207;107.0;109.0
105.904434;104.5;101.25733;107.0;109.0
105.9181;104.5;101.06132;107.0;109.0
105.94616;104.5;101.02666;-1.0;109.0
105.873314;104.5;101.25154;-1.0;109.0
105.973145;104.5;101.03457;107.0;109.0
-1.0;104.5;101.785934;107.0;109.0
105.90825;104.5;101.00844;107.0;109.0
105.928734;104.5;-1.0;107.0;109.0
-1.0;104.5;101.75884;107.0;109.0
103.33269;-1.0;-1.0;107.0;109.0
105.89789;104.5;101.38834;107.0;109.0
105.97474;104.5;101.0;107.0;109.0
105.83566;104.5;101.25346;107.0;109.0
105.79341;104.5;101.35024;107.0;109.0
