1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
71.92681;31.42545;18.314272;22.975307;21.22619
98.92887;36.237885;0.0;0.0;31.811665
80.72535;31.690308;26.43294;26.69845;21.381804
87.56035;37.384132;31.286955;0.0;25.837389
77.106735;33.82993;28.651867;0.0;24.33743
75.07573;30.982792;0.0;25.384733;25.473215
76.52575;29.257397;16.006819;17.532095;24.457539
69.77593;27.506104;20.307863;20.53211;18.57649
51.41207;19.727564;16.58504;14.862166;15.8240185
48.3824;23.318546;19.846664;20.629269;14.602527
42.249245;21.589134;14.933837;13.765062;13.414029
36.61891;18.08476;10.474476;13.868714;13.573108
42.972088;17.193613;10.801117;12.261342;9.953796
46.125572;23.506798;14.877334;12.578169;15.034338
0.0;34.724922;23.297766;22.791672;28.584637
56.5404;22.314014;15.611975;17.812166;19.312326
62.537205;29.182453;20.358513;0.0;15.376939
61.27181;29.737694;23.451632;17.49342;19.83337
86.19308;30.504593;22.170662;24.790543;0.0
68.05264;32.367058;0.0;19.586578;25.051687
0.0;60.11962;48.485657;0.0;42.95524
76.374115;29.671383;26.903421;0.0;20.58401
69.968445;32.16242;0.0;18.004568;23.430449
54.054146;24.081337;17.158888;16.798292;18.17334
49.49317;26.15857;20.847977;17.865055;18.108858
53.70958;22.536308;15.41793;17.409153;20.967688
61.74892;27.938433;22.799875;22.737999;18.922836
62.312794;27.225666;15.687463;15.76643;22.613258
68.01574;32.300293;22.091286;0.0;22.947174
49.06312;26.897491;15.528166;15.997104;13.379865
67.34898;28.068483;0.0;22.936903;20.178709
53.698307;21.19484;18.193588;16.267288;12.546358
45.191914;19.474407;16.646622;10.357504;11.295422
39.256676;20.037674;10.535355;11.415303;15.767686
37.064426;15.563756;10.372008;15.607409;9.184227
38.275078;23.305649;12.677021;8.675141;12.321288
34.951042;14.43405;7.284648;8.827034;14.180377
48.38935;0.0;14.226186;15.83852;16.270782
0.0;28.677227;24.495235;23.207636;22.376072
0.0;32.940903;22.97224;28.014704;26.726072
57.88352;22.342157;19.005178;17.285501;19.863464
56.48536;29.494995;20.527323;16.207657;21.359823
0.0;41.342525;35.133648;32.01614;31.919708
61.150883;25.22463;22.641632;17.558905;18.882393
60.860447;25.562248;16.712004;17.084597;17.501657
50.971485;19.319836;17.081614;15.424888;13.911216
0.0;36.91255;28.03963;27.820883;29.500425
48.717384;21.61311;15.4665;17.322134;17.212002
51.76826;22.968922;21.511517;16.494267;0.0
63.43439;0.0;22.38498;18.076023;16.892149
54.436172;26.89547;15.611737;16.41155;20.967875
70.227394;26.606474;18.769201;19.50002;0.0
47.66524;23.213387;18.27245;12.34;14.960485
45.38694;20.579155;15.973315;16.284395;15.531731
57.221077;22.084148;0.0;19.05832;17.390787
60.94775;29.377777;18.61661;21.059664;0.0
65.06788;28.838957;23.080608;18.718521;17.3044
53.27367;23.69998;17.843336;16.56284;20.77346
0.0;37.68915;24.294518;20.853168;25.005526
57.414436;24.300484;21.23127;0.0;0.0
43.796005;16.482414;13.689971;13.73485;15.061811
48.46463;22.458557;12.581295;16.876951;13.02337
67.20913;0.0;20.884678;21.492;21.01415
66.18576;31.85898;18.837048;23.14292;22.174212
115.94102;0.0;29.061663;32.0719;0.0
74.19915;32.059853;20.807058;22.73773;21.713697
71.678986;36.454807;25.777643;25.595274;25.963484
81.15413;32.83;26.83234;24.643549;22.2714
72.6301;34.86624;22.592844;22.84774;24.627565
77.39663;35.086174;20.210436;23.396778;18.215792
100.990486;43.647957;32.425053;0.0;0.0
68.35546;29.384808;22.8082;17.70319;22.981968
73.18776;25.61552;0.0;16.981102;23.720175
61.107304;27.762821;20.852821;17.759274;20.263725
0.0;102.63433;70.56926;0.0;0.0
91.079796;0.0;26.048077;30.595894;24.76445
72.21147;24.431152;17.883898;24.45745;20.987082
78.79436;29.377678;0.0;22.260061;24.18625
76.689735;29.552319;21.260633;25.251795;0.0
0.0;63.96191;41.44523;0.0;46.36548
64.24335;28.699717;22.3687;23.600363;24.251642
62.63191;28.39911;19.269835;15.820954;16.317791
84.38937;0.0;23.198408;0.0;22.458723
47.784252;24.435976;13.4956045;9.928023;14.61321
51.04907;22.080399;16.865774;15.452008;18.628515
59.81451;24.534264;13.055322;16.32378;17.052967
62.92106;29.294596;19.938824;19.39928;19.169014
66.158325;26.866926;23.030716;24.971361;15.740138
92.85802;0.0;31.890306;27.65807;29.67646
78.793945;30.453926;23.813189;25.510925;26.41817
86.484116;37.522392;28.03478;24.512808;28.95209
92.97627;38.209496;27.584654;24.868412;26.193869
82.121925;36.552273;25.530043;21.997032;25.374737
115.064476;0.0;35.474102;24.841404;30.556925
94.2271;38.443024;26.653233;0.0;24.861069
84.59737;31.178955;24.526333;28.957373;0.0
0.0;49.13083;40.0514;37.984447;37.020985
69.00669;31.74432;20.968645;23.05544;17.904417
92.93758;33.946033;26.610857;0.0;29.535755
76.864174;38.28369;30.963654;24.413818;24.6583
86.2732;39.679623;0.0;27.345364;24.804703
0.0;46.53894;39.636917;31.298452;39.048916
0.0;50.79919;40.646835;33.61666;33.689056
85.381134;0.0;22.737856;23.951544;30.649204
75.50772;0.0;20.89611;23.955208;24.052214
59.595688;25.76835;14.83623;15.497936;18.227781
58.759693;22.718544;14.851906;15.130176;15.103239
49.828873;21.185095;21.618414;17.83721;13.452875
0.0;39.48844;29.527302;24.677263;24.997524
47.12466;27.206932;19.992065;14.593222;14.416228
62.36935;25.073233;17.446701;18.33582;17.588526
70.29473;29.841629;23.757198;21.232353;18.216454
76.14593;35.56985;24.420296;21.694368;30.547537
0.0;78.50683;0.0;62.667652;54.081776
81.158066;39.670006;20.994926;25.434793;22.769873
148.00089;0.0;0.0;42.785637;0.0
0.0;63.094917;44.042927;41.650635;42.15767
122.236725;44.36318;0.0;0.0;30.558813
90.73453;0.0;29.947079;29.620941;25.162878
85.25042;34.903664;26.625704;0.0;20.420101
75.77498;31.362482;21.331926;24.1997;20.764326
71.47794;35.71661;21.114326;26.301605;20.574091
81.74791;34.327637;19.959255;20.65344;21.259296
76.44373;32.179996;24.66647;23.300426;27.543299
68.827065;27.397888;22.885826;17.310776;21.014656
82.09432;30.45464;25.980831;0.0;23.083105
72.45848;27.658154;22.655418;20.859138;22.707193
73.271965;27.385054;24.391953;22.422337;18.277788
71.54252;31.090773;23.542356;16.094578;17.3768
