1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.82275;104.5;101.3913;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
105.9308;104.5;101.0;107.0;109.0
105.931114;104.5;101.15882;-1.0;109.0
105.80516;104.5;101.44319;-1.0;109.0
105.95688;104.5;-1.0;107.0;109.0
105.84629;104.5;101.243515;107.0;109.0
105.798836;104.5;101.496994;107.0;109.0
105.60545;104.5;101.83563;107.0;109.0
105.57537;104.5;101.810356;107.0;109.0
105.5316;104.5;101.87217;107.0;109.0
105.46551;104.5;102.04869;107.0;109.0
105.5125;104.5;102.03191;107.0;109.0
105.55996;104.5;101.7785;107.0;109.0
-1.0;104.5;102.25344;107.0;109.0
105.69335;104.5;101.5646;107.0;109.0
105.70348;104.5;101.72613;-1.0;109.0
105.701454;104.5;101.688866;107.0;109.0
105.8532;104.5;101.0;107.0;-1.0
105.83276;104.5;-1.0;107.0;109.0
-1.0;104.5;102.16712;-1.0;109.0
105.79389;104.5;101.491455;-1.0;109.0
105.83189;104.5;-1.0;107.0;109.0
105.67117;104.5;101.70017;107.0;109.0
105.66186;104.5;101.70327;107.0;109.0
105.66579;104.5;101.749825;107.0;109.0
105.702705;104.5;101.544464;107.0;109.0
105.731415;104.5;101.57508;107.0;109.0
105.71823;104.5;101.56342;-1.0;109.0
105.655426;104.5;101.67149;107.0;109.0
105.83567;104.5;-1.0;107.0;109.0
105.67294;104.5;101.7027;107.0;109.0
105.593285;104.5;101.8065;107.0;109.0
105.52445;104.5;101.92904;107.0;109.0
105.49996;104.5;102.097626;107.0;109.0
105.47705;104.5;102.02448;107.0;109.0
105.44725;104.5;102.09355;107.0;109.0
104.240265;-1.0;101.0;107.0;109.0
-1.0;104.5;102.32519;107.0;109.0
-1.0;104.5;102.15036;107.0;109.0
105.702225;104.5;101.47807;107.0;109.0
105.692345;104.5;101.45286;107.0;109.0
-1.0;104.5;102.26799;107.0;109.0
105.718956;104.5;101.47811;107.0;109.0
105.69078;104.5;101.74449;107.0;109.0
105.637085;104.5;101.68968;107.0;109.0
-1.0;104.5;102.18852;107.0;109.0
105.589966;104.5;101.80321;107.0;109.0
105.57931;104.5;101.5822;107.0;-1.0
104.445435;-1.0;101.0;107.0;109.0
105.67181;104.5;101.67758;107.0;109.0
105.69524;104.5;101.40717;107.0;-1.0
105.63957;104.5;101.70438;107.0;109.0
105.60177;104.5;101.76467;107.0;109.0
105.710396;104.5;-1.0;107.0;109.0
105.60201;104.5;101.59233;107.0;-1.0
105.77478;104.5;101.42749;107.0;109.0
105.641266;104.5;101.68841;107.0;109.0
-1.0;104.5;102.255646;107.0;109.0
105.50544;104.5;101.34296;-1.0;-1.0
105.59941;104.5;101.788216;107.0;109.0
105.56654;104.5;102.03005;107.0;109.0
104.4308;-1.0;101.0;107.0;109.0
105.75781;104.5;101.44302;107.0;109.0
104.55535;-1.0;101.0;107.0;-1.0
105.86555;104.5;101.27972;107.0;109.0
105.83597;104.5;101.06441;107.0;109.0
105.90261;104.5;101.15463;107.0;109.0
105.846924;104.5;101.2538;107.0;109.0
105.87276;104.5;101.27241;107.0;109.0
105.83673;104.5;101.0;-1.0;-1.0
105.7896;104.5;101.39412;107.0;109.0
105.89428;104.5;-1.0;107.0;109.0
105.74388;104.5;101.65322;107.0;109.0
-1.0;104.5;101.651375;-1.0;-1.0
105.011345;-1.0;101.0;107.0;109.0
105.84662;104.5;101.22867;107.0;109.0
105.93129;104.5;-1.0;107.0;109.0
105.756805;104.5;101.19767;107.0;-1.0
-1.0;104.5;102.01258;-1.0;109.0
105.78543;104.5;101.3784;107.0;109.0
105.72204;104.5;101.53175;107.0;109.0
104.13077;-1.0;101.0;-1.0;109.0
105.5945;104.5;101.85604;107.0;109.0
105.579506;104.5;101.83113;107.0;109.0
105.69371;104.5;101.667656;107.0;109.0
105.74742;104.5;101.39805;107.0;109.0
105.77235;104.5;101.6008;107.0;109.0
104.810295;-1.0;101.0;107.0;109.0
105.87056;104.5;101.266365;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.94033;104.5;101.0;107.0;109.0
105.19316;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
105.899254;104.5;101.0;107.0;-1.0
-1.0;104.5;102.03538;107.0;109.0
105.77616;104.5;101.417046;107.0;109.0
105.95766;104.5;101.25184;-1.0;109.0
105.849304;104.5;101.17193;107.0;109.0
105.991974;104.5;-1.0;107.0;109.0
-1.0;104.5;101.955765;107.0;109.0
-1.0;104.5;102.057144;107.0;109.0
104.82433;-1.0;101.0;107.0;109.0
104.70021;-1.0;101.0;107.0;109.0
105.708374;104.5;101.629395;107.0;109.0
105.63588;104.5;101.772026;107.0;109.0
105.61983;104.5;101.78437;107.0;109.0
-1.0;104.5;102.238815;107.0;109.0
105.608475;104.5;101.78852;107.0;109.0
105.736244;104.5;101.505875;107.0;109.0
105.86978;104.5;101.21688;107.0;109.0
105.82556;104.5;101.06471;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
105.94875;104.5;101.0;107.0;109.0
116.56281;-1.0;-1.0;121.68053;-1.0
-1.0;104.5;101.8484;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
104.90698;-1.0;101.0;107.0;109.0
105.906944;104.5;101.162704;-1.0;109.0
105.89997;104.5;101.081856;107.0;109.0
105.83529;104.5;101.353096;107.0;109.0
105.88972;104.5;101.21383;107.0;109.0
105.89522;104.5;101.1064;107.0;109.0
105.81369;104.5;101.27616;107.0;109.0
105.8298;104.5;101.389725;-1.0;109.0
105.83681;104.5;101.343025;107.0;109.0
105.846756;104.5;101.43723;107.0;109.0
105.798904;104.5;101.42028;107.0;109.0
105.67679;104.5;101.67979;107.0;109.0
-1.0;104.5;102.11846;107.0;109.0
105.64131;104.5;101.74521;107.0;109.0
105.60741;104.5;101.783005;107.0;109.0
104.60451;-1.0;101.0;107.0;109.0
105.73587;104.5;101.48377;107.0;109.0
105.81244;104.5;101.192314;107.0;109.0
105.87776;104.5;101.33432;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.92679;104.5;101.25624;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.851585;104.5;101.35046;107.0;109.0
104.308685;-1.0;101.0;107.0;-1.0
105.8937;104.5;101.0;107.0;-1.0
105.86149;104.5;101.42171;107.0;109.0
105.88292;104.5;101.2608;107.0;109.0
105.833405;104.5;101.210434;107.0;109.0
105.850914;104.5;101.29684;107.0;109.0
104.80538;-1.0;101.0;107.0;109.0
105.79254;104.5;101.257904;107.0;109.0
105.76412;104.5;101.50342;-1.0;109.0
104.6395;-1.0;101.0;107.0;109.0
105.70649;104.5;101.66333;-1.0;109.0
105.592804;104.5;101.85108;107.0;109.0
105.613495;104.5;101.8415;107.0;109.0
105.59021;104.5;101.865875;107.0;109.0
105.725;104.5;101.5191;107.0;109.0
105.87309;104.5;101.22314;107.0;109.0
105.78932;104.5;101.40891;107.0;109.0
105.89259;104.5;101.09038;107.0;109.0
105.98899;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.8333;107.0;109.0
105.94576;104.5;101.07879;107.0;109.0
105.87522;104.5;101.27598;107.0;109.0
105.9484;104.5;101.0;107.0;-1.0
105.84695;104.5;101.35432;-1.0;109.0
105.85681;104.5;101.28751;107.0;109.0
105.90727;104.5;101.12781;107.0;109.0
105.9351;104.5;101.0;-1.0;109.0
104.115036;-1.0;101.0;-1.0;109.0
-1.0;104.5;101.8041;107.0;109.0
105.800644;104.5;101.44536;107.0;109.0
105.82643;104.5;101.32415;107.0;109.0
105.673195;104.5;101.80557;-1.0;109.0
105.57051;104.5;101.81673;107.0;109.0
105.55971;104.5;101.926575;107.0;109.0
105.55423;104.5;101.93136;107.0;109.0
105.4748;104.5;102.05171;107.0;109.0
105.56058;104.5;101.85991;107.0;109.0
105.61253;104.5;101.89984;107.0;109.0
105.666115;104.5;101.662926;107.0;109.0
104.59417;-1.0;101.0;107.0;109.0
105.8022;104.5;101.243904;107.0;-1.0
-1.0;104.5;102.03048;107.0;109.0
105.71689;104.5;101.57044;107.0;109.0
105.74971;104.5;101.3295;107.0;109.0
105.81117;104.5;101.39604;107.0;109.0
105.74329;104.5;101.232285;107.0;-1.0
105.72235;104.5;101.52545;107.0;109.0
-1.0;104.5;102.17876;107.0;109.0
105.714424;104.5;101.58494;107.0;109.0
105.78264;104.5;101.27471;107.0;109.0
