2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.525927;19.456934;-3.7140572;1.6208309;8.078922;16.488777;5.7732644;1.8937758;1.6634164;5.8415103;4.877533
13.588982;18.667646;-4.140555;1.559105;7.1638727;15.76782;5.5246425;1.6992419;1.5573912;5.669503;5.029691
13.644306;18.836172;-3.940066;1.6840127;7.483221;15.6382265;5.797275;1.7137713;1.7524005;6.125786;5.104014
13.848445;19.81346;-3.865302;1.4769806;7.466676;16.920738;5.118803;1.544226;1.62187;5.547921;4.997011
13.830808;18.558842;-4.0486097;1.6449032;7.884085;17.27894;5.66954;1.7068228;1.4803023;5.714717;4.81475
13.093586;19.523659;-4.169166;1.4985815;7.8660445;16.971272;5.795015;1.714311;1.702136;5.5929565;5.2070165
12.805297;19.302046;-4.1363106;1.7904391;7.651719;17.424147;5.592569;1.7796541;1.6136866;5.8240223;4.3990664
10.635557;18.44299;-3.7510514;1.7861727;7.2021623;16.45565;5.7070475;1.6315562;1.495839;5.327591;4.7163877
12.647795;18.363344;-3.9607797;1.5015798;7.546237;16.778267;5.8112617;1.7948434;1.6348994;6.423816;5.002381
11.628362;19.027657;-3.6639388;1.644811;8.039479;16.369755;5.499264;1.724173;1.5259769;5.654307;4.874692
11.791454;19.482807;-4.0190406;1.5518435;7.5039735;16.990633;6.3706675;1.8244737;1.4785495;5.699155;5.1211805
11.848581;18.414503;-4.1693735;1.656644;7.1352224;15.593905;5.8198256;1.6208159;1.3951495;5.299442;5.1628594
13.584395;19.568716;-3.634412;1.5661026;7.555406;17.74392;5.9068584;1.8421453;1.5972649;5.773488;5.5629535
13.413862;18.19799;-3.8053179;1.744945;6.7846274;16.722809;6.3781004;1.7939922;1.5490301;6.384893;5.1061034
13.483047;21.002607;-4.2113676;1.6416521;8.075524;17.019918;6.4268436;1.840739;1.632062;5.882841;5.083317
12.711866;18.381775;-4.1549063;1.7637359;7.308609;16.115444;5.875981;1.7666093;1.5677317;6.306768;4.868452
13.189155;18.925373;-3.7028103;1.5955368;7.309995;17.070702;5.60265;1.8247328;1.5720226;5.327001;5.3354106
11.898148;18.475708;-3.8930035;1.580447;6.8295064;15.70343;5.620223;1.7815188;1.7323182;6.132275;5.0296783
13.584644;17.08302;-3.8147757;1.6347166;7.776444;17.912067;5.564326;2.037513;1.493974;5.316089;5.396393
13.423515;18.742466;-3.7646575;1.5738012;7.7783937;16.63068;6.182047;1.7347443;1.6356477;5.4099555;5.0465603
12.899106;19.089636;-4.186788;1.6340957;7.6459093;16.335154;6.1476326;1.7150767;1.61367;5.8362517;5.163556
13.226121;18.959593;-3.901681;1.5324908;7.681986;16.076342;5.615132;1.8368602;1.6287595;5.4963284;5.179983
14.496987;19.51465;-3.9033208;1.6545984;7.5258913;17.394625;5.8225946;1.941551;1.6330943;5.6110086;4.9541245
