1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
96.24256;39.367798;32.315582;29.524277;31.475668
101.1545;40.77409;31.949106;31.465311;31.063755
92.88652;44.367126;35.269886;31.070637;34.113728
105.68614;45.52194;34.469715;30.41631;34.69291
110.148575;42.748302;34.724403;33.743717;31.239407
103.58327;47.854694;32.09403;30.973593;35.700863
96.135056;36.167645;28.51069;29.505108;30.082336
92.06993;38.46896;26.3664;26.650814;29.614994
82.95473;39.536743;25.521465;25.402103;26.827295
101.409164;43.978943;32.612236;32.610725;0.0
103.88263;40.628044;32.5342;28.855179;30.373997
103.20662;41.974342;34.22438;29.833424;31.266321
94.787636;38.526375;29.936026;28.288311;30.831198
94.919685;37.00618;26.45455;23.850718;25.74847
107.686356;44.302895;31.509823;31.482422;0.0
93.575554;39.86047;27.268463;29.026907;25.156048
0.0;71.51714;52.039253;53.07779;50.653625
101.517746;45.09587;33.275738;30.001003;0.0
83.188934;31.815363;24.241121;22.021694;22.33377
68.32292;29.744629;21.443914;21.018295;22.400818
76.44402;32.400764;23.126005;21.180733;21.583803
80.982796;35.0367;23.050144;25.508852;25.018127
84.85035;37.933;25.584259;25.814154;24.854242
113.045044;44.135063;30.260733;29.807953;33.871677
117.4387;47.486336;32.89229;35.010727;35.942047
124.65884;51.22027;33.242477;35.687054;36.046463
0.0;88.12752;64.7112;61.925617;69.42086
161.81265;0.0;54.37513;0.0;53.07259
117.156265;47.660294;35.46809;35.046272;34.20948
135.45311;59.96472;0.0;41.894005;40.410458
110.72347;49.846745;33.92617;34.223137;35.00927
105.222084;46.97984;33.698307;37.488773;36.471893
0.0;71.51078;50.148598;55.085438;55.76988
124.34898;54.98484;0.0;35.11991;36.547607
118.9526;48.33472;37.01168;38.224125;37.78574
134.9775;57.85668;0.0;38.546593;41.245605
105.514114;48.109287;34.62349;34.022808;33.527744
113.27544;44.342274;29.95319;29.132837;30.560822
106.33177;47.061317;34.085865;31.49993;34.801292
107.99257;45.81434;36.469994;33.877785;34.151077
82.512726;40.183537;27.56104;27.208878;26.829788
91.31252;35.717422;25.710552;24.79219;25.607372
85.28615;31.42335;20.96869;23.787483;24.09254
64.92249;27.730042;22.994183;20.570606;22.913706
66.47609;30.565943;18.72784;20.486828;23.189417
78.50379;31.987238;23.748514;23.543633;23.144444
100.860214;45.36542;28.51806;30.463984;0.0
95.29166;41.38485;30.52304;31.488316;31.688196
103.44529;41.571823;30.923822;32.07879;35.15397
132.79027;55.999104;44.134773;38.776085;0.0
