1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
126.11666;54.50849;37.814648;42.312866;36.46419
123.370285;49.144115;32.21891;38.52085;35.704945
104.072556;43.576332;31.90516;32.831142;32.747932
134.51176;56.608887;0.0;0.0;46.029488
99.54705;44.22973;32.3847;34.156715;31.274982
103.265396;44.564236;32.420673;31.740265;32.045013
121.82347;49.4746;38.311684;35.80779;36.157913
117.45762;55.84078;39.2541;39.965282;41.134426
144.57747;62.566742;45.775856;40.257427;43.434288
152.78952;69.4452;48.55134;44.453224;45.626602
159.64163;72.0335;53.05716;50.72051;46.92266
175.00323;76.69798;57.59655;61.48407;0.0
163.1988;60.574574;46.350533;46.642445;43.403652
156.82419;62.28559;51.78347;50.243904;47.855892
163.0446;62.80224;41.155792;44.379852;45.653515
139.82013;55.371174;44.439957;38.807087;45.68073
0.0;101.09994;71.03004;79.59002;72.66432
178.58597;0.0;50.907063;52.607628;49.70951
161.85121;71.93239;50.301003;45.469917;49.57144
0.0;118.14006;91.88324;86.88203;79.01079
144.94518;66.260376;45.99659;44.912117;43.140465
136.06902;56.153008;40.69846;41.874603;36.27306
144.49738;54.586872;42.8775;40.302044;45.147064
197.95154;77.1741;0.0;53.944458;0.0
0.0;97.29974;78.44375;67.11642;70.86299
125.59204;56.89638;36.283188;41.604332;39.049244
108.60417;45.97357;36.91207;35.862663;35.61784
122.70105;48.922012;33.04603;0.0;37.6024
99.93763;43.472645;30.71668;30.298656;30.724121
124.8947;45.075306;34.84873;35.739277;36.161777
127.692856;55.407238;35.12664;40.355324;36.851177
0.0;105.93703;74.51152;81.157265;78.29985
165.9328;74.32215;47.69572;46.42696;48.3873
163.97693;77.348915;56.055656;49.64479;45.96114
186.21648;75.11604;55.586517;53.351105;54.680687
186.25908;81.642166;54.201164;57.526722;56.63737
222.39119;90.527664;61.536705;66.592674;0.0
186.90918;81.84435;55.38977;57.529125;56.44802
164.89839;62.61637;46.58248;51.005768;45.22808
146.65341;64.83166;48.767544;49.009205;44.93205
154.1301;67.01906;41.36249;45.790154;46.0297
224.82748;83.61657;0.0;54.650013;0.0
165.25708;72.91827;53.211754;49.852074;55.678215
207.85596;89.240166;0.0;61.11144;60.754597
157.80737;74.650406;53.1886;54.153767;48.060066
135.09003;66.99249;45.430973;45.26845;46.231094
161.992;62.945698;46.073833;46.514748;45.88
152.99606;60.51878;43.493584;44.725307;50.818542
136.63605;59.653908;37.78742;40.396557;39.20674
124.552895;50.81646;34.835213;37.034653;39.514557
0.0;85.272606;57.650177;64.993835;62.569958
102.900375;44.991592;29.562347;29.289791;31.375113
107.41823;45.07012;32.526306;31.678074;31.496637
122.45119;49.1658;38.564598;36.19065;35.93064
124.23872;52.670013;37.17727;42.587986;40.540882
145.57939;61.624348;43.260258;46.226173;40.402
166.15254;63.27973;49.795788;48.6911;44.383076
219.42891;0.0;59.09909;59.619637;60.410736
196.33995;79.947624;67.494125;0.0;59.019737
181.13156;73.97729;54.733765;53.09635;51.27588
203.10146;80.31414;59.613014;56.68261;0.0
181.15454;79.588554;54.785164;56.258503;54.108818
161.9778;71.436295;49.095116;51.13958;45.501213
0.0;113.73795;78.62135;82.01072;86.91949
139.96011;69.18898;46.26402;49.368183;47.835796
161.31876;68.51739;41.700836;46.629833;50.587822
154.27663;75.30461;52.86619;54.603558;53.69737
174.25763;65.700264;44.84673;54.612007;51.268883
153.38834;64.32083;53.376915;47.530373;45.361015
156.9472;69.61137;44.68798;48.296795;46.923206
155.77328;68.474686;44.817318;49.942913;48.30297
190.66862;81.9686;51.598244;54.262524;0.0
146.92549;61.2295;40.7997;42.427097;38.9582
125.28428;48.83926;38.38649;36.47874;32.961296
119.60085;45.52;33.601173;32.119392;31.978048
112.54903;47.488716;35.653698;33.739647;35.639988
0.0;72.96567;56.733467;61.66097;60.743298
122.484146;56.24117;41.64078;0.0;41.930946
140.80266;54.59687;38.754635;38.74679;41.72936
145.21585;58.152374;45.03311;44.58605;44.823757
157.7377;67.57626;49.049877;48.90026;48.676903
156.7178;70.34646;57.383747;54.55912;55.8768
202.5986;82.12661;0.0;58.248787;59.905067
205.55017;86.108475;0.0;60.24285;62.392357
198.2719;79.078964;54.023174;47.97254;53.40398
191.44473;86.47607;0.0;54.354927;60.26377
175.7652;65.22747;48.61667;46.738182;50.447716
146.26785;68.82897;49.640194;49.16444;49.372807
146.70743;66.442154;44.596516;47.909767;53.4022
149.87627;68.51735;51.2022;49.41253;44.952316
