2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.086583;17.808825;-4.0041633;1.5678037;7.4324203;16.111341;5.441704;1.9895285;1.552751;5.5778294;4.5785937
12.380656;18.79207;-4.0044804;1.6987264;7.4464455;18.305635;5.7656674;1.885923;1.5942087;6.0863247;5.0123973
12.480738;18.475786;-4.0312676;1.7612032;7.1707706;16.166327;5.7574167;1.9211651;1.4841627;5.894972;5.2401094
12.910377;20.253496;-3.9643285;1.6805742;8.246581;17.731787;5.715826;1.677289;1.5315871;5.2959757;5.0548954
12.6478405;20.452568;-3.9716456;1.6695809;7.6434474;15.323924;5.866689;1.765877;1.5936528;5.927472;5.254085
12.45444;19.197079;-3.689145;1.718838;7.549587;16.737019;6.2957153;1.799671;1.6387037;5.7126207;4.7798467
13.532864;18.190155;-3.7884429;1.6993068;8.047628;18.197208;5.6895905;1.7844427;1.599389;5.84918;4.4165635
11.982025;18.987427;-3.8754718;1.6406419;7.9920874;16.76404;6.1540184;1.8687075;1.535335;5.630824;4.8810744
12.22582;18.805347;-4.1034102;1.5026909;6.9648876;16.343855;6.174114;1.7839901;1.7498443;5.997622;4.8269672
12.056655;19.318457;-3.907359;1.5706404;7.9085374;16.892178;5.690622;1.8340921;1.5787927;6.338819;5.5025716
12.402222;18.975752;-3.5453727;1.5622102;7.6052094;16.346272;5.9504294;1.7894857;1.6155181;6.25182;5.503584
14.022943;20.155853;-3.8913858;1.5355945;7.546007;17.171314;5.994322;1.8278487;1.6061413;5.9052525;5.4658012
11.62299;19.8544;-3.732921;1.6500028;7.363025;15.279728;5.796842;1.7958968;1.4818977;5.8758855;5.2955637
13.1331215;18.970364;-4.1441216;1.57739;7.2120647;15.887078;5.4002986;1.7655618;1.5668422;5.541555;4.969024
12.470222;20.546284;-3.8079946;1.6184728;7.169984;16.213463;6.23184;1.8129139;1.6612015;5.9722505;5.305105
12.136108;18.69676;-3.8138206;1.6138546;7.2126656;15.335539;5.247387;1.7201768;1.6623272;6.043262;5.049541
12.792934;19.88948;-3.7382674;1.554401;7.824125;16.676825;6.0451465;1.8556587;1.6936171;5.715061;5.094866
12.376476;18.588455;-4.2172365;1.5907196;8.017427;16.973576;5.9424095;1.755157;1.6053572;5.6793494;4.801582
12.371608;17.848818;-4.0433254;1.7034768;6.684475;15.650633;4.981245;1.7672935;1.6387751;5.8940783;4.7069497
13.675506;18.865356;-3.907434;1.5825554;7.0700226;18.390417;5.4862037;1.7909856;1.6395831;5.880338;4.776391
13.578089;19.059526;-4.0196037;1.581141;7.8469567;17.328032;5.702505;1.7022253;1.4952002;5.8494573;5.108353
11.920278;18.27511;-4.0904493;1.4833531;7.3704023;16.351606;5.823236;1.8673711;1.7112857;5.4175434;4.828105
12.957125;18.849514;-4.2169147;1.6628748;6.974172;16.143408;5.8134403;1.8462371;1.5871838;5.468373;4.9727426
12.913259;17.657352;-3.8966796;1.5891192;7.183635;17.42306;5.191841;1.8978028;1.4864483;6.2070394;4.9894104
12.2884655;17.923828;-4.0637717;1.6162045;7.5730653;17.09607;4.8755035;1.9672937;1.7525965;5.7897687;5.004161
13.148797;16.997229;-4.3433366;1.6475657;7.9631186;16.027082;6.439121;1.8239713;1.5284082;6.1444674;4.8810997
11.407126;19.776936;-4.106378;1.6640862;7.3795724;17.124825;6.0455327;1.7835675;1.4560263;6.1584444;5.0844374
12.941284;19.65062;-3.7751348;1.6326332;7.6661205;15.892661;6.0176554;1.8127712;1.653474;6.032715;4.862086
13.809201;19.489143;-3.8343275;1.5872087;8.033872;16.706024;5.693753;1.833862;1.5394423;5.8676796;4.799405
12.8841095;20.374397;-3.8574898;1.655635;7.440004;17.198692;5.6203914;1.7863964;1.5987723;5.819315;5.0124454
12.192811;18.346657;-4.031929;1.50214;7.161407;17.340298;5.417591;1.8294003;1.6063046;6.264216;5.1824765
11.685059;18.143654;-3.758357;1.6209731;7.893071;14.886635;5.6176076;1.7452291;1.5996752;6.362048;4.9623075
12.726244;20.064814;-4.089833;1.4912289;7.6757755;18.25434;5.74475;1.8288435;1.6597948;5.5076118;5.248855
12.428826;19.787434;-3.8419986;1.6081177;7.9943247;16.700544;6.099331;1.7414474;1.4543936;5.3813295;5.194905
13.747196;17.177288;-3.7771456;1.5783726;8.206955;15.84068;5.81002;1.7310266;1.5485361;6.224093;5.126682
12.025986;18.99854;-3.2932756;1.4481239;7.9086323;15.918409;6.480193;1.7443192;1.5477074;5.606558;4.8647366
12.164255;18.61861;-4.045506;1.605038;6.8503394;14.961628;5.958705;1.8172845;1.5983944;5.832224;5.3299055
13.093571;19.243883;-3.7612262;1.6117972;7.5809865;16.693178;5.912955;1.8918762;1.5539134;5.5242977;4.9493585
12.416737;19.267666;-3.9386435;1.6479895;7.337451;16.5041;5.599249;1.9045047;1.4450163;6.3047853;4.899718
11.830547;18.188683;-4.1075883;1.6365418;7.3596315;16.137909;5.4330287;1.8882276;1.5555826;5.8329177;4.9971113
12.467028;19.975515;-4.2684712;1.6028007;7.702051;17.050182;5.634411;1.819929;1.5590123;6.1831264;5.2843423
12.882878;19.804365;-3.46694;1.5926679;7.770152;16.754978;5.886927;1.6346998;1.6101325;5.7337575;5.0899434
11.879119;19.008318;-3.7483022;1.508376;7.318211;14.851889;5.717783;1.8631613;1.6527035;5.436542;4.8398414
12.473731;18.114683;-3.5822525;1.554966;7.069402;16.310007;5.6269317;1.7855161;1.5842218;5.7979546;4.700544
13.077193;19.340649;-3.3991024;1.7285312;7.6848936;16.052788;5.8522043;1.8438408;1.6461941;5.849255;5.2881603
12.784126;17.27084;-3.7777658;1.5982826;7.4012227;16.232672;5.4514165;1.6881571;1.634151;6.253277;4.88888
13.074785;19.126156;-4.1157384;1.5463623;8.089614;15.807503;5.621042;1.7268195;1.6249688;5.770289;4.576689
12.115217;18.836033;-3.9587824;1.7490333;7.4581103;16.004614;5.5419583;1.6572663;1.6376696;5.34618;4.828314
13.508501;18.899725;-3.774364;1.5019192;7.336249;15.958754;6.160894;1.9047294;1.5273201;6.0197916;5.049536
13.395263;19.558723;-3.8867702;1.606963;7.4292436;14.584789;6.1918206;1.7818531;1.7081343;5.7916555;5.338289
12.677594;19.702202;-3.9044642;1.5765878;7.458489;17.239742;5.667145;1.872915;1.7313691;6.3036604;4.4966526
13.0664;20.43848;-3.8682132;1.5978544;7.9454355;17.123856;6.0137196;1.7249373;1.5807364;5.862429;4.8183146
12.95178;19.356724;-3.7294827;1.6149291;7.287819;16.644827;5.8459916;1.8450553;1.6680459;5.554721;5.2204247
11.901026;18.35413;-4.151334;1.5140209;8.100715;16.14243;5.327686;1.9517639;1.4635328;5.4470735;5.4655743
13.2031355;19.745596;-4.189021;1.5096803;7.824893;15.84002;5.6440206;1.8546194;1.4818681;5.611239;4.8417225
12.194315;19.09562;-3.5870764;1.5319979;7.5741343;18.032576;5.5474873;1.8552189;1.4826792;5.4198937;5.304135
11.886801;18.04988;-3.9783936;1.6752584;7.602571;15.241153;5.63755;1.9086417;1.8172387;5.469619;4.7187986
13.40598;19.536444;-3.9086747;1.6029335;8.018581;16.751932;5.6824045;1.8061779;1.58047;6.037582;4.762321
12.875217;20.322401;-4.0872507;1.4789693;6.9266777;16.766653;5.736315;1.7566967;1.594839;5.7045045;4.729264
12.948755;18.25401;-3.7882192;1.5706329;8.081017;16.503319;5.611708;1.821523;1.4740916;5.6938195;4.8429856
12.562152;17.93157;-3.6792598;1.4236904;6.933817;18.946192;5.843879;1.7313812;1.7459216;6.2912893;5.014745
12.529701;18.232517;-3.9159124;1.5524065;8.024509;16.425434;6.0724792;1.7552825;1.6858554;5.55976;5.337824
12.720517;20.181902;-3.7988727;1.5085723;7.493833;16.764315;5.5256085;1.8073728;1.4363658;5.5517616;4.841035
11.731533;20.809294;-4.1649914;1.6617755;7.212307;16.159832;6.0663304;1.8600785;1.4399327;5.8951173;5.340483
12.07081;19.504053;-3.5066357;1.5415778;7.182289;16.04183;5.7633224;1.7951899;1.4999369;5.2967663;5.4061246
12.7091055;19.340054;-3.7611382;1.5951874;7.9547286;16.347075;5.8838105;1.7672354;1.5542113;5.7120047;5.6068883
12.259131;18.77367;-4.023211;1.6670526;7.1378107;14.568108;5.8018203;1.7797058;1.6221248;5.370021;5.1226377
12.166676;18.209969;-3.9124722;1.5136669;7.405218;16.609869;5.611879;1.7369754;1.4600621;5.903473;5.5354543
12.624568;20.202684;-3.929139;1.7764214;7.563655;17.420176;5.29781;1.5071961;1.73543;5.7281513;5.128983
12.152986;19.380575;-4.31997;1.634993;7.4520974;16.398947;5.8963056;1.8432441;1.4171618;5.591818;5.1487994
12.386831;17.984892;-3.9912615;1.6561632;7.3951797;17.003063;5.803103;1.9215596;1.620052;6.0093365;5.653274
12.337951;19.6982;-3.877288;1.7214857;7.722649;18.230984;6.0027843;1.7519284;1.633867;4.993768;4.880075
12.140885;19.561539;-3.8289347;1.5778615;8.019503;15.643116;5.296447;1.8000218;1.575849;5.4526196;4.599954
13.042809;18.254694;-3.9860053;1.5855668;7.422633;17.042967;5.6666226;1.894665;1.4824237;5.263229;4.8162284
12.2594595;17.751093;-3.8223555;1.4855227;7.463374;18.12683;5.5684237;1.7941197;1.7155783;6.0419507;5.0869985
12.55496;18.895525;-4.2810235;1.5916886;7.013058;16.219152;6.0907826;1.9053781;1.5942162;5.676188;5.0445385
12.280866;19.876734;-3.9753046;1.5749938;7.2628527;16.522818;5.764685;1.9248374;1.6185908;5.9375577;4.7710648
12.684277;17.306854;-3.7286675;1.6546118;8.120175;15.793981;5.7066755;1.8249482;1.5385287;5.880965;5.0450807
12.713309;20.632198;-3.864763;1.5890774;7.260362;16.679451;5.676328;1.6874095;1.5627437;5.0820656;4.8102984
11.988535;19.56958;-4.2291527;1.6350287;6.9923983;16.025215;5.7749405;1.9812741;1.645819;6.034091;4.7545524
12.160713;18.513382;-3.957577;1.5630531;7.6769314;16.515327;6.0107756;1.7459067;1.6478766;5.773807;5.162542
13.1881895;16.813662;-3.8949518;1.8195788;7.7954283;16.957783;5.9964476;1.8130962;1.5698788;5.6947913;4.9926724
12.497711;20.744904;-4.068536;1.6034379;7.3557377;14.993113;5.703355;1.8735594;1.5858055;5.5278115;5.7234015
12.072901;18.703043;-3.6844254;1.5157564;7.5008197;15.155965;5.545776;1.7468073;1.5239965;5.9932957;4.632764
12.7004795;18.728134;-4.0157743;1.6727157;7.9829793;16.601345;5.274345;1.7632635;1.629886;5.3946085;4.965651
11.510879;17.768578;-3.78529;1.6728011;7.9098287;18.349491;5.6432414;1.6563153;1.5610027;5.4290986;4.8755956
13.057877;17.950943;-3.7938094;1.6702147;7.4548316;16.22501;5.6868176;1.80472;1.6256564;5.990049;4.537057
12.768684;20.194143;-3.8771093;1.6072191;7.109908;15.898646;5.5666337;1.8106047;1.6449252;5.6417394;4.971623
12.668283;18.456783;-3.9338007;1.5390403;7.6978393;17.939827;6.229401;1.8359687;1.5913339;5.2592845;5.0675287
12.166981;20.495102;-4.153767;1.5580721;7.423827;17.470829;5.4592257;1.7672145;1.5841833;5.659895;5.5831738
13.818495;20.23444;-3.9971807;1.7073289;7.533634;15.638903;5.6696863;1.7142539;1.6826649;5.363718;4.4114046
11.505947;19.523594;-3.9773169;1.591351;7.676918;15.769302;5.9683146;1.8866171;1.5322057;5.8464994;4.811027
13.093588;18.595491;-3.9537945;1.5931594;7.196807;15.653314;6.13597;1.8588895;1.5487032;5.3863893;4.9223795
12.507294;18.582722;-3.917123;1.6095123;7.90731;16.834955;5.5261426;1.9488922;1.5970932;5.4194655;4.5661993
13.272348;19.573229;-4.2123146;1.4534343;8.030476;16.550388;6.0998883;1.9018463;1.6522956;5.6704803;5.0695057
12.091265;19.269306;-3.8238852;1.555964;7.4104;15.681118;5.77515;1.8119838;1.5620158;5.4257555;5.1774406
12.745666;19.023272;-4.059765;1.6022307;7.539899;17.953163;5.5003257;1.6612293;1.7469178;5.527186;4.9146295
13.092169;19.952806;-3.8729;1.6451039;7.2267237;17.213604;5.679538;1.7381836;1.5608586;5.978904;4.424332
13.248277;18.387486;-3.818667;1.7054621;7.4326224;17.070276;5.869827;1.7504134;1.5940481;5.8830605;4.8684964
13.013623;19.844439;-3.939691;1.6779572;7.6579566;16.564657;6.0577044;1.8507464;1.6980778;5.4735627;5.3446703
12.302509;19.726545;-3.8781118;1.5512584;7.539756;16.05986;6.333058;1.803534;1.5501142;5.781919;4.8151093
12.464393;19.003242;-3.9078426;1.5435108;6.828403;17.366713;5.918684;1.8530825;1.636363;6.2125382;4.709356
12.65628;19.887812;-3.7192657;1.684656;7.4828215;16.36543;5.842147;1.8856441;1.5759811;5.9637465;4.847737
13.05255;18.079353;-4.1801972;1.4823405;7.112174;15.116445;5.6914363;1.8579186;1.6003777;6.581384;5.321
12.670108;18.43754;-3.9696603;1.6337944;7.5576143;17.162285;6.090208;1.7600502;1.6141511;5.3158636;5.1629357
11.496594;20.492208;-4.1089845;1.5366778;7.553859;17.06798;5.536001;1.7994153;1.6439257;5.794306;5.561061
12.98902;17.863829;-3.8649223;1.5909079;7.643238;16.023077;5.702224;1.7945895;1.5297453;5.9260435;5.039052
12.438349;19.054369;-3.8352578;1.5668837;7.065737;17.18985;6.088715;1.7175816;1.6314583;6.029832;5.274136
11.312974;18.593838;-4.0113525;1.3928597;7.5716558;17.415785;5.5819983;1.8615321;1.5134023;5.937029;5.2330136
