1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
162.37057;67.61685;50.09769;49.00233;50.73907
181.59023;71.21385;48.15131;51.051914;52.784737
176.85016;77.178825;51.828938;55.860558;53.606598
188.63138;78.393845;50.918434;55.143993;55.33918
180.65408;75.37104;55.462635;52.975445;57.61967
173.33237;69.59085;47.297565;47.7541;48.36535
188.12517;84.21813;0.0;58.214622;57.995934
163.52644;66.70598;44.13419;48.72596;44.36856
184.774;0.0;55.135265;55.237446;55.700165
172.34804;72.082664;51.534107;0.0;52.54074
171.0927;65.88398;45.985405;46.389088;50.440586
0.0;125.737;95.84434;94.32903;92.757744
191.2699;76.72083;0.0;52.376953;53.976067
144.51125;62.815605;44.273605;44.976826;45.442497
154.92993;67.32789;46.311672;46.43991;42.10804
155.53456;65.85156;47.888737;46.232697;43.76278
180.34378;77.10951;55.54715;53.25474;53.159637
171.2023;78.417786;52.607582;57.295624;61.964966
164.90057;70.16021;45.68078;50.01372;44.989567
169.2827;0.0;49.902527;57.17922;52.401794
148.3634;58.544037;43.75847;41.59561;40.069424
225.15344;0.0;0.0;64.46735;63.730553
186.8174;78.88832;66.42985;63.21939;0.0
196.68066;82.137886;54.805096;58.82601;62.884247
220.7284;90.54103;68.70136;68.69188;66.64875
252.38838;104.71812;63.898987;66.91841;70.09518
249.96838;102.13707;72.645355;70.294304;76.14506
287.7503;0.0;89.826416;88.26241;85.90905
245.91194;99.15498;63.566284;76.88265;68.687775
235.3461;96.971504;71.13426;75.220474;72.10275
255.99997;103.03987;73.467766;83.201355;0.0
223.83102;92.22397;71.122894;64.337395;71.76668
229.52217;97.91371;63.38625;73.114784;0.0
204.22754;93.26289;61.969566;59.574486;64.09427
237.74231;105.47986;70.152725;69.96569;73.12101
251.2655;96.58383;70.59682;70.55941;71.83627
234.34822;98.68534;62.511253;70.557594;66.115746
192.4354;75.19583;60.145393;55.645794;61.051006
224.74776;85.12221;58.837288;64.98758;63.34619
204.82803;85.80982;61.546974;66.12703;63.06431
161.41934;73.993546;52.701466;56.62406;50.684925
169.1962;68.67076;50.369194;46.34426;51.52074
144.4383;59.4174;39.82916;42.329147;41.751465
171.46056;64.433365;44.749073;46.612522;0.0
146.35571;59.79884;40.41603;38.56916;42.885834
181.62355;0.0;52.79414;50.673954;50.203247
210.22884;0.0;68.43346;65.027374;60.460247
190.09918;81.764885;55.21946;52.48121;58.630714
218.04324;90.10357;61.930866;67.74349;65.50206
226.27168;90.34963;62.91874;59.67019;65.57169
230.03166;90.65813;65.9078;71.09871;64.70254
247.21101;105.93623;61.671204;68.73811;69.69267
240.53654;100.26803;66.12763;70.680534;75.10261
223.06613;94.71989;64.103264;65.601944;63.23003
232.1746;79.72335;58.401222;59.607292;58.216095
206.00984;76.90364;59.11141;56.539265;58.75959
214.87016;79.07392;59.174427;56.4669;57.444374
201.836;89.23452;68.37959;62.618336;65.03023
227.91818;93.57664;67.8972;65.37218;60.624023
265.3605;114.13743;81.55815;0.0;83.46786
201.15851;94.72533;64.19211;64.64531;62.203697
203.8164;75.39894;56.642555;56.462852;56.703102
196.91977;79.83403;56.78298;54.807198;55.715813
197.2933;80.413155;57.364307;59.24059;57.05892
154.90675;70.22441;47.77372;45.613136;47.620438
134.88055;57.81939;42.278282;39.632843;37.013603
119.6228;47.137444;34.968483;36.444195;35.88598
113.45609;50.16401;37.70879;35.717865;33.602257
137.78493;57.129173;34.843624;36.091187;0.0
141.18692;56.715355;0.0;42.54442;41.657433
138.7562;63.70155;39.933594;39.899193;42.412567
158.56212;64.39131;46.54155;44.84681;45.576252
208.7697;86.00805;65.889824;0.0;58.83778
187.16196;68.31201;54.90557;54.210815;51.39988
187.93167;74.73405;52.044044;51.948326;52.269978
186.81412;77.49005;55.524017;49.980648;54.535126
217.4347;85.94396;62.955254;0.0;63.532417
188.01295;88.58;52.30828;56.24356;52.844444
179.19785;71.785194;46.274567;53.39082;53.49159
178.23491;63.223408;46.998547;48.998238;43.668472
0.0;103.26359;91.74339;83.81209;81.80187
175.60841;67.67329;47.058907;47.85759;47.786747
172.3209;72.93672;56.478493;54.84133;53.632153
197.81052;75.744965;54.08264;56.860085;51.675743
0.0;114.12972;87.51799;86.2184;92.87962
161.33684;73.91334;48.045815;51.772972;55.449623
187.35144;82.67099;59.23158;58.13421;0.0
0.0;119.61483;82.707954;79.5746;78.85695
133.59065;53.371693;39.663506;38.139553;38.39508
107.5699;50.051506;35.36547;32.17238;36.115913
100.25923;41.850105;32.63591;31.82103;34.352753
107.649765;45.513226;31.471996;30.805264;30.534668
99.52699;39.60537;28.807667;30.033258;28.893702
102.73778;45.904995;32.56291;30.882437;32.707184
118.093956;49.03482;39.230545;36.325806;36.72007
0.0;100.58858;78.2267;76.868454;76.25758
144.54118;59.07854;44.890118;45.87482;48.92369
155.03566;65.242004;41.638622;47.77278;45.50152
169.7513;64.36454;52.115715;48.01612;48.064503
167.44926;65.35958;52.34189;44.850887;49.81736
173.20352;65.49858;46.973164;45.24937;47.136856
161.67017;70.25211;50.478348;47.711147;52.81845
166.57858;59.242554;40.4892;44.024864;46.83339
0.0;92.16881;74.70771;72.96901;68.52111
130.52448;57.70882;42.883663;49.16932;42.42118
