1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
87.23619;42.008713;28.338501;28.744999;26.952665
77.953186;41.43728;25.557047;24.150774;26.054039
92.78324;0.0;27.563246;29.35736;27.98582
65.180084;29.809048;18.242327;24.08512;21.467197
67.0063;27.0395;22.493801;22.676935;21.58869
65.89468;31.23904;25.856192;24.367271;25.195381
84.90423;35.55939;26.675875;22.248432;25.327925
99.004265;37.352646;25.383585;29.617107;30.704046
126.02139;0.0;37.52577;38.402367;35.49665
105.68472;47.51921;27.461035;31.590303;29.639418
114.165985;44.12661;32.115658;38.883064;31.469784
136.76743;0.0;39.840145;42.688457;37.170322
115.89;49.594036;36.728725;34.759773;35.547176
104.932915;49.840927;36.903828;36.330986;32.287106
126.42819;52.624992;38.00686;0.0;37.397644
92.71856;43.884445;33.12391;33.57061;31.37188
116.06553;0.0;35.473595;29.26819;40.4792
99.16247;44.704586;37.329037;34.874363;25.642782
114.1119;51.78757;34.525124;0.0;34.8374
110.90261;48.196644;33.592545;37.002464;36.76988
98.4601;48.63854;30.504835;29.514986;28.772406
89.07268;42.28347;33.222073;27.349268;28.015905
96.92349;41.86757;31.149239;30.475142;28.463743
109.02181;45.631905;31.1425;0.0;32.679253
0.0;83.65701;63.6322;0.0;61.69817
90.73818;32.448956;30.198647;24.203123;21.268484
98.65749;0.0;26.712317;24.16346;30.881632
71.26686;36.92688;21.298714;23.98808;17.78144
85.15153;34.03693;27.360662;24.67295;0.0
91.4716;41.81138;28.908047;0.0;26.769197
97.688034;39.181892;27.50136;25.919731;25.549738
138.75714;62.13303;0.0;0.0;39.509552
130.93611;52.25836;38.655964;40.227695;0.0
113.1577;52.11953;35.225952;34.27402;36.3228
117.10576;46.650013;37.658897;36.53036;37.252132
126.02747;48.323708;31.671349;40.139847;36.90584
124.43701;49.3193;39.63564;28.7718;37.497677
139.694;58.164978;43.144863;0.0;38.859634
141.47388;51.2065;0.0;41.13014;46.357002
107.87215;40.58345;35.01112;30.327066;35.00422
103.99979;45.925663;30.185675;31.168715;32.676853
98.9482;45.96837;35.3863;40.13567;31.598389
119.28729;48.07494;41.072178;37.89139;35.521114
0.0;85.0879;57.24005;61.64821;60.337883
105.08426;50.28369;31.989521;30.9936;30.721924
123.08335;49.24451;38.08649;37.834785;0.0
140.97693;56.93519;39.667427;0.0;0.0
125.80786;0.0;37.48916;38.756092;35.342964
117.14234;0.0;35.74095;37.19962;40.777626
88.48975;36.854744;33.11104;31.03496;29.659605
0.0;54.348896;41.916817;44.146214;47.005554
67.540764;34.504753;24.38739;27.310587;18.458792
75.71818;32.63559;24.422514;22.20096;25.123693
79.805565;39.319767;24.041178;25.137508;23.50119
111.19672;42.468185;31.14882;0.0;27.670242
121.82759;0.0;31.389582;35.987167;38.298916
107.58204;51.029728;35.699753;34.915104;34.13949
113.287056;50.667088;40.83726;33.62233;37.63171
117.7398;57.93464;39.099876;37.17687;36.060112
113.89653;48.79889;34.90084;33.513077;35.392452
111.548065;48.547302;37.20075;39.787918;32.76928
159.17436;0.0;51.33833;45.048244;50.535873
0.0;76.66427;64.40125;55.36033;56.849274
109.67698;47.613594;33.387306;35.27139;36.42171
98.60884;42.2238;29.980865;31.689838;32.88828
110.65778;44.52259;35.003178;33.9459;34.716927
0.0;103.330246;0.0;76.93288;74.7862
118.5644;45.6579;38.977448;39.41115;42.711
103.43192;41.90102;32.28223;32.15082;38.226482
120.41668;48.274376;32.618027;0.0;34.32754
112.13615;46.42135;33.897453;35.033344;29.774767
104.45975;43.66939;30.061846;35.409748;37.46299
89.708466;44.434376;27.191397;26.483551;27.428053
112.23168;0.0;31.672737;30.093668;30.049551
77.108086;39.5268;27.11786;24.260326;25.972567
91.43162;38.260365;25.76414;31.064884;0.0
72.33505;28.584984;21.408775;18.256033;24.038359
78.523895;37.187687;24.516413;26.753647;25.662842
93.89245;40.689228;28.916784;33.308777;25.545818
114.20226;45.151;36.555378;0.0;37.01648
131.19792;49.469677;34.440178;0.0;37.54343
140.3069;62.142155;0.0;40.845375;42.96695
134.3179;55.71812;35.87881;34.911076;43.03748
137.76529;62.96916;50.14081;40.3784;0.0
151.9598;0.0;37.78548;44.078026;41.290707
115.65176;46.05582;34.51284;29.125664;37.43219
105.30702;50.75637;35.40054;38.649815;31.46807
104.863525;49.182816;36.190292;32.688713;27.05945
107.35823;38.27075;30.057186;35.71583;23.470623
111.809715;44.556;34.668587;31.663254;34.888214
137.93227;0.0;46.72421;37.39753;40.102192
113.233795;51.698055;33.160313;32.634975;34.96235
138.28401;0.0;43.511997;44.767406;32.490635
113.89828;45.956787;35.832043;35.85658;0.0
113.05096;39.538048;30.882427;31.155666;38.389515
126.16584;52.883083;34.605938;0.0;36.66052
92.86287;40.58239;29.295444;28.903942;24.24154
83.63315;38.611534;24.722898;25.937914;28.600203
95.24381;38.625656;0.0;25.699085;32.31923
71.88972;36.90932;22.580912;23.121721;22.572662
61.47342;33.061428;24.146694;21.142706;18.270493
81.55791;35.353737;21.729988;21.897102;29.645622
87.96829;41.048885;22.669134;24.251558;25.484602
116.990875;0.0;33.548164;38.732525;40.938377
108.99354;43.61078;32.1954;33.046886;29.729181
165.11555;0.0;49.155876;0.0;44.853523
0.0;108.681984;85.15185;0.0;85.11067
123.43013;56.304474;37.508595;35.51428;36.198257
117.79298;41.764076;30.153175;34.450287;38.020523
129.63483;57.88325;40.05061;38.150528;0.0
101.84078;48.880394;29.340612;33.66163;29.291399
99.017;36.983665;27.689125;29.16168;30.72494
93.786095;36.985626;25.693726;27.927973;30.807535
0.0;76.02087;49.6;58.583458;51.738247
109.970856;45.44417;34.08597;33.738827;43.085545
132.4179;53.90338;37.73449;0.0;31.075235
106.93926;38.462196;31.091354;28.578178;31.066853
102.82318;38.322514;24.170475;27.486712;26.833553
0.0;83.59347;69.302635;0.0;67.25584
93.41833;36.856018;30.284513;35.153942;30.41642
106.5461;41.98748;0.0;0.0;33.435654
71.780685;28.545042;26.19953;21.686108;20.825605
60.74316;25.20948;19.977846;23.477036;19.30037
56.493145;26.28507;19.942616;18.76946;18.847654
54.10622;24.504845;20.169409;15.279678;14.621651
70.303314;29.827219;22.07692;17.59444;0.0
0.0;47.344917;37.68925;39.304413;43.557922
81.44794;34.34356;23.474174;20.515245;24.466639
84.32659;37.39623;22.045755;23.964869;27.329676
