1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.93826;104.36379;100.86901;107.07085;108.5923
104.94936;105.09448;101.122116;107.02605;108.372574
104.55565;-1.0;100.28975;107.0912;108.56873
106.50447;103.31997;101.26542;107.49838;109.236206
105.45836;104.260826;100.62034;108.04086;109.70336
106.32268;104.2439;101.49776;107.5431;108.33267
107.14143;105.01869;101.23701;106.84684;108.875465
106.13292;104.95706;100.97967;106.82074;108.58618
105.2349;-1.0;101.67847;107.097885;109.32712
106.62503;104.57324;100.40021;105.9706;108.53311
106.514244;104.5716;101.41783;107.06038;109.7908
106.00348;-1.0;100.76266;106.6214;109.78631
105.804276;104.55644;102.22683;107.42261;108.9924
107.21187;104.388084;101.15385;107.37667;109.44119
105.13104;104.38353;100.53054;-1.0;110.24786
105.33085;104.23912;101.75215;107.19523;109.36625
105.993484;-1.0;100.73478;107.60217;109.96848
106.03341;105.005394;101.28358;105.77476;109.24528
106.223274;104.934845;101.16525;-1.0;109.6376
106.936615;104.76608;100.50423;108.103424;108.67355
105.52889;104.81621;100.571724;106.91361;108.972824
107.22756;104.74427;100.95116;106.756454;109.22716
106.29132;104.99102;100.92901;107.11587;109.36501
105.9609;104.99495;101.376976;-1.0;108.91519
-1.0;103.6107;102.96059;-1.0;108.90758
105.55289;104.375015;101.42259;107.15672;108.627525
106.68216;-1.0;101.24501;106.57761;108.920494
106.90496;104.94157;100.25988;107.15976;108.94013
105.37902;103.39181;101.1543;106.38825;-1.0
106.16107;105.13884;101.0167;-1.0;108.841995
105.94417;103.99817;101.52091;107.10574;109.18064
106.62351;103.754135;-1.0;-1.0;108.783775
106.3664;103.95642;100.655945;106.446625;-1.0
106.76816;103.60939;101.00345;106.69241;109.32299
106.85093;104.44052;100.96443;107.499756;108.75386
105.81355;103.77798;101.30866;106.80551;110.223015
105.74004;103.39606;100.71317;106.87395;108.850975
105.703285;104.984314;101.50562;-1.0;108.53768
105.55575;104.78044;-1.0;105.53618;109.5525
106.02743;105.07782;100.931366;106.032524;109.13056
105.708664;104.91645;101.12124;106.84329;107.40477
105.91816;104.42477;100.78899;106.862305;108.75994
105.08144;105.09118;100.86043;107.29817;108.9977
-1.0;104.9635;100.90127;106.464615;107.88658
106.42596;103.825165;100.6633;107.23696;109.2561
106.09791;104.562355;100.91617;106.91436;-1.0
105.55061;105.78276;101.13399;-1.0;-1.0
104.67559;-1.0;100.17422;107.18335;109.30602
105.923294;-1.0;101.58861;107.896736;108.68311
105.82282;103.68069;100.00292;107.87637;109.34532
-1.0;105.140045;102.321365;107.560326;109.58708
105.105194;103.492874;101.35125;106.65732;108.81712
105.22624;104.837524;101.6932;106.58866;110.08118
105.68042;104.71819;99.628204;107.788994;109.10699
106.23547;104.4888;101.342316;-1.0;109.0894
104.79114;-1.0;101.02437;106.45437;108.83559
106.315895;104.31677;101.834755;107.11489;108.80385
105.09643;104.5972;102.1401;106.76848;109.04214
106.56453;104.88831;100.710144;106.346405;109.33203
105.92568;104.82066;101.60995;107.07322;110.06361
105.87118;104.46153;101.36203;107.366425;108.78909
105.25337;-1.0;100.50737;107.30291;110.310616
-1.0;104.096634;101.13228;106.3985;108.92083
106.360886;105.07516;101.11702;107.2276;108.57886
105.63257;104.508766;101.703064;106.265305;109.37049
106.846245;104.86332;100.33097;108.10173;109.25525
-1.0;103.96839;-1.0;106.814804;108.279816
105.609474;104.709114;101.35397;106.9528;109.266045
105.716354;104.67846;101.277565;108.22287;109.12573
105.09439;104.31322;100.455086;-1.0;109.008415
105.764206;104.027596;101.05254;106.51302;109.787926
106.367165;103.78235;100.84514;107.2943;109.329384
105.99323;103.78006;101.243835;107.39476;108.972176
105.82425;-1.0;101.076096;106.94424;108.39352
