2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
15.914948;61.627678;33.10389;5.163185;8.501777;21.688118;6.3629603;2.804662;4.702553;9.236087;10.674366
15.926767;59.69792;34.109123;5.551431;7.185578;21.727762;6.731866;2.873626;4.929355;10.036013;12.151121
15.555483;98.05927;40.9249;4.78364;7.717113;25.222637;6.677632;2.756635;4.803499;9.589633;14.948832
17.106977;74.46107;29.374514;6.7385654;9.451017;25.1805;8.062069;2.6768181;4.870367;9.546742;10.98551
15.270721;83.58656;34.021847;6.312616;8.552497;27.56978;7.259575;2.6924264;4.520987;11.167235;11.238422
15.948893;71.417885;33.44945;5.43596;8.227632;18.774385;6.823535;2.5542982;4.1325417;8.858115;11.96831
16.218956;71.43793;29.792086;4.82342;8.59255;16.883102;5.9273095;2.1725183;4.6445456;8.857967;10.547855
12.549328;61.762363;31.632414;4.8706403;8.184325;20.02506;5.982023;2.4238245;4.3624487;9.569058;10.981539
15.431447;57.56147;25.370987;5.109122;7.129699;19.839043;5.13537;2.39277;4.2222095;8.644301;9.531535
13.737216;72.8763;33.10812;5.366596;6.979688;19.149117;6.1856675;2.889031;3.9009328;9.387176;8.536433
13.4417925;88.05514;44.61054;5.7113957;7.0326366;18.67693;6.4381523;2.6119711;4.45998;10.17732;11.371522
16.243721;76.08577;35.527264;6.5042834;7.8007126;26.065044;6.0220103;2.9143605;4.637656;9.603515;10.615764
18.191437;54.839973;34.79724;4.4214816;7.3412957;22.674679;6.4387;2.5442433;4.125299;9.960125;11.286574
15.777342;56.5711;33.81631;5.1117835;6.741151;18.036514;5.4095707;2.535223;4.730163;8.700388;10.241298
14.396841;73.589455;32.265686;5.441227;6.566026;19.66016;6.8915606;2.4205847;4.318305;8.855455;10.071449
14.724917;66.32305;30.044231;5.224809;7.201976;20.892462;6.4479413;2.533416;4.0965776;8.671225;11.776688
14.3706;51.615265;29.182554;4.258512;6.160504;15.581206;6.0609527;2.3230178;4.3033037;6.537194;9.839167
12.745516;56.001453;24.445335;4.050019;5.909479;13.037608;5.1684723;2.054434;3.3917966;6.740107;8.641895
11.822982;54.21993;26.55247;4.579341;6.1319375;17.242765;5.532727;1.6818498;3.5615692;7.5115085;7.4754963
10.246172;46.39105;23.937489;3.5874927;6.699443;14.055788;3.7343094;1.9509339;2.6452613;5.799993;6.573652
11.7538;42.356144;22.071535;3.7451189;4.518462;14.209823;3.2812493;1.6482266;2.687571;6.001297;7.3325105
12.619758;47.955914;25.249674;4.153925;6.285383;14.607278;3.9971051;1.6384529;3.0949523;7.8030715;6.927089
14.232161;58.043793;32.698578;4.0861564;6.8123035;17.08743;5.838744;1.8979747;4.112138;8.208614;8.069517
12.816244;63.468445;31.36137;4.4890604;6.704102;18.552673;5.5003157;2.6562488;4.547899;8.173466;9.8477955
14.845854;61.267612;39.367035;5.419369;9.2985;24.462006;7.511096;2.2530646;4.543744;9.245469;10.0888
14.42629;79.160194;35.81687;5.836544;7.9872265;25.197874;6.062189;2.105041;4.6964517;11.041752;12.013147
18.530352;68.32209;38.17569;6.0552154;8.129586;20.337107;7.128836;2.810167;4.713061;10.85292;13.612706
15.287511;71.35859;38.888256;5.603738;7.9176626;21.43332;7.137958;2.9266684;4.2399826;9.505983;10.957238
18.373611;79.39236;42.372818;6.2236705;9.833478;21.83846;6.9964466;2.8959122;4.1123586;9.505785;11.003351
15.839524;78.889656;32.555225;6.452253;9.475183;19.865667;6.972872;2.6104445;5.3712277;10.916796;11.405801
15.401476;60.1578;38.971783;5.097871;6.6763377;23.566408;6.939806;2.8797328;5.79416;10.541534;11.20413
14.798247;52.581963;30.715466;5.678351;7.117119;19.28517;5.7025356;2.1624515;3.6752448;8.888898;10.354786
13.412675;67.64535;25.822802;5.1638746;7.406573;21.14964;5.6571975;2.356287;3.3201897;8.752712;10.549297
16.786312;58.940426;32.870502;5.386467;6.7563148;24.197506;6.0958676;2.452233;4.4502764;10.43905;9.573548
17.5683;68.32044;30.019526;5.357806;7.6347322;19.67861;7.1468987;2.4130983;4.4299593;9.135053;11.515199
18.149107;71.53388;35.818104;6.342928;8.688439;23.426603;7.0157213;2.6812913;4.530745;10.016344;12.908164
13.361085;61.44623;38.556908;5.475794;7.714088;22.616217;7.2169456;2.6297464;4.4817257;10.766291;12.223672
14.090536;58.043583;31.26894;4.407827;7.1142173;20.776878;6.36694;2.2725708;3.8120017;11.298044;8.645261
11.055364;67.24131;33.856297;5.5865445;7.496014;20.790266;6.906099;2.4844673;4.042695;9.88409;10.631693
