2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.416729;19.751808;-3.9496534;1.5697755;7.306345;16.413723;5.4972076;1.794788;1.5389189;5.5573177;4.8638487
12.64902;16.784626;-3.778685;1.5630839;7.596483;16.01131;5.629795;1.6326432;1.6161888;5.580246;4.962525
13.034877;18.675444;-4.0871515;1.6625588;7.9117255;16.656548;5.4460115;1.7562333;1.6494557;6.112206;4.7615337
13.300918;19.44175;-3.8383288;1.5160899;7.0323973;17.321531;5.7429547;1.7780224;1.4049742;5.8756166;4.74239
12.288432;19.695301;-3.9227996;1.5543294;7.809176;18.233873;5.200956;1.8781303;1.5406384;5.6581836;4.967103
12.53641;18.66136;-3.9229572;1.5968049;7.874227;18.522335;6.023073;1.8079386;1.5334964;6.028683;5.0904965
13.2707405;20.521452;-4.0334654;1.708705;7.3161173;15.881396;5.299538;1.8720493;1.61962;5.462869;5.2859
12.680219;19.099295;-4.0242653;1.6205835;8.283901;16.245955;5.898294;1.7750174;1.7979995;5.7010326;5.0848827
12.187923;17.663261;-4.098977;1.6592366;7.7245016;16.553257;6.0517364;1.7907765;1.6039624;5.656827;5.0093656
11.930794;19.520678;-3.8056724;1.6141963;7.642314;15.829387;6.197152;1.7583778;1.6529056;5.485027;4.865949
12.234602;17.7511;-4.1374526;1.6045514;7.3014526;16.455154;5.8348794;1.8258682;1.5009315;5.8614755;4.5411496
12.226876;19.993782;-3.6799655;1.6940786;7.410177;16.760897;6.0754213;1.7550073;1.621006;6.452091;4.6501865
12.093978;17.308187;-4.014083;1.6124732;7.690389;15.8733635;6.00742;1.5812125;1.613397;6.55891;5.2549553
13.025907;17.424387;-3.7576149;1.5204394;7.8886986;15.792022;5.7884064;1.7847866;1.6419971;6.128856;5.1692634
13.087737;18.905424;-3.9688134;1.5454154;7.8021255;17.120615;5.7637863;1.73318;1.7554214;5.370251;4.7679305
12.650852;18.872656;-3.902078;1.3856792;7.767541;17.781698;5.7655883;1.8490701;1.5777332;6.202395;4.756042
12.985299;18.468472;-3.7281637;1.5668925;6.9032755;17.459566;5.845424;1.7111905;1.483238;5.966247;4.8149548
13.087627;18.535788;-3.9309683;1.6413676;7.2697434;16.614262;5.7508955;1.7641971;1.6943333;5.568242;4.646218
12.387934;20.051134;-3.7599905;1.4988494;6.976862;17.101109;6.247317;1.8772284;1.5633699;6.010897;5.0694394
13.370563;19.104324;-3.6307852;1.5699264;8.030339;16.276003;6.010847;1.8212938;1.5073476;5.9417744;5.0024214
13.226669;19.061224;-3.8140838;1.601799;7.2714906;17.547153;5.801478;1.943256;1.6877052;5.739203;5.444484
12.70879;20.514595;-3.7454374;1.494857;7.039248;15.815513;5.655335;1.6804177;1.5977193;5.815899;5.2218227
11.699175;18.966387;-3.9862034;1.5678539;6.8914356;16.98515;5.878469;1.8444685;1.5363885;5.776597;4.8686686
13.68104;18.008821;-4.1064196;1.598066;7.19831;16.173822;6.148355;1.7901889;1.5483357;5.769804;4.7194633
12.174852;18.411148;-3.881891;1.618225;7.439143;15.3365965;5.506228;1.7333206;1.4404167;5.419665;5.0384583
12.569154;17.473207;-4.21598;1.6149366;7.268251;16.94354;5.8968363;1.7639688;1.8038625;5.834696;4.7861943
12.355418;19.20405;-4.147852;1.490475;7.5065327;17.903215;5.653925;1.8745115;1.6679581;5.2792654;5.177645
12.25078;19.42103;-3.9767222;1.6618842;7.848659;17.86649;5.4568872;1.874263;1.7839432;5.41039;4.46785
11.982133;20.381378;-3.7948034;1.4343327;7.3057055;16.521694;6.0640163;1.9391739;1.5894948;5.6309366;5.045983
13.359537;18.269005;-3.8090591;1.5631791;7.7410245;14.794391;6.3387585;1.7932009;1.6662464;5.798303;5.0515075
12.56068;19.286476;-3.6620886;1.5767707;7.4181075;17.67853;5.814286;1.6475374;1.5349314;5.599952;5.3134146
13.535755;18.778656;-3.867572;1.6899902;7.0125647;16.380901;5.4646363;1.6150212;1.5488768;5.6780915;4.9395294
12.916597;19.01309;-3.7703946;1.663156;7.6442122;15.473227;5.7876;1.7232349;1.5167828;5.7854652;4.6956677
13.2582445;18.824894;-4.0020003;1.4842393;7.562541;16.666273;5.4778137;1.7223568;1.6319945;5.854293;5.276856
13.433091;19.597961;-3.584511;1.6697177;7.6683874;16.431473;5.484143;1.8440456;1.6292019;5.780793;5.0626774
13.138867;20.705421;-3.7929704;1.5946229;8.177452;16.266222;5.9240093;1.8678505;1.6190951;5.551078;5.1802106
12.252888;18.998041;-3.8558967;1.6431175;7.5553904;15.722419;5.9593697;1.9744968;1.6236166;5.701791;5.0772815
12.851582;19.346872;-3.7856593;1.6052008;7.3120747;16.217932;6.1224923;1.6650611;1.5126052;6.0452347;5.3135023
12.239108;20.007423;-3.6017675;1.5681736;7.5922537;17.538542;5.5963664;1.6640276;1.5751334;6.314895;4.701909
11.778752;17.988047;-3.3384676;1.7050211;8.083929;15.747727;5.1267023;1.7702321;1.5310279;5.6602993;5.088922
12.354077;20.140816;-4.211926;1.6822535;6.937068;17.306412;5.8761535;1.8950698;1.6471852;6.5490932;4.823574
12.982983;19.153307;-3.9942536;1.5100985;7.0218744;15.349007;5.606571;1.7722731;1.5028348;6.110823;4.8887267
13.0422735;19.550835;-3.8601408;1.675468;7.6568713;15.4510565;5.917081;1.7530024;1.6495788;5.7021046;5.4282007
