2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
15.56933;61.091816;35.047325;4.6303086;5.913673;19.93989;5.056055;2.2404714;4.066143;7.00011;9.069406
13.566845;53.893356;30.244617;4.4214125;6.581155;19.330978;5.2503257;2.3797145;3.8747697;8.8611765;11.5598345
15.967392;64.6355;32.54586;5.5133357;8.2427025;20.899487;6.109327;2.4441516;3.5444038;10.081727;10.512944
13.121329;59.937416;34.532455;5.68106;7.6487637;21.086744;7.4193573;2.5593712;4.881408;8.8208;9.291493
13.715956;54.709644;29.518373;4.964644;7.7398224;16.776075;6.038898;2.4164352;3.7348473;8.023414;9.483347
15.061936;54.45781;26.867102;4.8546596;7.306679;20.23308;5.2380815;1.7776934;3.7319353;7.6898685;9.077642
12.545337;59.017296;27.964113;5.3548617;7.0439568;22.324358;5.7337008;2.2842185;4.037448;8.262846;8.073573
12.778817;52.452274;28.884142;5.3099008;6.613558;19.425648;5.9861813;2.2627358;3.9421184;10.051769;8.615981
11.378709;41.867928;25.559647;4.1069384;5.57338;13.675262;4.043691;1.7370136;2.5944371;5.989723;6.4404063
10.501696;42.972622;21.750757;3.6091468;3.7608087;13.666955;4.1527786;1.6699157;2.6797864;4.789862;6.543863
7.0378156;39.76078;16.810984;2.7804708;3.9131627;10.364778;3.6722414;1.3947115;2.370021;5.2223215;4.851691
8.298427;33.638134;17.114574;2.7319107;4.4401946;10.883313;3.0674446;1.011903;2.0013745;4.3521113;5.94554
7.707036;32.323204;17.623627;2.9147208;4.1992064;9.324276;3.175861;1.2054853;2.055267;5.1257105;5.5334654
9.003225;39.193855;19.178776;2.5028286;4.0487223;11.97367;3.1561046;1.2028439;2.2849107;5.3563547;5.873549
7.8930254;41.79147;20.3783;3.2712052;4.895459;11.294604;4.1461625;1.945749;2.4361296;6.3959246;5.9826317
11.380802;54.961872;23.445919;3.4225457;6.0631776;13.042194;4.6564445;1.6361879;3.145933;7.8523145;7.031898
12.049409;46.652935;24.686245;3.6425521;6.5551805;15.960989;4.496292;1.6718434;2.603565;7.2664075;7.410349
12.7230625;49.196815;26.330376;5.6450725;6.4746895;17.272238;5.1646566;2.1966422;3.069973;8.306589;8.124894
13.480802;56.974194;29.590893;3.8326695;5.514899;15.559148;5.794024;1.8022715;3.2072597;7.4045153;9.7693
14.002541;53.043774;25.67065;3.8751035;6.654713;18.6978;5.0621247;1.644297;3.3969269;7.8249173;9.4721985
11.750923;53.324974;30.885733;4.002175;6.2642155;17.787422;4.4033294;2.013298;3.065054;6.0785775;7.8198776
12.890227;50.33389;28.638445;5.084127;6.0332894;16.645443;5.399491;1.8261232;3.873644;7.333672;9.109123
