2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.913673;52.32205;27.47585;3.4767053;6.4120703;16.73285;5.0682497;2.0430713;3.184923;6.8619943;8.1612215
10.087479;39.54285;22.539454;3.5459933;5.6453404;15.185625;4.476251;1.6718373;3.2188265;5.7309527;6.8495173
10.625007;38.75994;22.590023;3.6109095;4.4250135;11.26599;4.511718;1.6104153;2.717161;5.674843;7.050407
9.842376;36.118614;18.783476;3.021791;5.3822737;11.703691;4.186688;1.6375896;2.5336096;5.6732025;5.710443
10.88723;49.236027;21.896708;3.191227;4.90507;13.321015;3.5390007;1.7648933;2.5100343;6.512881;6.269532
9.985382;40.40309;23.363989;3.5934482;5.039098;14.093776;4.155104;1.6959339;2.8437393;7.0293546;7.38061
11.462188;50.184998;29.58301;3.512088;5.028038;13.646703;4.1146183;1.8008088;3.2709787;7.363604;7.9002457
12.2348585;60.138775;28.337801;4.7635446;6.4825845;17.777487;5.9017105;1.9723171;3.066806;7.955985;9.399678
12.280116;62.156586;30.794916;5.0930185;7.9359727;17.13051;5.9919143;1.9635848;3.7468066;8.056837;10.172725
17.069698;65.06934;35.118244;5.679265;7.871255;19.021435;5.7546463;2.665029;4.089707;10.204345;9.310195
17.885443;66.457245;33.995464;4.955249;7.0536413;18.825592;6.500415;2.325175;4.6481566;8.637144;11.293739
16.360744;58.65892;30.500715;5.385064;6.7049007;20.274843;6.0647388;2.5111315;4.4803305;7.686209;10.85671
16.976366;57.21466;35.9532;5.990471;8.10164;20.805027;7.3845634;2.6979825;4.6678357;9.637199;10.8938055
16.761986;70.33239;28.561836;5.4685197;8.094842;20.256937;6.664776;2.4457784;4.1685004;9.250031;8.793827
13.769979;59.142895;34.05818;4.4118333;5.562229;17.656376;6.269724;2.2304106;3.8687038;8.743647;8.721568
10.843727;59.93937;26.13351;4.734299;7.7497296;16.884968;5.490491;2.2762914;3.5375047;8.037661;8.702753
14.787916;63.14439;29.16974;3.9902844;7.3081384;18.442049;5.8052588;1.7458882;4.0644403;7.222669;8.207141
12.492176;51.563824;33.122906;4.9696207;7.243191;16.702997;5.161387;2.649468;3.6626985;8.487083;10.304681
13.6750765;63.44534;28.688517;5.0346923;8.066137;19.448317;6.830562;2.1831706;4.18603;8.793719;10.30278
13.562714;61.618954;30.053238;5.3423047;7.625841;22.989244;6.399818;2.3956792;3.5095983;9.032033;9.493982
13.808958;61.245834;27.825611;4.963284;6.216145;16.879896;5.710186;2.4312506;3.456787;7.3001275;9.717079
