1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
65.806076;26.274113;19.308388;19.271189;18.371408
61.519665;24.271162;19.916243;18.852732;0.0
47.67865;20.804033;16.1915;15.445821;15.782512
0.0;41.082558;0.0;30.596241;31.621088
50.851414;20.076227;15.284531;15.4982395;13.852327
64.21309;0.0;17.962343;18.768497;20.20819
79.759445;32.250126;0.0;0.0;22.234331
0.0;47.30606;35.749973;34.43264;37.11814
66.749176;29.052475;20.805683;20.396938;21.879496
90.948105;37.212364;25.839642;25.82656;0.0
78.426254;33.425976;23.300411;23.130451;23.417866
87.27015;37.48455;25.729198;0.0;27.034983
94.35664;38.281918;0.0;27.740183;29.146057
0.0;73.3204;0.0;55.308197;53.465294
71.34285;30.345333;23.733332;21.443949;23.969736
73.67709;26.76554;17.90825;19.79307;18.346418
67.70203;28.59548;20.917118;20.83822;20.432775
70.863335;28.265919;19.628056;20.094263;20.616678
72.71444;27.396957;23.15533;23.506586;21.885056
71.41671;32.55137;25.165401;23.495792;23.335537
76.86066;35.002254;0.0;24.764019;25.287106
67.23332;28.271244;20.895422;19.76332;20.351135
0.0;47.147774;37.367607;38.42341;36.952694
87.123;39.99534;0.0;0.0;28.046833
64.68995;30.963919;18.246803;20.220354;21.015257
60.267525;26.69733;19.49561;18.85542;17.991909
93.584854;0.0;24.40182;0.0;23.241377
49.855972;20.499132;16.575493;15.019629;15.765886
49.17443;22.067438;15.462155;16.12934;14.707782
0.0;52.323326;35.84826;0.0;42.41601
61.43405;25.275871;19.307297;20.129343;19.004932
0.0;64.56372;46.6584;50.874275;0.0
0.0;57.74172;44.159534;42.850487;44.074165
75.47515;32.673546;25.15369;23.139534;24.69688
99.0242;40.857994;30.457785;31.87415;0.0
94.618195;41.6103;30.082102;0.0;31.394354
83.99799;37.7967;24.548403;24.86833;25.51804
82.51519;37.29541;26.454218;24.763332;24.434973
117.59624;0.0;39.151287;0.0;37.423687
101.45797;0.0;36.901474;0.0;34.660973
0.0;94.88561;0.0;68.55776;0.0
0.0;73.00069;49.99847;54.2594;0.0
92.20546;38.324295;27.770624;0.0;27.771982
80.18544;35.197044;29.255148;26.613033;26.401129
85.4737;39.38754;26.861704;0.0;26.82573
89.35616;33.218487;24.588303;23.568111;0.0
70.27872;32.024;21.415205;22.557796;20.632908
67.50656;30.668802;21.413452;21.342901;24.01587
97.146774;0.0;29.780346;30.299206;0.0
72.49454;0.0;22.84221;24.437819;23.019354
62.68379;27.752127;18.610897;0.0;18.968172
53.829872;21.65686;16.33068;16.506031;16.512718
75.99739;0.0;24.58468;0.0;23.401833
53.12406;23.075998;17.094055;17.26027;15.510394
58.19983;28.210613;19.459478;18.92752;18.33015
81.813225;30.837551;24.666895;25.34092;0.0
74.13129;35.122654;22.888306;23.243225;24.071423
92.412;43.00872;0.0;27.67435;28.048706
81.20597;34.30146;25.247099;24.2914;25.553234
95.64803;40.044594;28.473515;28.997646;0.0
93.900345;46.67993;31.458698;28.52673;0.0
80.24763;35.156574;26.15364;26.332785;26.122229
89.34198;37.84564;29.158686;28.64922;0.0
0.0;65.46515;52.521587;0.0;51.287525
