1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
104.59176;104.21252;100.455376;106.80363;109.561615
105.49576;104.12732;101.812775;107.47095;-1.0
105.32431;104.26977;101.93266;106.54275;109.15347
-1.0;103.91912;-1.0;105.7456;108.71568
105.81953;103.87097;101.910995;106.86539;108.34707
103.86852;-1.0;100.811485;106.556274;108.74284
105.44963;104.42947;-1.0;-1.0;107.88709
-1.0;105.10345;102.98264;107.285095;108.61791
106.32471;105.036964;102.19823;106.288376;109.36861
105.38137;104.91931;101.19657;107.45577;-1.0
106.06602;104.504295;101.67529;107.67081;109.71117
105.58121;104.72664;101.13394;-1.0;109.19088
106.071236;104.1139;-1.0;106.62719;108.79163
-1.0;104.56906;-1.0;106.59895;109.56711
106.062164;103.608055;100.521255;107.450615;109.392044
105.68452;105.0386;100.63814;106.74203;107.85637
106.33556;104.007576;101.99549;106.99634;109.01857
104.89764;104.66056;101.77892;106.85219;108.647766
106.81021;104.54825;101.316986;107.35569;109.29736
105.41669;103.825806;101.5248;106.95194;109.34276
105.458725;104.288895;-1.0;107.16476;109.30091
106.11883;104.92986;100.73637;106.636314;109.597
-1.0;104.56588;101.99557;106.85535;108.12362
106.489334;104.808914;-1.0;-1.0;109.90904
105.975945;104.971214;101.25903;106.70299;108.15652
106.30098;104.79776;100.88187;106.632965;108.59102
104.164665;-1.0;100.403404;-1.0;109.079666
105.22373;104.92221;100.70632;106.37933;108.87021
105.30538;103.139656;101.67142;106.422104;108.516304
-1.0;105.25452;101.710594;-1.0;109.17527
105.855995;103.70088;101.20239;107.301994;109.104324
-1.0;104.401245;102.246735;107.471504;-1.0
-1.0;104.11467;102.16843;107.29458;108.68686
106.146385;103.831985;102.456795;107.11963;108.23063
105.4717;103.60382;101.153046;107.14254;-1.0
106.43496;104.925026;101.789375;-1.0;108.16066
106.04219;104.23272;100.68479;106.52154;109.792694
105.11375;104.24767;100.83556;107.029816;109.48308
103.577934;-1.0;101.15485;-1.0;109.40904
103.53867;-1.0;100.710815;-1.0;109.64191
-1.0;104.50338;-1.0;107.18697;-1.0
-1.0;103.7008;102.30618;107.75592;-1.0
106.538155;104.01493;101.38825;-1.0;108.306656
105.61764;104.7999;100.80046;107.08048;108.36372
105.87466;104.0209;101.150856;-1.0;109.34619
106.57054;104.332054;99.93068;107.1595;-1.0
105.17611;104.847755;100.92288;107.262886;109.455444
105.5053;105.07518;101.63627;106.54977;108.86114
103.994194;-1.0;100.30181;107.92993;-1.0
104.51732;-1.0;101.27199;107.352066;109.42851
106.329956;106.25682;101.8451;-1.0;107.74534
105.44985;104.35564;102.194984;105.9167;109.40271
103.387405;-1.0;102.23885;-1.0;108.93207
105.52739;104.97137;101.50038;107.324936;108.924255
105.79893;104.141975;100.47561;107.10445;109.02642
106.435844;105.516624;100.97679;106.91627;-1.0
106.38152;104.82106;101.215294;106.72844;108.339714
106.21486;103.993484;-1.0;107.3158;108.54699
106.20893;103.50485;101.82697;107.699234;107.93276
106.141945;104.74684;101.511314;106.66669;-1.0
105.59793;103.35685;100.60187;107.83973;-1.0
105.94833;104.469925;101.043396;106.33051;108.93629
106.25624;105.18136;100.43947;107.787895;-1.0
-1.0;104.59417;102.05855;-1.0;108.949905
105.9325;104.14419;100.48367;106.84416;108.464355
104.71613;104.1312;100.97301;108.10741;109.14274
106.017944;104.61651;-1.0;107.09234;109.48962
