1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.82293;104.5;101.216064;107.0;109.0
105.87657;104.5;101.17175;107.0;109.0
105.869934;104.5;101.25835;107.0;109.0
-1.0;104.5;101.59192;-1.0;-1.0
-1.0;104.5;101.80293;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.88851;104.5;101.02537;107.0;109.0
105.825645;104.5;101.04361;107.0;-1.0
105.75829;104.5;101.51272;-1.0;109.0
104.22735;-1.0;101.0;107.0;-1.0
105.792435;104.5;101.0;-1.0;-1.0
105.83302;104.5;101.0;107.0;-1.0
105.92342;104.5;-1.0;107.0;109.0
105.800095;104.5;101.31737;-1.0;109.0
105.85406;104.5;-1.0;107.0;109.0
-1.0;104.5;101.92532;107.0;109.0
105.74814;104.5;101.528915;107.0;109.0
105.64987;104.5;101.6997;107.0;109.0
105.60096;104.5;101.82317;107.0;109.0
105.552025;104.5;101.90639;107.0;109.0
105.60804;104.5;101.83051;107.0;109.0
105.596344;104.5;101.84883;107.0;109.0
105.61333;104.5;101.66938;107.0;109.0
105.73365;104.5;101.59053;107.0;109.0
105.80841;104.5;101.20085;107.0;109.0
105.82404;104.5;101.375694;107.0;109.0
105.89195;104.5;101.05188;107.0;109.0
105.86084;104.5;101.19268;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
-1.0;104.5;101.85585;107.0;109.0
105.76411;104.5;101.170235;107.0;-1.0
105.7765;104.5;101.18727;107.0;-1.0
-1.0;104.5;-1.0;107.0;109.0
105.86191;104.5;-1.0;107.0;109.0
104.75687;-1.0;101.0;107.0;109.0
105.89426;104.5;101.37457;107.0;109.0
105.77564;104.5;101.54433;107.0;109.0
105.74731;104.5;101.57928;107.0;109.0
103.69956;-1.0;-1.0;107.0;109.0
105.735214;104.5;101.57978;-1.0;109.0
105.63993;104.5;101.7836;107.0;109.0
105.61433;104.5;101.77506;107.0;109.0
105.5147;104.5;101.38308;-1.0;-1.0
105.55722;104.5;101.608696;107.0;-1.0
105.6123;104.5;101.8535;-1.0;109.0
105.58851;104.5;101.7651;107.0;109.0
105.65497;104.5;101.68912;107.0;109.0
105.71263;104.5;101.58111;107.0;109.0
105.74455;104.5;101.56726;107.0;109.0
105.799385;104.5;101.40298;107.0;109.0
104.81429;-1.0;101.0;107.0;109.0
105.85225;104.5;101.240326;107.0;109.0
105.826294;104.5;101.55229;107.0;109.0
105.90252;104.5;-1.0;107.0;109.0
105.77685;104.5;101.36169;107.0;109.0
105.79913;104.5;-1.0;107.0;109.0
105.703064;104.5;101.54312;107.0;109.0
105.79371;104.5;101.0;107.0;-1.0
105.83809;104.5;101.174446;-1.0;109.0
105.77099;104.5;101.41414;107.0;109.0
104.599174;-1.0;101.0;107.0;109.0
105.71027;104.5;101.63328;107.0;109.0
105.74882;104.5;101.20733;107.0;-1.0
-1.0;104.5;101.7207;107.0;-1.0
105.5766;104.5;101.82914;107.0;109.0
103.88233;-1.0;-1.0;107.0;109.0
105.48422;104.5;101.99217;107.0;109.0
105.48137;104.5;101.79258;107.0;-1.0
105.458885;104.5;102.08741;107.0;109.0
105.50069;104.5;102.06215;-1.0;109.0
105.54578;104.5;101.8554;107.0;109.0
