2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.116757;62.491364;23.57252;3.869461;5.889094;15.078725;4.219694;1.7665206;3.6940384;6.9558177;7.0209017
11.778555;54.390244;24.24446;3.8272185;5.239849;16.73879;5.358245;1.8280172;3.797826;8.094727;7.7176046
12.79927;55.397038;28.972225;5.554951;7.1936994;16.30095;6.04289;2.0884342;3.0741866;7.433282;8.433687
12.980198;64.976685;32.29982;4.4989676;6.3875365;14.570372;5.490125;2.2913685;3.2980833;8.572041;9.278688
10.5276165;47.614285;30.770355;4.2813163;6.1100893;17.94883;4.773801;1.7355258;3.728816;7.5169373;6.5514584
10.453521;56.70527;26.465963;3.6664052;6.394679;15.888648;4.954294;1.8976476;3.131662;7.9712877;7.525941
13.472548;55.673046;29.88008;4.3291698;6.0760627;14.3007555;4.4562373;1.6094364;3.5273647;7.6486516;7.5704985
13.7619915;54.23284;27.05855;4.992033;5.534224;16.922836;4.3874073;1.7120273;3.0658884;7.442131;8.782514
9.420025;41.829872;18.660002;3.3560557;4.7085176;13.376485;3.7997267;1.603113;2.5950248;5.6372843;6.9077773
9.041837;44.070305;21.380417;3.380803;4.964623;14.381011;3.9966195;1.4509615;2.4474778;5.1085534;6.1051335
7.0639095;34.70928;15.671168;3.6673303;5.2910323;11.85593;3.298676;1.4914701;2.3694625;5.1923804;5.945684
8.224313;32.24795;17.696241;3.3057241;4.011085;11.333369;3.8860924;1.3040433;1.8771274;5.238555;6.0160856
6.6345673;38.102684;17.167309;2.8843968;4.5673018;9.757907;3.3831778;1.2218455;1.8451647;5.036284;4.712548
8.560189;36.59249;18.81299;2.9780674;3.949948;12.780558;3.7810125;1.2368777;2.426151;5.8778243;5.4944706
9.635618;44.920986;23.940304;3.536781;6.03523;13.869189;3.978214;1.3792025;2.873071;7.297421;6.8664227
10.35781;50.450565;24.281765;4.0089335;6.034884;15.5997925;4.207703;1.7773988;3.1528244;5.502931;7.148071
11.113851;56.98201;22.956703;4.3771462;5.8814025;15.869456;5.242143;1.7091175;3.3638635;7.139686;8.150923
11.417802;52.965733;32.00579;3.9809635;6.4952154;15.567529;4.439652;1.8903315;3.0845163;7.8469925;8.951432
14.643429;58.159336;25.453884;3.870866;7.0037374;18.815084;5.1063833;2.0493813;3.5801108;8.373245;8.461668
11.668945;49.597263;28.794483;5.3751383;6.3176556;17.959978;5.279503;1.9337385;4.1553645;9.582107;7.450566
14.165277;49.73861;30.99734;3.869458;7.124011;15.315298;5.272909;2.4386692;3.6125064;7.956239;9.741189
12.073886;55.341908;26.302368;4.3701863;5.080398;18.149057;5.8205633;2.251397;3.4047189;7.7710886;9.322911
