2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.624915;20.057966;-3.8711598;1.5133946;7.6114326;18.09144;5.1104994;1.8342894;1.550948;6.4628377;5.2622886
13.871941;19.556538;-3.9213219;1.6466533;7.5353923;16.422611;6.296604;1.7756284;1.721922;5.75204;5.4297986
13.351728;19.36493;-3.5862124;1.7256249;7.34131;15.113502;5.840409;2.021443;1.6757296;6.0941615;4.969617
14.467472;19.077814;-3.776215;1.6105124;7.8637214;17.416147;5.345005;1.8239127;1.6322768;6.096313;4.6477604
13.08695;19.54574;-3.9253998;1.5583893;7.6942325;16.803501;5.7762284;1.8577366;1.5570939;5.5466046;5.092877
12.701665;17.974194;-4.039898;1.5298308;8.043473;15.80104;6.062755;1.8277957;1.6069179;6.016686;4.814709
11.940695;19.124355;-3.7422059;1.5987631;7.358434;17.1323;5.5118623;1.7903658;1.5527952;5.456807;5.1768403
13.195184;19.556082;-3.8952377;1.6685057;7.6972103;16.19127;6.100184;1.9561224;1.4763395;6.00959;5.4779863
12.612985;20.05679;-3.7441852;1.7152997;7.6282687;16.168604;6.1506014;1.8551319;1.5214775;5.9859457;5.1337557
13.303514;17.96656;-3.9097514;1.6696872;8.038371;17.650099;6.1578016;1.7606928;1.5531261;5.773924;5.0636473
12.759639;19.461006;-3.8649402;1.5736332;7.576244;17.92569;5.8003263;1.8245748;1.6523105;6.1356807;5.1095023
13.836582;18.700603;-3.6588662;1.6841061;7.7487035;17.1757;6.0053244;1.7164104;1.5683125;5.750994;5.007529
12.9184265;18.634954;-4.0349092;1.5343162;7.495648;16.900904;5.9183927;1.7650286;1.515834;5.7170277;4.798059
13.720138;19.328196;-3.8283594;1.6453233;7.672945;16.326479;5.9012303;1.6995883;1.5950689;5.9018364;5.959565
12.026834;18.19808;-4.2538066;1.5324764;6.7423973;16.95892;5.7787147;1.9623303;1.6225408;5.632748;4.5874543
12.754581;20.089201;-4.127349;1.7379419;6.9655905;16.854513;5.3708262;1.8566319;1.7370145;5.9280825;4.7949185
12.708323;18.135221;-3.9756405;1.7148871;6.99603;17.000748;5.9713535;1.6183691;1.599553;5.389673;5.393231
13.183691;18.645208;-3.7785254;1.6183916;7.7596116;15.901389;6.239094;1.7400365;1.5343279;5.647845;5.394437
13.199821;18.701225;-3.8718455;1.5128797;7.762435;16.84047;6.030244;1.7572415;1.5410886;6.0144777;5.048145
12.567742;19.349283;-3.9966943;1.6123084;7.362559;16.63131;5.970661;1.8293409;1.5761151;5.4751616;4.8554454
12.941872;19.276836;-3.6155202;1.6234554;7.4552784;15.66209;5.860342;1.8762852;1.4752637;5.6113186;4.7398896
13.813732;18.849905;-3.9612856;1.6097703;7.5185595;16.893784;6.07123;1.726324;1.6546724;6.060543;5.178365
13.880139;20.446966;-3.725045;1.5665944;7.49564;16.858227;6.0072703;1.7463517;1.6000304;5.792441;5.1283665
13.565763;18.498703;-3.638386;1.7981606;7.1366687;16.893915;5.318455;1.7110672;1.5780895;6.0587792;5.064035
11.847798;19.789843;-3.7710865;1.6285989;7.243509;16.88689;5.9133935;1.8726254;1.4953485;5.674151;4.973534
13.146565;18.742874;-4.0352087;1.7028787;7.2140102;16.21411;5.5808764;1.6236913;1.5311984;6.0502024;5.1174498
12.047544;19.902443;-3.81729;1.7316478;7.373912;16.934927;5.963559;1.9293995;1.5369048;5.5572157;4.7791967
13.681718;18.460226;-3.7023835;1.4818025;7.4556174;16.775146;5.5873294;1.7864023;1.606463;6.2288733;5.135159
12.86548;18.198206;-3.9967897;1.6386715;7.5089993;16.001202;5.9984875;1.8004745;1.5715536;5.756061;4.6613984
12.89495;17.14464;-4.031477;1.691433;7.7807336;16.584711;5.5307255;1.7595732;1.5936027;5.791806;5.037841
12.839693;19.549639;-4.00767;1.632532;7.5800104;17.160683;5.826157;1.7290176;1.6130316;6.2600904;4.923963
12.571287;17.5038;-4.2422166;1.7451384;7.7545986;17.09814;6.3259473;1.8247261;1.5381987;5.785965;5.072415
13.265787;19.238466;-4.093316;1.6103473;7.953083;16.345201;5.827129;1.8572341;1.5582371;5.241495;4.954631
10.700687;18.776829;-3.9331732;1.6112343;7.4748945;16.653368;6.318436;1.9521775;1.520979;5.8956265;5.31569
12.943159;19.784811;-4.024293;1.5755925;7.4413657;15.1976;5.802361;1.6186931;1.5075929;5.860685;4.897247
12.787107;18.869959;-4.2477036;1.723671;6.9194455;16.2429;6.0248775;1.8183235;1.6647148;5.9958253;4.921568
12.975893;18.59364;-3.8151212;1.6670312;7.5730753;18.662014;6.122466;1.78657;1.5535357;5.66403;4.8433204
11.843137;18.24303;-3.9685583;1.5726964;7.2122273;19.167192;5.727704;1.7411122;1.5964752;5.9808764;4.9729495
12.198111;17.93129;-3.9260883;1.5764766;7.8167343;17.063848;6.166866;1.7789222;1.6028824;5.651166;4.888995
12.27713;18.011135;-4.2449703;1.5203624;7.1841674;15.260709;5.8841176;1.8372196;1.5825175;6.2257876;4.8999124
12.790934;19.928661;-4.1088758;1.4746089;7.069333;17.827631;6.008762;1.8334799;1.6212832;6.3158555;5.096919
12.575565;19.487774;-3.7928293;1.8366835;7.930249;16.35566;5.6888995;1.8279302;1.6050141;5.835436;5.2529874
12.06654;16.800083;-3.7367568;1.685661;7.1086397;16.69741;6.393999;1.6830873;1.7128168;6.507861;5.1106887
13.386927;19.420593;-3.7207282;1.5036787;7.760567;17.522425;5.3828897;1.6700937;1.5869957;5.931971;5.2994785
13.2027445;18.329695;-3.6565504;1.6431806;7.907583;16.852335;5.912998;1.7515411;1.6175599;5.286781;4.9360437
13.080926;18.664394;-4.090124;1.505715;7.3904324;16.963442;5.677871;1.6289737;1.6604587;5.655613;4.8749895
12.163951;17.919153;-3.596472;1.7211059;7.6851225;16.470776;6.1546545;1.8446676;1.5610193;6.0147176;4.8333435
12.567624;19.19779;-3.707606;1.5727348;7.5884905;17.118431;6.1389585;1.8939168;1.499265;6.0739293;5.067059
13.016665;18.195663;-3.901552;1.6294441;7.5257215;16.393183;5.757077;1.704324;1.5481826;5.5046997;5.0926113
12.517183;19.333036;-4.0360093;1.6749372;7.1964035;16.874949;5.762569;1.6905378;1.5061105;5.5426817;5.171858
12.420993;19.420753;-3.6797447;1.6155304;7.534516;16.680481;5.8452024;1.7917372;1.5532031;5.905589;4.864456
11.84376;19.250149;-3.7918599;1.5509573;7.730111;16.132017;5.851618;1.7399182;1.4989941;5.749645;5.108546
13.380752;19.346958;-4.057728;1.4404688;8.213777;15.749058;5.892017;1.7801422;1.6838753;6.009376;4.456306
11.984954;19.27272;-3.5646975;1.496041;6.966302;15.865355;6.1407576;1.6289314;1.5298827;6.0677733;4.874167
