1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
63.509605;24.147228;18.31435;20.632856;19.5079
60.162243;27.395782;16.414528;21.214418;19.150856
82.72743;0.0;24.471703;24.770287;27.89629
70.90086;30.033398;20.998577;21.81097;22.991991
0.0;44.584934;34.82941;35.27052;33.17855
68.10034;29.75001;22.375423;21.361723;0.0
73.48289;33.64071;19.638561;0.0;22.362148
64.37962;27.574072;20.84481;18.839695;19.863909
59.133797;0.0;16.516138;19.405169;19.318218
59.351234;0.0;18.183575;19.12501;16.625423
0.0;31.505325;23.978714;21.205194;21.824385
41.07562;16.846443;11.4530735;12.145273;12.782067
0.0;30.61176;20.852453;23.371695;21.584667
43.5816;18.192516;12.497614;14.030525;12.18955
54.0812;23.232426;16.607708;16.092083;15.74117
61.246227;28.593054;0.0;20.233885;17.988705
65.97121;25.161612;19.675467;17.48526;19.944942
71.44391;32.18944;24.825565;22.210886;0.0
64.78097;28.291372;21.636122;20.241205;21.458897
78.6536;31.034573;22.571276;22.94401;0.0
78.33883;31.437647;0.0;21.730911;24.88176
79.14987;0.0;22.448683;23.973915;24.288433
58.59856;24.488794;17.97225;17.649012;19.762589
55.184307;26.09872;18.011982;16.678764;18.898346
58.25301;23.338627;17.601765;17.778624;15.913905
0.0;40.947918;32.57692;32.891216;30.236164
75.575714;0.0;21.78693;23.086456;22.08687
65.808136;27.866333;20.528645;20.83454;21.991085
61.476086;25.404314;19.96866;20.44161;19.60022
79.016174;30.898386;24.451952;0.0;0.0
58.803192;22.645405;18.418102;17.564564;17.437174
57.6552;23.020464;16.705921;18.734516;18.020494
46.857224;21.726343;13.723839;15.127141;14.735095
43.11024;17.742914;12.449216;12.52751;13.140584
40.250324;16.89928;11.997469;12.921236;11.321122
41.642662;16.746006;11.375121;11.972129;0.0
35.17977;14.902225;10.6582365;11.045953;10.518086
37.77889;17.804892;12.431305;11.649782;11.198491
53.735847;23.499788;16.629988;0.0;15.394061
49.52212;21.681423;15.197443;14.668077;15.384323
54.480755;22.920334;17.109644;17.418865;17.171902
59.920082;25.587416;18.38995;17.046574;16.25573
63.265526;25.908499;18.900848;18.913637;20.437185
57.31131;24.118977;18.40351;18.587938;18.58965
62.239113;24.464563;18.37841;18.084312;20.279356
59.58547;23.644377;17.430498;18.567358;18.309645
54.055977;24.266394;15.947533;15.263054;15.247932
54.092583;20.944933;17.06096;15.504034;17.551357
52.4782;21.69591;0.0;15.592308;16.082052
0.0;46.503727;37.595284;0.0;39.302055
68.176094;29.670898;19.614546;19.76332;0.0
53.486897;22.119406;17.03889;17.567524;17.320677
65.2725;0.0;19.909176;18.069645;17.79456
51.726295;22.097511;15.795926;14.328936;15.910269
54.653503;21.89353;15.0078535;16.183256;16.601748
51.12845;21.325926;14.624118;15.93284;16.308203
70.21179;28.91042;0.0;19.848911;21.207003
56.849754;22.972607;18.137728;17.174366;17.258112
0.0;35.324093;26.934168;28.121216;29.323492
58.894817;23.526426;18.266893;0.0;17.897097
54.895824;23.908758;18.614208;0.0;16.980412
74.26711;31.071737;22.728981;0.0;0.0
61.53714;23.830196;18.358986;18.555164;19.087406
69.07894;31.482376;19.565535;20.849957;20.272686
72.7701;28.850979;22.454895;23.265078;22.728155
78.296486;31.130527;23.04235;23.585766;24.405203
78.955956;32.4195;22.78612;22.093468;23.427364
95.457245;40.474792;0.0;30.85874;29.295773
95.52431;39.396004;0.0;28.106989;26.736277
81.304794;32.394154;28.449884;0.0;27.013737
98.9005;41.561928;28.92226;0.0;0.0
67.271164;31.372803;21.348873;22.764307;21.720901
66.57579;29.955143;18.345585;21.002653;18.91745
108.654236;0.0;34.598648;33.411133;0.0
78.63377;28.88996;21.454779;22.864895;23.105457
90.338;37.16699;27.89736;0.0;28.384695
68.59963;26.14152;20.100086;21.379229;23.537062
75.80899;0.0;25.95644;25.66236;22.959288
72.714584;30.413334;21.035551;21.964977;21.50668
81.84024;35.7128;0.0;24.18523;25.66896
70.8326;27.672;21.638588;19.37786;21.763536
66.389755;30.377432;23.59331;0.0;22.037493
54.931805;24.096355;19.030828;16.050638;18.604246
56.262367;26.514725;15.785402;17.772518;0.0
52.00625;20.057285;14.599237;16.354078;15.204844
58.1977;26.730389;0.0;19.277119;18.363743
63.63329;24.942385;18.619848;18.225058;20.48416
71.758934;31.609537;21.855255;20.203474;20.131836
82.88673;33.003326;24.89394;25.35182;24.777378
0.0;54.88259;43.30681;44.08139;47.65604
85.93042;35.25448;27.18417;25.829657;26.47611
87.453804;38.86065;24.358025;26.936268;25.965479
94.30257;38.99044;24.378067;25.828634;24.157576
103.281494;43.063484;0.0;29.582386;31.976389
78.21203;33.46112;24.215847;24.586555;26.32808
76.93186;31.301556;23.295513;22.117708;21.795628
99.18362;43.62724;0.0;32.09928;0.0
