2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
15.704138;64.280075;33.68346;5.2100477;7.679026;19.410648;6.188255;2.2854161;3.559192;8.3217325;10.352385
13.894539;55.74187;28.019812;5.161714;7.3330283;17.222912;5.2210684;2.0741735;3.8912258;9.060785;9.309595
14.031163;50.84371;33.008568;3.6681545;5.9299364;18.516935;4.785497;1.8826402;3.3677928;7.370343;8.970949
11.230482;52.578056;22.688997;4.705786;5.4008355;15.799929;4.82158;1.6117747;3.217792;6.6228914;6.716708
11.473977;47.672546;21.897867;3.8845031;6.2368255;15.659178;4.738654;2.092644;2.8620079;6.9315825;7.1063128
12.027355;56.12348;27.23705;4.408882;6.3014293;15.029361;4.798767;1.96123;3.5011852;7.904048;7.466655
14.582762;54.911873;33.815178;5.1463847;7.1395288;18.295746;5.946193;2.2354074;4.303596;8.709273;8.354729
14.274042;73.51357;36.578133;5.618629;8.325012;24.517326;6.9306617;2.5634034;4.86016;10.74198;10.668153
16.06974;75.57206;35.32787;5.426091;9.862357;23.87268;6.940503;3.0698571;4.363214;12.151273;12.718799
16.977299;79.90883;33.95336;6.141886;10.290138;27.351862;7.473054;2.9313674;4.5785108;10.807064;13.440285
17.62805;79.5209;45.50323;6.3695803;8.503704;22.777338;6.821926;3.082771;5.5730243;12.399694;13.325098
17.227886;77.397995;40.88154;6.665802;10.347737;27.216166;7.346038;3.006761;4.771274;12.253397;13.391728
19.772923;78.29954;41.334526;6.7567787;10.769911;24.170467;6.728247;3.6302395;5.659958;10.8000345;13.483861
20.244246;74.272736;37.997627;6.656291;9.951084;22.71233;8.70249;2.795648;5.041138;12.957675;11.535669
16.535515;65.78057;35.326366;6.340758;8.334818;25.188955;7.4362593;2.7317505;4.674381;10.2670965;11.980439
16.579247;73.09395;33.03697;6.095159;8.143164;23.328436;7.3857055;2.9349692;4.2388935;10.949399;10.426301
14.541979;67.691086;38.786713;5.9559875;7.983101;20.853365;6.128029;2.8017612;4.4589705;8.847184;10.839922
16.650814;75.551315;35.988995;6.0196257;8.598962;21.650572;6.979552;2.632013;4.7883587;10.22103;9.816997
16.794445;76.70557;40.663734;6.39023;10.128975;22.366253;7.3701234;2.6805975;5.052533;10.532381;12.366598
17.75261;78.690445;43.22082;5.8207965;9.370498;24.568624;7.047839;2.7217054;5.102227;10.572899;12.831358
16.078745;71.009094;38.616062;6.348565;8.561278;26.542654;7.2097692;2.4457211;4.976943;10.094283;13.09173
17.951616;63.21825;39.49644;5.1097064;8.465885;22.957438;6.5059457;2.6622984;4.4391217;10.688509;11.160011
17.33582;69.52929;38.565525;5.356007;8.857542;20.45853;6.8584414;3.0592852;4.327367;10.109218;11.356263
18.149965;62.992638;35.036373;4.99261;8.494949;19.292755;7.185178;2.8351295;4.470076;9.12017;10.83503
15.273306;76.0151;34.86797;5.3393087;8.283585;22.414505;6.5499396;2.7598255;4.331025;9.2268715;10.938483
15.723935;62.392334;34.88814;5.226105;7.569233;20.167797;7.587737;2.2392073;4.597944;8.603201;9.596319
13.200636;55.31372;29.921469;4.838305;6.9635925;17.774231;5.9252944;2.2654471;3.7538476;8.96204;9.841516
12.712262;50.33396;25.730656;4.7491446;6.6821733;16.260723;5.1490316;1.9910227;3.3547657;7.9564767;8.953494
13.025774;57.41093;25.736364;3.837513;6.227877;15.527039;4.9201403;1.9632441;3.162002;8.357531;7.7682877
11.783075;57.01181;28.837896;4.3048973;6.479818;20.875011;5.6253967;2.298149;3.925733;7.284032;8.510397
14.851209;59.43081;40.0338;4.951684;7.2106833;21.276508;6.4317193;2.1010878;4.1282606;8.97867;10.216166
16.139114;65.96952;39.416786;6.0293117;8.688372;23.816553;6.6901917;2.783722;4.6271205;10.277533;11.504053
19.713345;79.481155;41.69905;6.823127;9.51127;25.819363;7.3093367;2.8989286;5.2250423;11.160788;13.402394
18.967848;90.978745;41.944893;7.7983756;10.1910095;27.392462;8.59563;3.342453;5.807767;12.369569;13.475227
20.718285;77.711075;45.397778;7.090106;10.948522;27.663656;8.774986;3.4592621;5.017231;13.333316;15.030078
21.859016;92.97668;44.166557;7.4651093;10.3444195;26.304337;8.190644;3.4597142;5.5610065;13.200693;13.304192
22.87379;86.27815;43.38822;7.5032463;11.268018;29.633926;8.285536;3.3428051;5.534873;10.974112;16.280375
