1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
73.99854;34.217697;24.36422;21.401917;24.742725
63.995007;30.494984;21.628143;21.324833;21.10214
67.148605;26.466564;20.07021;20.491192;19.81772
57.850708;24.657328;17.968359;17.032324;19.214424
57.72593;23.157656;15.802243;16.748383;18.395733
60.330482;26.194996;22.03176;20.398815;19.238398
0.0;47.06643;40.466347;37.417297;39.033497
0.0;62.62916;45.718235;45.57904;45.59005
85.176285;41.958714;25.885885;26.759693;28.444296
87.628334;39.88108;27.79921;30.740835;30.766672
0.0;86.808975;65.37655;0.0;70.6602
0.0;89.83868;0.0;65.08797;68.19187
0.0;72.012955;49.09587;50.8228;50.536945
93.89326;38.29299;27.346283;29.666126;26.679882
84.77419;36.148872;26.146475;23.889687;26.185902
84.95735;33.604836;27.03555;26.1896;26.989264
82.275375;34.174156;25.259876;22.855663;26.749258
118.92462;48.730354;0.0;36.725594;0.0
103.54573;45.47588;30.125553;35.88004;0.0
94.8293;37.95109;31.02943;27.96424;29.034113
87.4637;39.035255;27.577337;25.585274;28.128103
84.06805;33.946323;27.508175;25.493639;24.050364
84.77535;34.652122;28.059814;27.819784;23.041878
90.44784;41.109894;26.9422;0.0;27.589615
85.15336;36.27589;26.567722;26.387232;24.316002
76.25326;31.62033;23.2744;25.141388;24.40862
66.36228;30.285934;20.4822;22.2368;21.121143
71.57095;29.170181;0.0;22.597378;22.616152
65.086334;26.150742;18.640614;19.167984;20.500708
68.37895;30.746124;19.377771;19.768475;20.485336
94.95927;0.0;27.87803;30.936579;28.073975
103.52547;0.0;33.01891;29.744497;32.21024
98.08957;40.300526;30.226007;28.097942;29.618128
105.0119;47.19439;31.637177;31.0861;29.91402
0.0;72.39783;53.633705;54.807484;55.445885
127.53589;0.0;41.18766;40.84725;41.176308
110.22575;43.380608;31.144455;32.72642;31.928738
110.62123;39.376213;31.01146;29.657904;29.751003
110.12581;47.13846;35.182888;0.0;32.761894
93.62264;37.180504;27.387543;28.793463;29.44744
88.06424;37.03321;26.385437;30.998577;28.684301
85.84382;37.166645;26.62355;29.302734;27.168356
105.56522;42.24639;31.68841;29.318197;31.634634
114.14064;47.853706;33.54611;0.0;31.67046
111.4489;43.31215;33.485367;0.0;34.004623
87.334816;38.69659;24.31445;27.22226;25.737682
86.869484;36.27146;27.741648;26.56718;28.168243
85.19248;32.73316;25.468351;26.111277;25.679226
100.313034;40.669865;29.086231;29.666265;0.0
77.49331;31.736572;25.483372;22.178465;23.675795
66.19744;31.582895;22.862484;21.12509;21.229658
0.0;47.432564;35.882;33.522823;30.651926
64.61518;26.911419;19.059338;19.475021;18.663115
66.93954;29.602474;20.475788;19.138657;21.678585
77.08086;33.641647;23.566357;25.55445;25.544668
93.118034;39.515892;28.555775;27.383541;26.388205
95.02262;38.771095;28.297466;28.49384;28.333069
110.56282;52.664207;38.633873;0.0;35.287704
100.62468;41.915455;29.392715;31.87583;29.733469
123.43984;54.98885;0.0;38.3928;39.281742
92.45369;45.189133;29.673609;30.130703;31.582489
152.10583;0.0;0.0;48.44248;44.11132
120.100784;0.0;35.178467;34.96713;33.379086
94.31044;37.250526;29.66264;28.874943;30.27457
83.3879;36.320282;25.572098;25.046726;26.300333
105.00967;46.149868;34.179768;36.019375;0.0
0.0;88.63165;0.0;71.510216;70.08196
102.79042;40.627014;27.866434;31.060339;27.864664
111.644394;47.89496;29.971645;0.0;31.762455
97.43956;38.854496;28.831106;28.96651;28.290646
105.38529;0.0;36.03809;31.439615;31.99383
86.089584;38.126698;28.328238;29.418377;29.87381
85.61399;33.55967;25.342964;26.69335;25.852085
88.9311;36.398632;24.902084;27.66098;0.0
89.87114;0.0;23.10365;25.003109;25.359749
69.84103;26.74768;18.921206;20.386036;18.429464
66.56639;28.136906;19.83667;17.6079;18.79029
67.32338;28.80309;19.853485;23.254063;19.40642
75.87236;31.238983;23.677723;22.49583;22.85439
87.79784;38.434635;28.191776;27.668499;26.56253
115.58226;52.746956;30.866055;0.0;34.52902
101.26466;37.709805;29.358938;29.198208;29.677158
124.66559;51.90647;0.0;40.854477;38.89712
166.03647;0.0;0.0;49.32067;42.983498
0.0;80.243416;58.70817;55.221497;59.526848
97.73832;42.855705;32.32471;31.26554;30.348541
98.255974;43.525406;29.966852;31.3756;29.523478
89.278145;38.577713;28.000645;26.254932;26.786535
83.62819;39.489983;27.316751;29.4879;24.996014
102.227196;41.441505;27.02868;29.340948;28.56519
116.69991;50.259132;0.0;35.124817;32.727985
101.75197;42.50739;30.377354;30.828308;29.967228
102.486046;45.081005;30.985321;35.234962;0.0
87.29282;40.63504;29.996063;27.228983;26.771023
105.8842;47.79995;35.57967;32.134865;0.0
91.227234;37.72621;27.308239;26.61264;28.147379
88.30126;37.033783;0.0;30.01051;27.423145
72.33686;28.661676;21.819172;21.623203;21.300388
