1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.85413;104.5;101.2315;107.0;109.0
105.750946;104.5;101.47559;107.0;109.0
105.79318;104.5;101.566574;107.0;109.0
105.70084;104.5;101.51573;107.0;109.0
105.70029;104.5;101.60792;107.0;109.0
105.72437;104.5;101.50846;107.0;109.0
-1.0;104.5;102.16864;107.0;109.0
-1.0;104.5;101.68331;107.0;109.0
105.955795;104.5;101.0;107.0;109.0
105.994316;104.5;101.0;107.0;109.0
-1.0;104.5;101.810555;-1.0;109.0
-1.0;104.5;-1.0;107.0;109.0
-1.0;104.5;101.61252;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.94844;104.5;101.16502;107.0;109.0
105.972885;104.5;101.0;107.0;109.0
105.93465;104.5;101.10094;107.0;109.0
106.0;104.5;-1.0;107.0;-1.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
105.96969;104.5;101.00701;107.0;109.0
105.95121;104.5;101.303474;107.0;109.0
105.96502;104.5;101.11893;107.0;109.0
105.91426;104.5;101.13009;-1.0;109.0
105.9738;104.5;101.0;107.0;109.0
105.88369;104.5;101.249306;107.0;109.0
105.77463;104.5;101.43185;107.0;109.0
105.85634;104.5;-1.0;107.0;109.0
105.78347;104.5;101.35451;107.0;109.0
105.79289;104.5;101.32397;107.0;109.0
104.88629;-1.0;101.0;107.0;109.0
104.974014;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.74389;107.0;109.0
105.35168;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.98065;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;-1.0;109.0
105.990776;104.5;101.0;107.0;109.0
105.97343;104.5;101.14878;107.0;109.0
105.9615;104.5;101.28095;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.89152;104.5;101.24433;107.0;109.0
105.77192;104.5;101.39207;107.0;109.0
-1.0;104.5;102.082085;107.0;109.0
105.76784;104.5;101.41156;107.0;109.0
105.78079;104.5;101.42568;107.0;109.0
105.88966;104.5;101.09345;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
102.51413;-1.0;-1.0;107.51302;108.53884
105.1727;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.940186;104.5;101.05841;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
-1.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.00009;-1.0;101.0;107.0;109.0
105.97754;104.5;101.0;107.0;109.0
105.97971;104.5;101.0;107.0;109.0
105.905266;104.5;101.0;107.0;-1.0
104.973526;-1.0;101.0;107.0;109.0
105.8257;104.5;101.43795;107.0;109.0
105.778564;104.5;101.48573;107.0;109.0
105.79118;104.5;101.43312;107.0;109.0
105.87153;104.5;101.32735;107.0;109.0
105.99391;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.75062;-1.0;-1.0;110.8793;111.8171
-1.0;104.5;101.25211;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.94145;104.5;101.04392;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.97982;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.84407;104.5;101.303696;107.0;109.0
-1.0;104.5;101.69114;107.0;-1.0
105.73656;104.5;101.206245;107.0;-1.0
105.784546;104.5;101.438576;107.0;109.0
105.7324;104.5;101.61255;107.0;109.0
105.91739;104.5;101.07815;107.0;109.0
105.92271;104.5;101.07638;107.0;109.0
106.0;104.5;101.07391;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.428055;-1.0;101.0;107.0;109.0
-1.0;104.5;101.670105;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.00476;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.93409;104.5;101.12385;107.0;109.0
105.966095;104.5;101.0;107.0;109.0
105.12216;-1.0;101.0;107.0;109.0
105.77361;104.5;101.07726;107.0;-1.0
105.6997;104.5;101.54316;107.0;109.0
105.64179;104.5;101.71526;107.0;109.0
105.62504;104.5;101.55773;107.0;-1.0
105.636086;104.5;101.73157;107.0;109.0
105.69826;104.5;101.59943;-1.0;109.0
105.76377;104.5;101.4996;107.0;109.0
105.83812;104.5;101.26008;107.0;109.0
105.88539;104.5;101.06949;-1.0;109.0
105.90652;104.5;101.14501;107.0;109.0
106.0;104.5;101.007774;-1.0;109.0
105.93266;104.5;101.04851;-1.0;109.0
-1.0;104.5;-1.0;107.0;109.0
105.91454;104.5;101.08955;107.0;109.0
105.889015;104.5;101.05645;107.0;109.0
-1.0;104.5;101.81121;107.0;-1.0
104.630615;-1.0;101.0;107.0;109.0
105.787186;104.5;101.0;-1.0;-1.0
105.93402;104.5;101.02869;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
103.16564;-1.0;-1.0;107.0;109.0
105.78799;104.5;101.438385;107.0;109.0
104.79971;-1.0;101.0;107.0;109.0
105.85679;104.5;101.17574;107.0;109.0
105.793205;104.5;-1.0;107.0;109.0
105.62845;104.5;101.8449;107.0;109.0
105.58184;104.5;101.91587;107.0;109.0
-1.0;104.5;102.28608;107.0;109.0
-1.0;104.5;102.25638;107.0;109.0
105.614204;104.5;101.84541;-1.0;109.0
105.658035;104.5;101.68507;107.0;109.0
105.80235;104.5;101.01181;107.0;-1.0
105.86955;104.5;101.342674;107.0;109.0
105.792435;104.5;101.405716;107.0;109.0
105.8022;104.5;101.429146;107.0;109.0
105.85648;104.5;101.0;107.0;109.0
105.87577;104.5;101.0;107.0;-1.0
106.0;104.5;-1.0;107.0;109.0
104.24595;-1.0;101.0;107.0;-1.0
105.82523;104.5;101.43709;107.0;109.0
105.726456;104.5;101.5559;107.0;109.0
105.686295;104.5;101.58228;107.0;109.0
105.770775;104.5;101.57188;107.0;109.0
105.82679;104.5;101.17084;107.0;109.0
105.775764;104.5;101.483894;107.0;109.0
105.8207;104.5;101.32397;-1.0;109.0
105.80369;104.5;101.38422;107.0;109.0
105.79096;104.5;101.3284;107.0;109.0
105.814095;104.5;101.34701;107.0;109.0
105.8259;104.5;101.40068;107.0;109.0
105.72892;104.5;101.204155;107.0;-1.0
105.6613;104.5;101.60262;107.0;109.0
-1.0;104.5;102.14932;107.0;109.0
-1.0;104.5;102.235535;107.0;109.0
105.82887;104.5;101.397964;107.0;109.0
104.40339;-1.0;101.0;107.0;-1.0
103.09931;-1.0;-1.0;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
105.15576;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.988106;104.5;101.0;107.0;109.0
105.19508;-1.0;101.0;107.0;109.0
105.964325;104.5;101.06222;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
105.96315;104.5;101.07202;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.916466;104.5;101.142044;107.0;109.0
105.95913;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.984764;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
105.854645;104.5;101.28621;107.0;109.0
105.77943;104.5;101.43209;107.0;109.0
105.77727;104.5;101.4522;107.0;109.0
105.7514;104.5;101.13317;107.0;-1.0
104.341934;-1.0;101.0;107.0;-1.0
105.86052;104.5;101.221825;107.0;109.0
105.95935;104.5;101.031746;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
104.386955;-1.0;101.0;-1.0;108.80441
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.20437;-1.0;101.0;107.0;109.0
105.965904;104.5;101.0;107.0;-1.0
105.99149;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.95736;104.5;101.17641;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;-1.0
105.92743;104.5;101.0;107.0;109.0
105.82;104.5;101.21078;-1.0;109.0
105.87178;104.5;-1.0;107.0;109.0
105.73643;104.5;101.65548;107.0;109.0
105.780136;104.5;101.37287;107.0;109.0
105.8348;104.5;101.39309;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.208176;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.08634;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
104.4196;-1.0;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.989685;104.5;101.05928;107.0;109.0
105.186874;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.95419;104.5;101.0;107.0;109.0
105.927795;104.5;101.05592;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
105.743576;104.5;101.57197;107.0;109.0
105.71059;104.5;101.47048;107.0;109.0
105.79441;104.5;101.312584;107.0;109.0
105.9703;104.5;-1.0;107.0;109.0
105.992966;104.5;101.0;107.0;109.0
-1.0;104.5;101.50336;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.56905;107.0;-1.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
102.08721;-1.0;-1.0;107.0;108.26905
