1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
99.36234;42.503075;34.26259;28.976881;28.468061
103.29557;43.64181;31.427282;35.61499;34.850773
89.968445;47.543404;35.1044;28.83641;31.765902
106.76278;41.39089;31.21853;30.741993;35.41315
111.12273;42.219418;40.591206;34.468765;32.041122
100.67099;44.49138;34.76681;33.673332;33.274746
92.71175;37.34136;30.818527;30.30598;29.63762
94.976585;43.762707;25.876274;30.124409;29.49689
83.32768;41.469765;26.703594;28.181778;25.455706
100.55124;46.154957;32.824726;32.253742;0.0
104.11878;39.961575;29.444454;31.288942;33.320194
103.328896;41.027225;36.108395;28.767462;33.81332
95.202095;37.306694;29.246796;30.325626;29.112549
97.210846;31.89742;24.240616;23.331926;28.636435
104.69748;41.902863;34.026943;28.63329;0.0
93.314766;41.90544;26.348333;29.084265;21.959875
0.0;73.048416;53.205093;52.822094;53.1079
102.02922;43.70888;37.03952;31.781092;0.0
82.26096;30.623957;27.96426;22.031767;19.073673
70.78024;29.105497;18.750206;21.92504;22.06041
82.38811;33.029316;20.816803;20.004162;16.072348
79.52289;34.530075;20.386417;23.344532;26.643188
86.00057;39.872505;31.742464;21.741003;24.923296
107.764336;49.842625;27.813643;32.276344;31.260046
117.08076;47.979435;34.79543;33.16149;40.59058
120.17143;50.483658;35.041016;38.73985;36.399055
0.0;87.66108;66.18301;60.636395;70.898506
159.403;0.0;52.666504;0.0;52.320248
117.34598;48.58349;32.84343;35.070297;31.3527
137.08022;59.765614;0.0;45.518368;38.399185
110.607285;47.885456;30.448954;31.999706;38.20376
107.112144;45.72386;27.385061;45.721733;42.126858
0.0;71.76055;51.194836;56.673347;52.90668
124.87958;63.671967;0.0;35.350193;34.06881
118.70453;49.986065;38.46541;37.430546;39.053482
133.16829;56.96087;0.0;40.454952;43.717438
107.56629;45.129276;34.771564;34.852203;33.664265
107.85165;44.728184;31.956642;27.799683;27.090828
108.5804;48.08171;34.46213;30.804346;36.16155
107.029;42.596905;34.710365;37.888184;35.547665
83.811005;33.71948;25.948095;29.543003;25.616983
93.199455;36.922386;22.140608;21.39436;30.827085
88.18045;31.603848;21.446268;31.652824;23.520824
63.953712;25.280375;23.320171;18.643318;22.788275
67.35008;32.544075;13.325515;21.824308;25.087261
76.42906;32.022434;21.630394;25.489725;24.05149
101.73967;43.600285;34.697926;28.385221;0.0
95.95875;41.058334;32.050816;32.029755;35.701683
104.91904;38.09431;30.249178;27.117374;36.82508
135.0436;55.677677;40.023315;37.748177;0.0
119.78244;46.770016;33.12463;35.584267;33.29646
142.94388;57.007908;0.0;45.633873;44.037743
119.57244;53.130016;38.944305;36.431747;35.988804
105.44523;42.44276;35.77832;37.388153;34.390533
106.365685;45.580936;35.82024;33.97682;36.300938
112.296555;45.59097;0.0;31.494276;38.296383
101.08889;44.598167;33.243896;25.67669;23.966606
105.71282;41.837334;32.40499;29.330725;35.870068
112.66399;42.77717;35.19081;29.991688;36.024418
108.89161;49.63634;38.38615;35.9692;36.1951
114.25515;49.34078;0.0;36.870026;31.394552
102.60893;46.115986;34.772472;31.913233;33.78402
104.228;41.965233;27.769753;35.879242;32.01654
100.41;42.34393;30.591423;30.59367;30.22015
80.396965;32.903248;24.763365;18.720064;26.925444
69.15989;28.70231;19.911198;16.282185;20.465233
62.177628;28.383623;17.05046;19.98534;18.443819
60.998714;29.271751;20.95438;20.14946;0.0
54.43754;22.85163;23.568872;15.908711;20.294586
60.136353;21.378878;16.2801;15.205016;20.24294
0.0;51.930843;36.791206;39.78253;38.789207
86.27544;40.635666;24.50042;0.0;28.159355
91.50976;45.47382;27.779554;29.016104;32.214867
92.442825;36.824883;26.751492;28.769943;24.282492
91.31691;38.958694;29.211576;28.315973;32.131233
89.703865;38.707752;21.527971;31.874626;35.238564
0.0;88.56555;64.08402;56.342697;0.0
92.95096;36.184216;28.804531;25.772331;30.48734
89.38065;46.17152;35.22694;34.663895;0.0
79.82833;39.387768;28.149837;24.720007;23.261108
100.87435;0.0;23.31821;29.314232;26.455025
106.96203;44.728455;0.0;27.112974;0.0
140.08348;0.0;42.546165;0.0;39.030018
95.89002;37.61837;24.913406;29.138157;32.56262
82.68797;36.319828;27.988369;25.387026;25.696245
83.06609;32.381866;29.263054;25.12008;23.748615
85.9249;35.19689;28.772348;29.34274;27.32236
97.87342;42.27744;31.915882;0.0;34.08359
70.630356;30.842714;16.000969;23.841713;23.86203
112.371864;0.0;0.0;34.254734;0.0
0.0;36.159622;30.486504;38.014595;24.36243
46.305202;18.037552;16.998812;16.088108;14.33942
57.239857;22.895185;14.551511;0.0;14.637408
49.89323;25.866354;20.140131;15.118652;15.594311
61.62375;25.716888;22.171043;14.486072;17.56931
80.20629;32.490208;30.634245;24.106565;0.0
83.83085;34.78064;25.51303;24.880592;21.651695
84.9432;34.08005;26.66608;27.212868;23.631678
89.63423;41.878395;28.109735;21.441591;29.964434
88.92347;38.274174;26.363506;20.703344;28.37036
