1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.565834;103.37818;102.00094;105.84673;108.79794
105.90407;103.974266;101.285255;107.48191;108.52433
106.53744;103.58563;101.684616;106.596794;108.396774
106.26713;104.197495;101.77629;107.44098;108.82731
106.974724;104.200874;102.080345;107.36762;109.12078
105.75235;103.60934;101.33795;107.036934;109.28165
106.23083;104.7916;101.63466;106.56253;108.226715
105.75847;104.68692;101.39995;106.57755;108.982925
105.099655;105.00701;101.43711;106.496666;109.12528
106.03271;104.98291;102.32513;105.62058;-1.0
106.31602;104.74831;102.23247;108.57195;109.25134
106.42578;103.33858;100.82171;106.92195;108.423416
106.20964;105.07393;101.389656;107.6992;110.39972
106.83366;103.8735;100.99955;106.887146;109.162186
105.19905;103.529274;101.1711;107.40325;-1.0
105.819855;104.20636;100.93615;106.56439;108.40853
-1.0;104.486755;100.90695;106.48289;109.344986
106.14864;104.03324;100.60602;106.25773;-1.0
106.90797;104.89366;102.01566;106.82157;108.97677
105.74906;103.71974;101.58553;106.55583;108.22468
106.89008;104.824715;100.74609;107.8184;109.032814
106.14453;104.820496;101.35458;107.763664;108.847305
105.58565;104.73203;100.61581;106.84844;108.85352
105.72442;105.24113;101.0;106.9417;108.9844
106.687035;104.76726;100.56638;106.940735;108.356125
106.03429;105.326706;100.7311;106.91718;108.829994
-1.0;104.35853;101.36277;107.32874;108.815956
103.69143;-1.0;101.14675;-1.0;109.29783
105.786095;104.319046;100.33451;106.27684;109.116425
106.06798;104.52378;-1.0;106.697235;109.1629
106.4837;104.64104;102.12363;106.683914;109.217064
105.23886;104.69681;101.42595;106.250824;109.375786
-1.0;104.68815;101.3373;107.09398;109.08113
106.91291;104.533165;-1.0;107.519035;108.85661
105.38341;104.35023;101.56183;107.12014;108.94301
105.73685;104.20738;-1.0;107.20905;108.5644
106.002266;104.11475;100.31691;106.036354;108.64363
105.35349;105.657135;100.81489;107.25418;108.94269
105.54763;104.04567;100.36902;106.82101;110.03138
106.80808;104.74476;101.670685;107.14911;109.531746
105.00621;104.694176;101.334045;107.02563;108.607506
105.37428;104.78709;101.071014;107.24262;109.41057
106.58127;104.37909;100.33858;106.273636;109.31079
105.486015;105.401024;100.04067;106.58741;108.384735
104.97985;104.28563;100.97049;106.422745;108.96747
105.45536;104.53252;100.95989;106.28746;109.113884
106.108765;104.58896;101.1119;107.43554;-1.0
105.20765;104.82467;100.59015;106.880226;108.57854
106.46625;103.78389;101.060875;106.70276;108.42818
106.114456;104.34991;99.8712;106.33651;-1.0
105.01552;104.90531;100.942505;107.32702;108.76338
105.84874;104.62345;-1.0;106.8433;108.94508
106.94212;104.456184;100.07696;106.887726;109.43618
106.513435;105.08741;99.76031;106.10692;108.039635
105.06168;104.348145;100.87908;106.79445;108.84443
106.00735;104.70654;-1.0;107.04349;108.746925
104.91539;104.63851;100.4808;107.368675;109.183334
106.3671;105.47591;101.00057;107.10755;108.55802
106.36391;103.74801;100.187836;107.57777;109.41246
106.49628;104.82252;100.58108;107.44812;108.555954
106.28801;104.669174;-1.0;107.26;108.59573
106.42187;105.17694;100.61221;106.487144;108.552
105.291824;104.2316;101.98264;108.343895;108.48889
105.816124;104.61555;101.18109;106.166794;107.91309
105.8143;104.99429;101.635475;107.0858;108.934715
105.27488;104.92761;101.685265;106.99485;108.94746
105.63373;105.30052;102.12773;107.135826;109.14267
105.17722;104.46906;101.36612;107.01453;-1.0
105.609825;104.700386;102.22445;107.49572;109.06437
105.0245;104.63013;102.55052;106.54742;110.16468
-1.0;103.89969;102.66752;107.825134;108.889694
106.067085;103.69693;99.60653;-1.0;110.19621
105.527054;104.85829;100.924934;106.787315;109.29171
105.58715;104.38182;101.13865;107.74085;109.03618
106.72431;105.25728;100.14396;107.86431;108.89931
105.4852;104.07901;100.83698;106.600975;108.62739
-1.0;105.214355;101.6927;107.447044;-1.0
105.61424;104.92025;100.29174;106.43856;108.49301
106.85282;104.84122;100.412964;106.73853;-1.0
105.32159;104.86264;100.970894;106.77588;109.485954
104.16826;-1.0;101.774216;107.19796;109.60448
106.14065;104.39166;-1.0;107.0609;-1.0
105.22695;-1.0;102.29719;-1.0;109.34463
106.79983;104.33904;100.94982;106.59218;108.51263
106.493835;104.699425;101.56252;107.495155;108.5181
105.78618;104.43385;100.04297;106.61324;109.20842
106.11187;105.53598;99.9803;107.4803;108.22532
106.34581;104.86731;100.83293;-1.0;109.28769
106.05251;104.65804;100.78868;106.55779;109.33259
109.93332;-1.0;-1.0;115.34758;-1.0
-1.0;104.49204;102.69763;107.2058;109.80162
105.619705;104.92701;101.956604;107.44177;109.09522
105.832436;104.889565;101.39054;-1.0;108.71052
105.60268;103.96572;102.02356;106.67566;107.80226
106.1713;103.75423;100.97864;108.03475;109.11516
106.04988;105.46083;100.401054;107.31147;-1.0
106.499275;105.2393;101.76994;106.847404;107.81822
106.0577;103.98879;101.66428;106.702156;109.75526
105.84628;104.04861;100.54444;107.28044;108.998085
106.18384;103.49896;101.29675;106.89397;108.65479
103.04583;-1.0;101.524185;-1.0;109.05535
106.215515;105.68469;101.56665;107.092415;109.03289
105.495255;104.64574;-1.0;107.489494;-1.0
105.22307;103.73535;101.611404;107.11705;108.6831
105.100876;103.84653;100.88048;107.494225;109.39974
106.234406;104.867096;101.32809;107.04068;-1.0
105.91877;104.46354;101.832954;106.96814;109.98586
105.45298;104.59264;-1.0;107.165215;108.783936
105.68709;104.71452;101.23579;106.90255;109.260315
105.50944;103.71698;101.78849;106.66562;108.86922
105.39643;104.35798;101.74791;106.62946;108.93251
104.94521;-1.0;99.77924;106.66888;109.225044
