1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
96.16658;51.215794;29.68363;34.34632;30.059744
119.13632;50.467278;0.0;34.358917;35.1646
111.18559;51.937214;35.65731;32.30166;28.888702
124.64459;38.991917;34.025448;32.789253;31.850092
110.39283;40.79824;31.832443;30.15413;31.235651
95.09584;42.03967;28.876955;35.944992;25.818823
98.01788;44.431885;28.58578;28.70482;30.268644
99.98632;39.351227;29.591118;29.487898;25.93648
107.426605;43.068893;31.987875;36.944584;29.50396
96.92128;43.923553;26.5217;33.12995;30.497667
86.45476;37.29124;32.703884;26.865942;25.085133
79.45815;33.679375;29.095709;24.389257;22.454123
82.480515;37.519897;22.852777;18.656118;20.837128
85.41946;29.424898;25.704086;22.210657;31.169588
95.26261;40.522007;35.83039;29.416876;29.15742
115.96571;49.133625;37.488075;34.87624;34.47945
122.44703;51.55351;42.677216;39.580143;38.04428
0.0;119.19104;89.66545;0.0;98.21068
144.67107;66.14492;38.233707;43.58025;40.947453
133.38437;57.457184;37.88462;43.826546;39.98498
148.7781;56.04997;35.06336;40.94252;44.17321
0.0;100.0329;71.068596;70.53613;75.03652
123.007706;51.6048;37.47988;33.66397;36.40003
140.6704;55.3914;0.0;39.28123;41.904552
116.67025;52.53849;37.272854;29.729918;33.650406
113.458534;49.756912;35.707005;39.066933;36.85105
148.03204;63.618454;46.12811;0.0;40.0621
136.85103;54.657536;39.97286;36.051563;39.974285
135.99428;53.820534;44.68165;38.969757;0.0
110.05494;48.86372;33.95542;37.09832;28.970768
111.314224;53.932514;39.333744;36.55565;36.454403
113.75776;44.88499;37.482243;33.052685;35.173916
90.086006;35.647522;28.582825;23.192965;27.011497
86.45349;38.176567;27.91543;0.0;23.305614
78.73168;35.242508;19.14916;22.784645;24.639076
90.559906;33.783443;25.60482;22.185865;0.0
73.23692;26.967789;20.4518;21.391792;20.757236
0.0;54.930225;43.37851;46.64172;41.474743
95.49613;34.771442;30.153421;22.372608;26.785791
99.70431;36.02755;31.742634;31.434608;30.010689
113.327934;42.556248;31.415342;32.301693;34.07523
128.43735;51.448112;35.01434;32.88033;36.4397
120.75822;48.570477;38.48725;36.29754;37.361088
119.723434;50.874237;36.451004;38.22727;35.672367
133.10286;53.500305;33.820915;36.81905;35.692196
115.35455;50.791767;34.456516;35.790867;39.248592
103.85424;46.429016;38.0449;36.40216;35.100624
112.14227;40.820038;32.456535;28.303244;27.310648
122.503586;49.179127;37.94851;38.306114;0.0
110.52161;43.392845;32.69099;36.214844;38.608795
108.91708;50.615456;34.420315;33.455425;34.8181
117.773636;46.797153;33.89133;36.333622;39.54063
106.37052;46.790894;22.159296;28.632885;33.964806
93.317444;44.339813;26.189453;36.22748;30.453451
99.25717;40.653313;34.91496;30.138855;30.114311
106.367714;45.69859;33.294434;26.576887;29.34457
0.0;124.323746;82.732086;0.0;81.517296
110.50218;52.581806;33.131653;35.126415;32.374767
99.721016;43.41374;34.536865;31.69543;35.556427
92.50333;40.97161;33.309654;36.378162;27.241358
97.77939;39.73484;29.720594;31.419588;30.249794
96.962395;40.64461;34.435432;26.689226;32.76199
110.01927;43.1333;39.69383;37.94629;37.623203
140.648;59.69317;38.37106;40.341503;40.79444
141.23164;66.029396;42.349678;44.285133;45.868137
163.40868;68.459755;44.382378;43.164536;42.786503
0.0;113.18992;74.694626;79.63177;80.61342
181.2129;65.76038;47.774452;56.49875;50.80763
164.56029;65.82217;45.793064;49.070778;49.508224
151.41867;70.8981;44.94346;56.783142;48.558056
162.16013;59.97422;39.94237;47.8047;42.894245
134.19429;59.34449;40.99483;36.08518;41.868385
134.10823;50.778873;39.6428;43.920303;41.223934
138.7539;61.38087;43.84822;41.264668;39.418144
182.58957;0.0;52.911716;55.043377;53.577385
152.44513;60.20326;49.855976;42.976955;52.368282
151.04991;70.57889;39.533035;44.05911;43.74501
136.29532;60.733944;41.447342;41.412483;41.900257
133.17178;58.796818;39.522644;43.452404;38.64231
142.77652;59.31991;44.899952;40.94967;40.474358
153.66945;68.38213;47.44086;48.41257;0.0
117.893715;52.759594;44.499355;42.662457;39.885807
119.89851;52.75673;34.560505;33.026535;36.942223
107.78205;39.691227;29.636204;32.094406;31.206917
105.79044;43.98053;32.19865;31.077852;32.353542
117.99988;36.209282;38.011288;36.02472;34.95475
121.45213;57.960434;42.037277;35.860306;34.917908
149.21074;65.08979;40.944675;43.64935;46.703583
159.55753;68.60802;43.47855;46.177246;46.110786
158.24352;70.760765;47.40674;46.433853;52.322243
170.17369;78.62367;50.792797;51.559402;46.78717
168.92902;69.28314;49.184395;53.563248;43.353226
176.4912;69.22346;56.770046;58.239933;53.4636
202.31787;87.37733;58.504032;56.22831;0.0
192.0234;0.0;60.04435;54.97788;57.156563
161.11206;65.01217;45.59902;44.086323;48.01874
151.55745;60.299877;48.20797;45.35057;39.361088
152.96814;65.44179;48.997597;46.47897;48.83173
167.94875;82.478455;47.777843;46.18882;48.72625
179.23294;73.47937;47.376408;50.886684;50.25354
171.4273;79.84934;0.0;54.652653;52.585518
154.22299;60.170433;46.12219;45.664722;49.086384
158.65921;74.00617;58.083134;0.0;48.53371
165.44485;60.784035;47.72711;43.989826;44.06403
136.85204;58.898636;45.450333;41.439144;38.85309
124.77389;48.31077;40.196827;40.811012;40.044758
116.47191;52.437172;38.523075;29.553566;35.20475
109.04623;50.655403;34.25354;31.328287;30.25257
95.00411;41.375385;34.285076;37.04536;26.335567
135.64674;47.624252;40.28454;0.0;39.72848
0.0;88.92052;66.52193;70.75164;62.709457
155.25931;65.112595;40.45139;45.242645;43.635365
158.12141;65.54346;44.552593;54.23071;47.41017
195.3834;99.56618;0.0;61.69276;61.836723
171.56107;76.49059;54.931667;52.330093;57.841877
192.24957;73.5373;54.41422;52.2029;49.07347
179.44884;67.65399;51.471367;52.37063;48.010242
185.58864;63.418346;47.896385;52.423313;52.158524
166.29541;66.84222;50.21287;48.90791;44.09175
150.73216;66.78827;42.304142;39.06399;45.562744
145.29483;67.129234;46.105347;46.900585;37.373028
147.19289;71.02797;48.148853;51.715866;44.466206
174.48892;80.98922;48.37848;48.956867;47.400333
170.59271;65.23539;48.45064;46.266323;50.73607
162.10786;67.2763;42.450493;50.52922;45.243443
141.9961;61.59324;39.229378;44.49;37.044697
159.50345;65.28585;43.966106;41.14902;44.085026
152.12267;68.11037;41.518764;35.291836;44.326443
138.78845;45.994057;38.950268;41.04216;41.79586
121.25075;53.06492;36.703724;38.8511;34.317013
120.95537;46.508587;31.355967;31.02698;34.863697
107.33233;50.2767;27.78461;33.029423;34.54986
155.82556;0.0;46.17412;39.73377;0.0
100.11549;49.734276;31.649193;35.538563;32.259335
114.75421;55.635876;37.6663;37.511284;39.906136
155.0779;64.62905;46.373302;47.538094;43.179405
155.25848;75.66838;47.24217;48.395603;47.6207
180.1007;76.03474;53.19952;50.125957;52.286366
190.6482;66.350784;49.9818;51.763878;51.171017
168.14787;72.92188;50.55321;51.603294;51.066856
188.81604;79.042915;60.558735;49.311256;54.517586
163.93756;73.41556;50.33376;49.8698;47.552616
145.1079;65.3152;45.4663;43.267128;43.03432
169.74031;63.642124;51.414948;48.821808;44.151936
145.74576;56.230488;47.538967;45.15418;41.29025
138.20119;69.99814;48.57424;49.232693;43.792854
180.78476;79.22866;0.0;48.469326;59.43231
160.01846;71.10685;47.13434;46.839725;50.106556
146.4823;63.33742;44.99908;46.37756;41.628292
156.35878;64.23267;40.442764;43.618893;46.995285
149.97897;69.12692;41.245163;49.37042;46.751385
131.55594;60.883133;43.046494;42.50331;47.254982
154.39543;65.974396;0.0;45.122795;49.404564
141.00264;64.44313;0.0;40.54259;43.58205
108.242615;45.356686;31.084423;30.72984;29.354841
101.74998;41.11297;32.1185;30.647963;27.51885
113.23047;42.615578;30.806032;27.226606;32.636845
108.72906;40.274353;31.65827;33.466007;36.97552
127.08784;60.716732;44.69034;34.207874;37.566296
129.68626;59.755066;41.457405;45.344975;43.330505
143.56001;63.714397;43.625275;46.613747;42.739906
149.7391;80.31765;41.624386;48.527325;42.422165
182.39108;70.713264;51.981083;51.468548;48.97027
