1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.5168;104.648735;101.37462;106.766624;108.709145
105.98492;105.08629;-1.0;105.23342;108.79879
105.87599;104.332855;100.71819;107.67527;107.288025
106.09095;104.48791;102.19257;106.862434;108.274864
106.51039;104.03842;100.44519;108.350204;108.64879
107.30769;104.49025;100.4879;108.46126;108.819084
106.16233;104.67899;99.549255;107.455414;108.31417
106.13649;104.43039;101.38928;106.91314;108.86665
105.14744;104.64431;101.61395;106.6094;109.64507
105.10578;105.10228;100.53064;107.11792;108.97495
106.3502;103.54791;101.85248;107.11145;109.08059
105.747635;103.87155;100.95722;107.16328;108.58494
106.385445;104.960075;101.98774;106.78796;108.90913
105.8989;105.51587;101.86921;107.50326;108.653885
105.939575;104.24683;101.11614;106.69052;109.72
105.386894;104.75643;101.15289;106.97776;109.34352
105.809;105.14957;100.876465;107.06747;108.99184
-1.0;104.60663;100.42281;-1.0;105.03713
106.78925;104.45045;101.26602;107.45523;109.25528
106.32356;105.28515;100.39042;108.53916;108.61428
105.62592;104.60446;101.03938;107.82737;108.152985
-1.0;104.13403;100.5601;107.01201;108.522484
105.207954;105.100975;100.81532;107.606895;109.23943
106.755196;105.450356;-1.0;107.22396;109.02028
106.043106;105.07306;101.71621;107.2121;109.13447
105.300606;104.12228;101.58852;107.52781;109.14029
105.74655;104.7021;101.91418;-1.0;109.3018
106.540306;103.972115;100.13062;107.70039;109.842
106.228836;104.736664;100.827576;106.76494;-1.0
105.935524;103.93288;101.32175;106.57351;109.62601
105.99467;105.37366;100.46357;106.97836;109.66194
105.78216;105.093;100.66319;108.308624;108.73362
105.51828;104.25637;99.89687;106.311104;109.2517
105.89845;105.10532;101.63136;-1.0;108.33043
105.99895;104.4458;101.904144;106.8715;108.400955
105.93866;104.51878;100.83291;106.68586;-1.0
106.05049;104.240906;102.019844;107.887634;108.73383
-1.0;104.514595;102.15037;107.35827;108.47163
106.64121;104.87807;100.99285;106.451416;108.57587
105.99396;104.19442;101.12957;106.46186;109.14108
107.25892;104.413795;101.271126;106.61772;109.446754
106.49563;104.55568;101.629715;107.071266;109.20289
106.07776;103.80066;100.46049;107.238396;108.48973
106.2628;105.06328;101.60072;106.37225;109.9973
106.60581;104.77143;101.10811;107.34751;108.45315
105.83465;105.27515;100.61785;106.93263;109.3061
105.3987;104.617065;100.3075;107.41787;108.72894
105.50358;104.22599;100.41029;106.837105;109.040504
106.38373;104.27009;101.780365;107.308304;-1.0
106.27023;104.19967;100.47057;107.057106;108.57003
106.11288;104.185715;101.18801;107.11938;108.94073
105.70571;105.73616;100.70217;106.90365;109.0004
106.09471;104.71984;100.35801;107.658;108.717
105.38645;104.697266;101.27499;107.22976;108.717545
106.09067;104.45524;101.72999;107.14497;109.24277
106.172585;105.167145;101.5316;107.525246;108.5879
-1.0;104.319336;101.427925;-1.0;108.51807
105.11764;104.568344;101.337975;107.39411;108.51935
106.69435;104.96265;101.31351;106.19101;108.33308
106.084694;103.88349;101.21336;107.17277;109.709915
105.61591;104.58479;101.29135;106.99016;109.15719
106.2995;104.119446;101.07708;107.11568;109.63474
106.52579;104.90406;100.91893;106.925125;109.254234
106.10613;104.01883;101.64464;107.76453;109.67282
105.54988;104.6956;100.02095;106.912384;108.18312
106.41712;104.96473;100.78335;107.04659;109.43319
-1.0;105.386185;100.28913;107.27686;109.48856
105.84033;103.25345;100.31656;105.947586;108.28871
106.50219;104.35349;100.732704;106.790375;109.69293
106.72559;104.346115;100.65779;106.714134;108.939804
106.10449;104.74203;101.06701;106.79248;109.20875
105.86537;104.15483;100.8271;106.7803;108.90769
105.61697;104.59407;100.82863;107.00521;109.68021
105.95334;104.49292;100.524956;106.43255;109.31279
105.09186;-1.0;100.89991;106.68821;108.54209
105.40382;105.06023;101.36527;105.74886;108.904236
106.20443;103.886894;101.549576;106.99805;109.443535
105.46242;103.84829;101.05264;108.00683;109.101555
106.624275;104.91549;101.03721;107.06989;109.543076
106.355484;105.05832;102.207436;107.44043;108.81705
106.35729;104.1012;100.58028;107.952774;-1.0
105.76387;104.23682;101.11326;107.11826;108.28416
106.780266;104.66735;101.53818;107.43859;109.25727
106.02179;105.0628;100.86979;106.7712;108.96842
105.09661;104.08739;100.80656;107.27336;109.62037
105.48314;104.40817;102.01386;106.69753;108.40804
106.77432;104.51278;100.77406;107.4548;109.373314
105.060616;104.160446;100.47383;107.26647;109.10144
105.79575;105.242035;100.161896;107.22736;109.05505
105.34961;104.976036;101.22362;107.32331;108.95536
106.08748;104.12734;101.16461;106.68263;108.345985
106.44051;104.49149;101.357506;107.92062;108.88729
106.280075;104.16148;99.74921;108.15434;109.55905
106.43573;104.80082;101.22699;106.78125;-1.0
105.37426;-1.0;101.48981;108.097435;108.89497
107.02295;103.94697;100.759094;106.80038;108.21449
106.23954;104.15838;100.46088;107.3279;109.31314
107.05791;104.28725;100.76241;107.07847;108.41748
106.03113;104.55818;100.97591;107.096405;109.07657
107.05879;104.30077;100.775764;106.55854;108.84506
104.96153;104.48835;-1.0;106.37957;108.76891
105.50804;104.38432;100.86771;107.08852;109.51811
106.29511;104.68658;101.118225;-1.0;109.128334
106.379875;103.75127;100.993484;107.54733;109.15217
105.195404;103.80402;100.27994;106.414375;109.342476
106.72115;104.59229;101.64214;106.4252;108.08201
105.87024;104.307365;101.04768;108.17027;108.62491
106.435455;104.747246;100.70817;107.40346;109.08611
106.0287;104.774704;101.23092;107.02846;109.320656
106.1546;103.84524;101.48535;-1.0;108.731125
-1.0;104.269615;100.92953;107.68806;109.70777
106.27163;103.83947;101.19146;107.493546;109.2098
106.082214;105.48422;101.07493;106.46203;108.870605
106.48337;103.680504;-1.0;107.91911;108.60938
106.00066;104.342125;100.87729;107.11043;109.815605
105.46397;104.19991;102.436066;106.980545;109.21965
106.895485;105.379585;100.298;107.10346;109.11412
107.6591;104.87804;100.020744;107.577354;108.467026
106.847404;105.31532;100.76814;107.56376;110.06038
106.035576;104.58669;101.07397;106.57489;108.75381
105.69279;103.89072;101.42031;106.79237;108.2142
105.78637;104.92676;100.46841;106.60967;109.378494
105.69807;104.608795;100.56236;107.09527;108.956604
105.70548;104.913925;100.672585;107.08633;110.12534
105.9214;104.292274;99.92001;106.05774;108.80971
105.98062;103.50276;100.85007;106.40456;108.614845
105.75328;104.32655;101.40549;107.43797;108.235985
106.76343;104.65392;101.3629;107.40512;107.98599
106.79381;105.32342;101.561714;107.25631;109.00167
106.547005;105.064;101.04982;107.24737;109.86144
106.08038;104.55848;101.35778;107.33185;108.20595
105.68161;103.18095;100.089485;106.649185;109.36481
105.7444;-1.0;101.535904;106.50747;-1.0
106.15455;105.36556;100.591354;106.886734;109.650734
105.58488;104.88707;101.06875;106.66395;109.33253
107.14274;103.91202;100.93818;107.45676;108.494354
106.01246;104.08507;100.963066;106.33674;109.474434
106.16773;105.08016;100.1097;106.906746;109.13035
106.00531;104.42837;101.531395;106.37776;109.5605
105.529686;104.46771;100.31794;107.24835;108.2761
106.02808;104.47334;101.69097;105.67987;108.4502
105.175095;104.406166;101.06446;107.028854;108.290955
106.17862;105.115105;100.731705;106.694115;108.90586
106.92624;104.52126;101.250114;105.70663;108.23484
105.736046;105.11507;101.5347;108.00286;110.41211
105.232544;105.29329;101.35495;107.217964;108.46202
106.399925;104.54362;-1.0;106.81594;109.10537
106.8123;104.57694;101.60664;106.63098;109.201355
105.78403;104.40644;101.54867;106.79962;109.70133
105.80159;104.42238;100.764;106.68661;109.8627
105.421745;104.748505;100.95287;107.080154;109.036865
104.64085;104.433205;100.282074;106.267624;109.3697
106.21502;105.54886;-1.0;107.21873;108.648445
106.17553;104.60992;-1.0;107.53244;109.57861
