date;time
2012-jan-1;0:00
2012-jan-1;1:00
2012-jan-1;2:00
2012-jan-1;3:00
2012-jan-1;4:00
2012-jan-1;5:00
2012-jan-1;6:00
2012-jan-1;7:00
2012-jan-1;8:00
2012-jan-1;9:00
2012-jan-1;10:00
2012-jan-1;11:00
2012-jan-1;12:00
2012-jan-1;13:00
2012-jan-1;14:00
2012-jan-1;15:00
2012-jan-1;16:00
2012-jan-1;17:00
2012-jan-1;18:00
2012-jan-1;19:00
2012-jan-1;20:00
2012-jan-1;21:00
2012-jan-1;22:00
2012-jan-1;23:00
2012-jan-2;0:00
2012-jan-2;1:00
2012-jan-2;2:00
2012-jan-2;3:00
2012-jan-2;4:00
2012-jan-2;5:00
2012-jan-2;6:00
2012-jan-2;7:00
2012-jan-2;8:00
2012-jan-2;9:00
2012-jan-2;10:00
2012-jan-2;11:00
2012-jan-2;12:00
2012-jan-2;13:00
2012-jan-2;14:00
2012-jan-2;15:00
2012-jan-2;16:00
2012-jan-2;17:00
2012-jan-2;18:00
2012-jan-2;19:00
2012-jan-2;20:00
2012-jan-2;21:00
2012-jan-2;22:00
2012-jan-2;23:00
2012-jan-3;0:00
2012-jan-3;1:00
2012-jan-3;2:00
2012-jan-3;3:00
2012-jan-3;4:00
2012-jan-3;5:00
2012-jan-3;6:00
2012-jan-3;7:00
2012-jan-3;8:00
2012-jan-3;9:00
2012-jan-3;10:00
2012-jan-3;11:00
2012-jan-3;12:00
2012-jan-3;13:00
2012-jan-3;14:00
2012-jan-3;15:00
2012-jan-3;16:00
2012-jan-3;17:00
2012-jan-3;18:00
2012-jan-3;19:00
2012-jan-3;20:00
2012-jan-3;21:00
2012-jan-3;22:00
2012-jan-3;23:00
2012-jan-4;0:00
2012-jan-4;1:00
2012-jan-4;2:00
2012-jan-4;3:00
2012-jan-4;4:00
2012-jan-4;5:00
2012-jan-4;6:00
2012-jan-4;7:00
2012-jan-4;8:00
2012-jan-4;9:00
2012-jan-4;10:00
2012-jan-4;11:00
2012-jan-4;12:00
2012-jan-4;13:00
2012-jan-4;14:00
2012-jan-4;15:00
2012-jan-4;16:00
2012-jan-4;17:00
2012-jan-4;18:00
2012-jan-4;19:00
2012-jan-4;20:00
2012-jan-4;21:00
2012-jan-4;22:00
2012-jan-4;23:00
2012-jan-5;0:00
2012-jan-5;1:00
2012-jan-5;2:00
2012-jan-5;3:00
2012-jan-5;4:00
2012-jan-5;5:00
2012-jan-5;6:00
2012-jan-5;7:00
2012-jan-5;8:00
2012-jan-5;9:00
2012-jan-5;10:00
2012-jan-5;11:00
2012-jan-5;12:00
2012-jan-5;13:00
2012-jan-5;14:00
2012-jan-5;15:00
2012-jan-5;16:00
2012-jan-5;17:00
2012-jan-5;18:00
2012-jan-5;19:00
2012-jan-5;20:00
2012-jan-5;21:00
2012-jan-5;22:00
2012-jan-5;23:00
2012-jan-6;0:00
2012-jan-6;1:00
2012-jan-6;2:00
2012-jan-6;3:00
2012-jan-6;4:00
2012-jan-6;5:00
2012-jan-6;6:00
2012-jan-6;7:00
2012-jan-6;8:00
2012-jan-6;9:00
2012-jan-6;10:00
2012-jan-6;11:00
2012-jan-6;12:00
2012-jan-6;13:00
2012-jan-6;14:00
2012-jan-6;15:00
2012-jan-6;16:00
2012-jan-6;17:00
2012-jan-6;18:00
2012-jan-6;19:00
2012-jan-6;20:00
2012-jan-6;21:00
2012-jan-6;22:00
2012-jan-6;23:00
2012-jan-7;0:00
2012-jan-7;1:00
2012-jan-7;2:00
2012-jan-7;3:00
2012-jan-7;4:00
2012-jan-7;5:00
2012-jan-7;6:00
2012-jan-7;7:00
2012-jan-7;8:00
2012-jan-7;9:00
2012-jan-7;10:00
2012-jan-7;11:00
2012-jan-7;12:00
2012-jan-7;13:00
2012-jan-7;14:00
2012-jan-7;15:00
2012-jan-7;16:00
2012-jan-7;17:00
2012-jan-7;18:00
2012-jan-7;19:00
2012-jan-7;20:00
2012-jan-7;21:00
2012-jan-7;22:00
