1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
51.43038;20.38142;43.076084;43.314068;59.730705;19.55526;28.205252;69.05992;50.904854;34.033966;14.293791;104.424545;24.143848;11.53385;67.928764;47.21641;18.636236;14.65198;10.000819;6.934162;15.590883;73.67572;18.826382;25.709326;48.2936;70.26887;23.812311;60.150646;34.922226;36.823135;31.850016;69.930565;39.14158;97.84536;18.756;15.6252775;55.353394;28.426807;36.030888;19.09187;96.75614;19.69048;17.669355;21.426365;28.763271;140.05373;67.7601;80.87427;14.583488;11.628946;280.80365;82.43825;75.861275;43.173622;30.356058;70.25602;12.562765;6.0813937;65.743355;52.25902;73.78062;65.00971;70.74075;44.4732;122.167946;63.226936;21.612255;11.780767;25.115402;21.794926;53.457024;175.72205;10.310313;60.408154;12.840788;35.989258;46.828228;37.40215;16.841122;37.27391;43.78151;33.335567;22.716656;5.112795;26.003483;40.809788;33.196648;43.03167;58.86905;1.9763887;9.006933;41.99294;73.93993;6.363368;9.215612;24.7971;181.34212;20.65891;35.420876
61.17263;23.936039;43.972576;47.382362;50.933113;22.265888;32.362225;79.32759;59.085777;37.258522;14.223439;110.38761;27.583231;11.260691;64.094246;51.76009;22.731127;14.9783325;10.761753;8.372649;15.721105;80.94754;19.858137;27.060856;45.32831;70.253105;24.204502;65.0458;36.189934;36.773514;25.792019;73.98747;42.25736;103.6005;17.472162;19.155823;58.447468;33.533096;36.931244;23.985554;99.48639;18.184277;19.980125;22.040478;24.802004;123.69694;69.93622;96.780685;12.631079;13.421659;326.2966;90.29531;100.95666;43.634212;27.034943;84.536644;12.855678;6.661271;70.408455;57.82787;87.489716;67.676544;72.39212;43.727703;161.86537;55.756622;22.233816;12.963552;26.985828;21.382763;48.33204;171.30655;10.657929;69.49574;14.689321;34.03016;45.06222;35.027596;17.01156;37.79004;54.33906;42.70005;22.962801;5.707629;25.205227;42.6883;32.43072;47.94957;63.72837;2.2001195;8.389643;41.69204;71.35133;6.4451866;7.920928;22.218243;216.58838;23.780697;38.68265
65.21726;22.32321;40.725773;43.85456;55.29477;21.489555;27.751516;69.909805;61.366413;36.700005;14.045092;118.85398;28.507832;12.891748;61.491966;55.00761;18.875692;16.15363;11.576822;7.026747;14.661102;99.09834;21.313993;27.523685;52.680096;64.24584;27.80672;64.7038;37.61805;38.847057;31.881504;77.68926;35.999226;111.035805;21.178644;16.935806;57.38631;31.749462;41.24386;23.25006;96.95042;18.051178;17.3894;21.118979;26.033697;116.356445;75.67143;80.77945;15.058647;14.081632;333.52902;87.958466;80.344826;46.86532;30.724522;72.119316;15.69441;7.577382;79.73936;55.67939;84.38093;68.47428;75.657295;42.947304;141.19646;63.360157;23.127506;13.927211;28.502583;26.496918;50.92315;175.70255;11.275799;67.50778;13.954608;33.901188;51.32357;41.155956;16.705326;39.43095;48.592815;40.926296;23.429544;6.2468085;24.108812;42.488525;31.620922;40.581806;60.67575;2.2729053;9.858237;43.522686;88.310776;6.1042156;8.192194;25.433565;196.1677;22.006235;37.540436
56.908733;25.68772;41.185738;48.290974;60.347126;19.31421;30.344442;83.434044;57.46272;37.188156;17.382057;108.64006;29.123272;12.638625;71.02151;43.103382;20.952724;17.968689;11.366024;7.530473;16.317417;89.56204;19.676502;22.40406;49.415768;70.49037;27.104101;64.012955;37.0711;37.755527;29.960613;74.79292;45.528713;108.36073;20.499493;19.12135;63.305023;31.038483;42.941395;21.241629;106.32155;20.99701;19.834202;19.632374;27.506638;147.17093;74.819145;99.00364;14.224788;14.697553;320.85822;89.03272;90.09164;46.370052;30.612873;79.364044;12.330183;7.167202;73.06181;56.395264;73.42735;72.29362;83.05528;42.468983;150.45305;65.02179;21.271826;11.016385;28.47503;23.193851;55.618;186.49106;11.775123;75.77185;15.749071;34.103737;49.484055;40.419888;16.145557;34.963615;51.650696;37.197186;22.932514;5.6607523;27.534176;40.899315;35.875053;48.011803;61.726288;2.245789;9.009062;48.36713;74.64716;6.936541;10.492509;26.557095;244.54636;23.138937;39.162945
56.24242;24.372137;44.28693;48.0019;56.919556;23.932621;32.000027;78.28844;52.38482;41.666862;15.611613;111.4178;27.551544;12.727505;66.64166;52.07496;21.036724;17.635056;10.948397;8.694158;15.943108;79.31816;17.77959;28.364147;47.293404;64.99925;24.34678;72.303604;37.67889;37.592533;30.011326;71.78683;36.912155;110.05463;21.391594;16.224499;58.832222;31.341599;36.190155;22.670872;102.06969;16.614801;17.491177;20.564869;27.697262;143.57896;69.44343;93.14336;13.694391;13.4730425;314.20874;93.81648;84.97295;38.425255;33.333702;86.972206;12.002535;8.143202;77.159164;54.183624;75.22157;70.11636;80.267235;39.38047;131.73972;53.252422;22.681374;12.369753;25.552734;23.075153;48.583096;190.23407;11.565768;67.02117;13.299971;37.927277;50.603813;40.19977;18.198032;37.09974;46.708275;40.691845;26.662598;6.0049357;26.052408;40.523624;35.34469;47.158024;66.71863;2.2416682;9.428181;41.277775;75.593575;6.5174265;8.106578;25.574574;228.04057;22.649767;38.053337
54.52942;18.022701;42.487305;45.764305;64.47432;19.172016;28.50684;82.52487;56.03084;41.70555;14.207815;125.2184;28.886425;13.022568;72.02823;51.323315;16.447382;17.89846;11.541065;7.643753;15.591902;80.46259;18.979397;23.876257;48.49078;70.36191;28.372644;64.807816;34.100002;38.5645;30.879688;74.68173;39.12327;108.95404;18.022404;18.854313;57.169685;32.01084;39.39303;24.043444;93.51118;17.963383;18.519062;20.271626;23.082024;115.86955;65.44615;89.51676;14.424341;13.5709505;282.4165;88.26445;83.66293;45.19028;34.9741;76.95667;13.64299;7.0576096;81.963615;55.44204;84.82771;66.388084;72.55032;41.85586;146.27415;64.053;21.209192;12.821788;24.937792;25.168541;57.254993;197.2642;10.969561;73.158554;13.75497;39.182472;58.691803;36.88607;17.493923;42.29063;45.091793;41.977074;23.968945;5.8187895;26.655697;47.177567;38.52806;42.32524;50.961502;2.2495785;8.337434;42.336197;73.1454;6.784696;10.579298;29.11705;223.34988;22.422892;39.235664
58.355083;21.412601;42.94151;42.6353;51.60795;21.425732;28.645023;80.933914;47.13155;35.79522;15.991582;103.47355;26.140705;10.887771;72.0139;49.20861;19.19025;14.747159;9.671359;7.9100885;11.923959;84.31403;17.344835;23.289824;49.71516;58.29618;24.066626;63.62033;32.289448;33.9105;27.042242;68.362076;41.923775;97.59707;18.41817;18.236877;54.589508;28.835617;39.65731;24.389933;93.158455;17.809528;18.506407;18.76235;21.09438;135.02097;65.369675;91.71769;11.36288;13.651278;311.81915;76.13432;83.507034;39.9034;31.291815;61.619373;12.648535;6.5414796;71.93295;55.71687;75.79726;67.84789;81.76964;40.18664;133.4647;55.727;20.071241;11.261626;25.31211;22.51552;56.920563;173.05507;10.033547;68.858765;9.672418;34.505417;43.312954;42.223164;14.436317;35.374985;45.732258;37.238228;23.268726;6.225948;23.698612;40.57993;32.03655;46.1047;52.737663;1.821367;8.4863405;44.27229;58.523182;6.7983475;8.182931;25.093739;211.8461;22.791664;33.605644
50.535942;21.429783;36.782055;38.285244;52.649475;18.34241;31.395615;65.6453;50.765953;33.260727;16.064009;90.926025;22.161684;11.43747;62.92874;44.419315;18.516115;15.772517;10.673616;6.9741883;12.0882225;70.86932;15.827464;26.832336;40.522198;52.131824;22.373642;59.855103;30.854883;29.418583;29.739838;70.0291;40.256905;90.67223;18.414772;17.625677;53.049553;26.521881;30.89895;19.95882;87.03532;14.1345415;18.372843;17.007626;22.942274;101.9482;59.811745;86.18519;12.257946;12.963793;275.88306;74.16927;87.925545;40.306126;31.15207;72.71543;13.0770855;6.5751967;70.9095;45.5981;62.072258;66.2346;67.51021;41.986687;130.84073;51.763542;20.638042;11.225659;24.564312;22.94714;44.792946;157.94106;9.476406;63.75353;12.704079;26.57189;41.014668;35.045372;14.799536;32.184853;41.182415;39.452232;20.737036;5.0440016;21.701351;38.107304;29.452097;43.199966;52.946037;2.0421035;7.7986794;36.90336;72.92819;6.539238;9.224185;20.393108;158.61203;20.637335;35.809437
51.0843;19.116667;38.71983;40.025322;51.623535;18.387749;25.776241;71.92284;48.40365;34.470615;12.083984;81.97648;22.831135;11.87286;61.71537;39.714977;17.657917;14.098035;10.279943;7.2281213;12.218208;67.66617;16.695995;23.13323;39.313053;51.976654;25.659647;54.040344;31.95986;33.1354;23.164612;77.82986;32.447124;109.72849;15.812589;14.912549;46.188213;27.5106;39.922207;20.448353;86.56653;16.462034;15.285852;15.789831;19.959736;117.919716;55.898327;84.051216;11.934877;10.931851;264.02753;69.245316;76.3455;39.1129;28.292658;67.16094;11.211431;6.256863;59.928383;48.043465;60.07799;58.177326;62.047234;39.315903;136.16573;56.075035;21.299715;11.031167;21.417477;20.436634;41.542118;145.61128;9.330286;59.788597;12.174058;28.234013;41.823597;37.954987;13.632433;30.897263;41.442898;38.317436;20.113512;5.1577597;21.425076;39.641186;29.147068;46.64794;48.23992;1.7264656;9.184305;41.836147;64.74823;5.594913;7.4409904;21.74335;170.18683;18.719368;32.67067
51.898235;18.922049;42.943123;34.850616;53.396904;21.089787;25.542715;68.11943;49.31333;35.837532;12.564737;90.39651;27.283045;10.842134;59.667603;44.879566;20.15592;13.44076;9.590669;6.385249;12.686361;72.788895;19.442337;26.513153;41.795723;58.183704;23.8627;58.89325;30.77322;31.004314;26.260157;61.123833;36.07818;79.85252;21.25376;17.551548;56.10119;33.36503;33.913586;21.58337;95.275276;17.526459;16.334776;18.252686;20.542265;112.15784;57.79667;85.84792;11.994718;11.231682;292.78268;86.289986;78.00157;38.19221;28.351124;65.81548;12.55531;6.1015677;77.932915;50.0642;65.96141;56.933796;70.59387;36.694923;126.33699;46.25441;20.23315;10.371489;22.301502;22.192533;58.681633;154.13283;10.810111;71.9969;12.257804;29.971079;34.41792;41.753696;14.957683;36.07316;44.426174;33.984947;22.849358;5.5282717;20.745783;39.105995;30.242788;45.042725;52.19342;1.7860912;8.520273;41.88935;69.32892;6.0729;8.624297;21.905756;206.1052;19.51463;31.973825
