1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
142.53398;146.28;145.314;359.145;363.285;144.9;144.49188;144.9;144.55157;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.1952;144.486;144.624;144.072;350.52;146.34483;146.28;143.382;143.52;143.244;141.036;139.45563;144.27313;146.28;145.038;170.177;146.28;143.796;144.348;144.83905;145.452;146.004;145.038;143.934;143.52;142.692;142.22453;144.762;-1.0;145.59;140.07
-1.0;146.28;145.314;359.145;363.285;144.9;143.4234;-1.0;142.86662;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.25114;142.13113;144.486;144.624;144.072;350.52;146.45726;146.28;143.382;143.52;143.244;141.036;139.03105;144.13055;146.28;144.66586;170.177;146.28;143.796;144.348;144.6519;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.50153;146.28;145.314;359.145;363.285;144.9;-1.0;144.9;143.58266;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.2106;144.486;144.624;144.072;350.52;146.42035;146.28;143.382;143.52;143.244;140.63988;138.9048;144.04105;146.28;144.58199;170.177;146.28;143.796;144.348;144.68285;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;359.145;363.285;144.9;-1.0;144.9;143.7155;-1.0;146.28;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.26965;142.13774;144.486;144.624;144.072;-1.0;146.56609;146.28;143.382;143.52;143.244;140.6129;138.21002;-1.0;146.28;143.96803;170.177;146.28;143.796;144.348;144.45694;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.41171;144.9;144.42859;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.16801;144.486;144.624;144.072;350.52;146.40834;146.28;143.382;143.52;143.244;141.03082;139.57225;144.22469;146.28;144.96437;170.177;146.28;-1.0;144.348;144.83682;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.0448;144.9;144.27165;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.19276;144.486;144.624;144.072;350.52;146.35844;146.28;-1.0;143.52;143.244;139.55237;138.09068;143.91307;146.28;144.68805;170.177;146.28;143.796;144.348;144.69351;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.43544;146.28;145.314;359.145;363.285;144.9;144.61592;144.9;144.6015;144.348;146.28;354.315;143.658;-1.0;143.64761;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.17624;144.486;144.624;144.072;350.52;146.38156;146.28;143.382;143.52;143.244;141.01564;139.1323;144.06543;146.28;144.79533;170.177;146.28;143.796;144.348;144.76021;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.70172;144.9;144.624;144.348;146.28;354.315;-1.0;143.382;143.658;145.728;-1.0;143.796;143.658;143.244;144.9;142.278;142.278;142.20033;144.486;144.624;144.072;350.52;146.3094;146.28;143.382;143.52;143.244;140.83936;139.05347;-1.0;146.28;144.78893;170.177;146.28;143.796;144.348;144.84253;145.452;146.004;145.038;143.934;143.52;142.692;143.658;-1.0;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;-1.0;144.9;143.98445;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.1991;144.486;144.624;144.072;350.52;146.33783;146.28;143.382;143.52;143.244;141.036;139.656;144.4302;146.28;-1.0;170.177;146.28;143.796;144.348;144.9;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.06575;-1.0;143.48996;144.348;-1.0;354.315;143.658;143.382;143.658;145.728;145.452;143.796;143.658;143.244;144.9;142.278;141.75658;141.78873;-1.0;144.624;144.072;350.52;146.3817;146.28;143.382;143.52;143.244;-1.0;139.15097;144.21964;146.28;144.94214;170.177;146.28;143.796;144.348;144.7803;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
