1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
30.41447;14.242131;22.578308;26.445068;36.50645;14.937483;20.591654;55.745537;33.659782;23.275192;9.9445505;64.23123;16.92392;7.752237;44.412655;31.932064;13.021547;8.833476;6.817266;5.2359138;9.293468;49.585045;11.072107;18.295706;27.234262;40.744606;14.706398;42.991272;23.926472;21.975021;18.370594;48.497246;23.739635;77.180984;12.620752;11.399625;31.318607;18.292606;27.120007;14.013365;62.88056;12.914297;13.0327425;14.111554;15.937978;80.41204;43.292274;58.117004;7.616783;8.103112;177.89844;50.32239;55.33554;27.12334;19.712357;48.535633;7.8705153;4.2524433;50.51272;33.722523;52.50404;46.375847;54.001076;31.715845;95.07408;38.373615;14.745656;7.5686607;16.80125;17.345121;30.469915;92.41079;7.618177;43.395332;8.581804;19.275644;31.71845;28.608072;10.745703;22.892426;28.38473;24.550325;16.99013;3.1999366;15.534124;27.201456;24.86032;32.41375;31.558167;1.4608952;5.548738;24.3698;46.354782;3.9049015;5.842367;14.663849;129.43465;13.412137;23.016014
35.447285;15.169334;28.928385;28.788208;35.254448;12.020504;19.138073;54.85296;36.516083;23.54577;11.997351;72.19717;18.358015;7.9932923;46.593723;30.704773;13.866084;10.07088;7.734327;5.1498632;9.762857;46.714417;12.096201;16.315676;33.927155;45.651978;18.907345;45.967884;23.702868;22.192936;21.561047;46.441013;25.304485;71.3339;13.295809;12.42473;38.62014;20.413212;27.548096;14.398755;66.66526;12.988111;11.999247;13.763456;15.137937;75.32439;50.671806;62.10258;9.413139;8.612062;226.50296;57.866375;57.100475;24.67913;20.671066;47.77267;9.088557;4.1057854;49.215153;34.50972;46.792297;49.036957;52.264458;25.50705;97.74068;44.657173;13.552734;7.6297593;16.636656;17.432646;35.584763;119.84453;6.4056654;48.57239;10.1722555;21.920563;30.495327;30.907055;10.540422;23.47308;29.650272;28.233194;17.081713;4.1453166;16.019773;25.365295;23.393541;30.526432;40.93996;1.6592535;6.17352;28.307133;53.630108;4.511287;6.5153475;17.359457;128.30455;15.978601;25.985937
41.39755;15.992246;31.524994;35.008724;41.563328;15.29861;20.384869;57.91565;32.53335;25.872158;10.796762;78.23112;17.256506;9.638842;48.530773;41.129314;14.543669;11.379482;7.230591;6.0189104;11.137294;59.83908;13.523392;21.157959;34.941563;45.207756;18.587757;45.29736;27.158443;24.908195;22.43022;44.70909;29.68772;75.66702;14.807379;13.256149;44.60838;24.99578;28.334408;17.326048;61.314873;15.146518;13.783292;14.997127;18.548069;89.656075;56.07824;64.11838;10.326608;9.822229;211.04019;63.07906;64.82598;30.456394;20.10689;52.390236;8.878912;4.456071;60.137196;41.072853;55.920452;47.353523;53.511932;30.872341;107.50484;43.49247;15.161619;9.333212;20.040716;16.926432;35.411053;129.89182;7.635134;48.753914;11.34943;24.735348;31.625355;27.451563;10.885607;24.919903;29.837551;29.09751;17.39589;3.8323486;16.579006;34.936478;21.80009;33.612812;40.18929;1.4664375;6.7341294;33.644993;52.19104;4.6511164;6.169826;19.80035;147.87955;15.370527;23.840765
42.02485;15.815683;33.46488;32.06417;41.71104;14.41971;22.268663;56.642555;36.450436;26.23096;12.195441;70.8802;19.911121;9.17122;46.922005;37.024498;15.315971;10.800085;9.393511;6.2575407;11.592161;52.646484;12.534977;19.061186;38.19526;47.098297;18.90418;47.428864;24.998615;27.349665;21.081348;51.466106;32.39373;82.39107;13.499667;13.30488;41.66373;27.112686;31.096567;16.249329;66.01611;14.096991;13.60335;14.65669;21.296978;93.34025;52.470917;70.08879;9.626065;9.204797;233.62154;66.05658;65.1238;33.608147;24.433945;61.24212;10.67102;4.900314;48.18064;40.048767;52.22893;48.498314;62.130604;34.78777;104.072365;40.05645;16.243113;7.5512033;19.272999;18.500929;40.57603;139.9339;8.425783;57.44332;10.960226;21.71659;34.55831;29.833551;11.597441;28.637241;36.51735;29.66747;18.2481;3.9063027;19.105648;34.107533;28.214132;37.605797;38.425724;1.5713289;6.606716;33.872913;48.264626;4.7332087;6.451719;18.230118;150.40352;15.109525;24.71681
37.613396;14.259107;30.006464;29.13204;36.523823;13.918469;20.80571;51.576527;35.128536;26.057926;11.471856;68.79171;16.99374;8.298729;38.729485;32.843887;12.734411;9.573303;7.306302;5.279321;9.61159;55.61544;13.047142;17.160982;27.904678;45.4755;18.424545;47.66937;23.252697;23.630657;22.667444;46.515263;24.867882;82.54961;13.294298;10.841919;42.666374;22.752077;22.710121;14.740865;60.898277;12.012927;13.668805;13.3476925;16.050032;85.15706;49.06537;64.52022;9.5695;8.494778;185.99;51.289864;57.470856;27.176825;21.628092;53.932716;7.82377;4.4602327;48.93496;29.987543;47.38273;45.022472;53.676685;29.002895;92.67827;39.849686;16.237911;8.254496;17.37865;15.910901;32.911774;131.38434;7.1388617;51.20152;9.052686;24.605242;31.38587;29.354279;11.122343;24.909727;32.012894;25.424774;15.592984;3.6999288;18.612871;29.946814;20.856453;28.313639;36.42979;1.3806145;6.1720433;27.55183;61.356117;4.7516255;6.3193893;16.821167;140.72017;15.247518;23.114582
36.66297;13.340742;30.535297;28.530142;39.554684;12.611472;17.646503;45.655613;32.399254;26.863546;9.956554;60.15255;18.94136;6.985251;46.612762;25.979748;13.595479;10.733974;6.2397776;4.838193;10.291091;51.72991;12.736132;16.040356;28.44907;43.936844;16.03667;40.828148;21.416119;23.478619;17.714579;42.587685;26.827963;70.20082;14.5855665;10.4401865;36.56027;19.928501;23.23991;14.454478;58.15545;12.537869;12.046641;12.640687;14.528524;77.79423;45.64429;59.468353;8.254198;9.494678;186.98074;55.323265;54.345703;28.745829;20.102955;43.861847;9.923609;4.0493574;51.392925;32.815796;46.463844;41.979702;51.625275;32.217354;94.535255;37.86035;12.292788;7.8428802;16.242203;15.294792;32.096;112.22636;6.5034165;50.236233;8.531634;19.549757;27.179571;24.05689;10.064069;24.20541;27.411896;22.742292;17.421106;3.869699;18.703287;23.236116;20.70892;32.650555;37.63377;1.2815337;5.098654;29.101221;50.34996;4.048706;5.547763;16.398125;135.5632;13.915608;22.641281
38.9488;14.574392;28.909872;27.048798;37.850937;15.013876;19.589893;48.850746;36.55763;23.271046;10.612409;59.41975;18.131252;8.020547;43.342937;32.64585;12.182514;9.564912;7.754982;5.41438;9.173171;47.04825;11.894348;19.236246;32.210133;41.61972;18.347523;41.60311;23.478907;21.765558;19.15804;51.55761;28.725088;72.656204;12.013174;11.303148;36.10691;22.417034;24.473978;14.732773;66.58542;12.722741;11.751024;13.124112;15.503;79.37099;44.723076;57.922447;9.385086;9.314267;206.45056;47.839977;53.95478;27.915173;19.46442;48.609417;8.815737;4.237009;48.59875;33.359905;42.471115;39.46905;49.69668;26.153202;93.73158;38.660603;14.210905;7.3263574;15.783937;16.372835;34.783802;117.57308;7.6670966;43.463818;8.93686;21.057735;27.199299;28.98106;10.442385;24.7255;30.977757;23.977238;16.749308;3.5091426;17.373878;24.174213;21.794647;30.862747;36.151176;1.3996029;5.8354664;25.039434;49.429516;4.2207637;5.3253036;16.566608;147.60788;12.579039;23.912655
35.17295;15.026842;28.393066;29.219086;34.71219;13.880033;20.180954;56.39812;33.604836;25.87679;10.453611;65.06966;16.69911;7.9720354;43.66408;32.30718;12.860901;9.765854;7.762857;5.4258194;9.419282;50.66128;12.092805;17.615887;31.170557;41.92717;16.910805;40.527794;22.011837;19.544828;19.786606;48.42405;30.386444;72.74046;13.033458;11.486211;35.159924;19.94209;22.030544;15.59142;72.70097;12.953018;10.704945;13.381727;16.748959;73.11109;49.587257;54.672615;9.081718;9.212394;200.95663;50.732506;49.52024;27.096075;20.27429;45.103992;8.770916;4.6845694;48.586334;34.129288;42.477623;40.15641;53.073395;27.131466;95.77586;37.667736;13.07136;7.1653557;14.915477;14.502088;36.98097;103.24663;7.455874;42.68145;8.988789;20.889175;24.879889;28.571255;9.110225;25.387127;30.954187;24.30008;15.209799;3.683123;16.315807;23.358234;22.476292;31.30946;38.182426;1.50422;5.135729;26.637009;49.294994;4.275509;5.25711;18.145382;128.4902;14.0616665;22.732075
26.91225;10.08137;18.572357;21.193598;27.39155;9.709668;16.509777;32.80378;25.77969;18.63555;7.6750402;50.848976;13.719777;6.199937;32.14922;24.910389;9.726736;7.1844225;5.3390903;3.7925115;7.6735077;36.93343;8.890099;14.621381;21.597073;30.515158;10.63619;32.261517;17.530716;16.016947;13.897098;34.022366;18.737074;55.828423;10.480872;10.110418;26.67425;15.250021;20.849995;10.405786;51.50434;8.031842;9.802235;10.04614;12.4549885;63.557636;32.746796;42.67751;7.24743;7.8796616;144.6272;44.136963;40.778008;20.464424;15.663348;33.13511;7.1236115;2.881685;34.69837;23.442408;38.364197;32.024704;33.384014;18.267857;67.59634;27.78475;10.213607;6.3875737;13.726723;10.0585985;26.85225;92.97828;5.174336;32.974392;6.8661547;16.693266;23.384214;22.765205;8.54806;16.692366;21.7861;17.412724;11.739165;2.739446;11.028279;19.17674;18.961111;21.766832;23.605318;0.9039713;4.0623865;21.322828;39.52006;3.1512442;4.1738644;13.297483;98.16459;10.214597;18.97427
22.590557;9.44136;20.76278;18.445507;25.462126;9.7142315;13.963974;33.483147;22.393353;18.496511;6.017199;40.366886;12.61642;4.50258;29.849884;21.769539;8.923718;6.65634;4.9379225;3.1765685;6.7315087;34.58393;8.436692;11.408262;19.553205;28.100824;11.066431;29.326761;16.569206;16.629818;13.679434;31.886831;17.203203;53.14791;7.771128;6.906598;26.140768;14.125873;15.143797;10.132107;40.58647;7.281045;8.061858;8.074729;11.194573;55.192085;34.41911;43.54578;5.523483;6.574328;158.70578;38.912636;36.08787;17.367756;14.562159;34.197243;5.728183;3.0624032;32.413857;21.089607;33.896915;28.30832;28.613804;17.672878;69.36874;31.222485;9.367132;5.447391;10.149506;11.2106085;21.620785;78.950905;4.77023;30.835684;6.0390835;14.457703;21.725521;19.091024;7.383143;15.401413;18.560648;18.252825;10.163085;2.5322137;11.759113;19.480232;15.719449;18.554512;26.935312;0.96754205;4.5034018;21.83755;34.57387;2.4336705;4.013957;9.848112;95.35777;10.195346;17.003992
