1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
29.409924;32.087452;31.665607;31.60522;0.0;63.425056;29.500666;31.464651;28.570587;31.23615;105.74662;137.00967;32.88278;32.847095;29.772202;30.961206;30.356989;31.314566;36.201393;35.28286;101.42847;48.348927;31.332907;30.46082;78.7237;82.66605;31.512674;154.56598;149.51767;259.22656;32.373558;31.727015;32.013252;30.81358;32.728634;31.611887;179.37735;32.022514;33.696144;241.08333;30.681437;30.944077;29.669483;33.436424;113.63664;41.991035;28.786661;30.644947;30.84309;30.897701;44.7668;32.574364;33.13022;36.896755
30.585114;35.843742;30.184103;33.532143;164.44109;55.282887;32.187813;31.526493;32.51363;30.784037;96.20095;138.73807;35.4052;36.91686;33.036327;30.280415;32.84388;31.285086;32.54725;40.076485;95.88742;51.29654;33.119473;33.904327;82.05751;91.01054;33.67472;164.08575;155.8444;260.7408;0.0;34.40963;34.2879;32.25007;31.03652;31.897837;177.92392;32.2404;34.224983;233.93755;30.649542;34.39897;31.064966;32.68305;119.28935;42.56151;32.709408;34.55748;30.764252;31.807068;42.33703;33.055668;32.858753;32.41841
36.682556;40.101;36.96802;36.32015;208.62268;69.31006;37.12396;36.632027;35.791042;33.485325;120.83408;162.0054;38.226288;36.858807;37.718925;36.868687;36.88121;39.056393;40.64181;43.833847;114.67348;55.26461;42.883324;38.711006;98.72862;100.93037;37.840202;172.86818;170.4076;299.9668;0.0;35.96512;41.700115;40.341255;37.255905;35.158455;0.0;38.72129;40.114845;266.63165;0.0;39.85639;38.73807;38.806763;138.39888;54.4322;40.70066;0.0;41.792946;40.562096;51.14785;37.8788;37.972435;36.159584
37.752834;38.019722;37.720177;37.387733;207.49629;73.48318;37.194984;40.028038;39.51176;38.324303;123.651855;160.1641;39.696167;42.867718;41.446674;34.1167;39.05567;39.839073;38.536068;41.53089;114.23141;52.989765;36.60418;39.894325;95.95598;101.54045;38.488186;162.95071;0.0;300.85303;37.65455;39.654644;36.937542;35.52258;40.704124;34.424667;215.81772;35.959354;39.056816;265.8985;36.83425;34.453857;39.625057;0.0;139.3536;55.141773;39.41519;37.99306;38.504997;36.689377;55.12685;35.382076;39.48211;34.94784
34.027687;36.891483;34.41371;33.32419;202.8609;60.618053;35.14187;34.225567;35.736404;0.0;105.03407;145.91379;35.420998;36.897667;32.32581;35.00623;35.219673;32.600033;37.232365;41.277428;102.23766;55.25335;30.960567;30.998386;91.86403;88.37347;38.6728;0.0;169.55472;261.07724;30.725592;36.39819;37.35052;34.803818;30.754745;35.535076;195.65485;38.76733;36.292408;232.76643;33.528572;0.0;33.78687;32.66012;127.802086;49.609962;32.22131;34.361275;36.373634;32.3417;45.01449;35.068424;35.293644;34.212902
30.384724;29.412027;30.652279;32.090797;164.93835;60.909466;0.0;28.52322;28.567524;32.563957;103.19118;130.40503;33.040695;32.649986;32.47938;32.08974;30.419199;31.529896;30.286636;36.071926;95.30046;0.0;29.51738;32.337524;92.798454;93.32833;32.07689;146.6828;143.2804;252.42326;33.943943;31.898067;33.298527;30.477264;34.199825;32.79523;189.66786;32.45188;33.16175;212.52263;30.87857;32.110523;32.562325;31.087437;109.82479;45.032135;33.219032;30.06583;32.00624;0.0;40.37594;29.95103;30.895;31.807407
30.383307;29.202152;31.601044;33.367317;182.94675;55.715393;31.162128;32.25273;28.97894;30.323257;106.247986;132.0798;30.922918;32.57616;32.933296;0.0;31.32609;30.681784;31.706797;37.01113;88.55809;46.147522;31.043844;29.161953;83.13772;76.81983;30.901806;164.40434;166.13449;241.85503;33.372528;30.991486;30.547016;33.169773;31.925476;31.035782;171.63127;31.139603;34.38539;226.50945;29.444798;32.422676;30.82315;0.0;110.444496;45.601967;34.39983;30.895298;30.63819;31.010448;43.062603;32.02111;31.134787;34.111137
33.96575;33.345055;34.178864;29.212912;0.0;56.47992;29.62594;32.446987;31.989054;32.346046;101.404526;123.690186;34.62251;36.752636;31.095547;31.345068;32.654613;34.122314;32.52823;38.209534;103.707565;46.495888;32.48884;31.96879;80.99833;84.227;33.127617;156.23918;172.58754;257.04276;37.255424;34.45978;29.931889;30.937977;30.45965;35.781116;178.64835;32.855873;32.033146;230.97461;30.963858;34.239353;32.3936;32.154602;115.14946;45.485374;31.684753;29.670218;32.90641;33.421715;45.886425;30.922993;31.022223;35.92308
25.523518;27.568302;23.861443;24.348078;144.23459;48.665638;0.0;25.562366;25.610556;26.449936;82.37572;103.82375;26.095814;29.889114;27.54625;25.974781;24.986643;24.828278;25.532421;30.626251;76.25859;37.19165;26.636799;24.030163;62.351105;65.53516;25.8261;121.01167;114.569565;0.0;23.619398;26.543274;24.884357;24.559;24.599781;25.211376;143.34128;25.848896;26.757954;181.82677;28.047604;24.838469;24.350147;23.831585;93.67945;29.565243;25.369469;24.821404;25.526453;23.456158;33.952457;24.023582;29.722485;26.276947
22.813873;22.797468;24.897743;21.394747;120.277115;46.21667;0.0;22.5112;20.2236;22.454517;71.04701;96.14928;23.549236;24.039892;22.991776;23.706205;21.703287;21.512857;23.655014;26.599264;72.57484;32.67556;23.680927;23.718967;54.321026;55.62092;22.011826;118.56449;115.803;186.68045;21.973106;0.0;22.749939;22.731276;24.3792;22.31297;136.12082;22.64441;24.539793;157.80247;21.518589;23.327349;21.977375;25.482752;0.0;0.0;23.300163;23.578693;22.812908;22.141283;28.561497;22.724012;22.614004;22.726778
