date;time
2012-jan-21;21:00
2012-jan-21;22:00
2012-jan-21;23:00
2012-jan-22;0:00
2012-jan-22;1:00
2012-jan-22;2:00
2012-jan-22;3:00
2012-jan-22;4:00
2012-jan-22;5:00
2012-jan-22;6:00
2012-jan-22;7:00
2012-jan-22;8:00
2012-jan-22;9:00
2012-jan-22;10:00
2012-jan-22;11:00
2012-jan-22;12:00
2012-jan-22;13:00
2012-jan-22;14:00
2012-jan-22;15:00
2012-jan-22;16:00
2012-jan-22;17:00
2012-jan-22;18:00
2012-jan-22;19:00
2012-jan-22;20:00
2012-jan-22;21:00
2012-jan-22;22:00
2012-jan-22;23:00
2012-jan-23;0:00
2012-jan-23;1:00
2012-jan-23;2:00
2012-jan-23;3:00
2012-jan-23;4:00
2012-jan-23;5:00
2012-jan-23;6:00
2012-jan-23;7:00
2012-jan-23;8:00
2012-jan-23;9:00
2012-jan-23;10:00
2012-jan-23;11:00
2012-jan-23;12:00
2012-jan-23;13:00
2012-jan-23;14:00
2012-jan-23;15:00
2012-jan-23;16:00
2012-jan-23;17:00
2012-jan-23;18:00
2012-jan-23;19:00
2012-jan-23;20:00
2012-jan-23;21:00
2012-jan-23;22:00
2012-jan-23;23:00
2012-jan-24;0:00
2012-jan-24;1:00
2012-jan-24;2:00
2012-jan-24;3:00
2012-jan-24;4:00
2012-jan-24;5:00
2012-jan-24;6:00
2012-jan-24;7:00
2012-jan-24;8:00
2012-jan-24;9:00
2012-jan-24;10:00
2012-jan-24;11:00
2012-jan-24;12:00
2012-jan-24;13:00
2012-jan-24;14:00
2012-jan-24;15:00
2012-jan-24;16:00
2012-jan-24;17:00
2012-jan-24;18:00
2012-jan-24;19:00
2012-jan-24;20:00
2012-jan-24;21:00
2012-jan-24;22:00
2012-jan-24;23:00
2012-jan-25;0:00
2012-jan-25;1:00
2012-jan-25;2:00
2012-jan-25;3:00
2012-jan-25;4:00
2012-jan-25;5:00
2012-jan-25;6:00
2012-jan-25;7:00
2012-jan-25;8:00
2012-jan-25;9:00
2012-jan-25;10:00
2012-jan-25;11:00
2012-jan-25;12:00
2012-jan-25;13:00
2012-jan-25;14:00
2012-jan-25;15:00
2012-jan-25;16:00
2012-jan-25;17:00
2012-jan-25;18:00
2012-jan-25;19:00
2012-jan-25;20:00
2012-jan-25;21:00
2012-jan-25;22:00
2012-jan-25;23:00
2012-jan-26;0:00
2012-jan-26;1:00
2012-jan-26;2:00
2012-jan-26;3:00
2012-jan-26;4:00
2012-jan-26;5:00
2012-jan-26;6:00
2012-jan-26;7:00
2012-jan-26;8:00
2012-jan-26;9:00
2012-jan-26;10:00
2012-jan-26;11:00
2012-jan-26;12:00
2012-jan-26;13:00
2012-jan-26;14:00
2012-jan-26;15:00
2012-jan-26;16:00
2012-jan-26;17:00
2012-jan-26;18:00
2012-jan-26;19:00
2012-jan-26;20:00
2012-jan-26;21:00
2012-jan-26;22:00
2012-jan-26;23:00
2012-jan-27;0:00
2012-jan-27;1:00
2012-jan-27;2:00
2012-jan-27;3:00
2012-jan-27;4:00
2012-jan-27;5:00
2012-jan-27;6:00
2012-jan-27;7:00
2012-jan-27;8:00
2012-jan-27;9:00
2012-jan-27;10:00
2012-jan-27;11:00
2012-jan-27;12:00
2012-jan-27;13:00
2012-jan-27;14:00
2012-jan-27;15:00
2012-jan-27;16:00
2012-jan-27;17:00
2012-jan-27;18:00
2012-jan-27;19:00
2012-jan-27;20:00
2012-jan-27;21:00
2012-jan-27;22:00
2012-jan-27;23:00
2012-jan-28;0:00
2012-jan-28;1:00
2012-jan-28;2:00
2012-jan-28;3:00
2012-jan-28;4:00
2012-jan-28;5:00
2012-jan-28;6:00
2012-jan-28;7:00
2012-jan-28;8:00
2012-jan-28;9:00
2012-jan-28;10:00
2012-jan-28;11:00
2012-jan-28;12:00
2012-jan-28;13:00
2012-jan-28;14:00
2012-jan-28;15:00
2012-jan-28;16:00
2012-jan-28;17:00
2012-jan-28;18:00
2012-jan-28;19:00
