1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
29.30138;11.590841;21.043966;18.597492;29.389912;10.876535;16.78143;37.93215;29.566616;21.625164;7.81614;52.297295;16.688631;6.3885775;35.779552;28.068619;10.290194;7.942655;5.977742;4.44866;7.205883;44.09113;9.87322;13.81283;26.371109;36.057983;13.453363;33.74816;19.93182;17.670345;14.548914;36.48275;22.308506;54.656788;11.156296;9.059191;28.011806;19.301405;20.176758;12.454748;50.342308;10.887414;10.454087;10.493517;12.934273;73.8976;33.06603;51.594837;6.48798;7.265223;168.91357;44.303078;49.08909;23.771544;14.734442;41.02623;6.3314567;3.8771312;43.424976;27.26329;39.401237;36.702484;39.21531;20.410563;70.34929;30.04487;10.371696;6.049713;14.010473;12.986153;29.403189;85.39633;5.7010584;34.350395;7.9674845;18.741016;22.976597;21.859749;8.449949;18.90894;25.930838;23.42611;13.314302;3.0364914;13.064081;21.870667;15.959198;26.076746;29.691141;1.1190953;4.496741;21.620636;34.565994;3.9148612;4.665421;13.517473;101.40857;11.806371;17.527754
26.300251;10.796155;21.895765;20.492445;29.462397;9.997878;13.38212;34.10929;24.166477;18.643509;6.9607773;44.118637;13.43194;4.690232;33.30277;25.4788;9.0630455;7.2739816;5.48126;3.8465753;6.062417;38.320503;9.617205;11.445383;22.167744;31.915335;11.899282;30.441462;18.854462;17.104069;12.306;34.50124;19.610502;54.00644;8.904477;9.799471;27.98582;13.702304;17.28801;10.314601;47.51841;9.316496;8.460755;8.668326;11.659594;60.191303;33.29556;48.31979;5.783103;5.9237075;140.16412;40.799614;39.01861;19.023552;15.2987;33.11371;6.3042326;3.207447;37.84888;27.863754;36.566147;35.79431;34.727463;21.690699;68.31804;27.850687;11.409773;5.8661504;13.691615;11.020321;25.956982;79.99858;5.185874;30.822062;7.1393394;15.049588;21.83334;20.886696;7.874695;18.695814;19.376982;17.854998;11.439296;2.4298515;12.300965;21.44743;16.724531;22.273933;28.527685;0.9564745;3.7689273;19.359241;37.701103;3.4799068;4.11265;12.157291;93.0733;10.213807;15.57062
25.610931;10.388167;20.672838;19.4595;27.3574;9.536177;13.347548;33.219376;24.90804;16.257494;6.243898;43.0921;12.681304;5.6160436;28.08698;23.489023;8.359365;6.442195;4.839008;3.6249268;6.3368454;39.917107;7.8861604;11.596794;19.413393;26.902716;11.18144;28.82581;14.215132;14.597364;13.239523;33.38645;16.689617;45.879047;9.257347;8.018595;24.552633;13.045293;15.87662;10.030439;38.17748;8.165131;8.665869;8.601597;11.930933;57.37574;33.374153;39.440132;6.221401;5.781888;137.62013;36.165318;32.342304;19.739193;12.339685;34.124302;5.4502044;3.259662;35.141544;22.826807;29.830692;33.39353;34.973167;18.271715;61.704327;27.789001;8.903866;5.171012;11.687303;9.776671;23.737513;73.261765;5.509934;36.487743;5.602121;15.212336;19.373447;18.289562;8.124169;18.857801;20.337877;19.288769;10.3489485;2.4495215;11.8768635;18.072712;13.826464;19.66077;22.52866;0.93445873;3.9003005;17.556944;35.11593;2.8955245;4.089279;11.392381;92.77896;9.70835;14.863785
23.935349;8.543394;19.873436;16.359415;23.553602;8.653975;13.846771;29.618351;20.285784;16.033796;7.3421707;42.034306;12.523349;4.790793;25.014378;19.890467;8.732288;5.8082027;4.2117457;3.030765;5.7975073;30.92574;7.5395226;11.4069195;18.070248;29.198648;11.428732;26.094095;15.8371935;14.051816;12.19362;26.616657;15.979689;43.7194;8.640696;7.0399413;23.963268;12.352137;17.01365;9.557318;39.470608;7.5547485;8.115957;8.726351;10.867931;47.761673;27.500284;35.129536;5.9204793;5.598213;121.32909;34.373573;34.62863;15.864153;11.57164;30.437603;5.0046134;2.7020528;34.48354;23.187056;29.568527;29.62669;31.151209;19.73814;57.167915;21.10484;9.464585;5.414441;10.377328;9.337;22.51963;84.91319;4.3031282;31.185217;5.4393177;13.614058;21.651781;16.184221;6.211507;15.7007675;20.10635;16.5229;10.268208;2.285202;9.9859495;15.568456;15.993675;20.619507;24.115921;0.9092288;3.5052001;16.53098;26.345896;3.005775;4.00829;10.243662;84.12065;8.876334;15.73647
22.05937;9.2021055;17.421928;19.986813;22.580359;8.342276;12.730264;36.136627;18.96857;14.821315;6.5125303;42.522694;11.443167;5.08709;23.845098;21.07851;8.088461;5.738456;4.7824626;3.133761;6.242298;31.576345;7.2428613;10.255774;18.660862;29.956955;9.134294;25.796589;15.613301;13.439249;11.709747;28.179895;16.490551;49.035717;9.000579;6.9663696;24.70298;11.775145;13.842812;9.467676;38.171154;7.343374;7.393412;7.7773676;9.412132;53.531403;26.049625;40.23627;5.289819;4.370088;119.84863;29.813812;34.60779;18.650318;12.673475;30.01004;5.491353;2.6574128;31.837955;20.726252;31.649343;29.346485;31.07165;17.274706;66.035934;27.004486;8.181033;5.246557;10.474769;9.520537;22.548145;73.53749;4.404715;27.760777;4.92978;12.8537855;16.673416;15.896631;6.799432;14.915927;20.331259;16.116152;9.547921;2.250214;10.175507;15.597921;12.730172;19.519949;21.794403;0.8600478;3.294495;15.885744;29.255762;2.8865867;3.7518826;9.657327;92.619644;8.98721;13.407077
23.297705;9.072079;18.152237;18.912025;26.33253;9.0827875;12.419519;34.730637;21.238012;14.674208;5.6004725;45.25272;12.735852;5.399856;30.563007;21.156935;8.878172;6.9746385;4.3507934;3.4540112;5.8597727;38.371597;8.500456;11.645642;20.714085;27.436646;11.358023;25.624887;17.382282;18.097134;12.914797;30.725824;15.073293;43.412834;8.601213;6.7470245;25.90479;14.545141;15.844989;8.567266;44.617485;8.0655;7.9703865;9.607953;9.947165;51.18118;30.332779;35.679592;5.689113;5.8407793;128.32996;35.778343;39.857292;19.396173;12.71736;30.317957;6.0338583;2.9516776;30.955576;20.761847;29.890259;28.093704;34.95799;21.457417;59.122406;26.36527;9.290735;5.195114;11.06315;10.045965;23.042736;75.49419;4.8495436;33.36597;5.4407606;16.709;20.834747;20.055384;6.8647623;16.953056;20.408598;17.303822;10.471558;2.426635;11.71413;18.68075;13.855443;19.969574;22.705471;0.9915759;3.712616;18.300533;36.895775;2.8667343;4.03529;12.39982;95.81627;8.647768;14.195209
26.64355;11.241812;21.809721;20.668802;29.999683;10.734688;15.663673;37.065044;24.332743;18.075865;8.730202;49.915646;13.627317;5.9655275;33.314217;24.55421;10.780956;8.322748;5.7688284;3.744875;7.679035;40.993084;9.421264;12.116652;24.168364;33.305458;11.298266;31.60491;17.769993;17.317709;16.076607;39.73075;20.230713;61.933746;8.894032;9.150484;31.774652;15.801392;20.183512;11.530762;47.03798;9.295789;8.736734;9.846846;12.573801;58.7871;33.764103;45.636105;5.9536963;6.2937536;128.42622;43.51206;43.413868;20.762384;15.939415;33.206795;6.4843073;3.3945222;37.472664;27.38326;34.106846;34.320103;45.136875;21.38463;71.91072;35.047092;10.482998;5.7805905;13.421023;10.314628;28.914297;85.958855;5.5158396;37.466167;6.010933;15.935942;22.06423;20.516354;7.064626;20.280468;24.0221;19.625744;13.735913;2.4443603;12.723776;21.990597;17.461058;23.393747;25.383747;1.0544298;4.432433;24.872467;41.119225;3.254171;4.799006;10.920862;105.65785;12.296263;19.101952
35.49922;13.1138;25.43121;22.560637;31.27595;13.324994;18.579609;47.095528;27.206238;21.455088;8.832407;63.251534;17.706911;6.871438;39.564087;28.172018;11.405923;8.644752;6.1627474;4.4017167;7.7253504;46.67726;9.791245;14.939694;29.984634;37.86808;13.452809;33.91938;23.242931;19.692204;16.573435;43.156563;21.82327;66.32332;10.111244;10.315873;31.732834;13.559006;20.363956;15.260086;55.628338;11.593277;11.320116;11.645338;14.02899;77.69135;40.40916;48.751095;8.174217;7.487672;160.89821;53.921883;42.49908;26.098064;18.698738;40.579372;6.92726;3.4760177;38.11141;26.72131;42.992626;40.29049;42.963673;25.614792;79.356064;32.19721;12.079423;7.172656;14.05925;12.2998295;29.212337;92.86209;6.9114676;34.829685;7.5197434;19.524506;24.082085;24.204636;9.470787;21.396809;25.445095;24.363785;13.420364;3.137724;14.02865;23.357199;19.76294;27.927563;29.681152;1.3347619;5.0204077;24.186033;42.952934;4.064803;5.4410605;14.257075;108.65865;11.806296;19.535437
38.50004;12.3726845;26.911016;28.064764;37.474297;11.277073;18.92348;50.9106;33.024227;22.745121;8.592873;64.99148;15.645208;7.747092;38.58616;30.466232;13.516739;9.103866;6.631009;5.253242;8.415645;46.594;11.66445;17.053083;30.079742;42.752983;17.071781;39.073093;24.386868;21.014542;19.782537;47.990482;25.983633;59.649055;12.272593;10.661218;39.305283;21.33291;25.234352;16.06837;53.839058;10.783186;12.916202;12.542939;13.706198;73.53285;44.037746;53.784843;8.422056;7.7108436;186.22;52.922615;48.32281;28.727703;17.701693;49.108086;8.056931;4.4204893;46.649323;28.677988;48.23559;45.724495;50.079826;25.091482;89.40004;38.12246;13.34033;8.380562;16.728498;13.974251;32.382454;104.88688;6.7145853;42.665962;7.431872;22.070364;28.1995;22.657824;9.790193;22.45504;30.529362;26.483526;13.37058;3.7328281;15.650009;27.055004;19.699396;29.677963;36.288246;1.3607496;6.489353;28.065247;47.710403;3.9927406;5.9421334;14.232968;123.12732;13.161151;23.6172
39.70017;12.299524;28.304495;23.958487;39.105476;13.097519;21.461765;44.01495;36.24489;22.551907;9.023397;71.87431;19.055874;8.371594;42.897316;33.825634;12.506892;10.63891;6.879191;4.773405;9.579651;52.548973;11.937887;17.489494;29.12858;44.33474;17.226019;45.085644;24.257778;21.9691;21.537376;43.974552;26.224554;72.88118;13.454244;11.929639;41.11173;19.539242;26.96464;12.297365;64.04857;12.340042;14.1039715;13.093245;15.173273;86.2781;47.445248;58.463024;7.5822678;7.6261306;193.94418;51.612377;60.02871;29.388332;21.20656;49.298134;8.557879;4.3064337;49.09545;35.929314;54.62611;45.97033;57.8432;29.003887;95.35811;39.331802;14.55909;8.802639;16.841724;16.808905;31.357922;113.644066;7.2698135;43.19502;8.9354105;21.849285;32.038223;27.756292;9.083368;27.54596;29.477386;28.468113;16.491415;3.2796276;17.443666;24.297947;23.914595;33.78974;36.7609;1.3206539;5.0529165;27.30021;49.475544;4.319502;6.2609596;15.990354;118.77547;15.224398;21.906076
