date;time
2012-jan-28;20:00
2012-jan-28;21:00
2012-jan-28;22:00
2012-jan-28;23:00
2012-jan-29;0:00
2012-jan-29;1:00
2012-jan-29;2:00
2012-jan-29;3:00
2012-jan-29;4:00
2012-jan-29;5:00
2012-jan-29;6:00
2012-jan-29;7:00
2012-jan-29;8:00
2012-jan-29;9:00
2012-jan-29;10:00
2012-jan-29;11:00
2012-jan-29;12:00
2012-jan-29;13:00
2012-jan-29;14:00
2012-jan-29;15:00
2012-jan-29;16:00
2012-jan-29;17:00
2012-jan-29;18:00
2012-jan-29;19:00
2012-jan-29;20:00
2012-jan-29;21:00
2012-jan-29;22:00
2012-jan-29;23:00
2012-jan-30;0:00
2012-jan-30;1:00
2012-jan-30;2:00
2012-jan-30;3:00
2012-jan-30;4:00
2012-jan-30;5:00
2012-jan-30;6:00
2012-jan-30;7:00
2012-jan-30;8:00
2012-jan-30;9:00
2012-jan-30;10:00
2012-jan-30;11:00
2012-jan-30;12:00
2012-jan-30;13:00
2012-jan-30;14:00
2012-jan-30;15:00
2012-jan-30;16:00
2012-jan-30;17:00
2012-jan-30;18:00
2012-jan-30;19:00
2012-jan-30;20:00
2012-jan-30;21:00
2012-jan-30;22:00
2012-jan-30;23:00
2012-jan-31;0:00
2012-jan-31;1:00
2012-jan-31;2:00
2012-jan-31;3:00
2012-jan-31;4:00
2012-jan-31;5:00
2012-jan-31;6:00
2012-jan-31;7:00
2012-jan-31;8:00
2012-jan-31;9:00
2012-jan-31;10:00
2012-jan-31;11:00
2012-jan-31;12:00
2012-jan-31;13:00
2012-jan-31;14:00
2012-jan-31;15:00
2012-jan-31;16:00
2012-jan-31;17:00
2012-jan-31;18:00
2012-jan-31;19:00
2012-jan-31;20:00
2012-jan-31;21:00
2012-jan-31;22:00
2012-jan-31;23:00
2012-feb-1;0:00
2012-feb-1;1:00
2012-feb-1;2:00
2012-feb-1;3:00
2012-feb-1;4:00
2012-feb-1;5:00
2012-feb-1;6:00
2012-feb-1;7:00
2012-feb-1;8:00
2012-feb-1;9:00
2012-feb-1;10:00
2012-feb-1;11:00
2012-feb-1;12:00
2012-feb-1;13:00
2012-feb-1;14:00
2012-feb-1;15:00
2012-feb-1;16:00
2012-feb-1;17:00
2012-feb-1;18:00
2012-feb-1;19:00
2012-feb-1;20:00
2012-feb-1;21:00
2012-feb-1;22:00
2012-feb-1;23:00
2012-feb-2;0:00
2012-feb-2;1:00
2012-feb-2;2:00
2012-feb-2;3:00
2012-feb-2;4:00
2012-feb-2;5:00
2012-feb-2;6:00
2012-feb-2;7:00
2012-feb-2;8:00
2012-feb-2;9:00
2012-feb-2;10:00
2012-feb-2;11:00
2012-feb-2;12:00
2012-feb-2;13:00
2012-feb-2;14:00
2012-feb-2;15:00
2012-feb-2;16:00
2012-feb-2;17:00
2012-feb-2;18:00
2012-feb-2;19:00
2012-feb-2;20:00
2012-feb-2;21:00
2012-feb-2;22:00
2012-feb-2;23:00
2012-feb-3;0:00
2012-feb-3;1:00
2012-feb-3;2:00
2012-feb-3;3:00
2012-feb-3;4:00
2012-feb-3;5:00
2012-feb-3;6:00
2012-feb-3;7:00
2012-feb-3;8:00
2012-feb-3;9:00
2012-feb-3;10:00
2012-feb-3;11:00
2012-feb-3;12:00
2012-feb-3;13:00
2012-feb-3;14:00
2012-feb-3;15:00
2012-feb-3;16:00
2012-feb-3;17:00
2012-feb-3;18:00
2012-feb-3;19:00
2012-feb-3;20:00
2012-feb-3;21:00
2012-feb-3;22:00
2012-feb-3;23:00
2012-feb-4;0:00
2012-feb-4;1:00
2012-feb-4;2:00
2012-feb-4;3:00
2012-feb-4;4:00
2012-feb-4;5:00
2012-feb-4;6:00
2012-feb-4;7:00
2012-feb-4;8:00
2012-feb-4;9:00
2012-feb-4;10:00
2012-feb-4;11:00
2012-feb-4;12:00
2012-feb-4;13:00
2012-feb-4;14:00
2012-feb-4;15:00
2012-feb-4;16:00
2012-feb-4;17:00
2012-feb-4;18:00
