1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
28.041157;10.263456;20.09247;21.674452;27.842121;10.113382;16.56889;40.87156;23.240517;20.277294;6.9177923;47.195137;13.274602;6.2088766;32.183014;24.037205;10.552256;7.7712173;5.285339;3.7541301;6.711332;37.41052;8.608258;12.92354;23.450739;33.127224;13.973442;30.894827;15.065565;16.805853;18.241901;35.032177;21.554564;51.495323;9.786093;9.999571;26.487446;14.608027;18.856504;11.487719;49.21477;9.463367;8.438224;9.540724;12.616904;62.832375;33.494392;43.54615;5.9169106;6.7118454;144.53162;38.91166;41.32327;23.61339;14.39236;35.372658;7.2105193;3.266787;36.02485;27.351608;32.649963;34.20907;40.04692;18.649128;62.660194;30.45029;11.509235;5.0855565;12.351633;10.780539;23.641659;83.71413;5.6812563;33.03962;6.7770624;17.321266;24.021763;20.300402;8.386206;19.30505;25.101809;21.419485;11.941313;2.7888377;10.90349;18.240534;16.318422;22.128424;30.344507;1.1206329;4.0826764;19.52995;37.959846;2.9664874;4.3511386;12.88349;105.377464;11.253096;19.478409
27.49712;10.889689;21.22176;19.477575;28.02244;11.13609;14.793449;37.934208;27.391607;16.827824;8.059967;55.021248;14.333563;7.278305;35.069145;25.914423;9.717999;8.95538;5.2537966;3.9104836;6.8267145;37.776436;10.176386;12.904755;22.960196;33.74943;13.25233;39.28828;18.070919;16.016075;16.253908;36.460606;19.474812;52.035988;10.170453;8.922072;27.415293;17.275978;19.467655;12.744043;54.862495;10.061714;9.871816;9.012228;12.513546;74.69737;33.037567;45.20349;7.0071716;5.8211913;155.68393;49.84717;42.35694;18.747387;14.705734;35.83651;7.2724295;2.9357421;39.85086;25.917215;43.605278;34.07016;40.90609;23.657637;77.804436;32.7341;10.398481;5.9954715;12.058175;12.187416;26.29719;95.83598;5.3726773;39.62574;7.5084314;18.065222;23.80742;21.750666;9.150042;19.916893;22.267145;23.460693;12.084236;2.9713297;11.939235;23.750881;18.602192;25.403063;28.543179;1.1323901;4.3046308;21.362864;39.511745;3.628964;4.5718184;12.2265415;104.221725;10.915742;19.309292
33.587822;11.6313;24.05034;21.884144;25.814175;11.268396;14.67937;37.36117;30.406021;23.485468;8.182128;52.72129;12.871607;6.4277906;33.360325;27.458475;10.365443;8.407286;5.855886;3.9464695;7.0768523;40.58738;9.565479;15.301397;23.696304;33.725746;13.490349;38.732925;18.129246;17.29919;14.706601;39.49369;22.438957;53.408974;11.8125;8.766156;34.26877;15.361303;18.709398;13.174126;44.461063;9.655102;10.6887;10.656271;13.538182;61.171345;38.57656;54.25175;6.90641;5.9046826;168.17317;44.25611;43.861073;23.021162;15.480537;40.186104;6.4465218;3.4059772;37.483128;26.979671;39.453583;32.162395;36.42135;20.789705;69.42208;30.149591;10.9591;6.092585;13.132291;11.3895855;25.840506;103.35741;5.4353185;35.733574;6.6248055;16.926521;24.787836;18.955181;7.8289833;21.088322;22.478268;24.733341;12.456014;2.5589767;14.038643;20.315886;17.669659;23.52827;27.290203;1.283109;4.7043076;21.392292;39.927467;3.0969236;5.133121;11.0432205;118.17273;12.117052;16.68011
31.036627;12.353621;22.511646;21.9794;31.15368;11.163453;18.10093;36.797127;29.50578;21.664845;7.7944975;48.838383;14.74687;6.774684;32.426342;26.205597;10.702857;8.721079;5.615599;4.1480627;8.125207;42.965034;10.329448;14.812441;26.940395;32.0261;14.027972;37.076027;18.256247;18.708889;16.259706;37.58733;25.391857;61.66439;11.323153;10.560367;32.539444;15.838743;18.353554;10.42479;50.73748;10.404442;10.215216;10.558844;13.473078;66.0178;34.37398;48.867928;7.4820733;7.4912024;158.3403;50.948864;46.02514;20.047731;14.562134;36.80005;7.3515906;3.3175755;41.298584;30.19334;34.821934;36.04046;43.45809;20.551874;73.72622;30.513287;11.783499;6.4803224;12.535717;12.508929;26.480341;113.72959;5.538589;36.130905;6.2049913;15.295278;24.46659;21.242039;9.659995;20.427479;23.31331;22.037426;12.616965;2.8950477;13.31924;22.81279;18.72066;24.140686;27.685818;1.1065834;5.2985563;21.290545;37.99015;3.3357747;4.572096;13.527189;104.55703;11.367556;17.829538
32.34816;9.576498;22.31075;22.25327;30.823292;11.336124;15.389854;43.752735;29.221262;20.971212;8.098385;52.26123;13.229779;6.308379;37.89863;23.55154;10.806003;8.848898;6.0742364;4.008243;8.876855;42.451004;9.818494;13.830612;22.93089;32.51719;12.789358;31.140833;18.51772;17.85683;15.010735;41.05551;24.41615;53.423775;11.411129;10.646002;31.301014;15.800923;19.32594;11.207939;48.643684;9.756157;9.236395;10.866728;13.099806;68.07099;36.472095;48.88076;6.293716;8.146432;143.71187;49.502663;43.759033;22.99419;16.818348;40.21022;6.66725;3.0364645;38.27616;27.794445;40.284843;35.47329;42.33628;23.761961;75.81493;33.346733;13.491211;6.434962;13.29847;11.134642;26.549152;99.02207;6.3150754;40.1151;7.473469;17.903164;24.260555;22.190649;9.375721;19.736467;23.393728;21.170193;14.120702;2.9929001;15.250529;22.29227;17.679161;25.97939;27.420237;1.4094433;4.9649215;21.772081;38.610947;3.2478592;4.545071;13.555162;116.359314;10.660686;16.694456
32.292027;11.277275;23.849321;21.348743;30.576757;11.200909;15.715587;38.7575;27.022013;20.519201;7.9298487;48.892456;14.082805;6.0790744;31.717566;24.864445;10.140921;8.465265;5.618431;4.2755055;6.8701487;39.394676;9.241271;14.895075;25.70641;31.10941;13.071699;33.374466;19.846397;16.737988;15.249771;34.751026;19.74213;63.123657;9.861021;9.609063;30.2473;16.492306;17.317661;11.813417;50.592777;9.05521;9.408014;11.276172;13.281448;66.79967;40.16941;42.22714;6.0543885;6.179506;152.38205;43.451855;44.41471;24.021923;16.89547;36.05045;7.269599;3.3970218;35.232685;26.900976;38.354115;33.22321;43.100887;23.814013;69.42953;34.05842;10.840719;6.110112;12.975308;10.940758;31.438595;83.2863;5.9102945;34.773445;6.810605;18.14704;23.779385;20.8251;7.9059677;17.746317;23.139044;22.774426;12.596323;2.9315264;13.66802;21.815374;15.63578;23.079271;28.335026;1.2909555;4.3036447;21.721136;38.61536;3.3636603;4.0915375;12.170948;99.71388;11.076418;18.520247
24.148006;10.7977915;18.692936;19.561047;29.396658;11.40716;13.407715;35.685688;25.67362;18.157713;7.8276916;51.401283;12.944531;5.204174;33.383755;25.334366;9.967676;8.842736;5.282924;3.922913;6.9740486;42.55318;9.752654;13.479848;21.60434;31.35398;13.233461;32.313267;17.870405;15.906364;16.645681;36.130314;19.788425;46.11996;9.142645;8.537156;28.682907;15.390561;18.296799;9.942286;39.940468;10.2257395;8.831371;8.242897;12.010973;55.897552;35.233784;47.76952;6.0552187;6.10877;145.11423;39.509182;42.86538;21.295347;15.068342;33.080647;6.179237;3.011093;37.161797;25.062479;35.118694;28.156055;43.017155;20.941734;80.672104;28.582113;9.315594;6.577105;11.996746;11.203306;24.122543;91.93125;4.7582297;36.15533;6.396476;15.0282345;22.31064;18.114305;8.38424;18.835335;21.17178;20.215427;11.681826;2.9499347;11.010748;19.668068;16.839027;20.580116;30.51941;1.1015426;4.1563993;22.892603;37.167664;3.1234946;3.777182;12.222687;97.438484;10.853103;18.58128
23.054455;10.105207;19.822735;20.905935;24.807825;9.264018;13.545507;33.541096;26.114227;18.484098;7.3438416;43.75802;12.334772;5.079578;30.005173;24.690622;8.405869;6.403283;5.389821;3.8521056;6.9331045;34.751045;8.644162;10.85838;21.3261;29.802078;11.422143;27.060612;16.537151;14.731447;15.839575;35.799915;18.58957;46.289326;9.105064;8.184041;26.107113;15.191356;18.11414;10.352541;48.168655;8.470997;8.316249;7.815431;10.613427;57.46859;34.438972;41.801483;6.348219;6.6051383;132.27803;40.437943;42.787834;17.162283;14.387861;35.041138;5.9495625;2.8553984;33.84817;22.910894;34.994728;35.03119;38.179527;20.464672;69.29166;25.536844;10.224796;5.3426476;13.507161;11.454;27.294086;80.575066;4.8154335;29.696783;5.5334654;15.166372;19.281351;21.316677;7.401465;16.495739;22.529207;17.201366;9.686257;2.6806912;10.702528;22.706303;14.853208;27.17152;24.51513;1.1376902;3.946397;19.618034;36.59772;2.8458064;4.2781186;10.582522;95.86932;9.415067;17.594616
26.07078;8.623353;18.76167;17.55981;26.255344;9.251295;15.047374;29.2234;21.283957;16.87312;6.604726;38.16179;11.818941;5.222083;30.077795;23.30242;8.119238;7.48748;5.184124;3.2436764;6.298624;32.595898;8.425318;11.623327;20.330158;25.735651;10.802037;27.551188;15.196234;15.359471;14.4199705;36.553513;17.959682;43.455124;9.39212;7.3523583;27.924753;14.586817;16.170166;10.689396;46.28726;8.141104;8.30273;9.246635;11.485944;54.441612;32.159077;40.94865;5.166512;6.186269;115.37858;32.98304;40.648693;18.536842;13.931719;32.13227;6.3373137;2.8257296;37.818462;24.033106;33.412697;32.934147;36.48986;19.087358;66.428314;29.006378;9.502519;5.5363398;12.759916;10.862991;22.974642;73.3744;4.4247584;32.248993;6.3570147;15.851056;20.237988;19.632036;8.01865;15.941589;19.529318;20.53715;11.427203;2.2403197;12.106413;20.364437;14.261172;21.01713;25.738674;1.1079971;4.2665753;16.897076;34.057156;3.128612;3.5467186;11.371151;95.18532;9.37525;17.28279
26.772099;10.242717;22.252834;18.401676;26.714314;9.834148;13.414546;35.670006;23.453146;15.665487;7.4126105;43.617043;12.888293;5.625179;34.739407;24.297129;9.094212;6.610692;5.20454;3.7676513;6.970659;32.91749;8.819506;11.859961;21.39349;31.099514;11.367465;30.650274;15.826216;14.643303;12.942861;36.421024;16.726208;49.686836;8.751531;8.265566;25.903606;13.469591;20.15244;10.566994;45.684593;8.688282;8.008996;9.697474;12.187566;56.14741;33.158466;38.084656;5.7725277;6.3304057;140.35252;44.010387;39.17832;20.658052;14.009143;34.601795;5.354455;3.1309066;35.426197;22.269821;34.079872;37.094933;39.296883;20.41161;68.048355;25.849354;9.746672;6.2574744;12.442614;11.434659;24.154371;81.5926;5.1728473;33.413525;6.400734;17.321415;18.923798;22.936481;8.266083;16.83427;21.618553;19.09013;10.541502;2.429745;12.110003;22.296429;14.966642;21.252192;25.276068;0.9733616;4.155996;21.257664;32.972492;3.153344;4.470087;9.933925;106.3846;9.959797;17.797916
