1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
25.509403;0.0;26.40054;24.911587;141.77458;52.494423;25.097052;23.199465;25.696106;0.0;73.89877;104.54932;26.75069;24.979797;25.760849;25.585682;23.165882;25.872046;25.854614;28.531876;75.837166;35.29784;26.56276;26.050446;67.18907;64.972176;25.010618;132.13402;125.33962;205.78625;25.390926;24.5051;23.459953;26.772837;25.97565;26.392582;144.2736;25.474005;28.975586;0.0;25.082388;25.157879;24.94175;25.699749;84.92955;32.97888;26.427929;26.100704;25.885479;25.81808;36.58207;25.148857;27.987864;26.850306
26.055386;26.77009;28.20348;22.397234;149.39828;47.926872;24.14866;25.623722;25.119398;23.852745;81.23213;98.720345;23.893675;25.98743;29.522787;24.153576;25.65007;24.06137;24.8233;31.17223;81.149216;39.289402;24.60365;24.952171;69.17606;61.619343;25.87465;124.587746;120.175064;202.10268;26.138386;26.007498;26.594528;25.787525;26.776752;24.717886;139.73459;25.37239;29.744873;163.47105;24.935938;24.711184;25.245838;25.955378;85.76923;37.892487;24.918667;24.703754;24.018251;22.473633;0.0;0.0;24.972391;26.330212
27.842413;25.954538;26.930103;25.903372;137.527;50.448467;29.436401;24.075506;0.0;26.424221;84.55291;99.08525;23.619158;29.00683;27.50994;25.215168;26.937723;25.904078;25.502758;32.63802;0.0;37.13355;26.84438;29.085163;67.509766;63.27898;25.375881;133.65776;131.02115;224.64688;25.139854;26.342846;27.550968;25.904118;28.322311;24.055714;153.80374;27.041525;27.480549;195.04762;26.627674;30.035488;25.927242;24.779236;90.12218;36.05142;0.0;27.843937;27.15097;0.0;39.20455;26.853521;26.337397;25.598207
27.23725;24.431843;26.742136;26.462088;144.23141;45.00505;25.825617;26.562225;25.917072;27.092426;85.587715;0.0;26.529491;27.121567;27.48226;22.943546;25.923422;27.089884;24.289095;30.961115;74.58236;39.620735;28.906916;29.612698;71.82373;66.21068;26.07261;127.89581;128.09204;219.81421;26.159206;28.555119;26.181295;26.033176;27.097113;26.45337;162.11299;25.657864;30.894037;195.87949;25.45479;27.392742;24.524265;25.617676;90.75808;35.957752;27.117535;27.875326;25.554783;26.073889;35.49541;25.495464;0.0;26.847172
24.295605;26.52789;24.953106;0.0;139.26315;46.36295;25.122875;27.142859;26.535587;25.187958;92.816895;106.56791;27.404667;27.438211;25.907475;25.904684;24.901232;23.298061;24.91637;31.917578;68.12583;39.70074;25.433977;25.47186;65.4845;67.53666;23.749908;120.687805;121.43187;202.1536;26.612432;26.029078;25.941513;27.765804;26.759892;25.74145;137.62466;25.979977;25.021566;181.26508;22.195517;26.423803;30.48589;24.963808;93.56665;33.26107;24.216084;22.980478;24.640083;21.431896;35.479134;24.296865;27.146505;23.700922
22.318945;27.59586;23.556036;23.144829;125.5787;45.543865;26.54094;22.48983;26.341522;25.819204;83.06437;94.96151;23.071918;0.0;25.085165;23.062702;25.658813;24.544714;25.14295;31.072819;73.19085;0.0;22.304493;27.03786;64.3687;65.5917;25.255238;125.133865;127.13603;220.65051;26.258465;25.493172;23.839064;22.791885;23.785755;23.329689;144.5239;23.024036;24.923868;191.22421;0.0;25.029982;26.86137;25.971958;87.681526;36.81816;26.473959;25.804096;24.566278;25.76174;35.078182;26.376202;22.07049;23.984386
26.233591;27.218552;25.887094;26.780155;138.3398;51.78008;26.356174;26.67461;26.898767;26.058035;87.90457;102.49197;25.32535;26.731823;25.901707;26.853918;28.892681;28.276962;27.775131;32.373444;84.10862;43.1164;25.043446;28.344128;74.47495;75.947495;26.617947;128.96025;0.0;0.0;28.566813;29.041824;28.841415;26.363886;28.279217;25.674747;166.1616;30.556118;31.556559;193.306;0.0;26.850363;27.133701;28.477402;90.19201;0.0;25.68609;28.979101;29.830585;26.275122;36.14183;28.363373;28.12886;28.225513
0.0;22.832285;22.165895;25.14098;120.09071;43.163677;23.664854;24.50014;21.236708;23.155205;71.0258;90.84618;20.739542;24.574888;21.819023;21.617893;0.0;23.34822;21.172918;27.45196;70.93598;34.04313;21.775536;21.000175;58.9942;55.86212;21.886654;119.368324;107.72048;173.31004;24.189486;23.654953;0.0;23.751324;22.852764;22.602474;139.82549;21.20599;23.085323;155.78342;20.832298;21.837778;22.478077;20.598148;80.64433;32.260174;20.184797;23.204903;21.927917;23.386757;26.51207;25.167377;21.983265;22.707287
22.414827;21.493147;21.57737;22.534443;125.43892;40.49153;22.227688;21.559277;20.356033;22.947922;77.09904;87.588455;22.606173;21.600101;21.611725;21.543467;0.0;22.205805;22.067577;24.738773;62.330036;30.335316;21.11425;21.431076;0.0;54.502632;20.914309;102.86188;109.08461;185.37025;22.194443;22.960972;22.457745;22.555546;0.0;23.581966;111.26693;22.694515;22.701832;158.14897;22.264996;22.72835;24.370434;21.80646;82.87474;30.423437;21.787407;21.802414;22.003735;23.997303;27.81626;21.455908;23.048704;22.809792
0.0;29.880787;30.175116;31.805563;170.58511;55.591248;31.564661;31.380177;30.617212;31.086353;96.887566;0.0;29.261692;36.83411;32.93969;30.742432;28.84756;26.624481;29.259949;36.49243;97.882675;41.34237;29.84613;29.558819;78.46586;75.089775;0.0;153.65764;145.41554;0.0;28.737604;0.0;0.0;29.015778;29.910666;27.997375;0.0;32.69819;30.252338;214.78967;28.80721;30.969828;27.880194;29.762402;0.0;40.72548;30.688654;27.1819;28.621536;31.474697;39.007545;30.667255;0.0;30.339819
25.285774;0.0;24.16459;0.0;148.18784;44.15559;27.17306;25.14212;26.213541;26.379925;90.53822;94.95632;25.628479;26.952078;25.806616;26.035318;0.0;25.240383;26.106583;29.837536;77.57287;38.210804;25.211018;27.765232;67.802086;63.410545;0.0;123.52592;120.62569;194.68031;26.264858;23.822037;26.363186;26.877213;25.780752;26.620443;146.34396;27.903019;25.398214;175.95732;26.168512;28.899984;24.909622;24.050085;91.957886;37.709858;26.637272;0.0;25.216003;27.343033;0.0;27.216537;0.0;25.011375
23.599709;25.218767;24.891155;0.0;150.9523;46.8845;25.473688;26.516727;26.641247;26.408148;82.93104;109.2108;25.154854;27.854227;26.713696;27.255413;26.494537;25.179256;25.33468;33.525642;81.44465;39.556423;25.295277;26.015213;64.77876;70.32254;25.424906;132.58421;139.58755;203.26425;26.903101;27.19794;27.311193;0.0;26.272755;24.995998;144.356;25.758112;29.077229;0.0;26.499924;25.942327;25.084541;29.02511;96.6403;36.94398;26.827503;27.740711;26.999664;27.228031;35.67387;25.616703;26.366928;27.676264
0.0;0.0;24.356813;25.078144;131.52087;43.323193;24.96539;24.623468;25.100353;24.503193;81.9868;101.70634;24.175432;25.33743;24.196682;25.741938;23.928976;0.0;24.282572;0.0;77.350685;33.752846;22.992886;26.346518;65.41676;59.518505;23.731709;127.824234;110.77765;192.31367;24.941273;24.31444;24.300415;22.528185;24.684515;22.838537;136.49454;23.894815;23.670954;160.66423;24.085636;25.420841;24.062807;24.583773;81.35338;31.54726;23.02486;24.97768;23.296917;0.0;28.807339;21.451563;22.188267;25.355082
