1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
20.358395;9.241954;16.306963;16.538683;21.77454;8.698036;12.831805;30.217587;19.439892;14.194391;6.307933;46.313393;11.414665;5.185425;29.10116;19.325066;8.418507;7.0985794;4.29383;2.8801532;5.3998413;35.428276;7.74026;10.336084;19.77319;26.4726;9.434134;24.890491;13.554387;13.888006;14.720601;30.729212;16.315145;43.767704;8.015711;7.243805;28.350805;12.733272;15.0575485;9.317863;42.67216;7.4714828;7.5214815;8.13881;9.577429;45.731026;29.09906;36.731445;5.6463146;5.306682;135.76106;39.0571;35.802376;17.722809;11.92137;32.27908;5.39052;2.5495703;33.778164;19.023281;31.23956;31.84888;34.14438;21.109455;64.49176;24.48366;8.066323;4.871609;10.21929;9.086292;19.828625;78.15471;4.5947433;28.696081;5.5968957;13.319504;20.013176;17.761799;6.681156;13.869281;20.650694;15.193248;10.759495;1.8874414;10.179573;15.269836;13.926578;21.979048;21.546932;0.8755819;3.846166;16.432518;36.855312;2.6368346;3.0639443;10.918233;82.75426;8.407986;15.884829
23.855492;9.43014;18.201918;21.279995;25.797281;8.603515;12.998278;31.554651;25.14072;15.776181;7.4924;38.6267;12.425867;5.241002;25.958527;22.810978;9.445163;5.9944034;4.705214;3.1855826;6.209128;34.060627;7.9027824;9.886457;18.305292;26.501368;9.521355;26.735554;15.873606;14.776777;13.128283;30.163815;21.322714;48.00106;8.922747;6.904536;21.908842;13.031125;15.44;9.009714;36.568584;7.787047;7.448203;9.433893;11.396033;49.550564;32.707043;42.392097;5.604001;5.7412405;135.39796;33.58753;39.349648;18.926096;13.768785;32.782387;5.397256;2.4782124;31.938745;22.231384;29.19508;28.638737;33.008537;18.39536;59.044044;22.689335;9.711306;5.367978;13.018942;8.956714;24.361713;66.625595;4.5620866;28.083546;5.064302;14.124445;19.208437;16.140362;6.3487835;15.103287;19.677433;17.90894;11.29735;2.1225657;10.98694;17.118162;15.311602;20.504093;26.260647;0.9993113;3.9856453;17.424053;30.78744;2.7547061;4.025542;10.722104;84.44698;8.655409;14.281512
29.685928;9.754738;17.538542;19.315182;29.30603;8.823169;13.28593;34.388176;24.08397;19.295162;6.5882225;42.93579;12.454771;5.5871606;31.677288;25.084848;8.693366;6.960762;5.1134043;3.750927;6.7290397;36.42349;8.484234;13.613726;23.7271;31.40622;12.734948;28.809566;16.660934;15.790213;14.162264;36.04177;19.229591;51.265755;8.816159;7.8873253;24.912128;12.363001;17.568232;9.812944;40.749207;7.3368263;7.9029336;9.060347;12.157652;64.745186;27.437449;43.204857;6.456909;6.319815;145.95648;42.95702;41.91659;21.843166;13.048357;32.899296;6.6816225;2.6938827;35.34962;25.06744;32.872066;35.822746;39.34693;18.742085;77.49996;24.527584;10.680082;5.7992373;12.189207;9.582361;25.5249;86.776566;5.197873;27.946583;6.207383;16.761883;22.287683;18.464125;7.211384;16.553873;24.058178;17.801025;10.869944;2.5847669;11.270666;22.396606;17.8914;22.001036;24.395134;0.948938;4.0897913;18.425701;37.11513;3.2335353;4.1457734;11.184235;95.90672;10.156457;18.385307
25.57571;10.113534;24.18642;19.71165;27.003424;10.342345;15.537157;33.032253;21.779425;17.255075;8.20314;48.85897;15.088084;5.431508;33.316658;24.624681;9.389525;7.424689;5.3617764;3.5594532;7.577948;33.359024;8.239002;13.002939;25.071318;31.058949;12.24696;34.257607;16.172071;14.171392;13.771332;35.09055;18.600948;48.388718;9.746191;7.9415336;26.719711;13.724263;16.236996;10.313238;46.74299;8.594019;9.413403;9.1126585;13.34873;54.607647;29.379227;46.65574;6.469489;6.2582054;126.93761;36.62851;37.521885;21.206797;14.661177;32.43441;5.925921;2.8089185;36.13877;23.629992;35.429653;33.676872;35.859203;20.29131;64.51669;27.026236;9.7013035;6.0611234;12.373417;10.749319;24.49249;84.32724;5.4891844;32.70189;5.779928;18.35539;20.390446;21.128101;8.338271;16.488102;18.263695;21.024849;12.419894;2.2517548;12.763456;19.701382;14.458899;24.922771;25.95788;1.0237854;3.7665813;19.06752;35.090347;3.1048436;3.76484;12.077375;103.54629;10.132244;18.467367
25.426477;10.180324;18.459133;19.084143;24.271603;9.010082;11.968513;31.692795;22.001242;17.580223;6.4622483;42.83417;11.085683;5.630296;30.098392;23.690392;8.862038;6.1911883;5.2622104;3.2715466;6.6889143;32.229168;8.511936;10.834692;22.444677;30.179605;10.571818;30.029064;16.40948;13.605863;13.806257;27.912155;19.52834;46.05375;8.740137;7.183857;28.74622;13.771022;17.331242;9.6643305;38.238243;8.587125;8.359538;8.568392;9.9922695;53.42555;31.249628;40.192097;5.8287277;6.554633;133.82066;35.88859;34.578194;18.5327;15.325842;35.05655;5.1008024;2.6328223;37.731133;21.365696;34.81495;29.444565;33.010845;18.377918;61.922577;25.728582;9.45056;5.3120356;13.09062;10.05533;21.589018;77.17027;4.7287054;27.334057;5.614936;14.986316;19.570864;19.13904;6.9402595;16.235619;22.158472;16.26631;10.726113;2.7312427;10.348223;16.889454;13.956129;19.322536;23.919842;0.9324707;3.8252034;16.777164;33.20423;2.923421;3.320474;11.96856;92.88311;8.027585;16.745401
22.080273;8.138096;16.65309;16.868237;24.111214;8.544942;12.319134;31.402185;23.208376;15.936374;6.5773306;44.377422;11.570131;5.155896;26.49863;21.624172;8.070531;5.935554;4.727785;3.232645;6.773881;29.379196;7.740351;10.154027;19.740036;25.68194;9.888349;24.835644;14.477239;15.039561;12.917013;31.05773;17.409811;43.44423;7.8951674;8.073221;21.675793;13.208937;16.874851;8.631281;41.311916;7.463662;6.922516;9.0751095;11.187666;49.930256;29.278027;38.609795;5.0778546;5.219438;135.42746;38.64398;34.372204;18.000809;12.343618;31.206654;4.8952556;2.8557742;27.15328;21.020897;29.392406;31.27385;31.994562;17.730675;59.48432;21.661892;8.361211;5.379039;11.27275;8.975416;23.177464;65.34334;4.8390174;30.703714;6.3834085;13.617971;18.500828;15.807655;6.87161;16.21983;17.32574;15.467954;9.329779;2.2419233;8.800745;17.946888;13.619265;18.19931;23.66478;0.8931632;3.1861572;19.53076;26.447987;2.3950915;4.017451;10.457914;79.503654;9.6696;15.279483
20.660393;8.562518;18.22071;16.37223;24.361336;9.940085;11.764025;30.896204;23.529148;14.252844;5.5451217;41.945095;10.081806;5.458811;30.601465;20.648737;7.449496;6.6700363;4.684121;3.1941733;6.812912;34.90197;8.187841;11.269822;17.987415;27.784008;10.959968;25.33836;16.54344;14.212868;13.470724;30.961573;17.568209;43.400394;9.15608;7.9164176;23.869152;13.433817;14.828054;8.635031;39.841717;7.496558;7.680435;8.151331;12.06181;52.448334;30.131882;39.38837;5.367572;5.248521;129.37253;38.23838;33.36892;20.38122;12.761793;27.033466;4.806554;2.4402237;28.834452;22.484165;31.116613;24.82854;29.766155;16.977913;55.509624;20.977638;9.180943;4.7823863;9.895385;10.007013;20.888023;74.122375;4.352931;27.996174;6.1307135;13.810919;18.00857;15.9792;6.354641;17.879139;17.916746;19.541649;10.325541;2.3511386;10.409363;18.542334;12.49485;17.924774;25.86672;0.90091944;3.9138038;16.891268;31.566452;2.8172784;4.042283;8.728666;79.382545;9.208435;15.610021
20.433884;9.395258;19.778906;18.993177;24.180515;9.637822;12.387418;33.24536;22.540735;15.846988;6.1605024;39.91631;11.235655;5.7348723;29.05657;18.175575;7.45514;6.701111;4.101775;2.9576328;6.3644657;33.203465;7.8941526;12.043298;19.216211;28.961313;10.749277;27.250305;15.926657;14.927089;12.156957;32.617653;16.586317;43.9037;8.789456;7.5823164;23.802818;12.2939625;16.035486;8.765892;36.55076;7.452539;8.968187;8.04355;11.879036;52.97871;31.39748;38.203094;4.860018;4.8282485;128.68727;37.46669;36.02723;17.810085;13.014737;24.499537;4.9403267;2.50124;30.362164;23.878254;30.24625;26.51333;29.048117;17.288733;53.047813;22.627468;9.910282;4.8667026;10.803186;10.094489;21.066109;72.79065;4.3283215;28.680826;6.308696;13.2209;17.588577;15.098826;6.3678265;18.928753;18.141659;16.267971;9.912855;2.5753953;10.92058;18.852152;13.687892;19.469482;26.78072;0.9592109;3.8807812;19.01863;32.52916;2.8553998;3.380151;9.632961;81.796524;8.515245;15.318014
17.642403;5.9437714;11.675616;12.613137;17.219776;6.725675;8.794548;25.223232;17.798916;12.013514;4.7142076;28.582214;8.104925;3.507028;22.407742;16.725986;5.8755617;4.8577385;3.581714;2.4747949;4.7089148;21.994648;6.436391;8.02617;13.255243;16.775831;7.755371;19.37128;11.340357;9.376243;9.042433;23.355389;13.071284;31.46117;6.2208033;5.8774347;17.98695;8.936793;12.43616;7.2581315;26.81928;5.8363967;6.1456256;6.6532197;7.8115616;39.08384;23.14397;33.802086;3.969357;3.9407222;98.433304;22.369986;29.724136;13.139241;9.491543;21.524485;4.683176;2.2561686;23.145456;14.253393;24.096321;20.944925;25.96409;13.309285;51.643166;19.545145;8.180544;4.378105;9.382415;7.230691;17.556192;55.40412;3.3107212;22.278008;3.9177938;10.508501;13.394224;12.779679;5.3110967;10.868428;13.798216;11.17103;7.4628816;1.6782875;7.053235;13.851187;11.738471;16.574184;17.715992;0.6883514;2.7882128;12.377536;22.752611;2.288865;2.640575;7.6164827;58.995758;7.0316978;10.466299
16.857586;5.717463;10.774466;12.547967;16.755909;5.691842;8.875017;23.24098;14.040712;10.576197;4.4154205;28.11951;8.52275;3.2275338;17.231617;14.524408;5.626968;4.4839573;2.9096708;1.9858567;3.7611625;21.84985;5.0476375;8.088902;15.445989;19.127785;7.832654;21.571726;10.074826;10.322213;8.33891;20.161264;11.6020355;30.715488;5.28152;4.976025;14.763365;8.420359;9.729232;6.7953477;25.255268;5.624729;5.2239594;5.649447;6.795494;33.72347;18.208673;26.661306;3.291324;3.4720798;87.219315;25.94436;26.243887;12.280679;9.15407;18.723988;4.0457687;1.5815552;21.222042;12.890062;22.81884;17.22311;25.806973;11.298913;44.280525;16.329039;6.92474;3.081113;8.079814;6.307491;15.34712;47.134495;3.2924056;19.093014;3.7183585;10.199616;14.063746;12.076344;4.413086;10.976517;12.281019;12.247017;7.0864973;1.4750271;6.8902025;12.612748;9.886175;13.189192;15.573628;0.58775425;2.6528249;12.164927;20.927954;1.8070104;2.3654535;6.8088965;58.10902;6.4634604;10.984265
