1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
22.487423;21.925282;21.102024;21.741627;106.75902;38.673603;19.838491;21.532917;21.438448;21.090462;0.0;94.37288;20.2655;0.0;18.977848;20.682695;20.317064;20.656109;22.54575;0.0;65.59672;28.073324;20.890903;0.0;53.36563;57.51487;23.073046;111.8197;98.59657;174.73123;22.344473;21.472633;22.427258;21.597284;20.85545;20.710798;119.27374;22.771488;25.351414;151.72006;19.659803;22.825012;20.613447;20.42679;84.36678;28.11102;22.498915;21.477703;21.957333;21.929745;31.40878;21.732706;0.0;21.211332
23.478565;21.518782;22.142416;23.864956;115.43852;41.310997;22.713455;22.20188;23.083801;0.0;74.60729;86.34912;23.611843;25.349586;22.783617;21.883038;23.123795;22.792042;21.640247;27.180965;61.1446;32.84675;19.920557;23.609753;65.20506;61.401215;23.749674;106.65663;105.35863;189.24283;23.897095;25.105894;0.0;0.0;21.106298;24.218885;126.62773;23.24059;21.873413;0.0;22.624348;21.775322;23.350876;23.201;83.64291;30.596725;21.74113;22.93889;23.720013;23.027292;29.639511;22.314114;24.30608;0.0
21.705824;23.754831;24.183353;22.459713;112.89012;44.21066;21.8114;22.220715;23.187328;22.689999;67.70428;94.96688;24.797937;24.0038;21.704432;21.243223;23.023813;23.148779;23.513666;25.65691;66.23647;33.49787;0.0;22.816792;54.76525;56.8572;22.996372;102.670616;106.91223;185.38792;23.691963;22.799097;22.040133;22.464489;23.31028;23.309587;137.55461;24.008297;22.980183;168.21205;22.37576;23.296623;23.543762;21.49567;77.10591;32.170536;22.523098;24.764584;21.052555;21.660534;32.520714;24.181196;21.461527;22.72246
0.0;22.442778;23.542574;22.933891;127.71718;41.647564;22.309292;22.743473;22.808489;22.606216;74.766266;97.54467;23.18916;24.260977;23.327919;24.394955;23.57216;20.71576;21.144648;27.242176;66.07127;33.785393;22.339676;24.873638;59.97588;61.677406;24.147636;108.36775;108.55092;180.06197;24.664293;23.033865;0.0;21.523016;23.709904;22.529116;122.84072;20.447596;24.130703;157.61063;23.58889;22.518581;22.881824;22.342249;76.97174;30.356464;22.858702;22.894558;20.420925;22.800129;30.192118;21.574175;21.900997;22.978788
21.771969;20.973282;22.311962;21.122456;113.48773;37.752014;20.818605;22.20922;22.247038;20.90453;63.37448;86.23378;23.006317;22.956774;19.433647;20.408293;19.755476;21.676292;22.197893;25.238855;61.9935;30.575922;22.413492;22.6516;55.537273;59.590496;21.63092;108.38112;103.718185;180.70494;20.153646;0.0;21.427938;20.846355;22.1371;21.951931;123.29283;19.669544;20.364147;144.4121;20.500143;0.0;21.395035;23.414343;77.18089;29.464289;22.73032;20.924398;22.09406;20.41541;28.34756;19.362816;20.209988;0.0
20.778189;20.452757;19.383907;0.0;113.18638;37.268772;20.468067;20.605665;0.0;21.246616;67.80792;83.11046;21.565285;21.7143;19.609217;20.275223;19.925846;19.038261;20.797104;25.50283;60.327473;28.55566;21.198109;20.762863;49.636364;57.393066;19.448315;100.5961;102.68235;165.00545;20.864801;20.723433;20.128641;0.0;22.32731;21.871174;112.38969;21.894423;19.885723;144.87152;20.565012;22.430923;19.71185;21.32106;74.88899;0.0;0.0;20.542744;21.017424;20.050259;28.227383;20.038485;21.035938;19.638752
20.916052;22.188324;22.89597;22.142204;123.64528;39.538464;21.297314;21.882696;23.487682;21.565365;66.66401;83.40553;19.975727;22.161419;19.736507;19.60327;21.099876;19.157352;21.514061;25.958237;0.0;28.852234;20.1314;19.714573;0.0;55.6845;20.152292;99.461;106.16738;160.07983;19.927216;21.589006;21.794315;22.572124;20.588793;19.95827;125.195694;0.0;20.083977;161.02292;20.506115;0.0;21.269918;20.700737;76.48489;31.272793;21.608479;21.561201;21.75333;19.934546;28.053822;19.468477;20.510286;21.574875
20.39032;19.323421;19.802639;21.472454;112.1432;41.927635;20.961903;19.97158;19.974197;21.647419;66.55152;87.135376;18.923548;22.719866;20.477375;20.078876;20.549149;21.131754;0.0;24.20777;58.055443;31.659552;20.281893;20.411493;55.654438;48.26091;20.784698;100.96133;110.50918;172.74294;20.529408;20.141895;18.199038;21.776207;0.0;21.681637;117.91978;21.67116;21.465212;142.89027;21.205805;0.0;24.03273;19.485397;68.69543;29.32369;20.071386;21.905848;20.32616;0.0;0.0;20.971127;19.584284;20.435629
15.370707;17.878696;17.30754;17.592846;0.0;27.958698;0.0;15.011284;15.538553;15.97241;50.371502;68.14826;15.663234;16.577084;16.706081;15.098834;15.802829;16.663116;16.256697;19.470724;50.698814;23.237541;15.655705;16.422842;40.218803;42.264313;19.3252;81.269615;78.65082;132.44215;17.815065;17.083813;16.686224;16.426182;0.0;15.974279;82.793205;16.855295;15.220592;111.68071;16.222456;16.522877;14.790871;16.463627;55.4611;22.759716;15.750485;16.849327;16.155016;17.831852;20.216043;17.14587;0.0;17.892746
15.052051;15.81604;14.684435;12.729672;73.169235;0.0;15.798178;14.589647;14.297934;14.420346;45.462223;56.147564;0.0;15.946547;14.921396;15.844274;15.691516;14.035185;15.64991;18.586544;42.182816;20.941332;14.55909;14.489876;0.0;42.541893;13.374461;69.0385;74.70578;108.45034;0.0;15.158748;14.624903;16.073559;14.552948;16.43364;88.00642;15.158529;14.311397;98.06258;15.186281;15.403056;16.248053;14.174019;52.965508;22.138117;0.0;14.869629;15.1330185;16.05538;18.100487;14.639874;13.580946;15.173531
