1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
21.23632;7.014074;17.32203;16.802092;20.398518;7.368158;11.845728;27.668371;16.208006;13.196924;5.71147;36.998528;10.218367;4.449733;24.152071;20.026997;7.3097277;5.0744386;3.9894493;2.9951499;5.7047467;28.899286;6.523459;8.499807;14.984067;24.140179;8.839414;24.322033;15.204134;10.847315;10.974798;30.95288;13.241284;39.472298;7.143411;6.6918344;23.474129;11.105182;13.973732;9.1644945;39.080166;6.4666443;6.912123;7.285936;9.410005;40.84709;24.393927;31.838749;4.773213;4.734374;108.82113;36.56353;31.673767;14.5444765;10.93763;27.718496;4.7449923;2.4257352;28.184925;18.410835;26.09396;26.73914;29.362988;15.854319;52.51706;22.852352;7.9450903;4.2856073;10.413189;7.5756807;17.751446;72.664375;3.8569036;26.943594;4.5807447;11.903466;16.838552;13.649277;6.7609634;14.182994;18.31695;15.7714815;8.505909;2.0766475;8.588245;15.681638;13.31003;18.889996;19.297112;0.81678;3.368538;14.994237;26.09911;2.4616833;3.2909646;9.345661;73.66993;7.9303412;13.971626
18.568544;8.177411;14.939853;12.445882;20.119537;6.934986;9.521217;26.211527;17.826756;12.1554985;5.596263;34.404118;9.764378;4.3423853;23.20779;14.743568;6.526494;4.8058276;3.14247;2.6490114;4.449;26.911825;6.5709114;8.675756;16.845997;21.457521;8.402509;20.979269;12.236031;11.111915;10.774759;29.246197;13.308873;30.642965;7.235677;5.1258802;22.083973;10.748091;12.08612;7.1878443;32.88797;6.723803;6.4296937;6.8699737;8.4478;39.524265;21.28857;29.377909;4.6775074;4.2084436;112.20111;28.253994;27.712948;13.993132;11.869097;22.887249;4.7171483;2.3219838;25.990839;18.40997;22.997608;22.133062;25.096806;13.355586;45.49244;17.877813;6.531977;3.71985;7.727102;7.2960844;17.742321;54.025867;3.3394017;24.095512;4.3736053;10.950413;16.408543;13.19528;5.0928354;13.3235;12.9658985;12.727651;7.7033224;1.847983;8.481358;14.407457;12.346232;15.063474;17.81731;0.7342404;3.165863;13.710943;24.325983;2.228359;2.6279705;7.5486345;63.621906;8.058037;11.321012
16.857924;6.6779394;13.156735;13.743939;16.654425;6.4274015;9.795402;24.394043;15.325704;11.146057;3.7044587;30.43517;7.9651055;4.3000994;17.706676;15.624435;5.7935653;4.6277514;3.4578025;2.5298867;4.3592634;21.105486;6.730799;8.846987;15.749773;21.847025;8.076011;21.719448;11.354725;11.5073805;10.338581;23.557648;12.699471;32.70737;6.4774084;4.933703;17.738888;8.380575;10.5067425;7.042817;33.400726;5.3694963;6.0756035;6.3922725;7.1375213;40.66996;19.964298;34.49154;4.163344;3.8520267;91.31579;25.066978;25.9426;13.453443;9.660594;23.931774;4.1006002;1.8397297;22.523388;16.721973;22.672443;19.851;21.260796;13.555412;40.45922;17.891968;6.9666023;4.537624;8.140049;7.474692;17.11169;52.37096;3.0370374;23.887672;3.666916;10.514073;13.526568;13.764534;5.278741;10.307088;13.234541;13.392362;7.403919;1.9156042;7.7592773;12.68479;10.747454;15.5118;17.3735;0.6582993;2.5510361;13.69503;23.040985;1.7435309;2.726047;6.8156004;64.094086;6.928273;10.308512
17.044481;6.5107126;12.428837;12.569104;15.857335;6.0151806;10.736466;25.3224;14.93248;9.668808;4.725852;27.194525;7.619307;3.4762864;20.28678;13.545019;5.7714024;4.5488114;3.3955796;2.2230759;4.069398;22.590702;5.4644637;7.601224;16.376547;19.296946;6.5713334;18.331953;8.7670765;9.244068;9.121049;20.202452;12.473957;29.77222;5.1320515;5.192294;16.906788;8.435535;12.279684;6.2196302;29.498617;5.2722726;5.1442995;5.268869;7.5601554;34.73034;20.141542;25.672085;3.1366057;4.036091;86.10859;25.190325;24.828796;12.287903;8.346155;22.816929;4.0655193;1.9722265;19.521816;15.154071;21.742077;18.14433;24.109045;10.846781;40.421307;17.765339;6.0205307;3.1560476;7.4794974;6.1626616;15.918571;54.56792;3.3998852;18.518293;3.388052;8.749657;14.026047;12.830943;4.6603537;11.483301;11.66917;10.850152;6.6219816;1.713137;7.3246317;12.191243;10.283696;13.426514;15.657904;0.7655846;2.7863593;12.487719;23.522526;1.7681004;2.464888;7.799086;63.884987;7.3228865;10.031576
16.32562;5.962445;12.003138;11.783727;15.094203;6.334208;8.79273;21.611753;12.659022;10.093018;4.381733;30.135666;8.038028;3.2205513;17.738327;15.395994;5.8275423;4.451092;2.688704;2.4125476;3.8154182;23.73078;5.6045804;7.088025;12.904539;18.43388;6.5151763;17.627123;10.690914;9.362118;8.336104;23.475813;11.805903;28.256903;5.275957;5.5308886;16.040133;9.1364765;11.121028;5.79648;26.53236;6.261649;4.52116;5.7094183;7.344373;29.897192;19.99069;25.080221;3.5059235;3.6327908;82.29919;25.033272;27.44611;11.106561;9.261808;20.33065;3.6548123;2.0317745;20.235249;16.051067;23.654095;17.072758;22.495167;12.867838;37.680363;16.775959;6.3966813;3.4684215;8.05683;6.4281435;16.787363;46.753307;3.1075082;19.046772;3.8375907;9.25873;12.125405;11.163936;4.3214917;10.339975;13.991435;11.001412;6.5341477;1.4963579;7.9667473;11.8552475;8.723672;13.393206;14.551645;0.6768019;2.1656158;13.143862;21.962547;1.9365705;2.1959138;6.7763243;53.443993;6.463257;10.287306
17.50588;6.790477;12.483965;13.415901;17.034597;6.2003636;9.51681;24.18346;14.432745;11.173418;4.2669683;29.444424;7.2821913;3.8434997;18.945227;14.66672;6.219872;4.6292686;3.2274463;2.2074475;4.214254;24.807673;5.885969;7.781146;16.732786;18.998842;7.400429;19.76094;10.848743;10.6199665;9.238073;23.710657;12.302432;34.017155;6.4835296;5.603006;19.458818;8.321611;11.250302;6.233869;30.166143;6.186403;5.5350375;5.930681;6.58298;33.607693;20.661144;26.371372;3.5995;3.5827396;100.70759;26.33405;24.130062;11.71575;10.892168;18.982958;4.341635;1.9132141;21.765152;16.382517;22.045025;18.999048;27.806335;13.206831;43.89535;16.565292;6.698672;3.5125947;7.5899363;6.5148926;15.997525;54.239796;3.724834;19.95174;3.81998;9.54673;14.892688;12.645579;4.6080456;10.369834;15.137111;11.246375;7.8925986;1.709389;7.389498;13.552815;11.089152;13.066988;14.822507;0.5998593;2.582795;13.44663;24.924023;1.9699961;2.8165388;7.25399;55.202198;5.678383;9.992084
18.39751;6.9220634;14.009929;16.19541;20.303097;7.5412803;10.053492;25.375536;20.117517;12.811945;5.4123116;34.36157;8.909563;4.054461;20.21744;18.61993;6.578992;4.5709043;3.6477466;2.67119;4.3150783;25.739025;5.889963;8.59226;16.141516;23.855934;8.887728;23.32507;13.562952;11.34115;10.352079;24.231546;13.449417;38.166702;7.3707895;5.6268067;17.252848;10.57402;12.951523;7.331977;32.300484;6.5398993;6.5235877;6.6845064;8.866873;46.66187;23.598429;32.344513;4.4132605;4.493925;98.917465;33.008633;29.957129;15.701114;10.808104;24.486748;4.451307;2.1284206;25.549849;17.215534;25.275751;23.091436;25.079681;16.537611;51.233727;20.919735;8.556701;4.1389513;9.072124;7.52419;18.167545;63.943718;3.7934337;23.040953;4.576976;10.173513;15.913524;14.003241;5.9207354;12.052951;15.913587;13.587585;8.82911;1.7257265;8.8948765;15.59312;12.079525;16.144978;21.35622;0.74333084;2.8782473;17.45506;25.960114;2.2477016;3.0221033;8.197551;68.48127;7.3026342;12.618187
23.006716;9.85533;17.840637;16.263308;25.14126;7.3236403;12.256503;32.507706;18.28078;14.649435;6.747557;35.977806;12.165499;5.242442;25.3913;17.48268;8.038458;6.062317;4.1163416;3.1916866;6.68225;30.644962;8.870688;10.761837;17.054241;25.17595;10.127241;24.538502;14.485144;12.3530035;10.405635;23.960522;14.827883;44.79892;7.684964;7.069927;23.860538;11.085729;14.28773;7.9337883;38.36119;7.1949944;7.356528;7.8691416;9.554689;46.301216;26.479248;35.097588;5.5659494;4.8387594;121.15157;32.657005;34.165775;16.498257;10.451567;25.585773;4.9306192;2.6595888;27.342442;20.441463;29.120874;23.692204;31.770565;15.983096;60.468605;24.772778;7.4196787;5.5935817;10.472757;8.877526;21.815166;65.46469;4.6547856;28.206583;5.1104803;11.725481;19.234476;15.628206;6.2104397;14.655406;16.967196;15.094945;9.247447;2.196811;10.549108;14.032779;14.790812;19.804573;20.53987;0.8276203;3.3118713;17.641016;27.126389;2.5940757;3.4897876;9.311478;76.15108;8.18763;14.4238
23.664074;9.715143;19.954845;18.033382;26.822414;8.569742;12.1161785;33.27639;21.507635;16.417921;6.923089;41.501537;12.631131;5.6541853;30.085419;20.530247;9.289127;6.5178194;4.2179937;3.0550933;5.629063;35.80379;7.907682;10.904968;20.27116;28.079044;11.349896;25.318056;14.480609;14.881746;13.518985;30.406082;16.54754;46.04851;8.930952;6.8857565;25.584362;13.0776005;15.349162;9.110811;47.755745;7.9462004;8.644902;8.610194;11.261465;53.76598;31.526936;34.48627;5.6040993;5.1287613;127.85274;37.469234;34.708973;19.767979;12.236485;32.51378;6.2401433;2.9599633;32.587204;23.449001;33.399513;29.8168;35.556396;16.137094;60.414543;22.87721;9.355069;5.269217;11.20355;9.087771;21.487932;67.93895;4.1661577;32.07904;5.8978057;14.183397;21.449589;17.716675;8.403577;18.252094;20.095095;17.842789;10.293396;2.3840537;11.380083;16.243572;14.073652;18.196882;24.121271;0.97142714;3.7709384;19.380995;32.698097;2.9054906;3.8726707;9.428755;98.80827;9.341724;13.51195
26.369427;9.077708;17.669067;18.797497;25.733124;9.54386;13.188093;32.226116;22.536064;17.299;6.1695256;41.637352;11.390143;6.0449634;32.295876;21.599207;8.7638035;6.168227;5.53556;3.6196666;6.543561;37.50715;7.8030233;11.622709;21.336987;31.638332;11.627156;31.154415;17.711359;14.641681;15.147375;31.369593;19.560398;48.72548;9.397721;7.397434;23.738453;13.71403;16.45109;9.073344;39.73037;8.820932;7.3983727;9.253008;11.984242;56.91912;34.461292;40.381763;5.5968876;5.701894;130.54373;36.77075;38.481285;18.403072;13.841448;37.160316;6.50979;2.9766083;33.870895;24.752594;39.252815;32.94935;36.77043;21.500616;63.650826;27.962269;9.507303;6.2474384;11.881822;8.992491;22.703894;71.73536;4.5673027;31.641806;5.968731;13.862291;21.174425;18.896912;7.102771;18.10008;21.069025;17.674976;11.672563;2.7727695;12.250759;18.942833;15.645906;22.153498;25.326315;1.077602;4.206195;18.664585;34.405296;2.9969409;3.7542133;10.008994;94.9524;9.981594;16.086918
