1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
17.555735;18.754509;18.33029;21.211449;0.0;35.318996;0.0;18.322954;17.779047;19.096542;65.98954;77.52695;18.73017;22.442732;18.255478;19.83433;18.942896;18.347452;19.172852;22.16877;56.075054;26.4027;19.460535;18.990849;48.658905;49.459435;18.28532;90.2405;91.5746;153.1258;18.753742;18.81113;18.265537;19.440834;19.010616;17.87777;109.665085;0.0;22.13674;125.963745;19.241314;19.166836;19.114437;19.346838;66.59766;26.197699;17.85539;18.678501;19.175108;19.259863;25.205446;17.65428;19.595812;19.927217
16.418766;15.754626;17.183594;16.698917;80.946846;31.55015;16.133059;16.037434;16.718498;18.284723;59.2458;70.08003;16.66249;17.474346;15.98183;15.26161;19.037895;16.145218;15.672602;20.827517;49.524483;0.0;16.938894;16.127052;41.97094;41.197533;15.954822;81.04417;84.18184;138.2298;17.447002;17.131947;0.0;15.856733;0.0;0.0;99.022316;16.790699;0.0;106.99083;16.696651;16.972307;15.913762;16.62875;60.378162;23.708656;18.220173;15.948692;16.682985;16.395256;20.562304;17.74348;16.48838;15.545128
16.041252;16.620823;0.0;15.274602;94.2656;0.0;14.619905;16.175072;15.264674;16.139835;46.028248;0.0;16.233591;18.704807;15.1122465;15.619772;16.500738;0.0;0.0;20.360363;49.835316;25.308155;16.452543;15.956784;41.483055;42.310085;16.503414;80.55037;85.37358;126.55992;14.89034;14.6625805;16.602276;16.54285;16.807125;16.4738;94.327965;0.0;17.473747;112.44386;16.536827;15.715637;16.270985;15.733086;54.655;20.792107;17.699795;15.765233;17.31821;17.367805;21.61137;16.989288;16.439579;16.380749
14.520441;13.232306;14.181915;0.0;81.10009;26.575766;14.419935;13.50741;15.698412;15.062607;46.334866;0.0;14.742247;15.856143;15.593883;14.916501;15.813326;14.008949;15.880476;16.734083;45.727135;20.680464;15.96774;0.0;0.0;37.858284;14.399524;81.19576;73.40275;126.45007;15.319125;15.121218;13.7244005;14.121048;14.849269;15.116045;86.994965;14.647237;16.574903;99.812096;16.802898;14.239737;15.141172;15.304425;57.324547;19.843351;15.216827;14.360942;15.507238;14.564367;21.989185;14.677618;15.225453;14.666288
13.546377;0.0;14.306257;13.80114;82.06926;25.592197;0.0;13.3034;14.375117;14.263476;42.74119;59.454857;13.97597;14.643053;14.998182;13.696314;12.694056;14.397832;13.717331;16.723198;43.146477;22.258152;15.253439;14.297228;39.36155;37.390617;13.5532;66.90215;72.69554;109.80343;15.712354;13.5303755;0.0;14.560705;15.413236;13.875407;78.857;14.366717;15.77915;109.75919;13.418139;14.622142;15.554761;0.0;47.4147;0.0;12.778142;0.0;14.500501;0.0;18.488071;15.731867;12.693926;13.574168
15.577467;15.293709;16.785069;17.038593;89.22457;30.48141;15.867439;15.642969;15.542528;16.776932;52.26371;72.23407;14.399638;0.0;15.60365;14.716087;15.416407;16.337597;15.205042;17.29446;48.673985;24.299313;15.486677;15.051928;38.74017;41.355133;16.356735;75.839584;72.529465;121.26387;17.430786;14.006734;16.217318;15.287125;17.037588;15.675374;94.190506;17.120678;17.48418;0.0;15.9368305;15.849246;17.21265;14.704126;54.72875;21.266888;15.828508;15.513936;0.0;16.726902;22.043503;15.619806;16.212091;0.0
18.949755;18.614338;19.545815;21.234299;103.01378;33.757652;19.373375;17.954182;19.195292;18.557486;61.767223;75.074974;0.0;21.225111;0.0;19.044352;18.012493;19.938776;17.752766;23.10369;58.585854;0.0;18.77267;18.890697;49.249245;53.699745;16.841387;0.0;0.0;152.64923;19.006044;0.0;17.709864;19.53773;18.00722;19.624903;109.17464;20.800396;18.532227;130.71947;20.273212;20.052557;20.281965;20.817488;71.30731;27.044271;19.33042;18.10592;18.377224;19.421389;26.421131;19.569822;19.275213;18.102203
17.818676;21.177052;19.928463;19.933607;99.521255;36.518166;21.730457;20.341476;0.0;19.482405;65.739944;0.0;19.16314;21.705044;19.901712;18.530416;20.82722;19.704128;19.938698;25.60792;61.38664;28.493393;19.291172;18.858162;50.11238;53.762554;19.124561;97.24654;95.83455;154.81445;19.89207;21.57955;21.206207;0.0;20.481747;18.663853;106.29039;19.067432;19.732006;133.44467;18.628357;18.836353;19.78345;19.428646;68.791794;26.922968;19.431677;20.06041;18.697424;17.84285;28.851404;19.883402;19.506533;20.02876
22.323765;23.973845;21.473446;23.41956;118.402466;36.19537;21.759592;21.56498;21.528088;23.21056;67.04824;93.16292;24.541834;22.502686;21.157278;20.403784;20.869898;0.0;0.0;26.329807;63.169106;31.510773;22.07793;21.790852;53.388786;59.43142;21.342676;109.88889;102.33112;172.39957;20.738531;20.297054;21.56997;22.11504;20.238483;23.356281;132.94814;22.033041;23.230387;149.67459;0.0;21.952494;0.0;19.651115;71.523056;28.65311;23.004635;22.577034;20.328615;23.477383;29.380646;0.0;23.238913;0.0
0.0;25.621933;0.0;24.363747;130.24886;44.834385;0.0;24.266184;24.4809;25.930979;69.981125;98.282196;24.610626;25.25753;23.570908;24.73874;23.901888;22.785305;22.67177;28.54659;73.23076;36.865387;0.0;23.79581;0.0;55.562614;23.620056;121.31384;114.87477;174.63327;24.39815;23.797039;23.700832;22.526861;23.506899;21.379261;148.07487;23.463564;25.34592;173.85045;25.79394;22.884472;23.193201;24.132317;0.0;32.54635;22.990267;24.357525;21.581463;22.785671;34.00769;26.903936;22.685184;23.84633
