1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
21.131596;19.570992;20.4886;21.53992;118.04238;36.612915;20.023596;20.62041;21.445557;21.23625;64.46269;80.86176;19.636745;23.340939;21.073246;21.215082;20.82351;22.765965;23.417002;25.32801;62.166687;30.898342;21.477152;0.0;51.541077;52.85752;0.0;105.35288;96.04969;150.86703;21.293665;23.849804;21.319128;19.471628;20.747215;20.612448;123.10976;21.254038;19.523746;136.8955;22.284092;21.773676;0.0;20.4165;72.82175;0.0;21.271646;0.0;22.86171;20.324657;27.828274;20.812466;20.751553;21.268833
0.0;21.700504;21.12006;22.811138;123.2687;0.0;22.965084;23.858688;24.881145;22.190395;73.42009;0.0;23.300266;25.714792;0.0;23.469711;0.0;22.66412;23.355616;24.19798;73.40271;37.67253;22.445341;21.084064;59.731243;0.0;0.0;115.08226;109.092674;193.13608;23.617348;20.187956;24.370947;22.593609;21.609093;21.45421;130.6578;23.81815;23.501749;164.31563;22.476942;22.00669;23.297401;21.572443;77.060684;32.430294;23.143457;24.856638;22.205471;24.2601;28.845798;22.36065;21.220228;23.98525
22.452206;21.248503;0.0;22.313456;126.22212;40.83055;23.545366;0.0;22.577051;22.31464;75.4099;91.35542;19.986595;0.0;21.15125;20.897633;19.534468;22.732325;0.0;26.52247;67.39964;33.585518;22.07124;22.64251;58.426643;60.34849;23.810535;107.06976;98.84453;173.33638;22.739298;21.492947;22.256836;20.879429;20.162853;22.478123;134.32713;20.768604;21.292988;152.18698;22.541573;22.804373;22.562824;24.207855;78.65977;30.113638;21.738361;23.124332;21.978786;21.860655;31.316;0.0;24.230124;23.197369
23.820162;23.096092;22.086632;23.695248;121.07544;43.9917;22.406584;21.335941;21.28519;22.253658;71.20533;99.80555;0.0;22.07068;22.441092;25.605143;22.683355;22.55996;22.413464;28.480358;72.733345;31.500834;22.657652;24.050526;56.99189;59.67848;0.0;109.23323;112.570045;171.3495;23.809208;0.0;22.288677;20.122416;21.145798;0.0;126.21913;21.946014;23.375137;167.20268;19.097279;23.453533;19.580374;21.812225;82.32466;30.452158;22.264736;22.280445;20.839731;23.048115;29.635046;21.373356;21.890749;22.998251
23.864353;21.751722;23.56636;24.219532;134.43256;41.77606;21.425297;23.398664;22.250576;22.7256;78.99619;88.63444;23.421148;23.448006;23.248446;0.0;23.251347;23.949434;24.97084;26.164536;71.53921;31.876118;21.866415;22.81545;0.0;55.07596;23.003645;116.588196;108.79269;168.44101;25.247097;22.756138;23.080158;22.307926;24.31496;24.520863;134.36612;22.638416;25.002697;151.78726;23.36714;22.563335;22.65469;22.992073;83.76253;34.675835;0.0;24.539776;22.568853;22.745188;33.262253;0.0;0.0;23.73751
20.818607;20.147861;20.086155;21.363066;117.3568;0.0;23.003654;20.96835;22.491047;21.324396;63.73806;94.35392;22.160181;0.0;0.0;21.646654;21.60466;21.677618;0.0;26.050793;66.12747;32.4747;22.610508;19.531498;51.4871;55.007977;21.254032;113.58922;101.59275;179.18015;22.627218;22.97414;22.307295;22.812153;23.793306;21.589298;124.29146;20.187706;22.597218;156.12216;20.278389;23.459734;21.015469;22.022932;84.46338;29.905893;25.914623;22.878653;20.554588;20.892498;0.0;20.381487;22.091648;20.252525
19.990635;18.072153;19.528017;20.562407;108.68724;35.645832;19.127668;18.670883;19.704062;18.683563;60.793312;78.454575;20.147732;0.0;18.42122;20.700497;17.325865;20.006245;19.070704;23.237919;62.651543;29.414562;20.616405;18.797014;47.368385;44.755974;18.398247;93.171776;90.968056;161.93896;18.965073;20.176624;18.6554;18.427578;19.2101;18.322031;115.461655;20.509388;18.410183;152.1444;20.917412;17.89797;19.171246;18.518143;71.9825;30.06342;20.46233;19.764894;20.77502;19.547146;27.295609;18.396849;19.43762;19.982702
22.194502;23.819557;0.0;22.831398;0.0;0.0;20.566814;21.830746;0.0;21.673672;65.637375;85.11339;21.746632;22.247934;20.334278;20.22191;20.61074;22.360088;21.995419;24.466799;66.58895;31.138874;20.385403;22.137676;53.19593;62.19336;25.008816;108.12317;0.0;170.69664;20.241354;23.160372;22.312042;21.278767;20.264324;19.863688;125.728294;21.46661;22.55508;153.41396;21.461246;20.525349;20.592205;21.06613;75.61482;29.092682;22.330173;23.773956;20.639463;0.0;27.198185;22.068094;21.747654;20.88303
20.196457;18.341639;19.145962;19.680426;107.430626;34.17942;19.726397;18.43325;19.698036;19.038063;61.541668;78.98198;19.156715;20.953836;19.379227;18.362375;19.538675;19.263676;0.0;24.114552;59.312645;29.844616;18.231012;19.10268;52.44468;51.47819;20.769691;98.56718;92.48345;160.095;18.358925;19.514587;19.526085;19.924574;18.21967;20.00706;0.0;21.030132;19.867142;152.9771;18.359432;19.658321;18.95745;18.878914;69.126114;25.97055;21.0719;18.09682;20.582851;0.0;28.18407;0.0;0.0;21.714529
21.306442;23.608486;19.71336;0.0;111.260864;40.201622;21.539698;21.97441;23.868845;21.176445;0.0;86.82344;19.730484;24.223259;0.0;20.489378;22.161644;23.982758;21.353191;26.143017;59.362476;32.658195;0.0;0.0;51.892445;56.828583;21.490452;106.90835;103.08366;161.6963;0.0;0.0;23.094498;22.735176;0.0;22.302189;124.61615;21.24486;0.0;149.50365;21.550945;21.591228;21.655224;21.865723;77.22912;28.61995;20.963047;21.760588;21.137745;20.28336;30.658558;21.597073;23.354303;22.480068
