1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.88074;145.452;143.796;143.658;143.244;144.9;142.278;142.278;-1.0;144.486;144.624;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.20859;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;-1.0;145.452;146.004;-1.0;143.934;-1.0;142.692;143.658;144.762;142.692;145.59;140.07
-1.0;146.28;145.27734;359.145;363.285;-1.0;144.762;144.9;144.624;144.348;146.45312;-1.0;143.658;143.382;-1.0;145.728;-1.0;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;-1.0;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.33244;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.07811;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;-1.0;359.145;363.285;144.9;144.762;-1.0;144.36972;144.348;146.28;354.315;143.658;-1.0;143.658;145.88326;145.452;143.796;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.20572;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.07047;145.452;146.004;145.038;143.934;143.54556;142.692;143.59155;144.762;-1.0;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;-1.0;143.382;143.658;145.90398;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;-1.0;350.52;146.28;146.28;143.382;-1.0;143.244;141.036;139.656;-1.0;146.28;145.038;170.177;146.28;143.796;144.348;144.9902;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;144.9;142.278;142.13116;142.1474;-1.0;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.22255;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.10637;145.452;146.004;145.038;-1.0;143.52;142.692;143.658;144.762;-1.0;-1.0;140.07
142.42317;146.28;145.314;359.145;363.285;-1.0;144.762;144.9;144.624;144.348;146.28;354.315;143.658;-1.0;-1.0;145.91516;145.452;143.796;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.19783;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.0752;145.452;146.004;145.038;143.934;143.58087;142.692;143.658;-1.0;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;-1.0;143.658;145.91858;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.14403;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.08395;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
141.77765;146.28;-1.0;359.145;-1.0;-1.0;144.56908;144.9;-1.0;144.348;146.28;354.315;143.658;143.382;143.658;145.84605;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.14282;350.55078;-1.0;146.28;143.382;143.52;143.244;141.27277;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.11586;145.452;146.004;145.038;143.934;143.52;142.692;-1.0;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.90022;145.452;143.796;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.35641;139.656;144.486;-1.0;145.038;170.177;146.28;143.796;144.348;145.07233;145.452;146.004;145.038;143.934;143.52;142.692;-1.0;144.762;-1.0;-1.0;140.07
142.554;146.28;145.314;-1.0;368.00134;144.9;144.762;144.9;144.624;144.348;-1.0;354.315;143.658;143.382;-1.0;146.00316;145.452;143.796;143.658;143.244;144.9;142.278;-1.0;-1.0;144.486;144.624;144.072;350.52;146.28;146.28;-1.0;-1.0;143.244;141.036;-1.0;144.486;146.28;145.038;-1.0;146.28;143.796;144.348;145.12363;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.27089;-1.0;-1.0;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;-1.0;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;-1.0;143.244;141.10062;139.656;-1.0;146.28;144.46312;170.177;-1.0;143.796;144.348;144.37988;-1.0;146.004;145.038;143.934;-1.0;142.692;143.658;144.762;142.692;145.59;-1.0
142.554;146.28;145.314;359.145;363.285;144.9;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.78564;145.452;143.796;143.658;143.244;144.9;142.278;141.85081;141.93796;-1.0;-1.0;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.16316;139.656;144.486;146.28;-1.0;170.177;-1.0;143.796;144.348;143.77911;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;-1.0;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.54837;-1.0;143.658;143.382;143.658;145.92265;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.24379;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.09471;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;-1.0
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.87679;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.31827;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;-1.0;145.452;146.004;-1.0;143.934;143.52;142.692;-1.0;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;-1.0;144.348;146.28;354.315;143.658;143.382;143.658;145.86867;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.13605;350.68652;-1.0;146.28;143.382;143.52;143.244;141.28842;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;144.9;145.452;-1.0;145.038;143.934;143.52;-1.0;143.658;144.762;-1.0;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.88469;145.452;143.796;143.658;143.244;-1.0;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;-1.0;143.52;143.244;141.18845;139.656;144.486;146.28;145.038;170.177;146.28;-1.0;-1.0;145.00638;145.452;146.004;145.038;-1.0;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;-1.0;143.382;143.658;145.89255;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;-1.0;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.38014;139.656;144.486;146.28;145.038;170.177;146.28;-1.0;144.348;145.16864;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;-1.0
142.554;-1.0;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;-1.0;354.315;143.658;143.382;143.658;145.9631;145.452;143.796;143.658;-1.0;144.9;-1.0;142.278;142.25832;144.486;144.624;144.1868;350.65915;-1.0;146.28;143.382;143.52;143.244;141.43214;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.1701;145.452;146.004;145.038;143.934;143.55072;142.692;143.658;144.762;142.692;145.59;140.07
-1.0;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;146.28;354.315;143.658;143.382;143.658;145.91664;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.4177;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.19467;145.452;146.004;145.038;143.934;143.53542;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;-1.0;359.145;363.285;144.9;144.762;-1.0;144.5206;144.348;146.28;354.315;143.658;143.382;143.658;145.90376;145.452;143.796;143.658;143.244;144.9;-1.0;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.48468;139.656;144.486;-1.0;145.038;170.177;146.28;143.796;144.348;-1.0;145.452;146.004;145.038;143.934;143.56618;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;-1.0;144.4913;144.348;146.28;354.315;143.658;143.382;143.658;145.728;-1.0;-1.0;143.658;143.244;-1.0;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.47989;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.21951;145.452;146.004;145.038;-1.0;143.52;-1.0;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;-1.0;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.7443;145.452;-1.0;143.658;143.244;144.9;-1.0;140.60182;140.56909;-1.0;144.624;-1.0;350.52;146.28;146.28;143.382;-1.0;143.244;141.39493;139.656;144.486;146.28;145.038;-1.0;146.28;143.796;144.348;145.1819;145.452;146.004;145.038;143.934;143.52895;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.88986;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;-1.0;141.37982;139.656;144.486;146.28;145.038;-1.0;146.28;143.796;144.348;145.17184;145.452;146.004;145.038;143.934;143.52423;142.692;143.658;144.762;142.692;145.59;-1.0
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;-1.0;144.348;146.28;354.315;143.658;-1.0;143.658;145.728;-1.0;143.796;143.658;143.244;144.9;-1.0;139.95714;139.92284;-1.0;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;-1.0;139.656;144.486;146.28;-1.0;170.177;146.28;143.796;144.348;145.13307;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;-1.0;367.8132;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;-1.0;143.658;146.04314;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;-1.0;146.28;146.28;143.382;-1.0;143.244;141.036;-1.0;144.486;146.28;145.038;170.177;146.28;143.796;-1.0;145.18382;145.452;146.004;145.038;143.934;-1.0;-1.0;143.658;-1.0;142.692;145.59;140.07
142.554;-1.0;145.314;-1.0;366.44244;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;146.01213;145.452;143.796;143.658;-1.0;144.9;-1.0;142.12666;141.98093;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;-1.0;141.19513;139.656;-1.0;146.28;145.038;170.177;146.28;143.796;144.348;145.09116;145.452;146.004;145.038;-1.0;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;-1.0;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;143.658;-1.0;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.18437;139.656;-1.0;146.28;145.038;170.177;146.28;143.796;144.348;145.04654;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;-1.0;144.9;144.762;-1.0;144.43977;-1.0;146.28;354.315;143.658;143.382;143.658;145.8696;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;-1.0;139.656;144.486;146.28;145.038;-1.0;146.28;143.796;-1.0;145.12837;145.452;146.004;145.038;143.934;143.52;142.692;-1.0;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;-1.0;-1.0;143.658;143.382;143.658;146.00912;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;-1.0;146.28;146.28;143.382;143.52;143.244;-1.0;139.656;-1.0;146.28;145.038;170.177;146.28;143.796;144.348;144.99748;145.452;146.004;145.038;143.934;-1.0;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;143.658;143.244;144.9;-1.0;140.90332;-1.0;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.06673;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.05353;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.88527;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.10344;139.656;144.486;146.28;145.038;-1.0;146.28;143.796;144.348;145.11877;145.452;146.004;145.038;-1.0;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.39857;146.28;145.314;359.145;363.285;-1.0;144.762;144.9;144.624;-1.0;146.28;354.315;143.658;143.382;-1.0;145.92548;145.452;143.796;143.658;143.244;-1.0;142.278;142.278;142.278;144.486;144.624;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.26152;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.09795;145.452;146.004;145.038;143.934;-1.0;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;-1.0;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;-1.0;143.382;143.658;145.94585;145.452;143.796;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.2649;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.10078;-1.0;146.004;-1.0;143.934;143.52;142.692;143.658;-1.0;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.85097;145.452;143.796;143.658;-1.0;144.9;-1.0;142.278;142.17062;144.486;144.624;144.1449;350.52;-1.0;146.28;143.382;143.52;143.244;141.036;139.656;-1.0;-1.0;145.038;170.177;146.28;143.796;144.348;144.9628;145.452;146.004;145.038;143.934;143.52;142.692;-1.0;144.762;142.692;145.59;140.07
-1.0;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;146.28;354.315;143.658;143.382;143.658;145.87389;145.452;143.796;143.658;143.244;-1.0;142.278;-1.0;141.85977;-1.0;144.624;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.20026;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.0716;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;-1.0;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.86111;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;-1.0;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.21022;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.06987;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;146.28;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;143.658;143.244;144.9;142.278;-1.0;142.22679;144.486;144.624;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.036;-1.0;144.486;146.28;-1.0;170.177;146.28;143.796;144.348;145.11359;145.452;146.004;145.038;-1.0;143.52;142.692;143.658;-1.0;142.692;145.59;-1.0
