date;time
2012-feb-25;16:00
2012-feb-25;17:00
2012-feb-25;18:00
2012-feb-25;19:00
2012-feb-25;20:00
2012-feb-25;21:00
2012-feb-25;22:00
2012-feb-25;23:00
2012-feb-26;0:00
2012-feb-26;1:00
2012-feb-26;2:00
2012-feb-26;3:00
2012-feb-26;4:00
2012-feb-26;5:00
2012-feb-26;6:00
2012-feb-26;7:00
2012-feb-26;8:00
2012-feb-26;9:00
2012-feb-26;10:00
2012-feb-26;11:00
2012-feb-26;12:00
2012-feb-26;13:00
2012-feb-26;14:00
2012-feb-26;15:00
2012-feb-26;16:00
2012-feb-26;17:00
2012-feb-26;18:00
2012-feb-26;19:00
2012-feb-26;20:00
2012-feb-26;21:00
2012-feb-26;22:00
2012-feb-26;23:00
2012-feb-27;0:00
2012-feb-27;1:00
2012-feb-27;2:00
2012-feb-27;3:00
2012-feb-27;4:00
2012-feb-27;5:00
2012-feb-27;6:00
2012-feb-27;7:00
2012-feb-27;8:00
2012-feb-27;9:00
2012-feb-27;10:00
2012-feb-27;11:00
2012-feb-27;12:00
2012-feb-27;13:00
2012-feb-27;14:00
2012-feb-27;15:00
2012-feb-27;16:00
2012-feb-27;17:00
2012-feb-27;18:00
2012-feb-27;19:00
2012-feb-27;20:00
2012-feb-27;21:00
2012-feb-27;22:00
2012-feb-27;23:00
2012-feb-28;0:00
2012-feb-28;1:00
2012-feb-28;2:00
2012-feb-28;3:00
2012-feb-28;4:00
2012-feb-28;5:00
2012-feb-28;6:00
2012-feb-28;7:00
2012-feb-28;8:00
2012-feb-28;9:00
2012-feb-28;10:00
2012-feb-28;11:00
2012-feb-28;12:00
2012-feb-28;13:00
2012-feb-28;14:00
2012-feb-28;15:00
2012-feb-28;16:00
2012-feb-28;17:00
2012-feb-28;18:00
2012-feb-28;19:00
2012-feb-28;20:00
2012-feb-28;21:00
2012-feb-28;22:00
2012-feb-28;23:00
2012-mar-1;0:00
2012-mar-1;1:00
2012-mar-1;2:00
2012-mar-1;3:00
2012-mar-1;4:00
2012-mar-1;5:00
2012-mar-1;6:00
2012-mar-1;7:00
2012-mar-1;8:00
2012-mar-1;9:00
2012-mar-1;10:00
2012-mar-1;11:00
2012-mar-1;12:00
2012-mar-1;13:00
2012-mar-1;14:00
2012-mar-1;15:00
2012-mar-1;16:00
2012-mar-1;17:00
2012-mar-1;18:00
2012-mar-1;19:00
2012-mar-1;20:00
2012-mar-1;21:00
2012-mar-1;22:00
2012-mar-1;23:00
2012-mar-2;0:00
2012-mar-2;1:00
2012-mar-2;2:00
2012-mar-2;3:00
2012-mar-2;4:00
2012-mar-2;5:00
2012-mar-2;6:00
2012-mar-2;7:00
2012-mar-2;8:00
2012-mar-2;9:00
2012-mar-2;10:00
2012-mar-2;11:00
2012-mar-2;12:00
2012-mar-2;13:00
2012-mar-2;14:00
2012-mar-2;15:00
2012-mar-2;16:00
2012-mar-2;17:00
2012-mar-2;18:00
2012-mar-2;19:00
2012-mar-2;20:00
2012-mar-2;21:00
2012-mar-2;22:00
2012-mar-2;23:00
2012-mar-3;0:00
2012-mar-3;1:00
2012-mar-3;2:00
2012-mar-3;3:00
2012-mar-3;4:00
2012-mar-3;5:00
2012-mar-3;6:00
2012-mar-3;7:00
2012-mar-3;8:00
2012-mar-3;9:00
2012-mar-3;10:00
2012-mar-3;11:00
2012-mar-3;12:00
2012-mar-3;13:00
2012-mar-3;14:00
2012-mar-3;15:00
2012-mar-3;16:00
2012-mar-3;17:00
2012-mar-3;18:00
2012-mar-3;19:00
2012-mar-3;20:00
2012-mar-3;21:00
2012-mar-3;22:00
2012-mar-3;23:00
2012-mar-4;0:00
2012-mar-4;1:00
2012-mar-4;2:00
2012-mar-4;3:00
2012-mar-4;4:00
2012-mar-4;5:00
2012-mar-4;6:00
2012-mar-4;7:00
2012-mar-4;8:00
2012-mar-4;9:00
2012-mar-4;10:00
2012-mar-4;11:00
2012-mar-4;12:00
2012-mar-4;13:00
2012-mar-4;14:00
