1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
20.575243;7.843347;14.998057;14.081856;19.011189;8.101891;10.02256;27.395996;17.348015;14.210289;7.150222;36.98207;10.701105;4.4679117;24.782053;17.969563;6.904834;5.4047194;4.690325;2.8783114;5.1345134;29.630875;7.48174;9.263529;19.41772;23.18612;8.933091;22.796661;13.371981;12.557508;10.85095;23.402084;13.859787;37.63865;7.8321548;7.2286744;19.571377;12.313092;14.937223;7.839199;32.43863;6.671921;6.7352877;7.259877;8.314629;42.552273;21.653683;34.62603;4.8732247;4.6600842;105.91966;28.004498;29.052975;17.547733;10.675048;27.129007;5.4223146;2.3480957;25.658382;17.517536;22.472364;24.02072;29.593372;15.902193;51.581604;22.912432;8.779442;4.3059387;9.683413;8.375421;19.945131;62.568695;3.934157;24.28177;4.722017;11.083315;15.573822;14.647235;5.8603883;14.351046;18.423237;14.232246;8.056954;2.0618796;8.57003;13.83214;13.742434;15.6523485;20.741978;0.7717177;2.8437033;15.330272;26.504522;2.480988;3.2430587;9.340106;71.20475;8.185737;12.079162
19.998154;7.78842;16.107443;16.810764;23.813618;7.97153;12.191819;30.549185;21.771095;15.111651;4.906728;40.35709;9.996962;4.0751796;24.765873;19.019974;7.540652;5.8175945;4.3108115;2.9960532;5.579273;29.981237;6.596779;9.47918;17.904255;24.50959;8.680184;25.266144;12.170055;13.424974;11.843516;28.175121;14.730533;36.6644;7.0300684;6.562472;22.892567;11.775102;12.606298;7.6682825;40.48777;6.730437;6.18821;6.743634;9.240357;45.03867;30.925526;37.403576;4.8531795;5.4889693;124.76277;32.813747;30.800808;17.152752;11.228457;26.628963;5.482891;2.6044526;27.514248;19.953476;25.278843;22.484303;29.712683;17.084023;55.951973;21.13516;8.640135;5.087126;9.79896;8.170294;17.585133;63.98133;4.3601823;28.189838;4.409436;11.805442;17.05041;16.589106;7.430997;15.240956;19.211077;15.123952;9.375399;2.0631769;10.66762;15.679875;13.154904;18.890657;20.177555;0.8058696;3.310255;14.705666;28.290619;2.8510003;3.5414708;8.573669;82.84407;7.998063;13.385735
21.975124;10.19458;17.256645;17.93189;25.445402;9.24917;12.324581;32.259304;21.74976;15.308446;7.6145883;36.56344;9.663092;4.964074;29.406246;18.067064;8.897156;7.128501;4.287483;3.331871;6.138483;29.435476;7.473564;10.376264;17.163086;26.519978;9.454851;29.44336;14.531477;13.812449;11.759235;30.532557;19.312431;38.214775;6.9393835;6.3996897;24.425516;12.232961;15.235121;9.878224;39.579212;8.181223;7.7136407;8.136932;10.60528;46.684566;28.311172;37.36019;5.013364;6.140818;120.344154;34.111946;27.68787;18.656399;12.805758;31.769506;5.018373;2.8962574;30.689045;19.918306;28.748096;27.539875;33.70786;16.017544;60.80448;24.104795;11.141207;4.750799;12.101454;8.941245;22.688538;77.04872;4.602142;26.433704;4.863025;14.124872;17.882835;16.626316;6.3821573;13.017115;18.401844;15.041074;9.361468;2.1860368;11.501568;15.573408;14.835718;19.985605;20.402914;0.80506384;3.822918;18.11509;30.604355;3.0048223;3.4459922;10.220481;80.9549;9.459871;16.90876
21.647358;8.629455;18.946274;18.897089;23.313272;8.9778805;14.164479;33.066353;24.516369;13.867233;6.4872932;43.266373;12.714889;4.7222304;33.498184;19.08124;8.29085;6.1808834;4.603093;3.221379;5.9971323;30.043766;8.790242;10.159242;15.200328;27.883083;11.042165;25.14431;14.983042;13.920062;12.620824;30.768467;16.495409;43.87652;8.192362;7.146693;23.77956;12.6592865;14.408722;9.514421;39.87252;7.0342684;7.3751435;7.89437;10.569376;54.753193;31.904545;35.292076;5.5875645;4.951437;129.10094;34.541145;32.21847;17.01348;11.190769;30.499756;5.3634305;2.704598;31.341272;18.914509;29.366928;26.991806;31.587423;17.047886;61.559956;26.09135;8.086454;5.6062074;11.485595;10.16808;21.408714;77.4709;4.4275427;28.945187;5.43368;14.354139;19.591465;18.107176;6.012302;14.979982;20.096777;17.056152;10.592373;2.3748815;10.760835;18.465393;14.132586;20.229275;25.121187;0.8393649;3.9059086;16.032269;27.764826;2.6197834;3.7889729;9.304864;92.022736;8.845948;14.885776
20.994976;8.638876;18.1943;16.46792;23.607754;8.521392;11.173841;29.761835;18.351027;15.642733;5.5928965;36.471012;10.7819;4.61388;27.43768;19.080341;8.052675;6.0511765;4.155957;3.1055374;5.58041;28.964273;7.0380807;10.895955;17.110065;24.730564;9.989871;25.522175;15.245358;13.820593;11.042179;25.648132;14.263184;35.725426;8.821034;6.79531;22.079403;10.484369;11.7543335;7.511977;41.98674;7.219949;7.3242073;7.321023;10.09303;52.45884;25.479399;34.24279;5.343199;5.344451;111.13261;34.332752;34.5334;15.179794;12.52245;29.246113;4.7678843;2.578929;27.466465;20.336046;30.553366;24.16868;29.084808;15.004995;49.61447;24.98316;9.12919;5.4285393;8.756383;7.6768293;22.612238;66.733536;4.308303;26.836857;4.140201;12.819837;18.828878;16.885462;7.04206;13.848781;19.330088;17.068127;9.122064;1.9404128;8.301218;16.039005;13.259816;18.45519;20.345211;0.85033643;3.4509158;15.406807;28.185385;2.6294115;3.7560515;9.162833;79.15508;8.47808;13.676851
21.49005;8.269262;14.948257;14.805684;22.665802;7.923846;11.381748;25.485657;19.623804;13.749684;5.305267;35.136837;10.080653;4.332802;23.464775;16.492153;7.162951;5.508684;3.534633;3.0530882;5.242387;25.672073;7.0386934;8.856835;16.897627;21.152775;8.287186;25.098705;13.14131;12.242215;10.867492;25.777533;13.967787;41.63462;7.503951;7.462645;23.691723;10.021141;12.584169;8.226137;32.916206;7.01258;6.5142403;8.21768;8.944255;45.68394;23.311197;32.561615;5.1473494;4.959337;119.04868;28.071787;34.807003;16.97007;10.819246;25.891754;4.6352434;2.3487794;29.248108;22.322948;24.153076;24.487347;27.477554;15.42275;48.023785;20.716759;8.312608;4.7424803;9.373414;8.766917;18.60329;66.70711;3.8262837;27.976217;5.0478745;11.217929;18.111128;14.962092;5.5104647;13.918483;16.913624;14.492918;10.080875;1.9116008;9.570574;15.162613;11.982177;18.417778;19.669098;0.7178678;3.0520065;15.394506;27.496801;2.5556493;2.9971056;8.74092;78.85951;9.007906;13.766441
23.532818;7.965088;15.884611;15.769739;21.504362;7.444861;12.149717;26.912476;18.924175;13.857346;6.329929;32.27711;10.883897;4.587861;25.523197;18.562109;6.391547;5.8325796;4.153394;2.660819;5.2300544;28.495474;6.8727546;10.091444;19.727526;23.928339;9.431948;23.989506;13.136752;13.974844;11.257168;25.955952;13.651335;35.563137;7.8614297;6.5318313;22.439651;12.2081175;15.158028;8.080884;35.32711;7.0699706;7.4158936;7.1993537;9.460204;53.483376;25.12372;32.542267;5.3364096;4.7621245;112.07355;28.937122;30.22929;14.916338;10.447719;27.215622;4.3202734;2.2607207;27.184406;18.621758;26.29189;25.41204;32.866295;16.827114;52.459614;21.13964;8.783946;4.496045;9.535097;8.971186;20.42866;65.8694;4.1948824;27.0424;4.563507;11.94298;16.749632;15.839969;5.5610642;14.204608;18.446308;15.034305;8.386947;2.2768655;9.913958;17.033571;12.120878;16.877161;20.174797;0.7923378;3.0043225;15.161563;27.383905;2.6621766;2.9676628;8.376566;83.032776;7.777925;13.766661
23.325445;8.286077;16.358326;14.383418;21.499886;7.438019;12.930101;29.596287;18.424873;13.6826;6.358693;28.402826;10.341751;4.339933;26.615711;18.238792;6.869423;5.50304;4.3873353;2.9886382;4.945014;27.587915;6.916401;10.4077015;17.481487;23.144203;9.152234;24.456577;13.304285;12.784876;11.995463;29.156513;15.183522;34.654686;7.64786;6.586891;22.130823;10.752493;15.002594;7.974299;32.41438;6.9245653;7.4924445;7.760215;9.69037;46.391388;23.99754;34.813297;4.5876145;4.4467363;118.44202;30.95364;31.668335;17.70602;10.289911;25.365501;4.565328;2.4961514;26.99393;18.917603;26.956594;24.925117;28.789469;16.630144;51.38849;23.08459;8.667867;4.5540233;9.655484;8.754631;17.663387;61.813812;4.5423627;25.459625;5.006439;11.662689;19.40102;13.919993;5.7856045;14.028102;17.644432;13.648129;8.398607;2.0021007;9.3295765;16.03997;13.342825;18.401493;19.499735;0.743392;3.5500724;14.982407;27.698618;2.4087443;3.2098567;8.528452;86.84582;7.9396386;13.829527
17.059757;7.0170836;13.239893;12.839067;18.10116;6.1402497;9.015444;23.736927;16.295238;11.782297;4.7769556;34.798935;9.651691;3.6186721;22.142105;16.0076;6.104602;4.32031;3.1887918;2.5824413;4.745735;25.910782;5.886342;8.691932;17.604223;20.955122;8.111677;19.978188;11.009981;10.158616;9.508285;21.707853;14.476847;34.194405;6.516178;5.3519983;17.83221;8.839243;11.469357;7.286518;30.360226;6.0566673;5.929532;6.3152056;7.3485403;39.889156;20.899603;26.238174;4.168712;3.7213333;100.36235;25.249882;30.564304;14.397034;9.396471;21.088411;4.3068743;1.9307563;27.472382;15.302795;26.26058;22.276142;26.530146;13.23338;40.34119;18.023193;7.772294;4.4498796;9.121465;6.662896;16.208458;56.281647;3.5620072;20.443161;3.985869;10.389471;13.781665;14.034871;5.1929545;11.899835;14.790426;11.977934;7.678753;1.7641227;7.8096266;12.556898;10.158503;13.921351;18.668667;0.72532403;2.9652128;15.908937;21.638945;2.0010004;2.478601;7.1753097;60.5812;6.758063;9.839157
14.88949;6.2394915;11.822984;11.331906;15.934896;5.802074;9.116861;21.803825;14.993381;10.9628315;4.2489767;29.207836;8.690262;3.5707264;21.63508;13.925481;5.803627;4.370593;3.4266877;2.5547996;4.1346774;23.783772;6.1304193;7.728511;13.528822;18.89891;8.252039;20.087439;10.093135;10.807578;9.129677;19.647217;12.543413;30.07923;5.969178;4.885278;13.639583;8.930655;12.18889;6.8607674;25.5149;5.733744;4.967788;5.86749;7.516523;37.577404;20.164392;26.594776;3.6583066;3.7558494;84.98939;21.373154;27.336102;13.6953335;9.890215;23.85072;3.9041111;1.9056034;21.823654;13.048968;22.478123;19.19947;23.838062;13.217751;39.773308;17.654194;6.7380266;3.9317355;7.927658;6.5084543;13.699327;50.55184;2.8506465;21.179539;4.0210257;9.062408;12.295091;12.684447;4.921109;9.964449;13.891548;12.935176;6.419841;1.596362;6.71793;11.619703;10.423174;14.4922695;15.869322;0.6549778;2.4032748;11.869665;20.097078;2.0807781;2.73979;6.2470727;59.617348;5.9389944;9.728628
