1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
17.531063;15.947942;19.177095;17.910114;99.347115;30.530102;0.0;19.05035;18.16799;19.370743;59.24998;67.17251;17.728947;0.0;15.760195;18.885494;17.538326;18.089308;18.221981;0.0;59.25007;24.668037;18.632416;16.40278;46.022884;47.672043;19.556358;86.1275;95.499435;142.90836;17.310335;18.528961;17.265568;16.35471;0.0;0.0;94.65517;17.628078;16.232374;129.42378;18.78031;17.256674;17.745842;17.016106;58.62779;26.20316;17.446274;17.954342;17.583364;16.866894;25.056814;17.357979;18.17042;17.312098
0.0;19.192001;18.456509;18.752045;100.36794;35.003002;20.239214;18.46156;20.126347;19.276611;56.648487;73.25127;19.124514;20.74374;18.157124;0.0;19.507908;18.66978;20.14464;20.689228;58.061317;28.867626;19.726597;0.0;48.08347;48.27951;0.0;97.02403;92.1204;153.90176;19.562794;17.90442;19.666616;18.849567;17.245735;20.045206;118.48981;17.312725;18.4988;127.86637;18.012844;18.418667;19.729328;20.333548;63.629204;25.58544;19.062206;18.021135;18.449942;18.437664;24.478598;17.28112;17.874851;19.265125
21.303137;21.840923;19.4192;21.180737;111.60551;37.96106;19.569103;20.172785;18.79511;21.660374;59.543354;0.0;22.760765;20.505617;22.528667;21.063162;22.210375;21.040985;20.606594;23.19654;64.92659;29.92418;18.84655;20.206236;50.728317;52.4151;19.11372;92.88441;100.654015;146.00705;21.229244;20.683302;20.539494;22.238409;20.328665;20.500835;122.65112;20.840343;20.788157;143.6644;0.0;21.550377;20.989246;20.999634;67.49521;26.320526;19.468275;20.19152;19.117239;18.763752;29.04599;19.95129;22.036285;21.802172
23.337154;22.00256;0.0;22.022303;116.8138;0.0;21.255112;24.18758;22.759981;23.327717;76.117775;100.146255;25.351824;23.549007;25.522566;21.647137;21.696491;23.292902;22.488438;28.284851;72.405075;34.536743;21.776539;22.633;0.0;61.06126;21.304806;113.73757;101.51221;181.12738;21.26427;21.912374;24.255976;21.35516;21.362146;22.104185;0.0;22.17749;0.0;148.3234;23.463552;21.956503;21.384613;22.822039;78.89658;30.221182;23.856802;24.554243;22.86055;21.489075;29.84089;21.993954;22.153097;23.668114
16.486992;18.441244;18.056768;18.85253;94.064575;35.60152;20.375202;18.97775;17.575108;18.975105;57.527386;77.17418;18.080288;18.193676;19.721085;18.27098;20.258493;0.0;18.802738;22.863312;60.73924;0.0;18.01452;19.634773;50.410286;45.819454;18.125275;95.25847;88.82472;150.07608;19.08652;18.85339;19.132215;19.38292;18.66296;18.799242;115.13021;18.567497;19.067661;132.18164;17.123627;18.667871;16.68503;18.801126;73.43481;25.64779;17.879515;18.039705;0.0;17.35117;26.615986;17.756594;19.760204;18.670395
18.806662;18.426384;0.0;18.969471;97.66273;0.0;16.21443;19.62096;0.0;18.988752;62.817284;78.464264;18.816135;21.437073;19.382465;18.38799;18.86044;18.571297;20.232275;20.237782;59.035393;28.66665;19.656446;19.065863;46.385887;0.0;17.340588;84.77204;92.99093;149.96057;18.9072;19.786066;18.189787;19.882874;20.213514;16.766;98.13281;18.704365;20.896189;138.96565;19.887665;19.507723;18.809452;18.595413;66.026024;26.914066;18.98473;18.976618;18.566837;18.114817;26.158306;0.0;20.116402;17.675941
22.09469;22.231176;19.93153;20.639755;106.96769;42.17841;20.484919;21.397701;0.0;21.45702;62.686176;0.0;20.476164;21.343458;20.631102;21.220554;19.364264;20.450546;20.286901;24.18162;63.575005;31.299805;21.135307;21.111492;51.029488;54.47168;21.64239;105.86204;106.083145;167.19121;19.850828;19.803513;21.625443;18.572748;20.572222;0.0;0.0;20.789427;21.080824;135.25497;20.283463;23.312214;21.884861;0.0;71.10942;32.436207;22.94333;0.0;18.60073;21.086653;28.378109;21.4307;0.0;19.840733
17.375895;16.15823;16.019194;19.72995;92.14425;32.841667;17.77679;18.3344;19.179066;19.180462;58.870922;76.9833;16.301624;20.332418;18.05222;16.54393;16.61741;0.0;16.859043;0.0;53.772877;26.086575;18.932434;17.861507;46.163128;45.602295;16.539934;80.63427;85.095924;157.46771;17.843893;17.804705;18.807974;17.266201;19.15736;18.356663;107.32367;18.430616;19.746866;120.215004;18.519003;18.716421;17.321012;17.552517;66.54379;25.893597;17.327612;17.451542;17.31997;16.534456;22.910778;18.12143;17.267445;18.342892
15.935759;15.789869;15.452039;15.197226;84.53712;29.899807;16.30494;15.049561;15.189715;16.173838;48.883247;66.37373;15.814974;15.997721;16.83939;0.0;15.6318035;17.819082;16.414051;19.237633;47.295536;23.135899;16.266813;15.21098;38.88582;0.0;15.324724;76.95141;76.277084;125.88082;14.990933;0.0;16.251991;16.094372;15.618437;15.70561;87.231544;15.763616;16.710598;110.54338;16.483398;14.494806;15.403048;15.027194;55.295227;21.270971;15.903944;14.225545;14.098703;15.738245;23.084843;15.782984;15.455907;15.082312
13.087265;14.662674;13.919561;13.473041;81.543205;26.571796;13.303004;14.154432;12.30298;14.110097;43.03762;52.43637;14.254976;14.442378;13.33254;13.170912;13.226007;13.580777;12.78115;18.14033;43.024097;19.910524;0.0;14.192642;35.243004;36.563118;14.503324;67.37517;67.731346;110.41959;14.48141;14.102405;13.350739;13.953592;13.608732;12.923655;82.4917;13.79818;13.161287;102.78627;15.843715;14.082008;13.998372;14.1144;48.921986;19.180918;14.897047;13.306902;14.671982;0.0;17.183535;13.912949;13.534635;14.48144
