1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
142.554;146.28;145.314;359.145;363.285;144.9;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;-1.0;143.658;145.91946;145.452;143.796;143.658;-1.0;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.036;-1.0;-1.0;146.28;145.038;170.177;146.28;143.796;144.348;145.13666;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
-1.0;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;144.9;142.278;142.278;-1.0;144.486;144.624;-1.0;350.52;146.28;146.28;143.382;143.52;143.244;141.32376;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.12572;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.5173;-1.0;143.658;143.382;143.658;145.92297;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.29898;139.656;144.486;146.28;145.038;170.177;146.28;-1.0;144.348;145.15442;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
141.79169;146.28;-1.0;359.145;363.285;-1.0;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.89198;145.452;143.796;143.658;143.244;144.9;142.278;142.1451;142.1715;-1.0;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.23349;139.656;144.42032;-1.0;145.038;-1.0;146.28;143.796;144.348;145.03906;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;143.658;143.244;144.9;-1.0;142.27321;142.13768;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.32503;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.10948;145.452;146.004;145.038;143.934;143.52;-1.0;143.658;144.762;142.692;145.59;140.07
141.82294;146.28;-1.0;359.145;363.285;-1.0;144.67963;144.9;-1.0;144.348;146.28;354.315;143.658;143.382;143.658;145.86662;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;-1.0;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.27335;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.10759;145.452;146.004;145.038;143.934;143.5391;142.692;143.658;144.762;-1.0;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;-1.0;144.348;146.60085;-1.0;143.658;143.382;143.658;145.9148;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.03876;139.656;-1.0;-1.0;145.038;170.177;146.28;143.796;144.348;144.99593;-1.0;146.004;145.038;143.934;-1.0;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;143.658;-1.0;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.30128;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.12721;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;-1.0;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;-1.0;144.072;350.52;146.28;146.28;143.382;-1.0;143.244;141.33492;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.19283;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.91177;145.452;143.796;143.658;143.244;144.9;142.278;-1.0;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.4604;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.19345;145.452;146.004;145.038;143.934;143.52;142.692;-1.0;144.762;142.692;145.59;140.07
