1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
28.16683;9.467406;22.115372;19.547989;27.196445;8.626058;14.310404;30.411331;23.425667;15.972798;7.035655;44.538437;13.454704;5.146615;31.713034;23.73514;8.821139;7.3405175;4.757393;3.5209098;6.4082427;36.729992;7.5187554;10.516102;20.244055;28.895132;12.299906;31.414368;17.225464;15.415138;14.893122;35.259373;18.949762;50.846893;8.495199;7.1252146;28.960827;16.169544;17.485542;10.462286;46.957405;8.480841;8.541469;9.743012;10.717425;55.70537;31.008282;41.251488;5.938133;5.961003;140.51633;44.091347;42.374725;19.317705;13.497564;37.82986;6.195936;2.7717519;35.866158;22.060205;36.194878;33.58863;36.26528;19.260447;70.73349;25.680408;8.94131;5.454192;10.713961;9.954637;23.26487;88.177864;4.585536;27.52218;6.881981;14.963407;21.355124;21.921474;7.5640693;17.04636;23.658876;18.496742;10.658688;2.2878847;12.383383;17.988304;16.42685;21.278694;25.070765;0.93558943;4.393241;20.123446;36.037254;3.1767797;4.044518;12.345568;87.96414;9.654261;19.377048
21.486324;9.5331745;19.877579;17.282402;21.122404;8.512049;13.531589;34.28437;24.77726;14.699803;6.5651846;42.419895;10.862105;4.7144556;29.095606;21.923466;7.7382445;6.297362;4.1668954;3.2996082;5.6982784;34.495003;7.728692;11.690605;19.647902;27.086475;9.983283;25.568684;14.184593;14.755007;11.687443;29.739172;17.788568;44.31392;8.474157;7.7395196;26.54335;14.362666;14.94488;8.368361;42.952633;8.774656;7.4752502;9.707834;11.110325;46.09361;27.17394;33.066727;5.8569727;5.5116105;129.57663;40.27399;37.048042;16.402203;13.271772;30.422068;5.87079;2.5848193;30.403925;20.312027;29.474665;26.981274;33.014988;18.897287;57.698647;25.905725;9.869951;5.1985865;11.4713335;10.166307;21.838764;72.113434;4.798014;33.54193;5.286044;14.192474;20.110262;16.381212;7.1609726;15.62031;21.261318;16.022503;8.561353;2.322916;11.114455;16.708746;14.838109;18.460722;21.758617;1.018752;3.9918392;18.258625;32.649635;2.8500204;3.8882828;9.504042;81.4796;9.110065;13.586848
21.84151;9.301793;16.563839;17.078472;24.497032;8.861482;10.602743;26.404587;21.555511;14.128247;5.2177114;37.354553;12.202173;4.7755375;22.685476;21.133772;6.9710913;6.119642;4.547509;3.3925052;5.5491805;31.267483;7.0617957;10.760878;16.290653;23.53841;10.110677;24.034468;14.248522;14.488701;12.075525;27.601505;15.924448;37.77623;7.5403376;7.2693586;23.749329;12.099198;13.073092;8.538077;32.367985;7.2184486;6.6858993;8.655204;9.241315;44.58136;25.733898;35.295837;5.603283;4.3949747;125.93909;29.341827;31.06847;15.83914;11.878383;27.738317;4.71914;2.400811;32.018036;20.661366;27.234507;28.1618;30.51007;17.01837;56.515892;23.5367;7.882257;4.464177;10.1571045;8.704542;19.830702;68.152145;4.4204435;30.268911;5.2136145;12.34942;19.686853;16.979065;6.3591638;13.415965;16.502449;16.263021;9.56046;2.0379434;9.246064;17.064419;13.76079;18.24501;19.222239;0.8807891;3.2254472;15.405154;29.062542;2.6318076;2.9848163;9.468264;80.22913;9.408277;13.72378
20.435062;7.198188;14.488623;14.017075;20.18319;7.3581343;11.119059;29.226507;18.257584;13.718796;6.4281273;35.479073;10.063498;4.267336;23.918869;19.673504;6.3508196;5.276942;3.9778557;2.6660237;5.300103;28.161465;7.021119;8.869177;17.67097;24.19436;9.112507;20.54236;13.327016;13.527568;10.633839;26.461895;16.11761;34.89646;7.036409;6.2864637;22.045223;8.741892;12.929323;8.157629;33.756874;6.218868;6.8654585;7.3717804;9.283254;47.92675;27.320637;33.236294;4.4957514;5.0416207;101.68565;30.92094;30.88852;15.714331;12.17606;28.284534;5.3180847;2.138299;26.33263;18.503544;28.045206;20.292936;28.582012;15.946811;55.03938;21.560875;7.452395;4.3912272;9.9592;7.8872094;20.91622;62.399494;3.9579647;26.426504;4.688904;11.893444;17.456377;15.543726;5.6662207;12.295459;14.8764925;15.711879;9.549677;2.1423519;10.320177;16.012094;11.861727;17.105198;20.315126;0.7955729;3.2545536;14.563031;29.473566;2.043674;2.9592023;9.434938;71.10582;8.372843;12.39946
17.983166;8.950414;14.570821;16.294357;21.07265;7.4655533;12.25319;28.504612;15.786604;13.716187;6.0794783;30.067348;9.645708;4.5318885;23.215927;17.673056;7.4562807;5.7522078;3.7436786;2.730576;5.221426;25.32267;6.0026193;9.448438;16.256939;22.585667;10.058481;22.514675;11.977807;12.779461;8.873607;24.902937;15.629886;36.291454;7.0362177;6.2221737;20.298908;9.930082;12.779582;7.876054;37.64692;7.0748453;5.9428205;7.117298;8.116606;41.235497;22.484528;29.185898;4.583989;4.573078;110.505615;31.834082;28.739996;15.919426;10.383295;25.31898;4.753894;2.3105206;23.509876;17.91196;28.748352;24.51411;28.966867;14.701025;46.59523;20.889818;7.7585015;4.2825093;10.020555;7.383465;18.334835;67.31559;3.7017696;22.3145;4.0913267;11.308859;16.516449;14.508005;6.993411;13.505386;16.114399;13.489032;9.194112;1.8397696;7.554287;17.333569;11.560343;18.363287;22.171848;0.7558962;2.9671948;13.625943;28.893204;2.273466;2.7664464;9.422995;79.19729;7.8857446;12.0088215
23.738377;9.245226;14.368564;16.72343;20.018024;8.694479;11.196745;31.162354;20.820265;13.001918;5.855515;40.32466;11.381032;4.5674486;24.335331;18.449915;8.10373;5.099988;4.327498;2.8054345;5.330098;31.129084;6.352178;10.550918;17.026115;23.856647;9.640322;25.450972;15.256978;15.65486;11.762302;25.378788;15.920496;35.61347;7.7392187;6.3311234;23.390244;11.614867;12.2151165;8.155138;34.65565;6.9453115;7.894515;7.725625;9.691657;54.439766;27.886196;33.35807;5.4003406;4.9200673;112.16588;28.66244;30.169968;17.20739;12.142814;27.755829;4.855824;2.416977;29.96174;18.995455;30.017126;28.132471;32.131775;15.414696;54.349907;22.084293;8.407488;4.925959;11.208783;9.463554;23.080748;66.20657;3.9591866;25.091755;5.4069133;11.936884;16.727194;15.316414;6.9014635;13.737509;18.143059;15.291811;8.997181;2.1986454;9.0458555;14.851351;13.31119;17.052881;22.623096;0.84460926;3.196991;17.92479;27.28512;2.5642877;3.841402;8.400896;80.821396;8.72094;12.0921335
22.158985;9.605475;17.225622;17.492912;26.32056;9.577138;13.982953;30.978474;20.631962;16.53169;6.4058275;43.200287;11.716853;4.663581;28.99287;21.971725;8.277803;7.106579;4.3153043;3.4253585;6.5773215;32.231026;8.818125;13.469244;20.072567;29.366852;11.015039;30.777817;15.438402;12.88986;12.784908;34.654377;16.68459;48.145775;8.410779;7.944345;24.22734;14.133557;16.110344;9.844145;38.62575;9.281697;8.357809;8.362696;11.493134;56.507843;28.315166;39.540977;5.6228414;6.21345;132.53238;36.501045;37.30756;16.390343;14.285657;30.71029;5.382077;2.8742235;34.048866;21.442085;33.916233;29.304123;31.52499;17.618137;71.56824;28.829184;11.2121525;5.599029;10.173431;10.614575;21.020336;81.24709;4.6408005;27.935724;5.5020905;14.589096;20.534481;17.139013;8.049938;14.553905;19.982454;17.579842;11.460816;2.3162022;8.966111;19.803234;15.280085;23.215553;21.375776;0.96133125;3.857902;17.71206;31.877695;2.8856587;4.028332;10.24888;84.6429;9.530929;16.305965
28.887074;11.48241;23.597462;19.302902;30.650522;10.373086;14.737208;37.991295;30.293335;17.796719;7.852324;46.305794;13.882292;5.7399006;30.85229;23.789133;10.164624;8.033464;5.405751;3.9780617;7.1931868;39.659046;8.572294;12.843653;23.425549;35.85;12.242676;31.019955;15.228861;15.741095;13.506047;34.43896;19.780674;48.987446;10.085858;8.641569;26.708014;14.670189;19.164587;10.820223;45.279186;9.592849;9.042598;9.219025;14.04561;59.40918;35.264866;51.268017;6.498605;6.801477;148.59732;39.76335;41.69292;20.703873;15.745662;39.769146;6.2841682;3.166247;33.958164;25.521757;32.6717;37.965157;38.603146;22.75138;71.870346;31.130234;11.410276;5.620795;12.966406;9.26763;24.416183;89.971466;4.876092;31.826355;7.2760415;13.843648;25.577456;21.799978;8.204055;17.7313;24.462366;19.176157;11.420029;2.8883138;12.25165;22.261621;17.585255;21.3314;24.99381;0.9921602;4.1024003;22.468025;28.763012;3.0831375;4.505986;11.187605;92.72708;11.508636;17.460642
29.65976;11.942494;21.889341;26.422169;29.873325;11.820848;17.147808;40.91584;26.223907;18.264618;7.620021;52.40624;13.48188;6.9951057;32.8518;25.711838;9.812887;8.198099;5.693936;4.0430064;7.6660256;38.86661;11.457154;14.064486;24.937027;34.684635;14.913948;32.029526;22.380089;17.502554;16.610233;42.188957;20.520872;59.528526;9.977964;9.469233;28.72317;16.002981;22.788752;11.31373;57.614544;11.112638;10.082233;10.732119;13.870877;63.74456;36.608868;52.667797;7.531331;6.9207826;159.81485;44.10459;49.895206;22.6977;14.350807;38.17347;7.357188;3.6630898;42.195873;28.916653;40.75744;33.883053;45.71168;24.149426;77.04913;30.505749;11.805541;5.704049;13.541895;14.437907;31.975061;103.07599;5.6981688;37.22012;7.8293877;18.834555;19.241299;19.849428;8.701236;19.35775;24.735891;22.860718;15.953142;3.1014557;12.995122;22.830854;18.670612;26.128475;28.292282;1.2093976;5.1127462;22.617222;40.104332;3.3979824;4.4824524;14.1815815;101.362045;12.2710285;18.002192
30.23436;12.134767;24.191975;25.97988;29.15681;11.444796;17.774612;45.725883;28.711864;19.440916;8.773985;48.074196;14.058965;6.0368567;35.409515;26.196518;10.97146;8.9971695;6.90235;4.0712714;8.340647;46.019077;9.888178;14.692755;22.965977;35.23268;14.943128;35.073902;21.158974;18.562876;16.873137;41.54728;21.23057;56.791176;11.636578;10.821265;29.780787;16.49438;22.682232;12.357966;55.76533;10.361386;10.316547;10.536734;15.597913;58.636414;34.231266;57.17861;6.628297;8.007058;169.09369;47.875656;48.952152;25.359068;14.857729;37.91814;7.8011374;3.5536866;46.14831;31.215073;44.683754;40.472054;37.64915;26.103634;80.959816;36.383537;13.806482;5.7219133;14.015315;11.730044;29.71014;101.31827;6.351152;39.225597;6.9359236;19.187325;26.641134;24.66601;10.477471;20.211514;25.984924;23.643497;13.559553;2.9623473;17.091301;24.481394;18.109787;26.749426;31.467752;1.1438017;4.842717;24.522121;40.88935;4.034524;5.383128;12.018133;107.65814;13.198148;20.227793
