1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
32.140896;0.0;31.564463;30.175339;153.80862;56.12197;0.0;30.971273;30.849829;28.57813;105.02913;123.60748;30.542536;34.517227;32.618988;31.78593;33.62426;29.10712;31.381247;34.60912;92.11297;47.7947;30.222988;0.0;0.0;74.407005;26.444342;162.81357;138.54;247.83626;34.358315;0.0;31.638205;30.310383;30.733927;33.133564;174.42337;31.570576;32.755463;217.71477;32.01705;30.08165;30.861292;30.649029;113.22273;43.58447;30.211445;30.337856;29.801971;29.148102;40.82724;0.0;0.0;29.370945
33.960014;30.0003;29.257898;0.0;0.0;56.599792;30.106665;30.1683;31.87294;31.991116;101.798965;119.54022;32.203896;37.03166;30.070068;31.301624;27.645786;31.094357;30.810421;33.113678;92.42772;46.397003;31.535587;32.448063;82.3078;81.61214;31.498575;150.29062;144.94345;266.0951;29.050104;30.4893;32.14049;29.407465;31.802639;34.660103;176.91414;32.154564;30.521496;218.25125;30.092798;34.51098;34.84039;30.50597;107.74132;42.50561;31.507904;31.899063;0.0;32.612206;41.60405;31.148062;28.783087;28.05717
34.972565;32.994236;29.964453;0.0;182.19577;54.02417;35.12532;31.73944;33.25983;33.859566;112.314026;138.84749;32.113358;33.464478;34.017376;32.287937;33.41884;33.92253;31.4809;37.208836;108.878525;51.138813;32.187183;0.0;92.32333;87.1512;35.65782;176.91269;0.0;263.33417;35.41735;32.006516;35.013794;32.652195;30.99667;33.973236;192.2435;33.74129;33.364616;225.13351;33.39988;34.48919;36.06442;32.64642;0.0;44.251606;32.773113;35.387215;33.70447;34.033947;44.483902;35.362175;33.82006;32.43854
31.9012;32.71681;28.494293;30.546398;155.98831;59.4424;30.70668;32.014103;29.9646;29.442835;97.76018;124.2166;30.17756;32.25683;30.677912;31.85285;29.220327;30.128122;0.0;38.50285;94.86213;45.86539;32.320713;32.05805;75.64447;77.09758;31.194769;147.53194;156.49237;246.27876;29.161251;30.506878;34.79115;31.67431;29.174551;31.079662;181.47816;29.802328;34.169758;233.68079;32.033318;32.35711;33.1456;0.0;108.74685;44.30058;30.001263;0.0;30.702765;30.936136;39.451954;29.893728;30.246653;30.747574
32.348923;31.801773;0.0;31.22659;184.33168;55.24826;33.440372;31.544186;31.482418;34.901012;109.524376;129.72119;33.00128;0.0;32.57122;32.637047;34.644043;30.984875;31.721964;37.10561;100.50213;46.876675;29.92554;31.385365;0.0;89.684074;29.050434;174.21341;148.49796;289.89752;32.17554;31.740316;32.24596;32.55128;0.0;33.222527;174.32838;34.41429;32.167767;218.74675;34.858814;0.0;31.630371;32.125793;110.734024;42.90896;33.45423;36.527473;30.443207;33.401657;42.588585;30.424215;34.1195;32.058403
30.30354;29.779871;30.604528;31.813105;173.21786;54.819508;31.036352;30.041733;32.609093;30.235271;97.678246;136.9661;32.712517;32.852684;31.089855;31.12769;32.065376;28.061169;31.672596;37.957382;100.41734;47.202423;32.332527;29.112751;0.0;81.1245;32.4397;145.65335;151.2027;252.99216;28.484089;29.677027;31.689764;32.59406;32.17443;30.940039;170.71436;31.46021;30.563232;200.44241;27.985006;0.0;28.971584;31.842083;107.2604;45.553658;31.776352;31.65623;0.0;0.0;41.451668;31.390976;33.929703;28.440182
32.418785;32.195747;27.99855;30.095352;182.14487;53.399372;32.625557;33.743347;0.0;33.21273;104.61448;127.649414;0.0;35.368034;30.196371;32.232513;34.4677;31.992712;0.0;38.79266;90.893166;48.336876;32.029613;33.577816;77.01516;80.706276;32.781666;157.23433;138.98416;261.77545;31.330196;33.114418;29.402506;30.797928;32.5062;29.589863;163.2435;30.121273;34.1782;205.85812;0.0;29.009167;0.0;30.936829;0.0;45.21187;0.0;0.0;30.825714;33.302803;42.2574;0.0;33.35334;31.966656
31.74653;32.589462;29.683975;30.58883;167.01697;51.423187;32.501;0.0;29.548847;27.435436;0.0;121.688614;30.58198;31.675491;29.102718;0.0;29.758692;29.889858;30.842854;33.42324;93.11355;48.12609;31.80455;31.613184;74.329384;80.14589;31.75616;146.6789;131.9495;236.78772;27.956518;30.215841;30.117199;28.4016;31.844555;28.456741;176.03088;29.661526;32.60647;0.0;28.95159;28.212566;29.227325;31.864132;106.66344;41.2026;30.781769;31.359655;29.10004;30.464197;40.674767;30.278936;31.954626;29.78423
33.2686;0.0;32.790115;37.005234;181.05826;60.94329;0.0;31.915005;30.458292;32.36451;0.0;138.63074;0.0;34.578583;33.19277;0.0;35.807365;31.170483;32.98134;39.76593;102.466774;47.47434;31.498352;32.635685;74.343956;81.154465;34.06573;188.11943;0.0;0.0;30.049442;32.68885;34.818356;33.011345;32.798344;0.0;189.88327;32.720314;29.410946;237.53938;34.45765;31.751577;30.276953;32.97408;123.926186;0.0;32.88386;28.866451;0.0;32.987495;45.866642;33.72062;34.428505;32.56011
34.172894;32.49495;33.748665;33.209976;0.0;0.0;35.35478;31.777292;33.128098;36.950676;115.66344;140.47922;41.422615;39.72966;36.648502;35.672752;34.7884;33.896446;32.029976;40.368553;105.4989;51.81431;37.31296;34.536873;0.0;91.64549;0.0;182.2607;160.45064;0.0;0.0;32.92417;32.126472;35.40815;33.563835;35.1847;203.2484;34.916172;36.09396;254.9812;35.482815;34.910114;35.550167;37.541477;0.0;47.13288;35.271416;0.0;31.787033;34.74444;50.977352;35.631355;33.566498;38.61569
30.599756;32.22833;30.166744;32.742283;164.48021;54.194622;31.133404;0.0;30.860285;30.509684;107.92769;115.938866;30.659397;33.412743;30.865763;31.849178;33.863438;31.995504;30.381603;35.792244;95.57094;48.01241;29.073242;31.347431;80.330765;81.2765;32.292065;147.17627;154.9144;259.67023;30.332607;31.743982;29.93571;29.21188;33.65905;29.7598;0.0;31.30243;34.990997;225.13992;31.579214;31.45637;32.04531;28.662235;105.97428;0.0;32.66738;29.519909;30.469522;29.312485;41.055676;32.879433;30.478542;32.357048
34.73426;32.740116;35.695995;34.91812;200.9417;0.0;34.55441;30.430302;0.0;34.47632;100.61919;130.09055;34.635513;0.0;31.926172;33.764374;33.193794;34.863136;32.07196;44.704556;101.49162;54.950848;35.779533;33.65664;90.931435;82.559906;33.653683;163.15205;156.1569;0.0;35.9345;33.17334;34.519005;33.148357;35.585365;34.83786;169.6872;33.145638;0.0;248.94687;0.0;32.000786;37.327522;34.511265;115.46254;49.258423;38.199364;34.497997;33.250076;33.127495;46.74842;33.18977;34.716316;34.607414
30.770473;33.58828;32.542946;30.038177;161.4703;56.159435;31.619564;32.788876;31.154776;33.423332;105.24778;133.58377;32.132626;0.0;33.995396;0.0;29.297329;0.0;32.048737;32.537006;99.13711;47.23992;0.0;35.933563;79.66637;0.0;33.228966;173.59927;0.0;246.6644;31.929958;32.43274;0.0;0.0;34.601315;33.546608;189.09732;0.0;34.583107;216.9421;29.58115;31.185125;0.0;32.4478;115.363014;43.66681;36.143806;32.06361;34.56118;31.463062;43.835182;31.295593;32.641335;33.27494
27.366516;30.726828;28.689127;28.913326;153.05917;57.86265;29.2583;30.145742;0.0;29.912647;0.0;122.43373;30.457891;31.396784;29.543036;26.723455;27.413944;26.461782;27.221827;32.44038;91.884346;38.080685;29.67867;28.511219;74.484085;68.79212;30.96439;0.0;135.04207;227.82231;30.299328;27.56863;30.04797;27.143927;26.01713;27.304987;144.40315;31.654486;25.384932;200.67448;28.51763;0.0;29.435938;30.069805;101.358345;40.964104;29.261353;28.447754;0.0;0.0;40.389374;28.641775;30.944183;29.464447
28.74884;27.963974;28.10112;29.957294;175.71939;54.91346;29.529705;31.111195;29.410107;29.87214;97.535866;119.67716;29.52941;33.59178;29.24873;29.170666;29.401907;28.94952;30.728617;35.000957;88.62422;46.234047;0.0;30.993412;68.787254;73.40019;31.430202;151.63138;0.0;258.7898;30.283962;33.215096;29.037067;0.0;31.713587;30.592098;179.86693;29.507477;30.815634;0.0;33.42971;28.962366;32.20089;29.160913;109.696304;43.187733;30.452093;27.156076;28.33967;27.47261;41.144726;30.025944;28.20393;28.785671
30.798004;25.934225;28.035522;27.70145;164.4202;54.299355;26.05657;29.49494;27.490955;29.482183;87.05246;118.57715;28.798885;27.574474;28.5723;28.03774;28.314102;26.172415;0.0;34.03385;86.606415;41.6217;28.45383;0.0;0.0;71.55;30.179417;147.43187;138.92915;199.48392;27.471928;29.32959;26.865173;29.330048;27.819912;29.073996;161.9977;29.716843;30.249783;194.57231;28.661503;27.23429;26.757816;26.712353;95.41363;0.0;26.61233;28.007685;27.2238;0.0;39.96531;28.27409;30.035122;28.115112
31.043253;0.0;29.990936;26.689178;145.78061;53.95048;0.0;29.098408;0.0;30.26406;104.844406;118.33616;28.243994;32.093517;28.314983;29.718424;27.670101;0.0;30.965311;34.869484;90.32066;43.974876;30.814804;30.243809;81.662;79.75931;29.46391;127.2443;139.39471;222.80872;31.840591;28.294605;31.100552;28.118275;29.804974;31.105524;173.09758;31.217968;29.68246;203.20038;31.668423;31.220043;31.20675;29.562878;98.75871;38.51424;0.0;29.067266;32.461205;27.371252;41.17147;29.395035;29.202414;31.666065
28.158747;25.65012;27.651333;26.639654;161.04745;0.0;28.52005;25.63419;26.509872;26.604527;84.80822;0.0;26.969059;25.392231;25.1251;27.106098;27.599655;28.257126;28.080267;31.522556;77.206314;40.959057;27.053192;26.70498;68.38817;71.17612;28.958263;129.68466;140.67465;206.86014;26.811258;30.182926;0.0;26.846302;26.673725;28.292816;159.7062;28.961435;27.312183;192.54639;0.0;28.078934;25.79951;26.523336;90.35463;40.85459;27.317362;27.178411;0.0;26.875683;39.133106;23.344511;27.863943;29.100382
24.985641;23.877594;23.950268;21.745222;125.584206;42.864597;24.367735;25.865551;25.436073;23.957247;73.86367;89.92131;24.285965;27.7056;23.443182;24.610893;0.0;23.823528;25.973093;32.412647;0.0;39.625492;25.575933;23.379025;66.08485;64.46532;22.529478;122.4067;114.872925;203.98686;25.181614;25.538624;22.72378;24.369175;26.476566;24.791302;136.35414;26.334356;25.028498;165.95518;24.107319;24.146687;25.561092;24.954592;84.098236;34.65842;0.0;24.176249;22.96958;24.877491;34.83521;26.575222;0.0;25.200354
21.724627;21.699162;0.0;22.460558;130.8219;41.022434;0.0;21.84577;21.702969;0.0;71.5328;99.10568;0.0;23.811695;21.9598;22.940975;23.163223;20.545263;22.779232;27.100592;70.36009;32.224712;21.018217;21.668959;53.81078;56.386543;21.627869;108.05974;117.628456;166.26262;21.149702;0.0;21.786764;23.671545;20.08665;22.6244;126.06648;20.204271;21.343592;159.6194;22.224201;22.227547;20.161106;23.442974;69.63539;31.441427;23.237783;21.063526;19.279934;20.60764;31.8647;24.365452;21.96971;22.453407
23.26126;0.0;20.860243;22.033695;124.3069;43.005863;20.798145;19.27114;21.86599;22.817242;68.698044;89.93815;20.287289;22.054728;21.682611;0.0;22.244022;20.757597;24.370758;28.777927;62.315895;30.462545;20.902002;0.0;58.189613;61.005394;23.791676;111.664444;98.17659;187.2528;22.069862;20.719017;22.061398;20.16315;21.864498;0.0;109.15012;19.210129;23.579336;154.18575;22.382576;20.259407;22.97052;0.0;71.919266;31.20048;21.032875;21.04708;20.399761;20.951525;29.048145;22.451717;21.21224;24.529835
28.062246;28.796417;28.420986;0.0;143.4543;0.0;28.94956;27.037617;27.380331;27.90355;88.295944;112.03821;28.376297;31.564463;28.758595;25.533047;26.889835;28.168879;29.230206;33.477726;0.0;43.867058;0.0;27.69463;70.45943;73.75078;28.650705;143.32664;141.07622;0.0;26.199514;28.680134;28.109598;26.391155;27.95519;27.58666;0.0;27.64062;32.63677;201.40755;28.433634;27.940609;29.004995;31.025452;91.92601;43.33819;27.633764;30.990564;29.347229;27.531515;36.7194;26.821283;29.173447;29.30164
31.659565;28.800934;30.506994;31.981583;169.58313;0.0;30.504498;0.0;28.292175;31.928625;94.62349;125.40572;31.008612;32.17533;29.675083;27.935562;28.549612;30.002039;33.115414;0.0;96.08815;41.020226;29.432251;0.0;80.57847;75.99283;30.880978;141.74973;155.80408;218.26437;29.700378;31.214832;0.0;32.7268;29.860565;31.14307;179.83241;0.0;0.0;227.49557;0.0;29.130518;27.46076;30.038778;0.0;42.14925;30.74946;0.0;30.069584;32.056065;40.803097;0.0;29.106644;0.0
32.26594;31.533117;31.271845;30.641016;168.39072;58.17047;30.318121;31.220058;30.184366;32.18234;93.24229;140.29813;32.605976;31.14159;0.0;32.281807;31.761425;31.670872;30.565369;35.481365;97.68102;0.0;29.41206;30.349346;78.95486;82.5888;32.655933;150.1125;152.84517;261.27167;0.0;0.0;33.04151;31.723507;29.806528;30.088614;178.34401;0.0;32.295376;220.57748;0.0;30.046215;30.432331;30.790546;120.89907;0.0;31.265125;30.53249;30.528534;31.245178;45.5631;29.816837;30.59661;32.11656
