1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
28.885172;12.089319;25.088446;22.059956;38.135918;12.789184;19.29319;44.924694;28.253323;19.983532;9.766501;65.31728;16.017523;6.8583155;39.014;28.547897;11.079227;9.93498;6.9400496;4.6513677;8.749388;42.011585;9.6510515;15.945595;29.545187;40.95809;15.503927;38.064243;22.365341;22.265038;18.216408;43.245163;23.838646;57.073437;12.308342;10.858263;35.342766;16.8657;24.869724;14.30985;54.651093;10.871355;9.525389;12.118301;14.20502;72.49764;39.658714;53.368347;8.183794;7.3788805;176.78262;57.243214;44.1914;24.438566;20.498264;44.88818;7.3630395;3.7880828;46.212566;33.236504;39.518673;41.144714;42.40701;26.380854;78.83049;38.351265;13.096672;7.757222;14.772985;15.5632305;33.40666;114.079956;7.2683725;40.397335;7.749143;20.399057;24.56361;26.177475;9.467815;22.592123;29.055334;24.464487;14.533501;3.1993015;13.625661;24.514858;19.945854;29.644527;36.484337;1.3440421;5.0118876;24.060787;48.369102;4.103831;5.838099;16.584518;122.20084;13.2839985;22.012474
31.595688;14.147606;28.252914;28.191727;32.001434;12.308878;19.531704;40.20978;31.348516;23.997612;9.793036;63.038563;16.067408;7.5602407;37.645252;30.076267;11.501141;9.825967;6.5985093;5.0098257;9.3535795;44.175907;10.558324;15.673178;30.649725;39.008755;14.673564;40.349846;24.538006;19.02126;18.567654;44.597046;26.686413;64.61855;11.872576;10.52659;35.47604;19.267227;24.64511;12.582891;59.259224;12.63321;11.282457;12.099351;17.734823;71.00426;45.030327;55.115467;8.196289;7.8372827;194.67567;46.834652;57.707153;25.599422;16.81792;43.71129;8.19996;4.2642517;51.74773;33.298912;42.873623;40.820335;52.039604;26.0896;87.07408;37.94745;13.813518;7.524306;16.561895;14.293999;35.997677;121.5213;7.500918;46.529644;8.4423485;18.614786;28.352482;25.004793;11.482546;22.07272;28.919239;22.754322;14.850794;3.506766;15.264582;24.38721;19.200733;25.824366;35.552452;1.4306656;4.729018;29.339657;45.39748;3.6882977;5.97856;17.008045;123.10701;14.31693;21.738796
35.973324;16.274117;32.346504;31.569656;38.103798;15.459615;19.674799;54.6379;37.0333;22.770134;8.586979;71.007996;19.976954;8.534974;41.239193;34.04852;13.348955;9.239192;7.069636;4.884533;9.475263;55.41645;12.097055;16.548748;34.320396;47.62214;15.940892;43.399517;27.56136;20.807367;21.447313;49.87487;22.917355;74.194046;12.717013;11.705364;40.960762;18.586542;23.8176;12.780733;63.450397;12.401339;12.808635;12.641783;17.863724;93.5909;47.887207;66.12514;8.850781;9.300706;187.19736;63.40525;52.505928;28.181576;20.181402;48.507835;8.4193735;4.1259966;46.091274;35.50991;43.58434;49.716537;61.556854;29.878986;87.00696;37.99547;14.1973295;7.8958488;18.67748;14.204199;37.566628;117.47472;7.433772;44.90339;9.0295515;21.409;29.692139;28.361673;11.483355;26.457218;35.302353;27.2772;16.798763;3.8122604;17.901335;28.490469;23.913738;31.551523;41.500935;1.4896494;6.0194836;28.116344;50.973362;4.334584;5.957082;15.593219;128.42494;13.856455;25.831675
44.27063;15.7192135;27.386715;31.205679;38.462257;14.854189;19.897133;53.0998;34.610783;25.665411;10.859747;66.33105;18.500887;7.927251;45.164368;35.91703;12.246501;9.521851;6.9732666;5.7307177;7.8921127;49.44856;12.895449;17.956001;32.548676;39.52789;17.292936;41.878933;22.47073;24.053732;20.15025;52.31256;30.927052;72.01329;13.2389345;11.105199;39.752712;20.3541;24.237759;15.424616;66.5088;13.804172;13.281363;15.657501;17.922903;81.2216;52.35197;67.15444;8.951841;8.2934475;192.29636;59.523705;55.720745;31.777002;23.481863;54.363567;8.399061;4.467626;52.01708;35.248802;53.56795;43.35218;56.404686;27.054077;102.019516;40.848755;15.503322;8.597627;17.888233;15.767241;36.476208;130.25311;7.571378;49.068066;8.216918;24.292934;33.948597;27.006046;11.533087;23.526093;31.509624;26.109552;15.1994095;3.401708;17.98838;30.192572;24.291325;35.023045;35.47695;1.40155;5.836394;27.875874;49.770226;5.542774;5.9236827;18.44666;141.15372;13.720152;24.379192
34.36039;14.186714;25.797644;28.391659;33.392754;12.953036;18.769499;48.746677;29.50035;21.6616;10.544135;55.354187;18.41847;7.1347427;44.64724;29.75121;11.9697485;8.829491;5.852742;4.77592;8.89132;51.744392;11.520466;15.639975;28.351303;41.383827;15.508174;38.57293;25.00269;21.231129;20.32825;43.80654;24.199402;78.07076;12.4816065;11.111879;37.5951;18.430084;22.721067;13.064133;57.535767;12.383692;10.85293;11.300719;14.176779;75.80471;39.29831;55.8527;8.577141;8.2126045;177.3392;50.563595;57.997322;21.780994;19.48475;42.572212;8.540248;3.9150627;48.67107;35.037506;49.885456;39.579987;45.38766;24.056843;90.93208;38.060234;14.096202;7.2143455;17.79442;14.1473055;33.18165;115.004776;7.1300035;47.965557;8.53875;19.440191;28.587158;24.361446;11.752995;23.656292;26.697632;26.836727;15.341604;3.299471;15.29188;23.586557;17.872805;27.247349;32.778828;1.3438025;5.6393967;24.350702;41.362198;4.026394;5.9714117;16.821398;117.499596;14.146205;22.95129
35.292145;12.910121;25.42843;30.660044;29.905155;11.995063;15.8076935;44.050144;30.211462;23.258255;8.830646;73.15961;15.572744;7.3828173;36.888573;28.147818;12.277727;9.171631;5.889363;4.4360113;7.822264;47.45157;10.5797205;13.723549;27.158878;38.064617;16.508465;36.60929;23.128036;23.36523;16.816978;43.755287;22.505754;67.84371;11.547765;9.812821;31.140308;16.481588;22.572042;12.781527;53.143444;11.276946;11.29371;13.557376;13.29859;69.80541;43.54431;46.850235;7.988627;7.304312;212.29509;62.97939;50.40265;27.492935;15.754468;42.043392;7.810511;3.6486588;43.06656;31.40452;48.514694;40.836803;53.1799;25.695242;76.895615;34.915855;13.853319;7.1408553;13.766057;13.289223;34.255363;110.69651;6.9251213;39.697273;7.7228575;18.365955;30.558697;22.897509;8.731;20.101923;30.224918;22.083385;14.200824;3.2822735;13.136635;23.992842;20.889011;26.03533;29.463596;1.1346489;5.491248;23.512718;46.39074;3.6683822;5.210725;15.0388565;126.81081;14.882986;21.28746
36.074253;14.220772;27.160053;25.45465;31.093655;11.780139;19.64534;45.14669;33.00762;22.967787;9.920665;56.85373;16.458199;6.947713;38.182518;30.15092;12.805361;8.451486;6.3842797;4.967201;8.918027;47.014366;11.899565;16.117132;33.42348;37.88259;14.65123;37.023018;24.540424;18.958775;19.433712;42.882202;28.54658;59.306007;13.255345;10.790306;35.846657;19.636845;23.347786;14.495259;50.51439;11.010756;12.532697;11.617159;13.975203;75.295525;41.92288;58.251793;8.306517;8.417902;205.25577;49.129322;47.537228;27.509537;16.4874;44.286312;7.4729004;4.2738266;46.70593;25.914867;40.105038;34.612904;45.40794;24.016695;81.704544;34.794735;13.379649;7.3755455;15.605154;13.904262;31.223795;103.18925;6.887291;41.691372;8.23084;20.839489;28.284458;24.674414;9.223388;22.71372;33.934734;24.757618;13.154097;3.1224303;15.71656;23.3625;19.891941;27.822186;30.68522;1.33457;5.0715947;27.446054;38.651;4.2592883;5.4774513;14.058848;123.90206;13.818079;24.801235
34.788593;15.847438;30.855412;27.081219;32.224968;11.866548;19.75638;45.873528;36.39531;23.354254;9.318215;57.176483;16.416782;6.8062143;40.611053;30.646423;12.066928;7.965586;6.2927833;4.693648;9.015519;45.84232;11.497635;14.865385;33.214806;38.99668;16.219038;36.81808;20.34567;20.038404;18.420294;41.376102;27.203533;63.207825;13.059858;10.655049;38.257072;19.362114;22.258554;13.207158;50.189995;10.158845;11.767052;10.558026;15.386655;75.89192;38.820873;56.954597;7.967785;8.921566;205.09451;52.55879;54.213593;25.382936;17.032911;49.169945;7.0718637;4.5279627;44.412254;33.95358;42.920208;37.441925;45.326454;26.807434;84.47301;34.325386;13.459402;7.243605;14.950879;15.208872;33.2083;114.4976;6.1521416;43.679844;7.6083517;20.182987;26.99361;27.505749;9.892395;23.044537;28.332874;24.49753;14.142759;3.5102336;15.448308;26.2598;21.542389;28.003199;30.2918;1.4319012;4.8387327;27.746984;44.160168;4.186517;5.70505;14.809588;111.39498;13.680693;24.004215
39.199654;13.102028;27.578232;28.939327;35.903145;13.446597;17.789354;48.481487;30.588947;23.26849;9.861101;64.988754;17.27251;7.1968393;39.094406;33.27371;13.610982;8.93268;6.9208403;5.039014;9.496019;56.365456;11.703994;16.75462;31.204718;41.27927;17.304764;39.221073;22.98298;22.343925;18.690601;42.580837;27.741806;68.1659;13.704237;12.230328;36.10601;19.612701;22.20249;15.418653;59.191406;10.160198;12.862307;11.9193735;16.635357;81.94131;44.113182;66.33742;8.746508;8.505817;200.06145;48.205;51.02668;29.449076;19.010754;49.54814;8.932203;4.3783402;45.012096;32.154564;46.397633;43.974358;44.735966;31.981033;94.17096;38.39107;13.638964;8.146689;15.221315;15.031113;29.016394;105.2146;6.498927;48.47091;7.444728;20.231436;30.569712;27.14267;10.728741;26.205135;31.32142;29.042576;14.824713;3.429242;15.220991;27.792353;25.867004;34.229218;32.911133;1.2614307;5.149832;30.053213;52.501545;4.275928;5.8517447;14.237459;126.27869;12.845586;21.763042
38.09809;12.99043;23.163685;27.331217;40.50939;12.229891;17.657726;46.411236;29.461603;23.302547;8.680792;65.18819;15.100592;6.9334435;36.927456;29.062515;11.104044;8.157977;5.8160257;4.763488;7.2550826;51.414246;12.586735;13.768557;24.482157;40.157234;14.176352;42.293293;19.009947;19.543941;17.276352;48.137184;25.651352;57.88227;9.388429;10.094096;30.07211;17.939232;20.274082;12.396027;55.462482;12.423888;10.990053;10.599413;15.284741;79.61126;41.283333;43.07915;8.74839;6.9210997;176.52565;44.60121;49.19522;24.262163;16.930866;43.744072;8.056973;3.8071015;48.406292;30.189337;41.107304;40.82971;49.73007;26.640512;87.62413;36.248215;14.337382;6.351053;17.645834;13.796576;32.896828;112.4492;6.455571;38.2443;7.2138977;20.734219;28.917027;23.709791;10.156419;20.236776;26.120813;24.886118;14.087721;3.3987904;14.666517;23.29629;21.341572;24.908287;30.91109;1.3424983;5.01493;25.983204;42.11364;3.4913678;5.077428;13.331037;109.54307;12.630381;23.051523
