1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
30.894648;30.089687;34.998936;0.0;185.32338;56.044212;30.105133;31.542398;32.33864;31.23786;99.306404;138.48375;0.0;32.380657;28.732672;35.25635;31.693884;29.532452;30.235846;36.028847;96.71938;47.516006;31.057886;32.56178;72.887115;0.0;31.088276;0.0;163.19502;248.82437;30.11296;32.277096;30.13364;34.431095;33.335648;30.046185;186.34206;31.741882;30.137278;199.82375;29.506556;32.401875;31.672552;32.07401;121.369896;43.44653;0.0;30.498718;32.076298;32.164932;40.527077;31.397171;33.14304;30.549286
0.0;33.7416;39.374336;38.55265;205.54868;72.95149;38.535698;39.78092;39.457306;37.890953;112.35486;149.7384;36.39597;0.0;35.53734;38.67582;33.64354;38.590607;37.00434;0.0;106.01288;54.56788;37.083313;35.631645;99.327065;91.50702;34.925446;179.95981;0.0;0.0;37.524055;39.485043;0.0;33.657654;35.262226;0.0;204.125;33.802414;34.654858;268.2144;34.040634;37.13755;36.15226;37.113365;119.75498;0.0;37.83259;37.27053;35.344845;38.06933;51.300976;36.125237;35.09742;38.096725
37.193417;38.69996;38.519867;35.996178;206.79697;74.80694;34.89399;36.481033;0.0;39.809937;112.91565;0.0;39.818565;39.262527;35.732876;0.0;37.753433;40.421898;36.23653;42.39248;113.03975;0.0;36.410637;35.233597;91.137825;99.92569;41.631996;0.0;176.53033;298.14188;37.267017;38.861015;36.740498;39.950703;37.53;41.18731;224.18356;39.555874;0.0;265.04263;34.755497;38.61715;36.97756;36.1157;133.7297;52.237206;0.0;37.40666;37.137848;36.88225;50.70356;33.137463;38.430084;36.16346
41.8877;41.6371;39.23319;0.0;215.1027;72.00751;39.782715;36.97947;38.569893;0.0;120.34535;0.0;39.454197;45.415657;37.870167;39.197414;34.441887;39.154152;37.6267;0.0;0.0;63.888447;0.0;37.77218;100.967926;98.21642;38.614574;176.99663;190.80956;304.1894;38.129986;42.49256;36.00965;0.0;0.0;37.476276;215.09602;39.317974;0.0;272.89703;36.55778;38.72345;39.78941;37.215878;140.24876;58.042725;0.0;43.115997;40.472313;37.108536;52.513023;37.575096;35.615826;40.68638
30.388409;28.83905;30.103329;30.695414;172.08627;59.83363;30.9139;31.303543;30.22521;30.008762;93.131485;117.05631;30.119333;35.05879;31.240076;29.325033;29.044409;28.006632;29.160461;35.551247;86.62982;0.0;32.40435;31.488754;79.87342;72.36635;32.35503;151.98598;152.14796;225.78677;0.0;34.803017;28.693333;29.257053;30.149685;31.853525;160.50441;30.288406;31.142328;218.54276;28.559452;29.69508;32.14339;30.653193;96.18438;40.7061;29.375937;29.801092;29.067297;30.292568;42.778694;30.05181;29.936367;32.012398
31.868448;0.0;31.323603;35.29552;0.0;56.53701;0.0;31.918133;29.741516;35.730858;109.40975;127.93764;31.529638;34.58735;34.23904;34.842003;32.640804;33.60237;31.137823;38.328285;95.46446;49.53089;0.0;31.180017;79.19191;86.53466;31.572943;157.23001;152.36653;286.31744;28.884617;32.61814;0.0;28.939365;33.472576;30.026083;193.43726;31.814236;33.328175;220.94182;32.964806;34.42105;33.145367;32.224163;106.44901;46.707386;36.576485;0.0;33.249508;32.68963;0.0;32.238544;30.600933;33.124535
33.04702;32.25888;29.948288;32.00852;179.50969;62.8838;31.091694;33.05871;32.974636;30.244144;109.35736;141.88725;30.708084;32.83725;33.460438;0.0;31.330643;0.0;29.88631;32.48283;93.69319;46.03474;32.218643;27.984045;74.453064;77.06472;32.213833;142.83052;153.95999;0.0;34.008842;30.879831;30.28003;30.346195;31.221416;30.394049;195.6047;29.261425;30.826303;237.74149;30.514288;30.347717;31.380346;29.494314;110.82485;42.35362;34.583553;30.580242;31.293772;32.65133;44.38653;32.6061;31.327814;31.796543
30.217789;32.275917;31.669952;30.671993;159.20003;50.752983;31.84885;0.0;32.95353;26.670376;99.12445;131.66861;30.02032;0.0;30.53248;29.903418;30.686588;31.139261;28.630173;36.23565;89.55202;47.499435;31.350727;31.505508;0.0;83.17775;29.714966;157.90173;149.8391;244.02927;31.903446;30.123856;30.884928;31.97886;28.252771;30.988293;170.79706;34.33567;32.831425;219.75989;32.612816;33.11088;31.448818;29.631235;105.26961;42.257706;29.646545;30.981892;27.36728;0.0;40.076393;31.150736;32.480335;32.192993
34.890392;34.989677;31.14537;32.020565;193.81073;60.76438;33.07276;32.84806;34.248497;34.815834;0.0;131.6162;32.831997;36.657642;35.848934;31.274683;32.832985;33.48705;35.05165;39.42383;99.79397;47.329983;32.580048;32.41399;84.12118;81.42304;33.599888;156.95859;156.61966;254.41971;34.444748;32.048058;34.995613;31.077993;34.984657;33.264057;177.66461;31.492981;37.03246;237.7858;34.82942;31.389343;36.147686;33.147278;0.0;43.386734;0.0;34.059574;34.925236;32.03243;44.22992;33.231438;35.33556;32.64552
0.0;30.191172;29.057251;28.936886;158.01443;54.7837;28.85932;27.228506;26.02067;30.628342;99.99395;123.83038;29.434372;33.484913;28.014776;27.726217;0.0;29.553717;32.591423;0.0;94.94835;45.15043;26.774576;28.937504;81.90311;73.52057;28.945572;136.15742;145.54346;234.03337;27.653402;29.689056;30.195007;28.170654;30.277012;32.102528;168.74675;28.326733;31.762333;195.99243;0.0;29.222889;0.0;30.53862;108.2552;42.05517;28.463474;29.577188;30.561474;29.046137;38.012596;28.289326;33.825554;32.698505
30.90354;27.798435;28.158234;30.68255;161.99614;54.931683;30.699783;26.36932;30.366062;30.72019;97.0281;119.326866;27.713709;32.929623;27.64011;30.365305;28.821692;27.003613;29.548344;34.397278;79.52901;45.045654;33.5411;29.438034;74.60369;74.54988;27.405798;143.07344;0.0;0.0;30.803946;32.470013;28.424377;30.549057;29.532467;31.028366;168.32045;31.054483;27.883154;196.5795;28.504862;30.514734;27.936472;30.979214;108.46779;36.229362;29.750586;31.24559;27.038721;28.872593;37.63815;0.0;32.746365;29.773361
22.90995;24.045046;26.011847;25.271763;134.89049;48.36486;25.640285;22.78683;24.43438;0.0;82.24966;109.50658;27.867527;29.361172;22.238047;0.0;25.151037;25.41865;22.880783;30.393335;76.60039;0.0;25.682953;26.532528;64.70708;60.382557;23.024313;127.16056;126.7974;206.47298;24.196888;0.0;24.992981;0.0;24.879765;22.541985;132.2034;26.232513;24.449797;177.49158;25.66328;25.308079;24.37886;25.009048;87.39077;35.637638;24.210705;25.282969;24.951433;24.273426;32.676483;25.589237;24.309216;23.262802
25.373196;26.606806;26.31611;27.712353;145.87256;48.22021;22.565609;0.0;26.655209;26.800455;84.6075;108.01146;25.075293;30.145254;26.31631;0.0;29.64242;28.829279;26.226389;31.562796;83.02805;40.807304;26.74209;26.819294;67.30522;66.89705;29.527317;132.33832;137.27115;218.19827;27.791708;28.387836;27.207434;27.287354;25.03978;26.091625;150.91823;0.0;27.20461;0.0;27.094244;0.0;25.270794;23.47476;95.32167;0.0;29.952824;24.32585;25.948757;26.143322;0.0;25.30653;26.853352;23.895386
25.211994;24.723577;26.938395;25.235905;149.65733;47.130165;24.787655;25.299011;26.774536;27.35943;77.71186;107.52602;24.435389;24.908268;24.328608;26.527328;25.470284;25.022947;25.369947;28.509836;81.291214;39.311153;26.67279;26.369785;65.21781;72.6895;25.396116;127.07759;133.38606;197.87103;25.480083;24.60815;25.970585;26.503332;27.000925;24.795332;145.6317;0.0;26.36591;169.15933;27.460941;24.53932;25.335184;0.0;88.271164;37.348385;27.720417;26.936594;26.463968;28.824951;33.506203;24.42363;0.0;30.53497
28.771887;32.80651;29.531677;29.506617;157.5838;60.70777;30.519718;29.772837;33.83464;31.081741;92.824814;120.956505;30.602884;33.005768;30.092554;30.434956;32.06618;29.580414;30.457952;34.64933;97.54661;44.81591;28.461826;0.0;77.956696;79.10688;33.87601;0.0;155.37161;249.24455;27.793533;30.56097;29.541382;30.569036;28.326944;31.339802;172.55457;31.887924;33.223194;208.4825;30.026379;29.431522;29.024927;30.107502;107.27692;43.306446;30.86283;32.93461;28.996923;30.505102;38.628242;28.369177;28.566975;29.062557
