1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
42.76764;18.306837;30.899387;29.219349;45.68171;15.818544;27.189087;64.62901;35.618034;28.019001;10.965555;74.491;20.914133;9.466227;47.09363;35.94729;14.6794;11.166754;8.827467;6.0549483;10.008871;56.271324;13.752039;20.026567;39.18596;46.713867;19.419514;48.20628;26.708624;28.291952;22.754452;54.07594;30.673386;77.5988;18.382824;13.569941;43.45009;23.265299;30.400406;15.0472975;68.571785;14.713382;14.387297;15.132868;19.803295;89.92416;48.376747;75.99022;10.8586855;9.821766;231.81706;68.64923;69.60387;29.285542;23.470387;57.92525;10.17682;5.0981216;58.085682;39.0278;60.214672;46.248924;58.881958;35.748688;102.383575;44.5765;18.105724;9.26065;21.038643;19.056925;38.90246;136.7872;8.648065;59.636116;9.702181;25.15239;31.988201;33.09616;13.211393;31.570637;34.730663;32.03822;19.477968;4.192042;20.39809;31.732443;30.39974;33.674454;42.932858;1.5873779;5.946018;30.602161;52.44523;5.3276243;7.067281;18.085897;147.6105;16.148304;26.855453
40.440468;14.813017;30.021336;30.621328;39.489803;14.786769;18.564602;48.930756;33.718307;27.1079;11.056034;63.45678;18.038912;9.259774;48.380615;35.794975;13.291364;11.997633;8.028623;5.420198;9.332828;50.903477;11.457664;16.753633;34.12074;49.984535;17.536598;48.315132;24.187641;24.327038;21.449068;50.01543;32.058765;68.872086;13.016939;13.1013365;42.57597;19.306763;23.99291;16.026524;70.74793;11.422892;12.268776;13.674189;18.082676;89.58752;47.73768;65.57647;9.79;9.332806;233.95425;58.634705;61.465294;32.974728;21.764166;53.383476;11.068583;4.639197;50.059128;35.44494;49.839092;49.59919;55.80953;27.298431;91.32654;40.327038;14.124301;7.6047487;17.8538;14.650526;33.317642;123.832985;7.350919;48.09774;8.144779;22.599516;33.438683;29.213272;10.91846;25.882376;32.316685;25.607779;15.920446;3.7288983;17.861935;29.6884;24.21595;31.411108;37.105793;1.3637867;6.1557555;29.747751;55.279644;5.2454967;5.9265056;16.255527;135.60948;17.586233;22.206947
37.602016;14.503111;26.215755;25.40427;37.679237;12.61982;18.060934;42.73402;32.773018;22.674698;9.378555;61.305534;15.963945;8.219201;41.43758;29.915384;13.437612;10.158383;6.6999803;4.754704;8.811027;51.701607;12.262415;17.15067;29.754272;37.630367;16.241352;40.93252;22.45556;20.156359;20.307104;51.939014;24.58125;68.8079;11.065978;10.002166;35.463997;21.534668;21.849178;14.416525;54.905132;11.177001;11.649414;12.704293;17.31927;81.18786;46.73556;64.46982;9.304004;8.858751;208.04704;55.037304;55.808716;27.760569;18.874214;47.661087;8.847233;4.268063;45.75625;37.36898;41.087517;37.796158;42.660896;26.220932;95.29302;39.54415;14.554815;8.525877;18.018875;13.832397;33.80151;119.30223;6.8601737;49.20272;7.996193;21.780975;30.230326;27.851126;11.251966;23.281506;28.791632;27.916843;16.630768;4.174518;16.825132;26.410595;21.332525;31.45135;37.855923;1.3411713;6.1654067;27.574041;46.525925;4.29461;6.1009707;14.278688;128.56308;13.808258;22.045218
30.646103;12.8016815;26.070004;25.59874;33.733574;11.868674;18.64075;42.11837;30.39664;19.130236;9.727108;61.052498;18.453005;6.436044;39.7531;30.102825;11.8237095;8.301575;6.0266585;4.220982;9.512856;44.978268;10.9128475;16.546383;27.684223;36.104454;15.89012;33.86927;23.720074;20.998554;15.770506;44.258392;26.860226;68.6934;10.58494;10.970369;29.422726;17.665503;21.807238;11.287505;53.027443;10.325091;11.330513;11.611684;16.289133;75.177246;43.61303;51.334736;6.843358;7.790389;171.16745;47.45907;44.7312;25.645395;19.842487;41.982056;7.7920203;4.221398;40.133995;33.285374;43.76424;40.535667;46.79757;21.333342;85.90135;36.942448;12.533712;6.4817977;15.047709;14.337361;32.388954;113.22404;6.5087724;39.08501;7.2004943;22.340137;26.454876;23.561968;10.467185;22.701088;26.520916;23.864916;14.115878;3.223175;15.035688;25.01679;21.405474;25.46103;34.2882;1.2334383;5.16772;26.678476;40.99073;3.912521;5.6582427;14.559352;120.948814;14.01931;21.429844
30.208462;13.317739;19.51466;22.465475;33.64661;12.3615465;18.125034;39.13553;30.664501;20.69564;8.862728;53.083324;17.719997;6.7880797;43.051285;30.400013;11.917336;9.043234;6.0005527;4.639992;7.9625244;43.306038;11.501854;13.862314;26.245548;38.448296;16.013247;36.81791;19.486013;20.40905;17.570713;45.97811;23.878695;59.991302;12.010351;10.568101;32.807144;17.893387;20.06426;13.669833;62.432625;10.145529;11.384833;12.912649;15.801241;80.98985;41.917538;52.779083;7.8374395;7.1892905;178.081;56.092274;50.31227;26.961054;18.261757;44.629646;7.1262245;3.5334663;48.108646;32.59064;40.87786;44.593807;43.15516;20.450344;80.93944;39.8756;13.465845;6.436914;14.625349;14.370398;27.414532;113.23004;6.8137145;42.852673;6.8897376;20.453526;25.86267;27.140308;9.230238;20.544577;27.53295;21.500866;13.70491;3.0759664;13.526131;21.06535;21.504574;30.294458;29.743668;1.2156117;6.103547;22.305128;43.832455;3.7790687;5.0202785;12.85259;119.29049;11.737087;21.331203
37.87945;14.567897;27.745594;27.409657;36.474316;13.196899;18.048153;49.98687;31.832043;28.2638;8.623594;61.919548;17.05567;8.293854;38.94994;31.064346;12.21196;8.888029;6.813916;5.2588644;7.9042435;42.652847;13.173981;16.15279;29.932089;41.030495;15.675568;40.480545;25.976154;23.266186;16.660267;43.795437;26.287058;62.41973;11.494113;12.1815815;40.52546;18.947075;22.132187;14.327721;60.95878;12.253801;11.904196;13.371529;16.602468;92.34056;43.001816;58.596424;7.7460585;7.9746656;211.8129;55.17455;53.777924;28.325317;18.556889;44.29286;9.812085;4.6806655;43.882175;32.8068;44.04354;42.781548;50.091145;25.112255;89.70861;35.712807;14.700157;7.550598;16.284119;14.692365;32.565716;108.82994;7.8704233;41.657784;8.010737;22.808142;30.198874;25.447277;8.892741;22.029821;29.301733;23.795881;14.788562;3.249382;14.433901;26.612057;21.670086;28.650196;34.246323;1.2889704;5.209892;24.032627;44.08976;3.725008;5.639358;16.815218;124.8318;13.499705;21.255436
39.855305;16.188923;33.088585;32.293056;41.879402;14.983035;21.297424;56.384064;37.20015;27.099758;10.793268;68.38978;18.90245;8.172339;50.415108;37.112854;13.481504;10.433732;7.8691545;5.0463324;9.850602;56.56598;13.263918;17.212585;36.1352;39.735626;18.153593;43.712982;28.022491;21.244219;21.53091;50.772423;29.541355;83.25031;12.676792;11.585077;42.13091;22.584137;28.74932;17.70197;66.003;15.313739;14.449895;15.705223;17.309444;92.72102;49.789482;65.35982;9.769826;9.209529;209.87215;58.87027;64.85698;32.362556;19.066442;50.281418;9.591996;4.7345643;52.753166;34.15278;52.095573;50.260803;54.137215;27.104664;102.46135;39.462425;16.02302;8.87044;19.479504;17.6442;36.686768;107.93258;7.033845;53.49563;8.857206;28.230902;37.61107;31.933079;12.491232;26.59638;34.71668;31.010822;18.547989;3.4754734;17.178698;29.09043;20.767963;37.870846;43.182716;1.5475235;6.8821564;29.359732;53.099953;4.998771;5.852577;18.517412;158.29434;13.977041;27.742779
41.562996;15.357836;34.843853;36.050316;44.588726;17.263714;24.1501;60.92331;47.5368;29.871445;12.080827;82.109474;21.320707;9.016045;50.663975;35.560585;14.441748;11.990714;9.260355;6.0291996;10.4561825;59.149372;15.267944;21.11002;38.73951;55.56947;18.36185;55.395496;28.84961;28.249111;24.69518;57.497154;34.212624;86.87657;15.672495;14.316989;44.65394;25.730509;30.607807;18.605358;93.193474;15.1020565;16.368702;14.91968;20.766926;96.08658;62.68559;72.12874;9.841385;10.991081;250.77446;71.409645;63.78866;34.50031;25.106892;61.88503;9.630398;5.2284036;67.091156;44.229607;70.4565;50.094406;62.691093;35.074375;115.96572;49.864677;15.829885;9.130758;21.490805;19.153784;49.82547;143.69589;9.074346;55.051636;11.730455;26.406559;38.971725;33.21467;13.381663;32.626907;37.584618;34.521095;23.267624;4.5697083;20.019304;35.893;25.310339;37.62731;43.22518;1.8511366;6.914195;34.318314;65.31694;5.921659;7.086156;21.61018;185.34247;19.01797;30.651434
44.29435;18.60885;41.227478;41.193356;48.061966;18.227732;31.120646;66.52571;44.9116;33.222084;13.452021;90.90978;24.899767;10.221351;58.017143;40.49474;18.122242;13.971163;9.720287;7.2190447;13.030538;73.64185;15.532888;25.116093;41.826786;53.867817;22.836435;55.444225;31.398096;32.156773;25.008036;61.91988;35.0282;82.56593;19.30555;16.153708;57.745686;23.85896;37.762627;20.602669;91.06534;17.332026;16.381124;17.429333;23.331285;105.56504;69.8978;77.71565;12.1659355;12.524108;284.9473;73.41084;74.64574;40.08912;27.920856;65.42253;12.357237;6.1738367;68.07955;48.054234;60.875526;64.78703;74.20616;38.946804;129.89354;51.950848;17.932598;10.95455;24.501087;19.984205;50.94897;156.82426;9.199885;64.62748;12.477538;28.959904;39.91392;36.13999;14.189507;35.035515;46.364586;33.571472;22.41602;5.200586;23.113789;36.40203;32.78346;39.79563;42.662956;1.8705673;7.5917807;40.49895;69.732254;6.1181903;8.034189;23.390163;182.72609;18.509571;26.739689
50.886486;22.382113;40.232193;41.255867;53.73575;17.706968;28.542685;70.38805;46.759346;36.11085;14.289345;91.738235;28.55131;11.112306;69.17299;43.989742;20.227983;14.504759;10.979147;6.013156;14.044189;74.47413;18.900503;26.448542;42.11393;60.37851;24.90282;56.30128;30.09515;31.847454;27.860321;80.47558;35.195362;95.99333;18.544477;16.824255;55.13253;28.717255;31.135296;18.355724;95.9659;16.147205;18.93253;21.836607;24.161274;113.66837;60.432434;82.98497;11.199592;12.111721;290.05148;71.637955;76.31184;37.290882;30.510569;64.72192;11.925825;6.7528825;65.05229;48.618416;79.45713;61.663544;79.73755;41.19503;115.08165;52.69732;21.72658;11.084359;24.696228;20.05227;47.752926;156.19273;9.465262;73.635635;12.293395;26.743917;48.847908;36.837833;16.880856;37.308907;52.814617;38.64952;23.477245;5.6554666;25.202961;38.992207;33.876358;42.01184;45.526535;1.8739887;7.6370783;39.38097;69.50938;6.4968147;8.541594;22.38338;216.9808;20.862581;36.373714
