1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
37.15619;32.093193;34.71848;37.158043;202.21259;66.231445;35.462463;34.34792;35.918453;35.356087;119.3192;160.9762;34.193275;36.93626;34.78671;35.969276;35.721558;39.14365;35.470055;44.801495;103.65359;52.54176;34.415596;36.917145;95.46055;93.55286;35.0179;164.24954;179.98093;313.49722;38.57426;37.37525;36.284214;33.486187;36.04427;32.47048;202.67288;35.40057;35.901405;260.69925;35.167976;32.205757;33.744087;33.121258;126.20695;46.65292;38.225395;31.859875;33.6927;35.4768;47.93847;36.964996;36.645058;34.27802
0.0;37.863213;37.79818;37.83391;205.89865;72.96931;40.62524;37.504406;37.254208;36.892006;129.34138;165.52913;0.0;40.47016;37.979057;39.626316;39.025105;39.418633;38.21072;44.51076;120.916115;59.768543;35.51249;37.770763;96.496925;100.07765;38.22471;0.0;209.91818;321.04156;37.74166;35.06409;37.594997;37.418472;40.2609;39.634693;213.81975;38.62299;40.884483;0.0;40.430054;40.863426;38.992775;38.48494;137.41437;53.452534;37.883522;40.078686;38.32916;39.102505;53.079468;0.0;34.654297;36.93363
32.128265;32.89881;29.40421;30.417744;189.64725;57.21452;30.083527;27.75587;33.84172;31.328308;96.433014;128.7978;31.748388;32.969337;30.526657;31.367855;31.16277;28.941525;29.818079;33.413616;94.023605;49.953995;30.780802;29.758017;72.08324;78.79015;32.521233;168.26118;152.35095;249.76323;28.806156;28.84054;29.27389;29.805227;0.0;28.413776;182.95413;32.212315;32.17367;184.72472;0.0;32.023342;31.996155;29.796438;112.76512;47.83422;33.36551;34.604763;30.251404;31.334423;39.717617;30.39413;32.82705;30.434765
32.177925;0.0;26.494656;29.428467;168.24832;0.0;27.23145;32.081665;28.288324;29.588959;91.18887;111.49412;29.731104;29.71667;28.459614;28.519802;28.975073;27.217901;31.18244;35.114056;85.26319;42.270134;27.237041;25.664541;76.954544;75.128685;28.493237;144.21179;141.41252;232.32681;0.0;27.381338;26.563221;29.712803;32.77955;27.907455;179.7135;28.709534;28.368631;205.34183;30.669327;28.975275;29.95177;26.699484;95.24489;41.19487;29.47796;27.811214;28.038906;28.876446;37.87281;27.99274;27.660501;28.287533
26.159449;27.201239;26.257858;26.005047;161.73677;51.53639;25.166706;28.909863;27.983902;28.758484;85.89224;120.49861;27.575043;32.01346;26.10468;28.298975;27.573559;27.035343;27.54237;30.910046;80.03091;39.915108;29.664602;27.31984;71.76949;74.38074;26.535233;136.18565;135.63724;221.18408;27.759033;27.141277;28.135386;29.100306;27.66261;26.591938;163.99268;27.359135;27.825165;198.5195;29.759556;25.372568;29.244375;28.450558;100.418724;37.433693;27.163036;29.557129;27.63052;26.836395;36.861504;22.987469;26.667393;29.163578
32.71293;33.051865;0.0;33.77474;165.72682;60.318104;32.655968;31.594662;31.333796;31.908825;106.73649;134.08151;31.015198;34.117214;31.682037;32.76986;31.125769;31.814743;31.19166;38.066998;95.58137;44.64568;31.732218;31.727045;79.46334;79.44809;33.080498;141.95969;157.06543;255.11661;31.656124;30.182379;34.091553;32.386795;0.0;35.202362;185.49973;31.41648;32.92916;213.72908;33.580803;32.701675;29.730469;29.110058;0.0;48.4375;30.949818;32.48604;32.79159;34.389027;45.60369;31.397797;33.323112;31.867508
34.53087;0.0;35.704678;35.35422;199.32611;61.388344;33.71713;33.309933;35.323265;34.173485;106.90114;142.28592;33.136875;39.163994;36.047615;33.21656;34.27144;34.112663;35.85794;40.58233;98.080246;48.55565;34.6814;33.832848;88.71365;87.70298;32.49868;171.42844;170.99573;279.44635;34.269665;34.064075;33.781162;36.59615;35.616783;33.067924;181.82487;32.888485;36.194008;240.2205;34.664913;33.945076;34.83683;37.169933;124.04585;46.90552;35.380104;34.992638;33.510258;35.45247;47.554558;35.300194;34.5374;34.708954
39.89882;40.24459;40.08025;39.367336;224.88376;77.89177;40.990364;40.812992;38.32123;38.3873;119.59949;174.31203;41.812695;46.607872;41.409023;40.515873;43.170547;43.63072;38.014004;46.67839;120.76672;56.605743;38.93873;0.0;100.292496;116.93791;42.443077;207.89133;190.34544;334.116;37.395668;42.052452;40.961163;43.00157;43.43787;43.95405;242.20808;39.88538;39.629265;282.2359;45.067043;40.52236;0.0;42.148766;138.78546;52.659386;42.148617;40.7575;0.0;40.559216;52.395332;38.841827;41.269154;0.0
0.0;45.977463;46.288033;41.70257;219.17265;83.98609;0.0;41.631817;44.90537;46.605907;142.47603;189.18562;43.43412;48.654964;41.41039;43.80756;45.693142;44.64646;43.53105;51.666893;132.34834;67.531265;42.394577;47.286076;104.48185;121.762085;41.408405;254.6032;209.02681;339.9243;42.18534;42.769714;47.945717;41.647503;46.63015;45.33923;267.39066;50.29191;42.56507;310.65073;47.270176;43.288956;47.891857;0.0;148.98001;64.87984;48.051003;44.267677;0.0;44.29872;56.061768;45.176273;41.260075;44.75086
53.43532;54.654366;53.847668;48.40369;0.0;98.35054;55.435688;53.476036;52.098736;51.988747;169.79123;203.88545;60.376167;56.481056;55.44497;52.9039;54.233875;56.457317;59.74602;66.59733;0.0;80.62377;52.584797;45.28051;122.78407;129.51488;54.852974;273.89297;247.37312;431.55817;52.473072;51.135963;52.92525;49.012585;53.424603;49.192436;0.0;56.947968;54.540993;361.7829;50.91791;52.73467;53.933907;52.878174;180.95224;74.06357;53.21164;49.67102;49.934227;50.22419;66.77476;53.769146;53.000603;51.316772
