date;time
2012-jan-7;23:00
2012-jan-8;0:00
2012-jan-8;1:00
2012-jan-8;2:00
2012-jan-8;3:00
2012-jan-8;4:00
2012-jan-8;5:00
2012-jan-8;6:00
2012-jan-8;7:00
2012-jan-8;8:00
2012-jan-8;9:00
2012-jan-8;10:00
2012-jan-8;11:00
2012-jan-8;12:00
2012-jan-8;13:00
2012-jan-8;14:00
2012-jan-8;15:00
2012-jan-8;16:00
2012-jan-8;17:00
2012-jan-8;18:00
2012-jan-8;19:00
2012-jan-8;20:00
2012-jan-8;21:00
2012-jan-8;22:00
2012-jan-8;23:00
2012-jan-9;0:00
2012-jan-9;1:00
2012-jan-9;2:00
2012-jan-9;3:00
2012-jan-9;4:00
2012-jan-9;5:00
2012-jan-9;6:00
2012-jan-9;7:00
2012-jan-9;8:00
2012-jan-9;9:00
2012-jan-9;10:00
2012-jan-9;11:00
2012-jan-9;12:00
2012-jan-9;13:00
2012-jan-9;14:00
2012-jan-9;15:00
2012-jan-9;16:00
2012-jan-9;17:00
2012-jan-9;18:00
2012-jan-9;19:00
2012-jan-9;20:00
2012-jan-9;21:00
2012-jan-9;22:00
2012-jan-9;23:00
2012-jan-10;0:00
2012-jan-10;1:00
2012-jan-10;2:00
2012-jan-10;3:00
2012-jan-10;4:00
2012-jan-10;5:00
2012-jan-10;6:00
2012-jan-10;7:00
2012-jan-10;8:00
2012-jan-10;9:00
2012-jan-10;10:00
2012-jan-10;11:00
2012-jan-10;12:00
2012-jan-10;13:00
2012-jan-10;14:00
2012-jan-10;15:00
2012-jan-10;16:00
2012-jan-10;17:00
2012-jan-10;18:00
2012-jan-10;19:00
2012-jan-10;20:00
2012-jan-10;21:00
2012-jan-10;22:00
2012-jan-10;23:00
2012-jan-11;0:00
2012-jan-11;1:00
2012-jan-11;2:00
2012-jan-11;3:00
2012-jan-11;4:00
2012-jan-11;5:00
2012-jan-11;6:00
2012-jan-11;7:00
2012-jan-11;8:00
2012-jan-11;9:00
2012-jan-11;10:00
2012-jan-11;11:00
2012-jan-11;12:00
2012-jan-11;13:00
2012-jan-11;14:00
2012-jan-11;15:00
2012-jan-11;16:00
2012-jan-11;17:00
2012-jan-11;18:00
2012-jan-11;19:00
2012-jan-11;20:00
2012-jan-11;21:00
2012-jan-11;22:00
2012-jan-11;23:00
2012-jan-12;0:00
2012-jan-12;1:00
2012-jan-12;2:00
2012-jan-12;3:00
2012-jan-12;4:00
2012-jan-12;5:00
2012-jan-12;6:00
2012-jan-12;7:00
2012-jan-12;8:00
2012-jan-12;9:00
2012-jan-12;10:00
2012-jan-12;11:00
2012-jan-12;12:00
2012-jan-12;13:00
2012-jan-12;14:00
2012-jan-12;15:00
2012-jan-12;16:00
2012-jan-12;17:00
2012-jan-12;18:00
2012-jan-12;19:00
2012-jan-12;20:00
2012-jan-12;21:00
2012-jan-12;22:00
2012-jan-12;23:00
2012-jan-13;0:00
2012-jan-13;1:00
2012-jan-13;2:00
2012-jan-13;3:00
2012-jan-13;4:00
2012-jan-13;5:00
2012-jan-13;6:00
2012-jan-13;7:00
2012-jan-13;8:00
2012-jan-13;9:00
2012-jan-13;10:00
2012-jan-13;11:00
2012-jan-13;12:00
2012-jan-13;13:00
2012-jan-13;14:00
2012-jan-13;15:00
2012-jan-13;16:00
2012-jan-13;17:00
2012-jan-13;18:00
2012-jan-13;19:00
2012-jan-13;20:00
2012-jan-13;21:00
2012-jan-13;22:00
2012-jan-13;23:00
2012-jan-14;0:00
2012-jan-14;1:00
2012-jan-14;2:00
2012-jan-14;3:00
2012-jan-14;4:00
2012-jan-14;5:00
2012-jan-14;6:00
2012-jan-14;7:00
2012-jan-14;8:00
2012-jan-14;9:00
2012-jan-14;10:00
2012-jan-14;11:00
2012-jan-14;12:00
2012-jan-14;13:00
2012-jan-14;14:00
2012-jan-14;15:00
2012-jan-14;16:00
2012-jan-14;17:00
2012-jan-14;18:00
2012-jan-14;19:00
2012-jan-14;20:00
2012-jan-14;21:00
