1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
42.443516;46.51522;43.418144;45.57848;249.02505;77.40649;44.023617;48.756424;45.355713;46.02457;143.86029;187.48451;50.97188;50.568382;42.77726;46.291683;47.622097;45.980915;46.170128;58.655067;140.10774;70.011986;43.776306;49.442898;129.20836;121.77319;44.92437;221.20297;221.8007;388.7989;44.109367;46.443073;46.4481;46.316147;45.964134;46.564106;266.57443;52.687183;43.24019;331.48077;49.10607;43.748592;44.51953;48.608036;170.02527;64.46543;42.749886;45.862026;45.067677;45.861877;67.58288;0.0;49.05478;44.661156
0.0;53.643684;50.688507;53.0373;282.93652;94.19945;49.551277;0.0;51.280445;52.688927;169.54782;195.74954;50.670513;48.532845;50.21779;51.237896;52.82735;47.256943;50.210487;56.677113;163.94722;75.50114;48.312763;46.328728;125.59379;128.29666;53.178833;257.40436;258.71762;391.2946;49.750404;43.66797;53.99065;53.881493;54.651905;51.557945;270.2274;46.40938;50.48645;350.67618;50.810604;52.02418;48.843742;45.7799;178.8382;68.14807;49.507187;50.06722;50.589867;47.80221;64.37814;52.977856;51.64585;50.630455
54.62371;51.26767;48.62691;49.667686;271.1094;97.72357;0.0;49.69601;48.59939;56.126667;164.54715;196.66502;49.16491;52.92107;52.781548;48.762077;50.570335;51.048454;52.31651;58.649944;170.14934;73.42827;49.72133;51.3177;123.5038;120.82381;51.970905;245.8702;258.6716;393.4631;51.07299;45.893147;48.83262;47.929558;52.03407;49.285286;294.85056;48.44909;48.324814;354.37717;49.44722;52.1203;50.321907;54.244324;160.85193;69.37233;48.21899;50.585716;50.193783;52.426414;67.86392;52.22514;0.0;50.37527
52.1401;54.207848;49.824757;50.750126;316.74377;95.6178;0.0;58.240883;53.524048;0.0;180.17464;248.59392;54.563557;61.768982;58.117035;53.885994;52.977043;54.85328;56.134655;62.400764;175.98943;82.99375;55.492188;53.741516;133.88329;143.29239;50.306953;0.0;288.53656;460.93613;56.068977;53.402122;51.74293;54.727222;51.715637;0.0;304.55426;51.622936;56.841614;386.39084;50.159412;54.765198;53.430794;54.14958;187.47969;74.76267;50.989204;55.41912;52.069763;54.041008;76.42005;52.926704;58.487255;52.862267
56.154594;51.492455;47.74233;51.21057;294.12955;88.95405;51.96358;51.660736;50.744102;45.299095;154.79245;205.91084;48.846508;55.237274;49.103867;0.0;49.31798;46.254078;47.91439;58.637093;152.79665;74.497925;52.391014;52.536793;133.21579;128.4041;53.477722;251.7301;234.13371;413.5503;45.618446;52.776833;53.7517;51.445545;53.032085;51.177162;311.9621;50.342365;49.66346;370.1212;0.0;46.83847;50.792152;53.231026;182.8241;69.129616;49.76133;50.539204;53.65391;52.94388;67.07427;44.53646;0.0;52.54599
51.711353;49.81508;51.148277;53.652336;288.2066;87.98993;47.844166;44.509148;48.15422;51.167973;163.2576;222.40308;48.278343;54.873585;48.00364;0.0;54.512947;48.07777;47.15078;58.806385;143.33936;72.0927;48.858273;51.53939;135.94746;127.85056;44.965157;240.82864;236.2867;424.52774;0.0;48.103264;52.908836;49.53241;48.007236;47.549377;262.05774;54.492542;54.892925;337.8014;54.80732;53.28305;53.86803;49.830788;184.5378;70.03432;48.75442;49.937172;53.86573;52.68509;67.74763;51.451668;50.001965;53.055622
46.98196;45.59132;48.766148;47.89858;275.07852;96.09478;48.097843;50.615772;48.15553;52.635628;139.91801;189.39383;46.90542;0.0;46.44132;45.420128;42.48411;47.877575;45.293327;55.833168;140.74785;72.54613;45.652927;49.4921;120.580765;119.75773;51.907116;234.70035;225.93974;378.00073;45.233543;42.730267;48.193638;48.992462;43.05464;46.426014;306.41693;47.221176;45.70667;339.79465;49.203007;44.389412;48.224373;47.508354;176.52734;72.22846;44.621494;44.27519;46.677902;52.72648;59.136005;51.201233;0.0;42.286404
44.597687;44.521126;42.80728;45.164665;251.98164;80.78639;45.868587;45.44254;43.7919;47.627144;136.59734;175.37675;0.0;47.547894;44.831486;45.940384;0.0;44.0527;43.943005;57.370556;136.86624;70.52955;44.365147;44.845585;102.032425;128.58456;44.337532;220.62857;218.3552;373.30743;44.34173;43.193302;46.014812;45.28972;47.667343;0.0;256.51443;41.90561;46.123787;309.76703;48.968952;44.168793;44.280693;44.82415;155.21661;68.36775;43.817448;43.45985;43.835117;43.353645;0.0;45.356125;46.189278;49.00036
43.777626;40.362144;41.645767;43.868275;221.61166;75.48768;0.0;42.332176;42.183617;43.21634;128.0975;190.7081;42.73268;46.74931;42.419212;40.058434;41.25405;41.139996;39.10963;50.970493;123.52805;64.88961;44.199036;41.219223;110.8503;99.711105;44.93448;217.38887;214.7739;352.92133;45.139996;44.52534;43.74636;43.308586;45.081474;44.438988;267.90808;0.0;42.00827;290.7121;41.83052;41.479183;45.369473;43.99437;153.6567;63.04212;46.541916;40.796867;39.582718;45.326157;55.0724;42.571754;42.195774;42.401825
50.78398;48.92347;50.60846;52.103443;276.65125;85.18758;48.6453;0.0;45.558266;49.120064;0.0;190.03268;47.143303;55.19706;42.794643;49.20838;43.988354;52.26891;48.965397;53.666462;142.57353;69.66376;48.299828;50.01229;0.0;131.3793;49.601566;225.33113;219.09549;386.2616;47.522045;46.230675;49.941654;0.0;47.94876;47.59574;274.20514;49.013065;50.72026;321.37814;41.47117;46.229073;49.456364;46.50285;170.2522;67.4084;48.716087;52.976055;42.54504;51.51345;61.453533;48.533134;49.585945;49.911087
