date;time
2012-jan-14;22:00
2012-jan-14;23:00
2012-jan-15;0:00
2012-jan-15;1:00
2012-jan-15;2:00
2012-jan-15;3:00
2012-jan-15;4:00
2012-jan-15;5:00
2012-jan-15;6:00
2012-jan-15;7:00
2012-jan-15;8:00
2012-jan-15;9:00
2012-jan-15;10:00
2012-jan-15;11:00
2012-jan-15;12:00
2012-jan-15;13:00
2012-jan-15;14:00
2012-jan-15;15:00
2012-jan-15;16:00
2012-jan-15;17:00
2012-jan-15;18:00
2012-jan-15;19:00
2012-jan-15;20:00
2012-jan-15;21:00
2012-jan-15;22:00
2012-jan-15;23:00
2012-jan-16;0:00
2012-jan-16;1:00
2012-jan-16;2:00
2012-jan-16;3:00
2012-jan-16;4:00
2012-jan-16;5:00
2012-jan-16;6:00
2012-jan-16;7:00
2012-jan-16;8:00
2012-jan-16;9:00
2012-jan-16;10:00
2012-jan-16;11:00
2012-jan-16;12:00
2012-jan-16;13:00
2012-jan-16;14:00
2012-jan-16;15:00
2012-jan-16;16:00
2012-jan-16;17:00
2012-jan-16;18:00
2012-jan-16;19:00
2012-jan-16;20:00
2012-jan-16;21:00
2012-jan-16;22:00
2012-jan-16;23:00
2012-jan-17;0:00
2012-jan-17;1:00
2012-jan-17;2:00
2012-jan-17;3:00
2012-jan-17;4:00
2012-jan-17;5:00
2012-jan-17;6:00
2012-jan-17;7:00
2012-jan-17;8:00
2012-jan-17;9:00
2012-jan-17;10:00
2012-jan-17;11:00
2012-jan-17;12:00
2012-jan-17;13:00
2012-jan-17;14:00
2012-jan-17;15:00
2012-jan-17;16:00
2012-jan-17;17:00
2012-jan-17;18:00
2012-jan-17;19:00
2012-jan-17;20:00
2012-jan-17;21:00
2012-jan-17;22:00
2012-jan-17;23:00
2012-jan-18;0:00
2012-jan-18;1:00
2012-jan-18;2:00
2012-jan-18;3:00
2012-jan-18;4:00
2012-jan-18;5:00
2012-jan-18;6:00
2012-jan-18;7:00
2012-jan-18;8:00
2012-jan-18;9:00
2012-jan-18;10:00
2012-jan-18;11:00
2012-jan-18;12:00
2012-jan-18;13:00
2012-jan-18;14:00
2012-jan-18;15:00
2012-jan-18;16:00
2012-jan-18;17:00
2012-jan-18;18:00
2012-jan-18;19:00
2012-jan-18;20:00
2012-jan-18;21:00
2012-jan-18;22:00
2012-jan-18;23:00
2012-jan-19;0:00
2012-jan-19;1:00
2012-jan-19;2:00
2012-jan-19;3:00
2012-jan-19;4:00
2012-jan-19;5:00
2012-jan-19;6:00
2012-jan-19;7:00
2012-jan-19;8:00
2012-jan-19;9:00
2012-jan-19;10:00
2012-jan-19;11:00
2012-jan-19;12:00
2012-jan-19;13:00
2012-jan-19;14:00
2012-jan-19;15:00
2012-jan-19;16:00
2012-jan-19;17:00
2012-jan-19;18:00
2012-jan-19;19:00
2012-jan-19;20:00
2012-jan-19;21:00
2012-jan-19;22:00
2012-jan-19;23:00
2012-jan-20;0:00
2012-jan-20;1:00
2012-jan-20;2:00
2012-jan-20;3:00
2012-jan-20;4:00
2012-jan-20;5:00
2012-jan-20;6:00
2012-jan-20;7:00
2012-jan-20;8:00
2012-jan-20;9:00
2012-jan-20;10:00
2012-jan-20;11:00
2012-jan-20;12:00
2012-jan-20;13:00
2012-jan-20;14:00
2012-jan-20;15:00
2012-jan-20;16:00
2012-jan-20;17:00
2012-jan-20;18:00
2012-jan-20;19:00
2012-jan-20;20:00
2012-jan-20;21:00
2012-jan-20;22:00
2012-jan-20;23:00
2012-jan-21;0:00
2012-jan-21;1:00
2012-jan-21;2:00
2012-jan-21;3:00
2012-jan-21;4:00
2012-jan-21;5:00
2012-jan-21;6:00
2012-jan-21;7:00
2012-jan-21;8:00
2012-jan-21;9:00
2012-jan-21;10:00
2012-jan-21;11:00
2012-jan-21;12:00
2012-jan-21;13:00
2012-jan-21;14:00
2012-jan-21;15:00
2012-jan-21;16:00
2012-jan-21;17:00
2012-jan-21;18:00
2012-jan-21;19:00
2012-jan-21;20:00
